Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.17,-33.6,-0.062
-1.17,-26.6,-0.062
-0.98,-25.8,-0.051
-0.98,-18.8,-0.051
-0.78,-17.9,-0.041
-0.78,-10.9,-0.041
-0.59,-10,-0.031
-0.59,-3.9,-0.031
-0.39,-3.1,-0.021
-0.39,-0.4,-0.021
-0.39,3.1,-0.021
-0.2,3.9,-0.01
-0.2,10,-0.01
-0,10.9,-0
-0,17,-0
0.19,17.9,0.01
0.19,22.3,0.01
0.19,21.4,0.01
0.39,22.3,0.02
0.39,28.4,0.02
0.58,29.3,0.031
0.58,34.5,0.031
0.78,35.4,0.041
0.78,39.7,0.041
0.98,40.6,0.051
0.98,45,0.051
1.17,45.9,0.062
1.17,49.3,0.062
1.37,50.2,0.072
1.37,52.8,0.072
1.56,51.9,0.082
1.56,48.5,0.082
1.37,47.6,0.072
1.37,36.2,0.072
1.17,35.4,0.062
1.17,27.5,0.062
0.98,26.6,0.051
0.98,19.7,0.051
0.78,18.8,0.041
0.78,12.7,0.041
0.58,11.8,0.031
0.58,4.8,0.031
0.39,3.9,0.02
0.39,-1.3,0.02
0.19,-2.2,0.01
0.19,-8.3,0.01
-0,-9.2,-0
-0,-14.4,-0
-0.2,-15.3,-0.01
-0.2,-21.4,-0.01
-0.39,-22.3,-0.021
-0.39,-21.4,-0.021
-0.39,-26.6,-0.021
-0.59,-27.5,-0.031
-0.59,-32.8,-0.031
-0.78,-33.6,-0.041
-0.78,-38.9,-0.041
-0.98,-39.8,-0.051
-0.98,-45,-0.051
-1.17,-45.9,-0.062
-1.17,-49.4,-0.062
-1.37,-50.2,-0.072
-1.37,-53.7,-0.072
-1.56,-54.6,-0.082
-1.56,-46.7,-0.082
-1.37,-45.9,-0.072
-1.37,-34.5,-0.072
-1.17,-33.6,-0.062
-1.17,-25.8,-0.062
-0.98,-24.9,-0.051
-0.98,-17.9,-0.051
-0.78,-17,-0.041
-0.78,-10,-0.041
-0.59,-9.2,-0.031
-0.59,-3.1,-0.031
-0.5,-2.3,-0.026
-0.43,-0.4,-0.023
-0.39,3.1,-0.021
-0.2,3.9,-0.01
-0.2,10,-0.01
-0,10.9,-0
-0,16.1,-0
0.19,17,0.01
0.19,22.3,0.01
0.19,21.4,0.01
0.39,22.3,0.02
0.39,28.4,0.02
0.58,29.3,0.031
0.58,34.5,0.031
0.78,35.4,0.041
0.78,39.7,0.041
0.98,40.6,0.051
0.98,45,0.051
1.17,45.9,0.062
1.17,49.3,0.062
1.37,50.2,0.072
1.37,48.5,0.072
1.37,52.8,0.072
1.37,50.2,0.072
1.56,49.3,0.082
1.37,48.5,0.072
1.37,35.4,0.072
1.17,34.5,0.062
1.17,26.6,0.062
0.98,25.8,0.051
0.98,18.8,0.051
0.78,17.9,0.041
0.78,10.9,0.041
0.58,10,0.031
0.58,3.9,0.031
0.39,3.1,0.02
0.39,-2.2,0.02
0.19,-3.1,0.01
0.19,-9.2,0.01
-0,-10,-0
-0,-15.3,-0
-0.2,-16.2,-0.01
-0.2,-21.4,-0.01
-0.39,-22.3,-0.021
-0.39,-21.4,-0.021
-0.39,-26.6,-0.021
-0.59,-27.5,-0.031
-0.59,-32.8,-0.031
-0.78,-33.6,-0.041
-0.78,-38.9,-0.041
-0.98,-39.8,-0.051
-0.98,-45,-0.051
-1.17,-45.9,-0.062
-1.17,-50.2,-0.062
-1.37,-51.1,-0.072
-1.37,-54.6,-0.072
-1.56,-55.5,-0.082
-1.56,-44.1,-0.082
-1.37,-43.2,-0.072
-1.37,-33.6,-0.072
-1.17,-32.8,-0.062
-1.17,-24,-0.062
-0.98,-23.2,-0.051
-0.98,-16.2,-0.051
-0.78,-15.3,-0.041
-0.78,-9.2,-0.041
-0.59,-8.3,-0.031
-0.61,-2.2,-0.032
-0.54,-1.6,-0.028
-0.49,-0.5,-0.026
NaN,NaN,NaN
-0.39,-0.4,-0.021
-0.39,3.9,-0.021
-0.2,4.8,-0.01
-0.2,10.9,-0.01
-0,11.8,-0
-0,17,-0
0.19,17.9,0.01
0.19,21.4,0.01
