Test unit,WS1.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-2.76,-77.7,-0.209
-3.01,-78.9,-0.227
-3.01,-79.9,-0.227
-3.34,-80.6,-0.252
-3.34,-82.2,-0.252
-3.59,-82.8,-0.271
-3.75,-83.2,-0.283
-3.92,-84,-0.296
-4.08,-84.4,-0.308
-4.41,-85,-0.333
-4.66,-85.4,-0.352
-4.99,-85.7,-0.377
-4.91,-85.7,-0.37
-5.15,-86,-0.389
-5.32,-86,-0.401
-5.57,-86.3,-0.42
-5.9,-86.9,-0.445
-6.14,-86.9,-0.464
-6.47,-87.5,-0.489
-6.89,-87.5,-0.52
-7.13,-87.6,-0.538
-7.3,-87.5,-0.551
-7.46,-87.5,-0.563
-7.71,-87.2,-0.582
-7.79,-87.5,-0.588
-8.04,-87.6,-0.607
-8.29,-87.5,-0.626
-8.45,-87.5,-0.638
-8.62,-87.6,-0.65
-8.78,-87.5,-0.663
-9.03,-87.6,-0.682
-9.2,-88.1,-0.694
NaN,NaN,NaN
-11.59,-88.9,-0.875
-11.59,-88.4,-0.875
-11.51,-88.1,-0.868
-11.26,-87.6,-0.85
-11.18,-87.2,-0.843
-10.93,-87.5,-0.825
-10.68,-87.2,-0.806
-10.52,-86.9,-0.794
-10.19,-86.6,-0.769
-9.77,-86.6,-0.738
-9.61,-86.3,-0.725
-9.28,-86.3,-0.7
-9.11,-86,-0.688
-9.03,-85.7,-0.682
-8.54,-85.7,-0.644
-8.29,-85,-0.626
-8.21,-85,-0.619
-7.96,-84.7,-0.601
-7.63,-84.7,-0.576
-7.38,-84.3,-0.557
-7.3,-84.3,-0.551
-7.13,-83.7,-0.538
-6.89,-83.1,-0.52
-6.64,-82.8,-0.501
-6.47,-82.8,-0.489
-6.23,-82.5,-0.47
-6.06,-82.5,-0.457
-5.81,-81.8,-0.439
-5.57,-81.5,-0.42
-5.4,-80.6,-0.408
-5.15,-80.3,-0.389
