Test unit,T1-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.56,55.7,0.125
1.6,55.7,0.128
1.6,53.5,0.128
1.57,48.2,0.126
1.54,46.6,0.123
1.5,43.8,0.12
1.43,41,0.115
1.36,37.6,0.109
1.28,33.5,0.103
1.19,28.8,0.095
1.08,23.2,0.087
0.96,17.5,0.077
0.85,11.6,0.068
0.72,5.3,0.057
0.58,-0.9,0.046
0.45,-7.5,0.036
0.36,-11.3,0.029
0.34,-11.6,0.027
-0.13,-30.4,-0.01
-0.02,-22.9,-0.002
-0.01,-22.9,-0.001
-0.01,-22.2,-0.001
0,-22.5,0
-0.01,-23.2,-0.001
-0.01,-22.2,-0.001
0,-22.2,0
-0.01,-22.2,-0.001
0,-22.2,0
-0.01,-22.5,-0.001
-0.01,-22.9,-0.001
-0.01,-22.5,-0.001
-0.05,-26,-0.004
-0.21,-34.7,-0.017
-0.35,-40.4,-0.028
-0.5,-45.1,-0.04
-0.64,-48.5,-0.051
-0.77,-51,-0.062
-0.9,-52.9,-0.072
-1.02,-54.5,-0.081
-1.12,-57,-0.09
-1.23,-59.5,-0.099
-1.32,-62,-0.105
-1.4,-63.9,-0.112
-1.47,-65.4,-0.117
-1.51,-66.1,-0.121
-1.56,-67.6,-0.125
-1.6,-67.6,-0.128
-1.6,-67.6,-0.128
-1.61,-67.9,-0.128
-1.62,-67.6,-0.129
-1.6,-65.1,-0.128
-1.57,-64.2,-0.126
-1.54,-62.3,-0.123
-1.48,-60.1,-0.118
-1.41,-57.3,-0.113
-1.35,-54.2,-0.108
-1.25,-49.8,-0.1
-1.16,-45.1,-0.093
-1.05,-40.1,-0.084
-0.93,-35.4,-0.075
-0.81,-29.7,-0.065
-0.67,-23.5,-0.054
-0.54,-17.2,-0.043
-0.43,-11.9,-0.034
-0.41,-11.6,-0.033
-0.33,-5.9,-0.027
0.03,8.1,0.003
0.2,17.5,0.016
0.34,24.1,0.027
0.48,30.1,0.039
0.63,34.7,0.051
0.76,35.1,0.061
0.89,36.6,0.071
1.01,39.1,0.081
1.11,41.6,0.089
1.21,44.5,0.097
1.31,47.6,0.104
1.39,49.5,0.111
1.46,51.3,0.116
1.51,52.6,0.121
1.55,53.5,0.124
1.58,54.2,0.127
1.6,54.2,0.128
1.6,49.8,0.128
1.56,47,0.125
1.52,44.8,0.122
1.47,41.9,0.117
1.4,38.8,0.112
1.33,35.1,0.106
1.24,30.4,0.099
1.15,25.7,0.092
1.04,20.3,0.083
0.92,14.4,0.074
0.79,8.5,0.063
0.66,2.2,0.053
0.52,-4.1,0.042
0.39,-10,0.031
0.35,-11.3,0.028
0.34,-11.9,0.027
-0.04,-25,-0.003
-0.01,-22.5,-0.001
-0.01,-22.2,-0.001
-0.01,-22.9,-0.001
-0.01,-22.2,-0.001
-0.01,-22.5,-0.001
-0.01,-22.2,-0.001
-0.05,-26,-0.004
-0.21,-34.4,-0.017
-0.35,-39.4,-0.028
-0.5,-43.2,-0.04
-0.64,-46,-0.051
-0.78,-48.5,-0.063
-0.9,-50.1,-0.072
-1.02,-52,-0.081
-1.12,-54.5,-0.09
-1.23,-57.6,-0.099
-1.33,-60.1,-0.106
-1.39,-62,-0.111
-1.47,-63.9,-0.117
-1.52,-65.4,-0.122
-1.56,-66.4,-0.125
-1.6,-66.4,-0.128
-1.61,-66.7,-0.128
-1.62,-66.4,-0.129
-1.6,-63.9,-0.128
-1.57,-62.6,-0.126
-1.53,-60.7,-0.122
-1.48,-58.5,-0.118
-1.41,-55.7,-0.113
-1.34,-52,-0.107
-1.25,-48.2,-0.1
-1.15,-43.5,-0.092
-1.05,-38.8,-0.084
-0.92,-33.5,-0.074
-0.8,-27.9,-0.064
-0.67,-21.6,-0.054
-0.54,-15.7,-0.043
-0.45,-11.9,-0.036
-0.44,-11.6,-0.035
0.03,8.8,0.003
0.05,12.2,0.004
0.19,18.8,0.015
0.34,25,0.027
0.49,31,0.039
0.63,36.6,0.051
0.76,41,0.061
0.89,45.1,0.071
1.01,48.2,0.081
1.11,51.3,0.089
1.22,54.2,0.098
1.32,56.4,0.105
1.39,57.6,0.111
1.46,58.5,0.116
1.51,59.2,0.121
1.55,59.8,0.124
1.6,59.8,0.128
1.6,55.7,0.128
1.55,52.6,0.124
1.52,50.4,0.122
1.47,47.6,0.117
1.4,44.8,0.112
1.33,41.6,0.106
1.24,37.3,0.099
1.13,32.6,0.091
1.03,27.9,0.082
0.91,22.5,0.073
0.78,16.6,0.063
0.65,10.6,0.052
0.51,4.7,0.041
0.37,-1.6,0.03
0.24,-7.8,0.019
0.15,-11.3,0.012
0.14,-11.6,0.011
0.05,-16.9,0.004
-0.02,-15,-0.002
-0.01,-14.1,-0.001
0,-14.4,0
-0.01,-14.7,-0.001
-0.01,-14.1,-0.001
0,-14.1,0
0,-13.8,0
-0.01,-14.1,-0.001
0,-13.8,0
0,-14.1,0
-0.01,-14.1,-0.001
0,-14.1,0
0,-13.8,0
0,-14.1,0
0,-13.8,0
0,-14.4,0
-0.02,-16,-0.002
-0.24,-27.5,-0.019
-0.44,-34.7,-0.035
-0.63,-40.7,-0.051
-0.82,-45.7,-0.066
-1,-50.1,-0.08
-1.18,-54.5,-0.094
-1.33,-59.2,-0.106
-1.48,-63.6,-0.118
-1.63,-67.6,-0.13
-1.75,-70.4,-0.14
-1.85,-72.3,-0.148
-1.96,-73.6,-0.157
-2.01,-74.8,-0.161
-2.09,-75.8,-0.167
-2.12,-75.8,-0.17
-2.15,-76.1,-0.172
-2.15,-74.8,-0.172
-2.14,-73.3,-0.171
-2.11,-71.7,-0.169
-2.06,-69.5,-0.164
-1.99,-67.3,-0.159
-1.91,-64.2,-0.152
-1.81,-60.4,-0.145
-1.69,-56,-0.135
-1.56,-51,-0.125
