Test unit,E6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0,-8.8,-0
-0,-7.8,-0
0,-6.7,0
0.01,-5.8,0.001
0.03,-4.7,0.002
0.02,-3.6,0.002
0.02,-2.5,0.002
0.03,-1.6,0.003
0.04,-0.6,0.003
0.05,0.4,0.004
0.05,1.5,0.005
0.06,2.9,0.005
0.06,3.9,0.005
0.07,5.2,0.006
0.08,6.5,0.007
0.08,7.7,0.007
0.09,8.8,0.008
0.1,10.1,0.009
0.11,11.1,0.01
0.12,12.2,0.011
0.13,13.2,0.011
0.13,14.3,0.012
0.16,15.2,0.014
0.15,16.3,0.013
0.15,17.3,0.013
0.15,18.4,0.013
0.17,19.4,0.014
0.17,20.4,0.015
0.18,21.5,0.015
0.18,22.5,0.016
0.19,23.7,0.016
0.19,24.9,0.017
0.21,26.1,0.018
0.23,27.2,0.02
0.23,28.2,0.02
0.23,29.2,0.02
0.23,30.2,0.02
0.23,31.2,0.02
0.24,32.4,0.021
0.24,33.5,0.021
0.26,34.5,0.023
0.27,35.6,0.024
0.29,36.6,0.025
0.3,37.6,0.026
0.31,38.7,0.027
0.32,39.8,0.028
0.35,39.8,0.03
0.37,40.7,0.032
0.37,41.8,0.032
0.38,42.8,0.033
0.38,43.9,0.033
0.38,44.9,0.033
0.39,46.1,0.034
0.41,47.3,0.035
0.42,48.2,0.036
0.43,49.2,0.038
0.44,50.2,0.038
0.46,51.1,0.04
0.49,51.6,0.043
0.49,52.7,0.043
0.52,53.7,0.045
0.55,54.2,0.047
0.57,55,0.049
0.59,55.8,0.051
0.62,56.4,0.054
0.64,57.1,0.056
0.68,57.5,0.059
0.73,57.8,0.064
0.77,58.5,0.067
0.79,57.3,0.069
0.8,56.3,0.069
0.81,55.2,0.071
0.8,54.2,0.07
0.78,55.5,0.068
0.78,56.8,0.068
0.78,57.9,0.068
0.8,58.9,0.069
0.81,57.9,0.07
0.82,56.7,0.071
0.82,55.5,0.071
0.81,54.3,0.071
0.8,53.4,0.069
0.79,54.4,0.069
0.79,55.5,0.069
0.79,56.8,0.068
0.8,57.8,0.069
0.83,56.7,0.072
0.82,55.4,0.072
0.82,54.1,0.071
0.8,53,0.069
0.78,54.2,0.068
0.78,55.3,0.068
0.78,56.4,0.068
0.8,55.3,0.069
0.8,54,0.069
0.8,52.9,0.069
0.78,51.7,0.068
0.76,50.7,0.066
0.78,51.7,0.067
0.76,50.6,0.066
0.74,49.6,0.064
0.72,48.6,0.063
0.71,47.6,0.061
0.69,46.5,0.06
0.68,45.5,0.059
0.68,44.4,0.059
0.66,43.5,0.057
0.64,42.5,0.056
0.63,41.5,0.055
0.62,40.5,0.054
0.61,39.5,0.053
0.6,38.5,0.052
0.59,37.4,0.051
0.58,36.5,0.05
0.57,35.5,0.049
0.57,34.5,0.049
0.54,33.4,0.047
0.52,32.4,0.046
0.51,31.4,0.045
0.5,30.3,0.044
0.49,29.3,0.043
0.49,28.3,0.042
0.48,27.2,0.042
0.47,26.2,0.04
0.46,25.1,0.04
0.45,24,0.039
0.44,22.9,0.038
0.43,21.8,0.037
0.44,20.7,0.038
0.42,19.7,0.037
0.4,18.7,0.035
0.39,17.7,0.034
0.39,16.6,0.033
0.38,15.6,0.033
0.37,14.4,0.032
0.35,13.2,0.031
0.34,12.2,0.03
0.33,11.2,0.029
0.32,10,0.028
0.31,8.9,0.027
0.3,7.9,0.026
0.3,6.7,0.026
0.29,5.6,0.025
0.3,4.6,0.026
0.29,3.5,0.025
0.27,2.5,0.024
0.25,1.5,0.022
0.24,0.5,0.021
0.24,-0.5,0.021
0.23,-1.5,0.02
0.23,-2.5,0.02
0.23,-3.7,0.02
0.22,-4.8,0.019
0.21,-6.3,0.019
