Test unit,test 8
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.5,25.9,0.034
0.63,26.7,0.042
0.63,29.3,0.042
0.75,30.2,0.05
0.75,32.8,0.05
0.88,33.6,0.059
0.88,36.2,0.059
1,37.1,0.067
1,39.7,0.067
1.13,40.5,0.075
1.13,42.2,0.075
1.26,43.1,0.084
1.26,45.7,0.084
1.38,46.6,0.092
1.38,49.1,0.092
1.51,50,0.1
1.51,50.9,0.1
1.76,52.6,0.117
1.76,54.3,0.117
1.89,55.2,0.126
2.01,56,0.134
2.01,47.4,0.134
1.89,46.6,0.126
1.89,41.4,0.126
1.76,40.5,0.117
1.76,36.2,0.117
1.63,35.3,0.109
1.63,31,0.109
1.51,30.2,0.1
1.51,26.7,0.1
1.38,25.9,0.092
1.38,22.4,0.092
1.26,21.6,0.084
1.26,19,0.084
1.13,18.1,0.075
1.13,15.5,0.075
1,14.7,0.067
1,12.1,0.067
0.88,11.2,0.059
0.88,8.6,0.059
0.75,7.8,0.05
0.75,5.2,0.05
0.63,4.3,0.042
0.63,2.6,0.042
0.5,1.7,0.034
0.5,-0.9,0.034
0.38,-1.7,0.025
0.38,-5.2,0.025
0.25,-6,0.017
0.25,-7.8,0.017
0.13,-8.6,0.008
0.13,-12.1,0.008
0,-12.9,0
0,-15.5,0
-0.13,-16.4,-0.008
-0.13,-19,-0.008
-0.25,-19.8,-0.017
-0.25,-22.4,-0.017
-0.38,-23.3,-0.025
-0.38,-26.7,-0.025
-0.5,-27.6,-0.034
-0.5,-30.2,-0.034
-0.63,-31,-0.042
-0.63,-34.5,-0.042
-0.75,-35.3,-0.05
-0.75,-37.9,-0.05
-0.88,-38.8,-0.059
-0.88,-42.2,-0.059
-1.01,-43.1,-0.067
-1.01,-45.7,-0.067
-1.13,-46.6,-0.075
-1.13,-49.1,-0.075
-1.26,-50,-0.084
-1.26,-52.6,-0.084
-1.38,-53.4,-0.092
-1.38,-56,-0.092
-1.63,-57.8,-0.109
-1.63,-59.5,-0.109
-1.76,-60.3,-0.117
-1.89,-61.2,-0.126
-1.89,-50,-0.126
-1.76,-49.1,-0.117
-1.76,-43.1,-0.117
-1.63,-42.2,-0.109
-1.63,-37.1,-0.109
-1.51,-36.2,-0.1
-1.51,-31.9,-0.1
-1.38,-31,-0.092
-1.38,-26.7,-0.092
-1.26,-25.9,-0.084
-1.26,-21.6,-0.084
-1.13,-20.7,-0.075
-1.13,-18.1,-0.075
-1.01,-17.2,-0.067
-1.01,-13.8,-0.067
-0.88,-12.9,-0.059
-0.88,-9.5,-0.059
-0.75,-8.6,-0.05
-0.75,-6,-0.05
-0.63,-5.2,-0.042
-0.63,-2.6,-0.042
-0.5,-1.7,-0.034
-0.5,-0,-0.034
NaN,NaN,NaN
-0.5,-0,-0.034
-0.5,1.7,-0.034
-0.38,2.6,-0.025
-0.38,5.2,-0.025
-0.25,6,-0.017
-0.25,8.6,-0.017
-0.13,9.5,-0.008
-0.13,11.2,-0.008
0,12.1,0
0,14.7,0
0.13,15.5,0.008
0.13,17.2,0.008
0.25,18.1,0.017
0.25,21.6,0.017
0.38,22.4,0.025
0.38,24.1,0.025
0.5,25,0.034
0.5,27.6,0.034
0.63,28.5,0.042
0.63,30.2,0.042
0.75,31,0.05
0.75,31.9,0.05
0.88,32.8,0.059
0.88,35.3,0.059
1,36.2,0.067
1,37.9,0.067
1.13,38.8,0.075
1.13,40.5,0.075
1.26,41.4,0.084
1.26,43.1,0.084
1.38,44,0.092
1.38,45.7,0.092
1.51,46.6,0.1
1.51,48.3,0.1
1.63,49.1,0.109
1.63,50.9,0.109
1.76,51.7,0.117
1.76,53.4,0.117
1.89,54.3,0.126
1.89,56,0.126
2.01,56.9,0.134
2.01,49.1,0.134
1.89,48.3,0.126
1.89,42.2,0.126
1.76,41.4,0.117
1.76,37.1,0.117
1.63,36.2,0.109
1.63,31.9,0.109
1.51,31,0.1
1.51,27.6,0.1
1.38,26.7,0.092
1.38,23.3,0.092
1.26,22.4,0.084
1.26,19.8,0.084
1.13,19,0.075
1.13,16.4,0.075
1,15.5,0.067
1,12.9,0.067
0.88,12.1,0.059
0.88,9.5,0.059
0.75,8.6,0.05
0.75,6,0.05
0.63,5.2,0.042
0.63,3.5,0.042
0.5,2.6,0.034
0.5,-0,0.034
0.38,-0.9,0.025
0.38,-3.5,0.025
0.25,-4.3,0.017
0.25,-6.9,0.017
0.13,-7.8,0.008
0.13,-10.4,0.008
0,-11.2,0
0,-13.8,0
-0.13,-14.7,-0.008
-0.13,-16.4,-0.008
-0.25,-17.2,-0.017
-0.25,-20.7,-0.017
-0.38,-21.6,-0.025
-0.38,-24.1,-0.025
-0.5,-25,-0.034
-0.5,-27.6,-0.034
-0.63,-28.5,-0.042
-0.63,-31,-0.042
-0.75,-31.9,-0.05
-0.75,-34.5,-0.05
-0.88,-35.3,-0.059
-0.88,-37.9,-0.059
-1.01,-38.8,-0.067
-1.01,-41.4,-0.067
-1.13,-42.2,-0.075
-1.13,-44.8,-0.075
-1.26,-45.7,-0.084
-1.26,-48.3,-0.084
-1.38,-49.1,-0.092
-1.38,-51.7,-0.092
-1.51,-52.6,-0.1
-1.51,-55.2,-0.1
-1.63,-56,-0.109
-1.63,-57.8,-0.109
-1.76,-58.6,-0.117
-1.76,-60.3,-0.117
-1.89,-61.2,-0.126
-1.89,-62.1,-0.126
-1.89,-51.7,-0.126
-1.76,-50.9,-0.117
-1.76,-44,-0.117
-1.63,-43.1,-0.109
-1.63,-37.9,-0.109
-1.51,-37.1,-0.1
-1.51,-31.9,-0.1
-1.38,-31,-0.092
-1.38,-26.7,-0.092
-1.26,-25.9,-0.084
-1.26,-22.4,-0.084
-1.13,-21.6,-0.075
-1.13,-18.1,-0.075
-1.01,-17.2,-0.067
-1.01,-13.8,-0.067
-0.88,-12.9,-0.059
-0.88,-9.5,-0.059
-0.75,-8.6,-0.05
-0.75,-6,-0.05
-0.63,-5.2,-0.042
-0.63,-2.6,-0.042
-0.5,-1.7,-0.034
-0.5,-0,-0.034
NaN,NaN,NaN
-0.5,-0,-0.034
-0.5,0.9,-0.034
-0.38,1.7,-0.025
-0.38,4.3,-0.025
-0.25,5.2,-0.017
-0.25,7.8,-0.017
-0.13,8.6,-0.008
-0.13,10.4,-0.008
0,11.2,0
0,14.7,0
0.13,15.5,0.008
0.13,17.2,0.008
0.25,18.1,0.017
0.25,19.8,0.017
0.38,20.7,0.025
0.38,23.3,0.025
0.5,24.1,0.034
0.5,25.9,0.034
0.63,26.7,0.042
0.63,29.3,0.042
0.75,30.2,0.05
0.75,31.9,0.05
0.88,32.8,0.059
0.88,34.5,0.059
1,35.3,0.067
1,37.1,0.067
1.13,37.9,0.075
1.13,40.5,0.075
