Test unit,C5
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.14,25.8,0.01
0.14,27.4,0.01
0.13,29.1,0.01
0.14,30.5,0.01
0.15,31.9,0.011
0.16,33.2,0.012
0.16,34.6,0.012
0.17,36,0.013
0.18,37.2,0.014
0.2,38.9,0.015
0.21,40.5,0.015
0.22,41.9,0.016
0.24,43.1,0.018
0.25,44.8,0.018
0.26,46.3,0.019
0.28,47.8,0.02
0.29,48.8,0.022
0.3,50.2,0.022
0.3,51.6,0.023
0.31,53,0.023
0.33,54.4,0.024
0.34,55.7,0.025
0.35,57,0.026
0.37,58.1,0.027
0.38,59.4,0.028
0.39,60.9,0.029
0.4,62,0.03
0.41,63.2,0.031
0.43,64.5,0.031
0.44,65.9,0.032
0.46,66.7,0.034
0.44,68.5,0.033
0.45,69.9,0.033
0.45,71.1,0.034
0.46,72,0.034
0.47,73,0.035
0.47,74.2,0.035
0.49,75.3,0.036
0.5,76.2,0.037
0.51,76.7,0.038
0.52,77.8,0.039
0.52,79.3,0.039
0.54,80.3,0.04
0.56,81.3,0.041
0.57,82.4,0.042
0.59,83.4,0.044
0.62,84.2,0.046
0.63,85.2,0.047
0.64,86.6,0.047
0.66,87.5,0.049
0.67,86.5,0.05
0.67,88,0.049
0.67,86.5,0.05
0.68,85,0.051
0.69,83.3,0.051
0.68,81.8,0.051
0.66,80.7,0.049
0.66,82.1,0.049
0.66,80.3,0.049
0.65,78.6,0.048
0.64,77.2,0.047
0.62,76,0.046
0.61,74.4,0.045
0.59,73,0.044
0.58,71.8,0.043
0.56,70.2,0.042
0.55,68.8,0.041
0.54,67.6,0.04
0.54,66.2,0.04
0.53,64.9,0.039
0.51,63.9,0.038
0.49,62.6,0.036
0.48,61.1,0.035
0.46,60,0.034
0.45,58.7,0.034
0.44,57.4,0.033
0.43,56,0.032
0.43,54.5,0.031
0.42,53.2,0.031
0.41,51.9,0.03
0.42,50.3,0.031
0.41,49,0.031
0.4,47.9,0.029
0.38,46.7,0.028
0.37,45.6,0.028
0.36,44.2,0.026
0.35,42.8,0.026
0.35,41.5,0.026
0.35,39.9,0.026
0.34,38.3,0.025
0.33,37.2,0.025
0.32,35.7,0.024
0.32,34.4,0.024
0.31,32.9,0.023
0.3,31.4,0.022
0.3,29.8,0.022
0.3,28.1,0.022
0.29,26.9,0.021
0.27,25.7,0.02
0.25,24.5,0.019
0.24,23.1,0.018
0.23,21.7,0.017
0.22,20.3,0.016
0.21,18.8,0.015
0.2,17.4,0.015
0.19,16.1,0.014
0.18,14.5,0.013
0.17,13.1,0.013
0.16,11.7,0.012
0.15,10.1,0.011
0.13,8.8,0.01
0.14,7.3,0.01
0.12,6.1,0.009
0.11,5,0.008
0.09,3.7,0.007
0.08,2.1,0.006
0.07,0.8,0.005
0.06,-0.7,0.005
0.05,-2,0.004
0.04,-3.3,0.003
0.03,-4.7,0.002
0.03,-6.2,0.002
0.02,-7.8,0.002
0.01,-9.4,0.001
0.01,-10.9,0.001
0.01,-12.3,0.001
0,-14,0
-0,-15.8,-0
-0.01,-17.4,-0.001
-0.02,-18.9,-0.002
-0.03,-20.2,-0.002
-0.03,-21.6,-0.002
-0.03,-22.8,-0.002
-0.04,-24.2,-0.003
-0.05,-25.5,-0.004
-0.05,-26.9,-0.004
-0.06,-28.7,-0.004
