Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
6.97,37.3,0.465
6.97,36,0.465
6.83,35.4,0.455
6.55,34.2,0.437
6.55,32.9,0.437
6.41,32.3,0.427
6.13,31,0.409
6.13,30.4,0.409
5.84,29.2,0.39
5.84,27.9,0.39
5.7,27.3,0.38
5.42,26,0.361
5.42,25.4,0.361
5.14,24.1,0.343
5.14,23.5,0.343
4.86,22.3,0.324
4.86,21,0.324
4.72,20.4,0.315
4.44,19.1,0.296
4.44,18.5,0.296
4.16,17.2,0.277
4.16,16.6,0.277
3.87,15.4,0.258
3.87,14.7,0.258
3.73,14.1,0.249
3.45,12.8,0.23
3.45,12.2,0.23
3.31,11.6,0.221
3.17,11,0.211
2.89,9.7,0.192
2.89,9.1,0.192
2.75,8.5,0.183
2.61,7.8,0.174
2.47,7.2,0.164
2.32,6.6,0.155
2.04,5.3,0.136
2.04,4.7,0.136
1.9,4.1,0.127
1.62,2.8,0.108
1.62,2.2,0.108
1.34,0.9,0.089
1.34,-0.3,0.089
1.2,-0.9,0.08
0.92,-2.2,0.061
0.92,-3.4,0.061
0.63,-4.7,0.042
0.63,-5.3,0.042
0.49,-6,0.033
0.49,-6.6,0.033
0.35,-7.2,0.023
0.35,-7.8,0.023
0.21,-8.5,0.014
0.21,-9.1,0.014
-0.07,-10.3,-0.005
-0.07,-11.6,-0.005
-0.35,-12.9,-0.024
-0.35,-14.1,-0.024
-0.64,-15.4,-0.042
-0.64,-16.6,-0.042
-0.78,-17.2,-0.052
-0.92,-17.9,-0.061
-0.92,-18.5,-0.061
-1.2,-19.8,-0.08
-1.2,-21,-0.08
-1.48,-22.3,-0.099
-1.48,-22.9,-0.099
-1.76,-24.1,-0.117
-1.76,-25.4,-0.117
-2.04,-26.7,-0.136
-2.04,-27.3,-0.136
-2.19,-27.9,-0.146
-2.19,-28.5,-0.146
-2.33,-29.2,-0.155
-2.33,-29.8,-0.155
-2.61,-31,-0.174
-2.61,-32.3,-0.174
-2.75,-32.9,-0.183
-3.03,-34.2,-0.202
-3.03,-34.8,-0.202
-3.17,-35.4,-0.211
-3.45,-36.7,-0.23
-3.45,-37.3,-0.23
-3.59,-37.9,-0.239
-3.73,-38.6,-0.249
-3.88,-39.2,-0.258
-4.02,-39.8,-0.268
-4.16,-40.4,-0.277
-4.44,-41.7,-0.296
-4.44,-42.3,-0.296
-4.58,-42.9,-0.305
-4.72,-43.6,-0.315
-4.86,-44.2,-0.324
-5,-44.8,-0.333
-5.14,-45.5,-0.343
-5.28,-46.1,-0.352
-5.42,-46.1,-0.361
-5.56,-46.7,-0.371
-5.7,-47.3,-0.38
-5.85,-48,-0.39
-5.99,-48.6,-0.399
-6.13,-49.2,-0.409
-6.27,-49.8,-0.418
-6.41,-50.5,-0.427
-6.69,-51.7,-0.446
-6.69,-52.4,-0.446
-6.83,-53,-0.455
-6.97,-53.6,-0.465
-7.25,-54.9,-0.484
-7.25,-55.5,-0.484
-7.39,-56.1,-0.493
-7.53,-56.7,-0.502
-7.68,-57.4,-0.512
-7.82,-58,-0.521
-7.96,-58.6,-0.531
-8.1,-58.6,-0.54
-8.24,-59.3,-0.549
-8.38,-59.3,-0.559
-8.52,-59.9,-0.568
-8.66,-60.5,-0.578
-8.8,-61.1,-0.587
-8.94,-61.1,-0.596
-9.08,-61.8,-0.606
-9.23,-62.4,-0.615
-9.37,-63,-0.624
-9.51,-63,-0.634
-9.65,-63.6,-0.643
-9.79,-64.3,-0.653
-9.93,-63.6,-0.662
-9.93,-59.9,-0.662
-9.79,-59.3,-0.653
-9.79,-57.4,-0.653
-9.65,-56.7,-0.643
-9.65,-56.1,-0.643
-9.51,-55.5,-0.634
-9.51,-54.2,-0.634
-9.23,-53,-0.615
-9.23,-52.4,-0.615
-8.94,-51.1,-0.596
-8.94,-49.8,-0.596
-8.8,-49.2,-0.587
-8.52,-48,-0.568
-8.52,-47.3,-0.568
-8.38,-46.7,-0.559
-8.24,-46.1,-0.549
-7.96,-44.8,-0.531
-7.96,-44.2,-0.531
-7.82,-43.6,-0.521
-7.53,-42.3,-0.502
-7.53,-41.7,-0.502
-7.39,-41.1,-0.493
-7.11,-39.8,-0.474
-7.11,-39.2,-0.474
-6.97,-38.6,-0.465
-6.69,-37.3,-0.446
-6.69,-36.7,-0.446
-6.55,-36,-0.437
-6.41,-35.4,-0.427
-6.13,-34.2,-0.409
-6.13,-33.5,-0.409
-5.99,-32.9,-0.399
-5.7,-31.7,-0.38
-5.7,-31,-0.38
-5.42,-29.8,-0.361
-5.42,-29.2,-0.361
-5.28,-28.5,-0.352
-5.14,-27.9,-0.343
-4.86,-26.7,-0.324
-4.86,-26,-0.324
-4.58,-24.8,-0.305
-4.58,-24.1,-0.305
-4.3,-22.9,-0.286
-4.3,-22.3,-0.286
-4.02,-21,-0.268
-4.02,-20.4,-0.268
-3.73,-19.1,-0.249
-3.73,-17.9,-0.249
-3.59,-17.2,-0.239
-3.31,-16,-0.221
-3.31,-14.7,-0.221
-3.17,-14.1,-0.211
-3.03,-13.5,-0.202
-3.03,-12.9,-0.202
-2.75,-11.6,-0.183
-2.75,-10.3,-0.183
-2.47,-9.1,-0.164
-2.47,-7.8,-0.164
-2.19,-6.6,-0.146
-2.19,-5.3,-0.146
-2.04,-4.7,-0.136
-1.9,-4.1,-0.127
-1.9,-3.4,-0.127
-1.76,-2.8,-0.117
-1.76,-2.2,-0.117
-1.62,-1.6,-0.108
-1.62,-0.9,-0.108
-1.48,-0.3,-0.099
NaN,NaN,NaN
-1.48,0.3,-0.099
-1.2,1.6,-0.08
-1.2,2.8,-0.08
-0.92,4.1,-0.061
-0.92,5.3,-0.061
-0.78,6,-0.052
-0.64,6.6,-0.042
-0.64,7.2,-0.042
-0.35,8.5,-0.024
-0.35,9.7,-0.024
-0.07,11,-0.005
-0.07,12.2,-0.005
0.21,13.5,0.014
0.21,14.1,0.014
0.49,15.4,0.033
0.49,16,0.033
0.63,16.6,0.042
0.92,17.9,0.061
0.92,18.5,0.061
1.06,19.1,0.07
1.34,20.4,0.089
1.34,21,0.089
1.48,21.6,0.099
1.48,21,0.099
1.48,21.6,0.099
1.76,22.9,0.117
1.76,23.5,0.117
1.9,24.1,0.127
2.18,25.4,0.146
2.18,26,0.146
2.47,27.3,0.164
2.47,27.9,0.164
2.75,29.2,0.183
2.75,29.8,0.183
2.89,30.4,0.192
3.17,31.7,0.211
3.17,32.3,0.211
3.31,32.9,0.221
3.45,33.5,0.23
3.73,34.8,0.249
3.73,35.4,0.249
3.87,36,0.258
4.02,36.7,0.268
4.16,37.3,0.277
4.3,37.9,0.286
4.58,39.2,0.305
4.58,39.8,0.305
4.86,41.1,0.324
4.86,41.7,0.324
5.14,42.9,0.343
5.14,43.6,0.343
5.28,44.2,0.352
5.56,45.4,0.371
5.56,46.1,0.371
5.84,47.3,0.39
5.84,48,0.39
5.99,48.6,0.399
6.27,49.8,0.418
6.27,50.5,0.418
6.55,51.7,0.437
6.55,52.3,0.437
6.83,53.6,0.455
6.83,54.2,0.455
6.97,54.9,0.465
7.25,56.1,0.484
7.25,56.7,0.484
7.39,57.4,0.493
7.67,58.6,0.512
7.67,59.2,0.512
7.81,59.9,0.521
7.96,60.5,0.531
8.1,61.1,0.54
8.38,62.4,0.559
8.38,63,0.559
8.52,63.6,0.568
8.66,64.3,0.578
8.8,64.9,0.587
8.94,65.5,0.596
9.08,66.1,0.606
9.22,66.8,0.615
9.36,67.4,0.624
9.65,68.7,0.643
9.65,69.3,0.643
9.79,69.9,0.652
9.93,70.5,0.662
10.07,69.9,0.671
10.07,67.4,0.671
9.93,66.8,0.662
9.93,64.9,0.662
9.79,64.3,0.652
9.79,61.8,0.652
9.65,61.1,0.643
9.65,58.6,0.643
9.51,58,0.634
9.51,56.7,0.634
9.36,56.1,0.624
9.36,54.9,0.624
9.22,54.2,0.615
9.22,53,0.615
9.08,52.3,0.606
9.08,51.1,0.606
8.8,49.8,0.587
8.8,48.6,0.587
8.52,47.3,0.568
8.52,46.1,0.568
8.24,44.8,0.549
8.24,43.6,0.549
8.1,42.9,0.54
7.81,41.7,0.521
7.81,41.1,0.521
7.53,39.8,0.502
7.53,38.5,0.502
7.39,37.9,0.493
7.11,36.7,0.474
7.11,35.4,0.474
6.97,34.8,0.465
6.69,33.5,0.446
6.69,32.9,0.446
6.41,31.7,0.427
6.41,30.4,0.427
6.27,29.8,0.418
5.99,28.5,0.399
5.99,27.9,0.399
5.7,26.6,0.38
5.7,26,0.38
5.42,24.8,0.361
5.42,23.5,0.361
5.28,22.9,0.352
5,21.6,0.333
5,21,0.333
4.72,19.7,0.315
4.72,19.1,0.315
4.58,18.5,0.305
4.3,17.2,0.286
4.3,16.6,0.286
4.02,15.4,0.268
4.02,14.7,0.268
3.87,14.1,0.258
3.59,12.8,0.239
3.59,12.2,0.239
3.45,11.6,0.23
3.31,11,0.221
3.03,9.7,0.202
3.03,9.1,0.202
2.89,8.5,0.192
2.75,7.8,0.183
2.61,7.2,0.174
2.47,6.6,0.164
2.32,6,0.155
2.04,4.7,0.136
2.04,4.1,0.136
1.76,2.8,0.117
1.76,2.2,0.117
1.48,0.9,0.099
1.48,0.3,0.099
1.2,-0.9,0.08
1.2,-2.2,0.08
1.06,-2.8,0.07
0.77,-4.1,0.052
0.77,-5.3,0.052
0.49,-6.6,0.033
0.49,-7.2,0.033
0.35,-7.8,0.023
0.35,-8.5,0.023
0.07,-9.7,0.005
0.07,-11,0.005
-0.07,-11.6,-0.005
-0.21,-12.2,-0.014
-0.21,-12.9,-0.014
-0.35,-13.5,-0.024
-0.35,-14.1,-0.024
-0.64,-15.4,-0.042
-0.64,-16.6,-0.042
-0.92,-17.9,-0.061
-0.92,-18.5,-0.061
-1.2,-19.8,-0.08
-1.2,-21,-0.08
-1.34,-21.6,-0.089
-1.62,-22.9,-0.108
-1.62,-24.1,-0.108
-1.76,-24.8,-0.117
-2.04,-26,-0.136
-2.04,-26.7,-0.136
-2.33,-27.9,-0.155
-2.33,-28.5,-0.155
-2.47,-29.2,-0.164
-2.47,-29.8,-0.164
-2.75,-31,-0.183
-2.75,-32.3,-0.183
-2.89,-32.9,-0.192
-3.03,-33.5,-0.202
-3.31,-34.8,-0.221
-3.31,-35.4,-0.221
-3.45,-36,-0.23
-3.73,-37.3,-0.249
-3.59,-37.3,-0.239
-3.73,-37.3,-0.249
-4.02,-38.6,-0.268
-4.02,-39.2,-0.268
-4.16,-39.8,-0.277
-4.3,-40.4,-0.286
-4.44,-41.1,-0.296
-4.58,-41.1,-0.305
-4.72,-41.7,-0.315
-4.86,-42.3,-0.324
-5,-42.9,-0.333
-5.14,-43.6,-0.343
-5.28,-44.2,-0.352
-5.42,-44.8,-0.361
-5.56,-45.5,-0.371
-5.7,-46.1,-0.38
-5.85,-46.7,-0.39
-5.99,-46.7,-0.399
-6.13,-47.3,-0.409
-6.27,-48,-0.418
-6.41,-48,-0.427
-6.55,-48.6,-0.437
-6.83,-49.8,-0.455
-6.83,-50.5,-0.455
-6.97,-51.1,-0.465
-7.11,-51.7,-0.474
-7.25,-52.4,-0.484
-7.39,-53,-0.493
-7.53,-53.6,-0.502
-7.68,-54.2,-0.512
-7.82,-54.9,-0.521
-7.96,-55.5,-0.531
-8.1,-56.1,-0.54
-8.24,-56.7,-0.549
-8.38,-57.4,-0.559
-8.52,-58,-0.568
-8.66,-58.6,-0.578
-8.8,-59.3,-0.587
-8.94,-59.9,-0.596
-9.08,-60.5,-0.606
-9.23,-61.1,-0.615
-9.37,-61.8,-0.624
-9.51,-62.4,-0.634
-9.65,-63,-0.643
-9.79,-63.6,-0.653
-9.93,-64.3,-0.662
-9.93,-60.5,-0.662
-9.79,-59.3,-0.653
-9.79,-57.4,-0.653
-9.65,-56.7,-0.643
-9.65,-55.5,-0.643
-9.51,-54.9,-0.634
-9.51,-53.6,-0.634
-9.23,-52.4,-0.615
-9.23,-51.7,-0.615
-8.94,-50.5,-0.596
-8.94,-49.8,-0.596
-8.66,-48.6,-0.578
-8.66,-48,-0.578
-8.38,-46.7,-0.559
-8.38,-46.1,-0.559
-8.1,-44.8,-0.54
-8.1,-44.2,-0.54
-7.96,-43.6,-0.531
-7.68,-42.3,-0.512
-7.68,-41.7,-0.512
-7.39,-40.4,-0.493
-7.39,-39.8,-0.493
-7.25,-39.2,-0.484
-6.97,-37.9,-0.465
-6.97,-37.3,-0.465
-6.69,-36,-0.446
-6.69,-35.4,-0.446
-6.55,-34.8,-0.437
-6.41,-34.2,-0.427
-6.13,-32.9,-0.409
-6.13,-32.3,-0.409
-5.99,-31.7,-0.399
-5.85,-31,-0.39
-5.56,-29.8,-0.371
-5.56,-29.2,-0.371
-5.42,-28.5,-0.361
-5.28,-27.9,-0.352
-5,-26.7,-0.333
-5,-26,-0.333
-4.86,-25.4,-0.324
-4.58,-24.1,-0.305
-4.58,-23.5,-0.305
-4.3,-22.3,-0.286
-4.3,-21.6,-0.286
-4.02,-20.4,-0.268
-4.02,-19.8,-0.268
-3.73,-18.5,-0.249
-3.73,-17.2,-0.249
-3.59,-16.6,-0.239
-3.31,-15.4,-0.221
-3.31,-14.1,-0.221
-3.17,-13.5,-0.211
-2.89,-12.2,-0.192
-2.89,-11,-0.192
-2.61,-9.7,-0.174
-2.61,-8.5,-0.174
-2.47,-7.8,-0.164
-2.19,-6.6,-0.146
-2.19,-5.3,-0.146
-1.9,-4.1,-0.127
-1.9,-2.8,-0.127
-1.62,-1.6,-0.108
-1.62,-0.9,-0.108
-1.48,-0.3,-0.099
-1.48,0.3,-0.099
NaN,NaN,NaN
-1.48,0.3,-0.099
-1.2,1.6,-0.08
-1.2,2.8,-0.08
-0.92,4.1,-0.061
-0.92,5.3,-0.061
-0.78,6,-0.052
-0.49,7.2,-0.033
-0.49,8.5,-0.033
-0.21,9.7,-0.014
-0.21,11,-0.014
-0.07,11.6,-0.005
0.21,12.8,0.014
0.21,13.5,0.014
0.49,14.7,0.033
0.49,16,0.033
0.63,16.6,0.042
0.77,17.2,0.052
0.92,17.9,0.061
1.2,19.1,0.08
1.2,19.7,0.08
1.34,20.4,0.089
1.48,21,0.099
1.76,22.3,0.117
1.76,22.9,0.117
1.9,23.5,0.127
2.18,24.8,0.146
2.18,25.4,0.146
2.32,26,0.155
2.61,27.3,0.174
2.61,27.9,0.174
2.75,28.5,0.183
3.03,29.8,0.202
3.03,30.4,0.202
3.17,31,0.211
3.45,32.3,0.23
3.45,32.9,0.23
3.59,33.5,0.239
3.73,34.2,0.249
3.87,34.8,0.258
4.16,36,0.277
4.16,36.7,0.277
4.3,37.3,0.286
4.44,37.9,0.296
4.58,38.5,0.305
4.72,39.2,0.315
4.86,39.8,0.324
5.14,41.1,0.343
5.14,41.7,0.343
5.28,42.3,0.352
5.56,43.6,0.371
5.56,44.2,0.371
5.84,45.4,0.39
5.84,46.1,0.39
5.99,46.7,0.399
6.27,48,0.418
6.27,48.6,0.418
6.41,49.2,0.427
6.69,50.5,0.446
6.69,51.1,0.446
6.97,52.3,0.465
6.97,53,0.465
7.11,53.6,0.474
7.39,54.9,0.493
7.39,55.5,0.493
7.67,56.7,0.512
7.67,57.4,0.512
7.81,58,0.521
7.96,58.6,0.531
8.1,59.2,0.54
8.38,60.5,0.559
8.38,61.1,0.559
8.52,61.8,0.568
8.66,62.4,0.578
8.8,63,0.587
9.08,64.3,0.606
9.08,64.9,0.606
9.22,65.5,0.615
9.36,66.1,0.624
9.51,66.8,0.634
9.79,68,0.652
9.79,68.7,0.652
9.93,69.3,0.662
10.07,69.9,0.671
10.07,66.1,0.671
9.93,65.5,0.662
9.93,67.4,0.662
9.93,61.8,0.662
9.79,61.1,0.652
9.79,58.6,0.652
9.65,58,0.643
9.65,56.7,0.643
9.51,56.1,0.634
9.51,54.2,0.634
9.36,53.6,0.624
9.36,52.3,0.624
9.22,51.7,0.615
9.22,50.5,0.615
9.08,49.8,0.606
9.08,49.2,0.606
8.94,48.6,0.596
8.94,48,0.596
8.8,47.3,0.587
8.8,46.7,0.587
8.66,46.1,0.578
8.66,45.4,0.578
8.52,44.8,0.568
8.52,44.2,0.568
8.38,43.6,0.559
8.38,42.9,0.559
8.24,42.3,0.549
8.24,41.7,0.549
7.96,40.4,0.531
7.96,39.8,0.531
7.67,38.5,0.512
7.67,37.3,0.512
7.53,36.7,0.502
7.25,35.4,0.484
7.25,34.2,0.484
7.11,33.5,0.474
6.83,32.3,0.455
6.83,31.7,0.455
6.55,30.4,0.437
6.55,29.8,0.437
6.27,28.5,0.418
6.27,27.3,0.418
6.13,26.6,0.409
5.84,25.4,0.39
5.84,24.8,0.39
5.56,23.5,0.371
5.56,22.9,0.371
5.42,22.3,0.361
5.14,21,0.343
5.14,20.4,0.343
5,19.7,0.333
4.72,18.5,0.315
4.72,17.9,0.315
4.44,16.6,0.296
4.44,16,0.296
4.3,15.4,0.286
4.02,14.1,0.268
4.02,13.5,0.268
3.87,12.8,0.258
3.73,12.2,0.249
3.45,11,0.23
3.45,10.3,0.23
3.31,9.7,0.221
3.17,9.1,0.211
3.03,8.5,0.202
2.89,7.8,0.192
2.75,7.2,0.183
2.61,6.6,0.174
2.32,5.3,0.155
2.32,4.7,0.155
2.18,4.1,0.146
1.9,2.8,0.127
1.9,2.2,0.127
1.62,0.9,0.108
1.62,0.3,0.108
1.34,-0.9,0.089
1.34,-1.6,0.089
1.06,-2.8,0.07
1.06,-3.4,0.07
0.77,-4.7,0.052
0.77,-6,0.052
0.49,-7.2,0.033
0.49,-7.8,0.033
0.35,-8.5,0.023
0.35,-9.1,0.023
0.07,-10.3,0.005
0.07,-11.6,0.005
-0.07,-12.2,-0.005
-0.35,-13.5,-0.024
-0.35,-14.7,-0.024
-0.64,-16,-0.042
-0.64,-16.6,-0.042
-0.92,-17.9,-0.061
-0.92,-19.1,-0.061
-1.06,-19.8,-0.07
-1.34,-21,-0.089
-1.34,-21.6,-0.089
-1.62,-22.9,-0.108
-1.62,-23.5,-0.108
-1.9,-24.8,-0.127
-1.9,-25.4,-0.127
-2.19,-26.7,-0.146
-2.19,-27.3,-0.146
-2.47,-28.5,-0.164
-2.47,-29.2,-0.164
-2.75,-30.4,-0.183
-2.75,-31.7,-0.183
-2.89,-32.3,-0.192
-3.17,-33.5,-0.211
-3.17,-34.2,-0.211
-3.31,-34.8,-0.221
-3.45,-35.4,-0.23
-3.59,-36,-0.239
-3.88,-37.3,-0.258
-3.88,-37.9,-0.258
-4.02,-38.6,-0.268
-4.16,-39.2,-0.277
-4.3,-39.8,-0.286
-4.44,-40.4,-0.296
-4.58,-40.4,-0.305
-4.72,-41.1,-0.315
-4.86,-41.7,-0.324
-5,-42.3,-0.333
-5.14,-42.9,-0.343
-5.28,-43.6,-0.352
-5.42,-44.2,-0.361
-5.56,-44.8,-0.371
-5.7,-45.5,-0.38
-5.85,-45.5,-0.39
-5.99,-46.1,-0.399
-6.13,-46.7,-0.409
-6.27,-47.3,-0.418
-6.41,-47.3,-0.427
-6.55,-48,-0.437
-6.69,-48.6,-0.446
-6.83,-49.2,-0.455
-6.97,-49.8,-0.465
-7.11,-50.5,-0.474
-7.25,-51.1,-0.484
-7.39,-51.7,-0.493
-7.53,-52.4,-0.502
-7.68,-53,-0.512
-7.82,-53.6,-0.521
-7.96,-54.2,-0.531
-8.1,-54.9,-0.54
-8.24,-55.5,-0.549
-8.38,-56.1,-0.559
-8.52,-56.7,-0.568
-8.66,-57.4,-0.578
-8.8,-58,-0.587
-8.94,-58.6,-0.596
-9.08,-59.3,-0.606
-9.23,-59.9,-0.615
-9.37,-60.5,-0.624
-9.65,-61.8,-0.643
-9.65,-62.4,-0.643
-9.79,-63,-0.653
-9.93,-63.6,-0.662
-9.93,-57.4,-0.662
-9.79,-56.7,-0.653
-9.79,-54.9,-0.653
-9.65,-54.2,-0.643
-9.65,-53.6,-0.643
-9.51,-53,-0.634
-9.51,-51.7,-0.634
-9.37,-51.1,-0.624
-9.08,-49.8,-0.606
-9.08,-48.6,-0.606
-8.94,-48,-0.596
-8.66,-46.7,-0.578
-8.66,-46.1,-0.578
-8.38,-44.8,-0.559
-8.38,-44.2,-0.559
-8.1,-42.9,-0.54
-8.1,-42.3,-0.54
-7.96,-41.7,-0.531
-7.68,-40.4,-0.512
-7.68,-39.8,-0.512
-7.53,-39.2,-0.502
-7.25,-37.9,-0.484
-7.25,-37.3,-0.484
-7.11,-36.7,-0.474
-6.97,-36,-0.465
-6.69,-34.8,-0.446
-6.69,-34.2,-0.446
-6.55,-33.5,-0.437
-6.27,-32.3,-0.418
-6.27,-31.7,-0.418
-6.13,-31,-0.409
-5.99,-30.4,-0.399
-5.85,-29.8,-0.39
-5.7,-29.2,-0.38
-5.56,-28.5,-0.371
-5.28,-27.3,-0.352
-5.28,-26.7,-0.352
-5.14,-26,-0.343
-4.86,-24.8,-0.324
-4.86,-24.1,-0.324
-4.72,-23.5,-0.315
-4.44,-22.3,-0.296
-4.44,-21.6,-0.296
-4.16,-20.4,-0.277
-4.16,-19.8,-0.277
-3.88,-18.5,-0.258
-3.88,-17.2,-0.258
-3.73,-16.6,-0.249
-3.59,-16,-0.239
-3.31,-14.7,-0.221
-3.31,-13.5,-0.221
-3.17,-12.9,-0.211
-3.03,-12.2,-0.202
-3.03,-11.6,-0.202
-2.75,-10.3,-0.183
-2.75,-9.1,-0.183
-2.61,-8.5,-0.174
-2.47,-7.8,-0.164
-2.47,-7.2,-0.164
-2.19,-6,-0.146
-2.19,-4.7,-0.146
-2.04,-4.1,-0.136
-1.9,-3.4,-0.127
-1.9,-2.8,-0.127
-1.62,-1.6,-0.108
-1.62,-0.3,-0.108
-1.48,-0.3,-0.099
NaN,NaN,NaN
-1.34,0.9,-0.089
-1.34,1.6,-0.089
-1.06,2.8,-0.07
-1.06,4.1,-0.07
-0.78,5.3,-0.052
-0.78,6,-0.052
-0.49,7.2,-0.033
-0.49,8.5,-0.033
-0.21,9.7,-0.014
-0.21,10.3,-0.014
0.07,11.6,0.005
0.07,12.8,0.005
0.21,13.5,0.014
0.49,14.7,0.033
0.49,15.4,0.033
0.63,16,0.042
0.92,17.2,0.061
0.92,17.9,0.061
1.06,18.5,0.07
1.2,19.1,0.08
1.34,19.7,0.089
1.48,20.4,0.099
1.76,21.6,0.117
1.76,22.3,0.117
1.9,22.9,0.127
2.18,24.1,0.146
2.18,24.8,0.146
2.32,25.4,0.155
2.47,26,0.164
2.75,27.3,0.183
2.75,27.9,0.183
2.89,28.5,0.192
3.03,29.2,0.202
3.31,30.4,0.221
3.31,31,0.221
3.45,31.7,0.23
3.59,32.3,0.239
3.87,33.5,0.258
3.87,34.2,0.258
4.02,34.8,0.268
4.16,35.4,0.277
4.3,36,0.286
4.44,36.7,0.296
4.58,37.3,0.305
4.72,37.9,0.315
5,39.2,0.333
5,39.8,0.333
5.14,40.4,0.343
5.28,41.1,0.352
5.42,41.7,0.361
5.56,42.3,0.371
5.84,43.6,0.39
5.84,44.2,0.39
5.99,44.8,0.399
6.27,46.1,0.418
6.27,46.7,0.418
6.55,48,0.437
6.55,48.6,0.437
6.69,49.2,0.446
6.97,50.5,0.465
6.97,51.1,0.465
7.25,52.3,0.484
7.25,53,0.484
7.39,53.6,0.493
7.67,54.9,0.512
7.67,55.5,0.512
7.81,56.1,0.521
7.96,56.7,0.531
8.24,58,0.549
8.24,58.6,0.549
8.38,59.2,0.559
8.66,60.5,0.578
8.66,61.1,0.578
8.8,61.8,0.587
8.94,62.4,0.596
9.08,63,0.606
9.36,64.3,0.624
9.36,64.9,0.624
9.65,66.1,0.643
9.65,66.8,0.643
9.79,67.4,0.652
10.07,68.7,0.671
10.07,69.3,0.671
10.21,69.9,0.681
10.35,70.5,0.69
10.49,71.2,0.7
10.63,71.8,0.709
10.77,71.8,0.718
10.92,72.4,0.728
11.06,73,0.737
11.2,73.7,0.746
11.34,74.3,0.756
11.48,74.3,0.765
11.62,74.9,0.775
11.76,75.5,0.784
11.9,76.2,0.794
12.04,76.2,0.803
12.18,76.8,0.812
12.04,77.4,0.803
12.04,78,0.803
12.18,78.7,0.812
12.18,79.3,0.812
12.32,78.7,0.822
12.47,79.3,0.831
12.61,78.7,0.84
12.61,78,0.84
12.47,77.4,0.831
12.47,74.3,0.831
12.32,73,0.822
12.32,71.2,0.822
12.18,70.5,0.812
12.18,68,0.812
12.04,67.4,0.803
12.04,65.5,0.803
11.9,64.9,0.794
11.9,63,0.794
11.76,62.4,0.784
11.76,61.1,0.784
11.62,60.5,0.775
11.62,59.2,0.775
11.34,58,0.756
11.34,56.7,0.756
11.06,55.5,0.737
11.06,54.2,0.737
10.77,53,0.718
10.77,51.7,0.718
10.49,50.5,0.7
10.49,49.8,0.7
10.21,48.6,0.681
10.21,48,0.681
9.93,46.7,0.662
9.93,45.4,0.662
9.79,44.8,0.652
9.51,43.6,0.634
9.51,42.9,0.634
9.36,42.3,0.624
9.08,41.1,0.606
9.08,40.4,0.606
8.8,39.2,0.587
8.8,38.5,0.587
8.66,37.9,0.578
8.38,36.7,0.559
8.38,36,0.559
8.1,34.8,0.54
8.1,34.2,0.54
7.96,33.5,0.531
7.67,32.3,0.512
7.67,31.7,0.512
7.53,31,0.502
7.25,29.8,0.484
7.25,29.2,0.484
7.11,28.5,0.474
6.83,27.3,0.455
6.83,26.6,0.455
6.55,25.4,0.437
6.55,24.8,0.437
6.41,24.1,0.427
6.13,22.9,0.409
6.13,22.3,0.409
5.99,21.6,0.399
5.84,21,0.39
5.7,20.4,0.38
5.42,19.1,0.361
5.42,18.5,0.361
5.28,17.9,0.352
5.14,17.2,0.343
5,16.6,0.333
4.86,16,0.324
4.72,15.4,0.315
4.44,14.1,0.296
4.44,13.5,0.296
4.3,12.8,0.286
4.16,12.2,0.277
4.02,11.6,0.268
3.87,11,0.258
3.73,10.3,0.249
3.59,9.7,0.239
3.45,9.1,0.23
3.31,8.5,0.221
3.17,7.8,0.211
3.03,7.2,0.202
2.89,6.6,0.192
2.75,6,0.183
2.47,4.7,0.164
2.47,4.1,0.164
2.32,3.4,0.155
2.04,2.2,0.136
2.04,1.6,0.136
1.9,0.9,0.127
1.62,-0.3,0.108
1.62,-0.9,0.108
1.34,-2.2,0.089
1.34,-2.8,0.089
1.06,-4.1,0.07
1.06,-4.7,0.07
0.77,-6,0.052
0.77,-6.6,0.052
0.49,-7.8,0.033
0.49,-8.5,0.033
0.21,-9.7,0.014
0.21,-11,0.014
0.07,-11.6,0.005
-0.21,-12.9,-0.014
-0.21,-13.5,-0.014
-0.49,-14.7,-0.033
-0.49,-15.4,-0.033
-0.78,-16.6,-0.052
-0.78,-17.2,-0.052
-1.06,-18.5,-0.07
-1.06,-19.1,-0.07
-1.34,-20.4,-0.089
-1.34,-21,-0.089
-1.48,-21.6,-0.099
-1.76,-22.9,-0.117
-1.76,-24.1,-0.117
-1.9,-24.8,-0.127
-2.04,-25.4,-0.136
-2.33,-26.7,-0.155
-2.33,-27.3,-0.155
-2.47,-27.9,-0.164
-2.75,-29.2,-0.183
-2.75,-29.8,-0.183
-2.89,-30.4,-0.192
-3.17,-31.7,-0.211
-3.17,-32.3,-0.211
-3.31,-32.9,-0.221
-3.45,-33.5,-0.23
-3.59,-34.2,-0.239
-3.73,-34.8,-0.249
-3.88,-35.4,-0.258
-4.02,-36,-0.268
-4.16,-36.7,-0.277
-4.3,-37.3,-0.286
-4.44,-37.9,-0.296
-4.58,-38.6,-0.305
-4.72,-39.2,-0.315
-4.86,-39.8,-0.324
-5,-40.4,-0.333
-5.14,-41.1,-0.343
-5.28,-41.7,-0.352
-5.42,-42.3,-0.361
-5.56,-42.9,-0.371
-5.7,-43.6,-0.38
-5.85,-44.2,-0.39
