Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.03,53.7,0.002
0.02,54.1,0.002
0.02,54.6,0.002
0.02,55.6,0.002
0.03,57.1,0.002
0.04,58.2,0.003
0.04,58.9,0.003
0.05,59.3,0.004
0.05,60.4,0.004
0.06,61.4,0.005
0.06,62.2,0.005
0.06,62.4,0.005
0.07,63,0.005
0.07,63.7,0.005
0.08,65,0.006
0.09,66.2,0.007
0.09,66.7,0.007
0.08,67.3,0.007
0.08,67.9,0.006
0.08,68.5,0.006
0.09,69.2,0.007
0.09,69.7,0.007
0.09,70.4,0.007
0.1,70.9,0.008
0.1,71.4,0.008
0.1,71.8,0.008
0.11,72.6,0.008
0.11,73.5,0.009
0.11,73.6,0.009
0.11,73.5,0.009
0.11,73.7,0.009
0.12,74.4,0.009
0.13,75.2,0.01
0.12,76,0.01
0.12,76.2,0.009
0.11,76.2,0.009
0.11,76.1,0.009
0.11,76.7,0.008
0.11,77.6,0.009
0.11,78.1,0.009
0.11,78.6,0.009
0.11,78.7,0.009
0.11,79,0.009
0.12,79.3,0.009
0.12,79.4,0.009
0.12,79.3,0.009
0.12,79.2,0.01
0.12,79.1,0.01
0.14,79.5,0.011
0.14,80.2,0.011
0.14,80.6,0.011
0.13,80.6,0.01
0.13,80.7,0.01
0.13,81.1,0.01
0.13,81.3,0.01
0.13,81.4,0.01
0.13,81.2,0.01
0.13,81,0.01
0.13,81,0.01
0.14,81.6,0.011
0.14,81.9,0.011
0.14,81.6,0.011
0.14,81.3,0.011
0.14,81.2,0.011
0.14,81,0.011
0.16,80.5,0.012
0.15,80.3,0.012
0.15,80.1,0.012
0.14,80.1,0.011
0.14,80.3,0.011
0.13,80.9,0.011
0.14,81.5,0.011
0.14,81.6,0.011
0.14,81.3,0.011
0.14,80.3,0.011
0.15,78.5,0.012
0.15,76.7,0.012
0.15,75.5,0.012
0.16,74.8,0.012
0.16,74.2,0.012
0.16,73.3,0.013
0.17,72.5,0.013
0.18,71.2,0.015
0.18,69.6,0.014
0.18,68.2,0.014
0.18,66.8,0.015
0.19,65.5,0.015
0.19,63.9,0.015
0.2,61.6,0.016
0.21,59,0.017
0.22,55.8,0.018
0.23,52.4,0.018
0.23,49.2,0.018
0.23,47,0.018
0.23,45.6,0.018
0.23,44.5,0.018
0.23,43.7,0.018
0.23,43,0.018
0.24,42.5,0.019
0.24,41.8,0.019
0.23,41.2,0.018
0.23,40.8,0.018
0.22,40.6,0.018
0.22,40,0.017
0.22,39.4,0.017
0.22,38.7,0.017
0.21,37.7,0.017
0.21,36.7,0.016
0.21,36,0.016
0.2,35.3,0.016
0.2,34.8,0.016
0.2,34.3,0.016
0.2,33.2,0.015
0.19,32.1,0.015
0.19,31.3,0.015
0.2,30.6,0.016
0.2,30.1,0.016
0.19,29.5,0.015
0.18,28.5,0.014
0.17,27.6,0.014
0.17,26.8,0.013
0.17,25.8,0.013
0.17,24.9,0.013
0.17,24.1,0.013
0.16,23.3,0.013
0.16,22.4,0.013
0.16,21.7,0.013
0.16,20.7,0.013
0.16,19.7,0.012
0.16,18.9,0.012
0.15,17.7,0.012
0.15,16.6,0.012
0.17,15.8,0.013
0.16,14.7,0.012
0.15,13.5,0.012
0.14,12.5,0.011
0.14,11.8,0.011
0.14,11,0.011
0.14,10,0.011
0.14,9.1,0.011
0.14,8,0.011
0.13,6.7,0.01
0.13,5.6,0.01
0.13,4.8,0.01
0.12,4,0.01
0.12,3.2,0.009
0.12,2.4,0.009
0.11,1.8,0.009
0.12,1.2,0.009
0.12,0.8,0.01
0.11,0.3,0.009
0.11,0,0.008
0.1,-0.2,0.008
0.1,-0.4,0.008
0.1,-0.5,0.008
0.1,-0.7,0.008
0.09,-1.4,0.007
0.09,-3.7,0.007
0.07,-7.5,0.006
0.06,-11.2,0.004
0.05,-14.1,0.004
0.05,-15.9,0.004
0.05,-17.6,0.004
0.04,-19,0.003
0.05,-19.9,0.004
0.06,-20.6,0.005
0.06,-21.2,0.005
0.06,-21.7,0.004
0.05,-22.6,0.004
0.05,-23.7,0.004
0.05,-25,0.004
0.04,-26.5,0.003
0.04,-27.8,0.003
0.04,-28.9,0.003
0.03,-29.9,0.002
0.03,-31.1,0.002
0.02,-32.3,0.002
0.02,-33.3,0.002
0.02,-34.5,0.001
0.01,-35.7,0.001
0.01,-36.8,0.001
0.01,-37.9,0.001
0.02,-39.2,0.002
0.01,-40.3,0.001
0.01,-40.9,0
-0,-41.5,-0
-0.01,-42.2,-0.001
-0.01,-43,-0.001
-0.01,-44.2,-0.001
-0.02,-45.4,-0.001
-0.02,-46.5,-0.002
-0.02,-47.8,-0.002
-0.03,-48.8,-0.002
-0.03,-49.6,-0.002
-0.03,-50.3,-0.003
-0.04,-51.3,-0.003
-0.04,-52.4,-0.003
-0.05,-53.5,-0.004
-0.05,-54.6,-0.004
-0.04,-55.9,-0.003
-0.05,-56.9,-0.004
-0.06,-57.8,-0.005
-0.06,-58.3,-0.005
-0.07,-58.7,-0.005
-0.07,-59.2,-0.006
-0.07,-60.2,-0.006
-0.07,-61.1,-0.006
-0.07,-62,-0.006
-0.08,-62.8,-0.006
-0.08,-63.4,-0.006
-0.08,-64.1,-0.006
-0.08,-64.9,-0.006
-0.08,-65.4,-0.006
-0.08,-66.1,-0.007
-0.08,-67.2,-0.007
-0.08,-68.4,-0.006
-0.08,-69.3,-0.006
-0.09,-69.9,-0.007
-0.1,-70.2,-0.008
-0.11,-70.4,-0.008
-0.11,-71,-0.009
-0.11,-71.6,-0.009
-0.12,-72,-0.009
-0.12,-72.3,-0.009
-0.12,-72.9,-0.01
-0.13,-73.5,-0.01
-0.13,-74.2,-0.01
-0.13,-75,-0.01
-0.14,-75.8,-0.011
-0.14,-75.9,-0.011
-0.14,-75.8,-0.011
-0.13,-75.8,-0.011
-0.13,-76.5,-0.01
-0.13,-77.5,-0.01
-0.14,-78,-0.011
-0.15,-78.2,-0.011
-0.15,-78.3,-0.012
-0.16,-78.4,-0.012
-0.16,-78.8,-0.012
-0.16,-79.5,-0.012
-0.16,-79.6,-0.013
-0.16,-79.6,-0.013
-0.16,-79.8,-0.013
-0.16,-80.3,-0.013
-0.16,-80.9,-0.013
-0.16,-81.6,-0.013
-0.17,-81.7,-0.013
-0.17,-81.3,-0.013
-0.16,-80.8,-0.013
-0.15,-80.7,-0.012
-0.16,-81.3,-0.012
-0.17,-82.2,-0.013
-0.18,-82.7,-0.014
-0.18,-82.5,-0.014
-0.18,-82,-0.014
-0.18,-81.7,-0.014
-0.18,-81.9,-0.014
-0.18,-82.9,-0.014
-0.18,-83.6,-0.014
-0.18,-84,-0.014
-0.19,-83.8,-0.015
-0.19,-82.7,-0.015
-0.19,-81.7,-0.015
-0.19,-80.7,-0.015
-0.2,-80,-0.015
-0.19,-80,-0.015
-0.18,-79.6,-0.014
-0.19,-79.3,-0.015
-0.2,-79.3,-0.016
-0.2,-79.3,-0.016
-0.2,-79.3,-0.016
-0.2,-79.4,-0.016
-0.2,-79.3,-0.016
-0.2,-79.4,-0.016
-0.2,-79.8,-0.016
-0.2,-80.1,-0.016
-0.2,-80.1,-0.015
-0.2,-80.1,-0.016
-0.2,-80.2,-0.015
-0.2,-80,-0.015
-0.2,-79.6,-0.015
-0.2,-79.1,-0.016
-0.19,-79,-0.015
-0.18,-78.9,-0.015
-0.19,-78.5,-0.015
-0.2,-77.7,-0.016
-0.2,-76.6,-0.016
-0.21,-75.7,-0.016
-0.21,-75.2,-0.016
-0.21,-74.4,-0.016
-0.22,-73.1,-0.017
-0.21,-71.8,-0.017
-0.22,-70.9,-0.017
-0.22,-69.4,-0.017
-0.22,-67.7,-0.017
-0.22,-66.1,-0.018
-0.23,-64.4,-0.018
-0.23,-62.7,-0.018
-0.23,-61.1,-0.018
-0.22,-59.3,-0.017
-0.23,-56.8,-0.018
-0.24,-54.1,-0.019
-0.24,-51.7,-0.019
-0.24,-49.8,-0.019
-0.24,-49,-0.019
-0.24,-48.5,-0.019
-0.24,-48,-0.019
-0.24,-47.7,-0.019
-0.24,-47.1,-0.019
-0.23,-46.4,-0.018
-0.23,-45.7,-0.018
-0.23,-45.1,-0.018
-0.23,-44.4,-0.018
-0.23,-44,-0.018
-0.23,-43.2,-0.018
-0.22,-42.1,-0.017
-0.21,-41,-0.016
-0.22,-40.6,-0.017
-0.22,-40.1,-0.018
-0.23,-39.2,-0.018
-0.23,-38.1,-0.018
-0.22,-37.2,-0.018
-0.22,-36.4,-0.018
-0.22,-35.7,-0.017
-0.22,-35.1,-0.017
-0.21,-34.2,-0.017
-0.21,-33.4,-0.016
-0.21,-32.7,-0.016
-0.2,-31.8,-0.016
-0.2,-30.7,-0.016
-0.19,-29.7,-0.015
-0.19,-28.8,-0.015
-0.17,-27.6,-0.014
-0.17,-26.5,-0.013
-0.18,-25.6,-0.014
-0.18,-24.9,-0.014
-0.18,-24.1,-0.014
-0.19,-23,-0.015
-0.18,-21.9,-0.014
-0.17,-21,-0.014
-0.17,-20.1,-0.014
-0.17,-19,-0.013
-0.17,-18,-0.013
-0.16,-17,-0.013
-0.16,-15.8,-0.012
-0.15,-14.7,-0.012
-0.15,-13.6,-0.012
-0.15,-12.7,-0.012
-0.14,-11.7,-0.011
-0.13,-10.4,-0.01
-0.13,-9,-0.01
-0.13,-7.8,-0.01
-0.13,-6.7,-0.011
-0.13,-5.7,-0.011
-0.13,-4.9,-0.01
-0.13,-3.9,-0.01
-0.13,-2.9,-0.01
-0.12,-2,-0.01
-0.12,-1.4,-0.01
-0.12,-0.9,-0.01
-0.12,-0.7,-0.01
-0.13,-0.5,-0.01
-0.13,-0.3,-0.01
-0.12,-0.2,-0.01
-0.13,0.1,-0.01
-0.12,0.7,-0.01
-0.11,1.5,-0.009
-0.12,3.2,-0.009
-0.12,6.7,-0.009
-0.12,11,-0.009
-0.11,14.2,-0.009
-0.1,16.8,-0.008
-0.09,18.5,-0.007
-0.08,18.9,-0.006
-0.08,18.7,-0.006
-0.08,18.5,-0.006
-0.08,19.1,-0.006
-0.07,20.7,-0.006
-0.06,22.6,-0.005
-0.05,24.2,-0.004
-0.05,25.5,-0.004
-0.04,26.6,-0.003
-0.03,27.6,-0.002
-0.02,28.6,-0.002
-0.03,29.6,-0.002
-0.03,30.7,-0.003
-0.04,31.4,-0.003
-0.04,32.3,-0.003
-0.04,33.6,-0.003
-0.03,34.8,-0.002
-0.03,35.5,-0.002
-0.03,36.8,-0.002
-0.02,38.2,-0.002
-0.02,39.1,-0.002
-0.02,40,-0.001
-0.01,40.8,-0.001
-0.01,41.8,-0.001
-0.01,43.2,-0.001
-0.01,44.4,-0.001
0.01,45.8,0.001
0.01,47.1,0.001
0.01,48.4,0.001
0.01,49.3,0.001
0.01,49.7,0.001
0.01,49.8,0.001
0.02,50.7,0.001
0.02,52,0.002
0.03,53.4,0.002
0.04,54.7,0.003
0.04,55.7,0.004
0.05,56.1,0.004
0.05,56.4,0.004
0.05,57.3,0.004
0.06,58.4,0.004
0.06,59.2,0.005
0.07,59.7,0.005
0.08,60.2,0.006
0.08,61.2,0.006
0.08,62.7,0.006
0.08,63.5,0.006
0.08,64.1,0.006
0.08,64.9,0.006
0.08,65.6,0.006
0.08,66.5,0.007
