Test unit,T2-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.01,67,0.081
0.97,62.3,0.078
0.95,60.4,0.076
0.92,58.5,0.074
0.89,56.4,0.071
0.85,53.5,0.068
0.79,49.5,0.063
0.73,46,0.058
0.65,41.6,0.052
0.59,37.9,0.047
0.51,33.2,0.041
0.44,27.9,0.035
0.35,23.5,0.028
0.32,21.3,0.026
0.17,10.6,0.014
0.09,5.3,0.007
0,-0.6,0
-0.1,-6.3,-0.008
-0.18,-11.9,-0.015
-0.27,-17.2,-0.021
-0.35,-22.5,-0.028
-0.44,-26.9,-0.035
-0.51,-31.6,-0.041
-0.59,-35.1,-0.047
-0.66,-38.8,-0.053
-0.72,-41.6,-0.057
-0.77,-43.8,-0.062
-0.82,-46.3,-0.066
-0.87,-47.9,-0.069
-0.9,-49.5,-0.072
-0.92,-50.4,-0.074
-0.93,-50.7,-0.075
-0.94,-51.3,-0.075
-0.95,-50.4,-0.076
-0.95,-47,-0.076
-0.92,-43.5,-0.074
-0.9,-42.3,-0.072
-0.87,-40.4,-0.069
-0.82,-37.9,-0.066
-0.78,-35.1,-0.063
-0.73,-32.2,-0.058
-0.66,-28.8,-0.053
-0.6,-23.8,-0.048
-0.52,-19.4,-0.042
-0.45,-15,-0.036
-0.36,-10,-0.029
-0.29,-4.7,-0.023
-0.19,0.6,-0.015
-0.11,6.3,-0.009
-0.03,11.6,-0.003
0.03,14.4,0.003
0.01,9.7,0.001
0.01,11.9,0.001
0.02,14.1,0.002
0.02,11.3,0.002
0.02,12.8,0.002
0.02,12.5,0.002
0.03,12.5,0.003
0.02,12.2,0.002
0.02,11.6,0.002
0.06,17.2,0.005
0.15,22.5,0.012
0.36,36,0.029
0.49,43.5,0.039
0.62,50.4,0.05
0.74,57.3,0.059
0.86,63.6,0.069
0.96,68.6,0.077
1.06,73.3,0.085
1.16,76.4,0.093
1.24,79.2,0.099
1.31,81.1,0.104
1.37,83,0.11
1.42,83.9,0.114
1.46,84.2,0.116
1.48,84.8,0.118
1.5,84.2,0.12
1.5,84.2,0.12
1.49,79.5,0.119
1.46,77.3,0.116
1.41,75.4,0.113
1.36,72.6,0.109
1.31,69.5,0.104
1.24,65.4,0.099
1.15,61,0.092
1.06,56.7,0.085
0.95,50.4,0.076
0.85,44.8,0.068
0.73,38.2,0.058
0.62,30.7,0.05
0.49,23.2,0.039
0.37,17.2,0.03
0.21,6.9,0.017
0.09,-0.9,0.007
-0.05,-8.8,-0.004
-0.19,-16.3,-0.015
-0.32,-24.1,-0.026
-0.45,-31,-0.036
-0.59,-37.6,-0.047
-0.71,-43.2,-0.057
-0.82,-47.6,-0.066
-0.93,-51,-0.075
-1.03,-53.8,-0.082
-1.12,-55.7,-0.09
-1.21,-57.9,-0.097
-1.27,-58.9,-0.102
-1.34,-59.8,-0.107
-1.38,-60.4,-0.11
-1.42,-61,-0.114
-1.45,-61,-0.116
-1.46,-60.7,-0.116
-1.47,-59.5,-0.117
-1.43,-53.5,-0.115
-1.41,-52.6,-0.113
-1.37,-50.7,-0.11
-1.32,-47.9,-0.105
-1.24,-45.1,-0.099
-1.17,-41,-0.093
-1.09,-36.9,-0.087
-0.99,-31,-0.079
-0.89,-25.7,-0.071
-0.77,-19.1,-0.062
-0.66,-12.8,-0.053
-0.55,-6.9,-0.044
-0.41,0.9,-0.033
-0.29,9.1,-0.023
-0.14,16.9,-0.011
-0.05,21.9,-0.004
0.04,27.5,0.003
0.04,22.5,0.003
0.02,21.6,0.002
0.02,21,0.002
0.02,21.9,0.002
0.24,37.6,0.019
0.34,43.5,0.027
0.47,49.5,0.038
0.62,55.1,0.05
0.73,58.9,0.058
0.85,62,0.068
0.96,64.8,0.077
1.05,68.6,0.084
1.15,72,0.092
1.23,74.5,0.099
1.31,77.6,0.104
1.36,79.2,0.109
1.41,81.1,0.113
1.46,82,0.116
1.48,82.6,0.118
1.5,83,0.12
1.5,78.6,0.12
1.46,75.8,0.116
1.41,73.9,0.113
1.37,71.7,0.11
1.31,68.6,0.104
1.24,64.8,0.099
1.15,60.4,0.092
1.06,55.7,0.085
0.96,50.1,0.077
0.86,44.5,0.069
0.74,37.9,0.059
0.62,30.7,0.05
0.49,23.5,0.039
0.43,20,0.034
0.21,7.8,0.017
0.09,0.3,0.007
-0.05,-7.5,-0.004
-0.18,-14.7,-0.015
-0.32,-21.3,-0.026
-0.45,-27.9,-0.036
-0.58,-32.6,-0.046
-0.71,-36.3,-0.057
-0.81,-39.4,-0.065
-0.81,-39.4,-0.065
-0.93,-42.9,-0.075
-1.02,-46,-0.081
-1.11,-49.2,-0.089
-1.19,-51.3,-0.095
-1.26,-53.8,-0.101
-1.34,-55.7,-0.107
-1.38,-57,-0.11
-1.42,-57.9,-0.114
-1.43,-58.2,-0.115
-1.46,-58.5,-0.116
-1.46,-57,-0.116
-1.43,-51.7,-0.115
-1.4,-50.4,-0.112
