Test unit,E4
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.04,-21.3,-0.003
-0.03,-20.2,-0.002
-0.02,-19,-0.001
0,-18,0
0.01,-16.8,0.001
0.04,-16.1,0.003
0.03,-15,0.003
0.04,-13.8,0.004
0.05,-12.7,0.004
0.07,-11.7,0.006
0.08,-10.7,0.007
0.09,-9.6,0.008
0.1,-8.5,0.009
0.11,-7.4,0.01
0.13,-6.4,0.011
0.15,-5.4,0.013
0.15,-4.3,0.013
0.15,-3.2,0.013
0.17,-2.3,0.014
0.18,-1.3,0.016
0.2,-0.3,0.017
0.21,0.7,0.018
0.21,2,0.019
0.22,3.1,0.019
0.23,4.7,0.02
0.24,5.9,0.021
0.25,7,0.022
0.26,8.3,0.023
0.28,9.4,0.024
0.29,10.5,0.025
0.31,11.6,0.027
0.33,12.6,0.028
0.35,13.6,0.03
0.36,14.6,0.031
0.37,15.6,0.032
0.38,16.9,0.033
0.4,18.1,0.034
0.41,19.1,0.036
0.42,20.2,0.037
0.45,20.8,0.039
0.46,21.9,0.04
0.47,23.1,0.041
0.48,24.4,0.042
0.49,25.6,0.043
0.51,26.7,0.044
0.52,27.9,0.045
0.54,28.9,0.047
0.54,29.9,0.047
0.56,30.9,0.049
0.58,31.9,0.05
0.59,32.8,0.052
0.61,33.8,0.053
0.63,34.7,0.055
0.66,35.3,0.058
0.68,36.2,0.059
0.69,37.3,0.06
0.71,38.3,0.062
0.73,39.1,0.064
0.76,39.9,0.066
0.78,40.3,0.068
0.81,40.8,0.07
0.83,41.8,0.072
0.85,42.6,0.074
0.88,42.6,0.077
0.9,41.6,0.078
0.9,40.4,0.078
0.92,41.3,0.08
0.94,42.1,0.082
0.97,41.9,0.085
1,42.5,0.087
1.03,43,0.089
1.06,43.2,0.092
1.09,43.6,0.095
1.12,44.3,0.097
1.14,43.5,0.099
1.16,44.5,0.101
1.18,43.5,0.102
1.18,42,0.102
1.18,40.9,0.103
1.17,39.8,0.102
1.17,40.9,0.102
1.17,42.1,0.102
1.18,43.2,0.103
1.21,43.7,0.105
1.2,42.5,0.104
1.2,41.4,0.104
1.19,40.2,0.104
1.19,39.1,0.104
1.19,37.9,0.103
1.2,36.8,0.104
1.18,36.1,0.102
1.16,35.1,0.101
1.15,33.9,0.1
1.15,32.9,0.1
1.13,31.8,0.099
1.12,30.6,0.098
1.11,29.6,0.097
1.12,28.4,0.097
1.1,27.6,0.095
1.07,26.7,0.093
1.06,25.7,0.092
1.05,24.7,0.091
1.04,23.6,0.09
1.03,22.6,0.089
1.02,21.5,0.089
1.01,20.4,0.088
1,19.2,0.087
0.99,18.1,0.086
0.99,16.8,0.086
0.97,15.9,0.084
0.96,14.8,0.083
0.94,13.8,0.081
0.92,12.9,0.08
0.91,11.8,0.079
0.89,10.6,0.078
0.88,9.4,0.077
0.87,8.4,0.076
0.86,7.4,0.075
0.85,6.3,0.074
0.83,5.2,0.072
0.83,4.1,0.072
0.82,2.9,0.071
0.8,2,0.069
0.78,1.1,0.068
0.76,0.2,0.066
0.74,-0.7,0.065
0.73,-1.7,0.064
0.72,-3,0.063
0.71,-4.3,0.062
0.7,-5.4,0.061
0.69,-6.9,0.06
0.67,-8.4,0.058
0.65,-9.7,0.057
0.63,-11.1,0.055
0.62,-12.2,0.054
0.61,-13.3,0.053
0.6,-14.4,0.052
0.57,-15,0.05
0.56,-15.9,0.048
0.54,-16.9,0.047
0.53,-18,0.046
0.52,-19.1,0.045
0.5,-20.3,0.044
0.49,-21.3,0.042
0.47,-22.4,0.041
0.45,-23.3,0.039
0.44,-24.5,0.038
0.42,-25.6,0.037
0.41,-26.7,0.036
0.39,-27.8,0.034
0.38,-29,0.033
0.37,-30.1,0.033
0.35,-31.1,0.03
0.33,-32,0.029
0.31,-32.9,0.027
0.28,-33.9,0.025
0.28,-35,0.024
0.26,-36,0.023
0.24,-36.9,0.021
0.22,-37.9,0.02
0.21,-38.9,0.018
0.19,-39.9,0.017
0.17,-40.8,0.015
0.16,-41.8,0.014
0.15,-42.8,0.013
0.13,-43.7,0.011
0.11,-44.4,0.01
0.09,-45.3,0.008
0.07,-46.1,0.006
0.05,-46.9,0.004
0.03,-47.8,0.003
0.01,-48.6,0.001
-0.01,-49.4,-0.001
-0.03,-50.1,-0.003
-0.05,-50.7,-0.005
-0.06,-51.7,-0.005
-0.09,-52.3,-0.008
-0.12,-52.8,-0.01
-0.14,-53.4,-0.012
-0.17,-54.1,-0.015
-0.19,-54.6,-0.017
-0.22,-54.9,-0.019
-0.25,-55.6,-0.022
-0.28,-56.1,-0.024
-0.31,-56.4,-0.027
-0.34,-56.5,-0.029
-0.36,-57.3,-0.031
-0.38,-56.8,-0.033
-0.4,-57.7,-0.035
-0.42,-58.1,-0.037
-0.45,-58.2,-0.039
-0.48,-58.6,-0.042
-0.5,-57.8,-0.043
-0.51,-59.1,-0.044
-0.54,-58.4,-0.047
-0.55,-59.5,-0.048
-0.57,-58.5,-0.049
-0.58,-57.5,-0.05
-0.58,-56.4,-0.051
-0.57,-55.2,-0.05
-0.57,-56.3,-0.049
-0.55,-55,-0.048
-0.56,-53.8,-0.049
-0.55,-52.5,-0.048
-0.54,-51.4,-0.047
-0.53,-50.3,-0.046
-0.51,-49.3,-0.045
-0.5,-48.2,-0.044
-0.48,-47.3,-0.042
-0.48,-46.1,-0.041
-0.46,-45,-0.04
-0.45,-43.9,-0.039
-0.43,-43,-0.038
-0.42,-41.9,-0.036
-0.41,-40.8,-0.035
-0.39,-39.7,-0.034
-0.38,-38.7,-0.033
-0.35,-37.9,-0.031
-0.34,-36.8,-0.03
-0.34,-35.6,-0.03
-0.33,-34.5,-0.029
-0.32,-33.6,-0.028
-0.3,-32.5,-0.026
-0.29,-31.4,-0.025
-0.27,-30.4,-0.024
-0.25,-29.3,-0.022
-0.24,-28.1,-0.021
-0.23,-27,-0.02
-0.21,-26,-0.019
-0.19,-25,-0.017
-0.17,-24.4,-0.015
-0.16,-23.1,-0.014
-0.15,-22,-0.013
-0.14,-20.9,-0.012
-0.13,-19.8,-0.011
-0.11,-18.8,-0.01
-0.1,-17.8,-0.009
-0.08,-16.8,-0.007
-0.07,-15.7,-0.006
-0.05,-14.6,-0.004
-0.03,-13.7,-0.003
-0.02,-12.5,-0.002
-0.01,-11.5,-0.001
0.02,-10.5,0.001
0.04,-9.7,0.003
0.04,-8.5,0.004
0.05,-7.4,0.004
0.06,-6.3,0.005
0.07,-5.2,0.006
0.09,-4.1,0.008
0.11,-3.1,0.009
0.12,-2.2,0.011
0.14,-1.2,0.012
0.16,-0.3,0.014
0.18,0.8,0.015
0.2,1.6,0.017
0.21,3.1,0.018
0.22,4.4,0.019
0.23,5.8,0.02
0.25,7.5,0.021
0.26,9,0.023
0.28,10.3,0.024
0.3,11.6,0.026
0.32,12.3,0.028
0.33,13.4,0.029
0.35,14.4,0.03
0.37,15.5,0.032
0.38,16.5,0.033
0.4,17.6,0.034
0.41,18.6,0.036
0.43,19.7,0.037
0.45,20.9,0.039
0.48,21.9,0.042
0.49,22.9,0.043
0.5,23.9,0.044
0.52,24.9,0.045
0.53,26,0.046
0.55,27,0.048
0.57,28,0.049
0.59,29,0.051
0.61,29.9,0.053
0.62,30.8,0.054
0.64,31.8,0.056
0.67,32.7,0.058
0.7,33.3,0.061
0.72,34.3,0.062
0.73,35.4,0.063
0.75,36.1,0.065
0.77,37,0.067
0.79,38,0.069
0.81,38.8,0.071
0.83,39.6,0.072
0.85,40.4,0.074
0.88,40.9,0.076
0.91,41.3,0.079
0.92,42.3,0.08
0.94,43.1,0.082
0.97,43.2,0.085
0.99,44,0.086
1.01,44.8,0.088
1.04,45,0.091
1.07,45.2,0.093
1.09,46,0.095
1.12,46.1,0.098
1.15,46.7,0.1
1.17,47.4,0.102
1.19,46.6,0.104
1.22,47.2,0.106
1.23,48.3,0.107
1.24,47.1,0.108
1.24,45.9,0.108
1.26,47,0.109
1.26,45.7,0.109
1.26,44.5,0.109
1.26,43.4,0.109
1.26,42.3,0.109
1.25,41.1,0.108
1.24,40.1,0.107
1.23,38.9,0.107
1.22,37.9,0.106
1.21,36.8,0.105
1.22,35.5,0.106
1.19,34.7,0.104
1.17,34,0.102
