Test unit,CS02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.1,-10.9,-0.004
-0.1,-11.2,-0.004
-0.1,-11.4,-0.004
-0.11,-11.6,-0.004
-0.11,-11.9,-0.004
-0.12,-12.1,-0.005
-0.12,-12.3,-0.005
-0.13,-12.6,-0.005
-0.13,-12.8,-0.005
-0.14,-13.1,-0.005
-0.14,-13.3,-0.006
-0.15,-13.6,-0.006
-0.16,-13.8,-0.006
-0.17,-14.1,-0.007
-0.17,-14.3,-0.007
-0.18,-14.6,-0.007
-0.19,-14.8,-0.007
-0.19,-15.1,-0.008
-0.2,-15.3,-0.008
-0.2,-15.6,-0.008
-0.21,-15.9,-0.008
-0.22,-16.1,-0.009
-0.22,-16.4,-0.009
-0.23,-16.6,-0.009
-0.23,-16.9,-0.009
-0.24,-17.1,-0.01
-0.24,-17.4,-0.01
-0.25,-17.6,-0.01
-0.25,-17.8,-0.01
-0.26,-18.1,-0.01
-0.26,-18.3,-0.011
-0.27,-18.6,-0.011
-0.27,-18.8,-0.011
-0.28,-19,-0.011
-0.28,-19.3,-0.011
-0.29,-19.5,-0.012
-0.3,-19.7,-0.012
-0.31,-20,-0.012
-0.31,-20.2,-0.012
-0.32,-20.4,-0.013
-0.32,-20.6,-0.013
-0.33,-20.8,-0.013
-0.33,-21.1,-0.013
-0.34,-21.3,-0.014
-0.35,-21.5,-0.014
-0.35,-21.7,-0.014
-0.36,-22,-0.014
-0.37,-22.2,-0.015
-0.37,-22.4,-0.015
-0.38,-22.6,-0.015
-0.39,-22.8,-0.015
-0.39,-22.9,-0.016
-0.39,-22.8,-0.016
-0.39,-22.5,-0.016
-0.39,-22.1,-0.016
-0.39,-21.6,-0.016
-0.39,-21.2,-0.016
-0.38,-20.8,-0.015
-0.38,-20.4,-0.015
-0.37,-20.1,-0.015
-0.36,-19.8,-0.014
-0.36,-19.5,-0.014
-0.35,-19.2,-0.014
-0.34,-18.9,-0.014
-0.33,-18.6,-0.013
-0.33,-18.3,-0.013
-0.32,-17.9,-0.013
-0.32,-17.5,-0.013
-0.31,-17.2,-0.012
-0.31,-16.9,-0.012
-0.3,-16.5,-0.012
-0.29,-16.2,-0.012
-0.29,-15.8,-0.011
-0.28,-15.5,-0.011
-0.27,-15.2,-0.011
-0.27,-14.9,-0.011
-0.26,-14.6,-0.01
-0.26,-14.3,-0.01
-0.25,-14,-0.01
-0.25,-13.7,-0.01
-0.24,-13.4,-0.01
-0.24,-13.1,-0.01
-0.23,-12.9,-0.009
-0.23,-12.6,-0.009
-0.22,-12.3,-0.009
-0.21,-12,-0.009
-0.21,-11.7,-0.008
-0.2,-11.4,-0.008
-0.2,-11.2,-0.008
-0.19,-10.9,-0.008
-0.18,-10.6,-0.007
-0.18,-10.3,-0.007
-0.17,-10,-0.007
-0.16,-9.7,-0.006
-0.15,-9.4,-0.006
-0.15,-9.1,-0.006
-0.14,-8.8,-0.006
-0.14,-8.6,-0.005
-0.13,-8.3,-0.005
-0.13,-8,-0.005
-0.12,-7.7,-0.005
-0.12,-7.5,-0.005
-0.11,-7.2,-0.004
-0.11,-7,-0.004
-0.1,-6.7,-0.004
-0.1,-6.4,-0.004
-0.09,-6.2,-0.004
-0.09,-6,-0.004
-0.09,-5.7,-0.003
-0.08,-5.5,-0.003
-0.08,-5.2,-0.003
-0.07,-5,-0.003
-0.06,-4.8,-0.003
-0.06,-4.6,-0.002
-0.05,-4.4,-0.002
-0.05,-4.3,-0.002
-0.04,-4.1,-0.002
-0.03,-4,-0.001
-0.03,-3.8,-0.001
-0.02,-3.7,-0.001
-0.01,-3.5,-0
-0,-3.4,-0
0,-3.3,0
0.01,-3.2,0
0.01,-3.1,0.001
0.02,-3,0.001
0.02,-2.9,0.001
0.03,-2.7,0.001
0.03,-2.5,0.001
0.03,-2.4,0.001
0.04,-2.2,0.001
0.04,-2,0.002
0.05,-1.8,0.002
0.05,-1.6,0.002
0.06,-1.4,0.002
0.06,-1.2,0.002
0.07,-1,0.003
0.07,-0.8,0.003
0.07,-0.6,0.003
0.08,-0.5,0.003
0.08,-0.3,0.003
0.09,-0.2,0.004
0.09,-0,0.004
0.09,0.1,0.004
0.1,0.3,0.004
0.1,0.4,0.004
0.1,0.6,0.004
0.11,0.7,0.004
0.11,0.9,0.004
0.11,1,0.005
0.12,1.1,0.005
0.12,1.2,0.005
0.12,1.3,0.005
0.12,1.4,0.005
0.13,1.5,0.005
0.13,1.6,0.005
0.13,1.8,0.005
0.13,1.9,0.005
0.14,2,0.005
0.14,2.1,0.006
0.14,2.3,0.006
0.15,2.4,0.006
0.15,2.6,0.006
0.15,2.7,0.006
0.15,2.9,0.006
0.16,3,0.006
0.16,3.2,0.006
0.16,3.4,0.007
0.17,3.6,0.007
0.17,3.9,0.007
0.18,4.1,0.007
0.18,4.3,0.007
0.19,4.6,0.007
0.19,4.8,0.008
0.2,5.1,0.008
0.2,5.3,0.008
0.21,5.5,0.008
0.22,5.8,0.009
0.22,6.1,0.009
0.23,6.3,0.009
0.23,6.6,0.009
0.24,6.8,0.01
0.24,7.1,0.01
0.25,7.3,0.01
0.25,7.6,0.01
0.26,7.9,0.01
0.26,8.2,0.011
0.27,8.5,0.011
0.27,8.8,0.011
0.28,9.1,0.011
0.29,9.3,0.011
0.29,9.6,0.012
0.3,9.8,0.012
0.3,10,0.012
0.31,10.3,0.012
0.31,10.5,0.013
0.32,10.8,0.013
0.32,11,0.013
0.33,11.2,0.013
0.33,11.5,0.013
0.34,11.7,0.014
0.34,12,0.014
0.35,12.2,0.014
0.36,12.5,0.014
0.36,12.7,0.014
0.37,12.9,0.015
0.37,13.2,0.015
0.38,13.4,0.015
0.38,13.6,0.015
0.39,13.9,0.016
0.4,14.1,0.016
0.4,14.4,0.016
0.41,14.6,0.016
0.41,14.9,0.017
0.42,15.2,0.017
0.43,15.4,0.017
0.43,15.7,0.017
0.44,15.9,0.017
0.44,16.1,0.018
0.45,16.4,0.018
0.45,16.6,0.018
0.46,16.8,0.018
0.47,17.1,0.019
0.47,17.3,0.019
0.48,17.5,0.019
0.49,17.7,0.019
0.49,17.9,0.02
0.5,18.1,0.02
0.5,18.4,0.02
0.51,18.6,0.02
0.52,18.8,0.021
0.52,19,0.021
0.53,19.2,0.021
0.53,19.4,0.021
0.54,19.6,0.022
0.55,19.8,0.022
0.55,20,0.022
0.56,20.2,0.022
0.57,20.4,0.023
0.57,20.6,0.023
0.58,20.9,0.023
0.58,21.1,0.023
0.59,21.3,0.023
0.59,21.5,0.024
0.59,21.4,0.024
0.59,21.2,0.024
0.59,20.9,0.024
0.59,20.5,0.024
0.59,20.1,0.024
0.59,19.8,0.023
0.58,19.4,0.023
0.57,19.1,0.023
0.57,18.7,0.023
0.56,18.4,0.023
0.56,18,0.022
0.55,17.7,0.022
0.54,17.4,0.022
0.54,17.1,0.021
0.53,16.8,0.021
0.53,16.6,0.021
0.52,16.3,0.021
0.51,16,0.02
0.51,15.8,0.02
0.5,15.5,0.02
0.49,15.2,0.02
0.49,14.9,0.02
0.48,14.5,0.019
0.48,14.2,0.019
0.47,14,0.019
0.47,13.6,0.019
0.46,13.4,0.018
0.46,13.1,0.018
0.45,12.8,0.018
0.44,12.5,0.018
