Test unit,C6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.21,-37.7,-0.016
-0.21,-35.9,-0.015
-0.2,-34,-0.015
-0.19,-32.2,-0.014
-0.17,-30.5,-0.012
-0.18,-28.5,-0.013
-0.18,-26.5,-0.013
-0.19,-24.7,-0.014
-0.2,-22.9,-0.014
-0.2,-21,-0.015
-0.19,-19.2,-0.014
-0.18,-17.2,-0.013
-0.17,-15.3,-0.013
-0.14,-13.7,-0.01
-0.13,-11.9,-0.01
-0.14,-10,-0.01
-0.13,-8.2,-0.009
-0.11,-6.4,-0.008
-0.11,-4.6,-0.008
-0.1,-2.8,-0.007
-0.08,-1.1,-0.006
-0.07,1.2,-0.005
-0.06,3.3,-0.005
-0.05,5,-0.004
-0.04,7,-0.003
-0.03,9.1,-0.002
-0.02,11,-0.001
-0.01,13.4,-0.001
-0,15.8,-0
0.01,18.7,0.001
0.03,21.7,0.002
0.04,24.4,0.003
0.05,26.9,0.004
0.05,29,0.004
0.07,31.1,0.005
0.08,33,0.006
0.09,35.1,0.006
0.09,37,0.007
0.1,39.1,0.007
0.11,41.3,0.008
0.12,43.2,0.009
0.15,45.1,0.011
0.14,47.2,0.01
0.15,49,0.011
0.16,51,0.012
0.18,52.8,0.013
0.19,54.7,0.014
0.2,56.6,0.015
0.22,58.5,0.016
0.24,60.3,0.017
0.26,62,0.019
0.28,64,0.021
0.29,65.9,0.021
0.3,67.7,0.022
0.31,69.4,0.023
0.33,71.4,0.024
0.34,73.3,0.026
0.36,75,0.027
0.38,76.8,0.028
0.4,78.8,0.029
0.41,80.6,0.03
0.44,82.1,0.033
0.45,84,0.033
0.45,85.8,0.033
0.47,87.6,0.035
0.49,89.2,0.036
0.51,90.8,0.037
0.53,92.6,0.039
0.54,94.2,0.04
0.55,95.9,0.041
0.55,97.6,0.04
0.57,99.1,0.042
0.58,97.3,0.043
0.59,99.1,0.043
0.58,97,0.043
0.59,95.1,0.043
0.59,93.1,0.044
0.59,91,0.044
0.6,88.9,0.045
0.58,87.2,0.043
0.57,85.2,0.042
0.56,83.3,0.042
0.56,81.3,0.041
0.55,79.4,0.041
0.54,77.5,0.04
0.53,75.7,0.04
0.54,73.6,0.04
0.53,71.7,0.039
0.52,69.9,0.038
0.51,68.1,0.038
0.5,66.1,0.037
0.5,64.1,0.037
0.5,62.3,0.037
0.49,60.5,0.036
0.49,58.4,0.036
0.48,56.5,0.036
0.47,54.6,0.035
0.47,52.6,0.035
0.47,50.8,0.035
0.45,48.9,0.033
0.43,47,0.032
0.41,45.1,0.031
0.4,43.3,0.03
0.4,41.5,0.029
0.38,39.4,0.029
0.37,37.4,0.028
0.37,35.6,0.027
0.36,33.5,0.026
0.34,31.4,0.025
0.33,29.4,0.025
0.33,27.4,0.024
0.32,25.3,0.024
0.3,23.5,0.022
0.29,21.7,0.021
0.27,19.9,0.02
0.26,18.1,0.02
0.25,16.2,0.019
0.24,14.2,0.018
0.23,12.4,0.017
0.22,10.5,0.016
0.21,8.4,0.015
0.19,6.5,0.014
0.21,4.6,0.016
0.19,2.6,0.014
0.17,0.6,0.013
0.15,-1.4,0.011
0.14,-3.4,0.011
0.13,-5.5,0.009
0.11,-7.6,0.008
0.1,-9.8,0.007
0.09,-11.6,0.007
0.08,-13.5,0.006
0.07,-15.7,0.005
0.06,-18,0.004
0.05,-20.2,0.003
0.03,-22,0.002
0.01,-24.1,0.001
-0.01,-25.8,-0.001
-0.02,-27.7,-0.002
-0.02,-29.8,-0.001
-0.04,-31.9,-0.003
-0.06,-33.6,-0.004
-0.06,-35.4,-0.004
-0.05,-37.2,-0.004
-0.06,-39,-0.004
-0.07,-40.8,-0.005
-0.07,-42.6,-0.005
-0.07,-44.5,-0.005
-0.08,-46.5,-0.006
-0.08,-48.3,-0.006
-0.09,-50.3,-0.007
-0.1,-52,-0.008
-0.12,-53.9,-0.009
-0.13,-55.9,-0.01
-0.14,-58,-0.01
-0.14,-59.8,-0.01
-0.16,-61.7,-0.012
-0.18,-63.4,-0.013
-0.18,-65.2,-0.014
-0.18,-67,-0.014
-0.17,-69.1,-0.013
-0.17,-70.8,-0.013
-0.18,-72.6,-0.013
-0.19,-74.5,-0.014
-0.21,-76.6,-0.015
-0.22,-78.6,-0.016
-0.24,-80.3,-0.018
-0.24,-82.2,-0.018
-0.24,-84.1,-0.018
-0.26,-86,-0.02
-0.29,-87.5,-0.021
-0.3,-89.3,-0.022
-0.31,-91.2,-0.023
-0.31,-93.1,-0.023
-0.32,-94.8,-0.024
-0.31,-96.5,-0.023
-0.32,-98.3,-0.024
-0.34,-100.2,-0.025
-0.36,-101.6,-0.026
-0.35,-103.2,-0.026
-0.36,-104.9,-0.027
-0.39,-106.5,-0.029
-0.4,-108.4,-0.029
-0.44,-109.3,-0.032
-0.44,-111,-0.032
-0.43,-112.5,-0.032
-0.44,-113.8,-0.033
-0.46,-112.5,-0.034
-0.46,-110.6,-0.034
-0.47,-108.6,-0.034
-0.45,-106.8,-0.033
-0.45,-105,-0.033
-0.46,-103.1,-0.034
-0.46,-101,-0.034
-0.45,-99.1,-0.034
-0.47,-97.3,-0.035
-0.46,-95.5,-0.034
-0.45,-93.6,-0.034
-0.47,-91.8,-0.035
