Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.01,-80,-0.04
-1.02,-80.4,-0.041
-1.03,-80.8,-0.041
-1.03,-81.2,-0.041
-1.04,-81.7,-0.042
-1.05,-81.7,-0.042
-1.05,-81.5,-0.042
-1.05,-80.9,-0.042
-1.05,-80.1,-0.042
-1.05,-79.2,-0.042
-1.05,-78.6,-0.042
-1.05,-77.8,-0.042
-1.05,-77.2,-0.042
-1.05,-76.4,-0.042
-1.05,-75.8,-0.042
-1.05,-75.2,-0.042
-1.05,-74.6,-0.042
-1.04,-74,-0.042
-1.03,-73.4,-0.041
-1.03,-72.8,-0.041
-1.02,-72.2,-0.041
-1.01,-71.6,-0.04
-1,-71,-0.04
-1,-70.3,-0.04
-0.99,-69.7,-0.04
-0.98,-69.1,-0.039
-0.97,-68.5,-0.039
-0.97,-67.9,-0.039
-0.96,-67.3,-0.038
-0.95,-66.7,-0.038
-0.95,-66.2,-0.038
-0.94,-65.7,-0.038
-0.94,-65.2,-0.037
-0.93,-64.7,-0.037
-0.92,-64.1,-0.037
-0.92,-63.5,-0.037
-0.91,-62.9,-0.036
-0.91,-62.4,-0.036
-0.9,-61.9,-0.036
-0.89,-61.4,-0.036
-0.89,-61,-0.036
-0.88,-60.4,-0.035
-0.88,-59.8,-0.035
-0.87,-59,-0.035
-0.86,-58.4,-0.035
-0.86,-57.7,-0.034
-0.85,-57.2,-0.034
-0.85,-56.8,-0.034
-0.84,-56.4,-0.034
-0.83,-55.9,-0.033
-0.83,-55.4,-0.033
-0.82,-54.9,-0.033
-0.82,-54.3,-0.033
-0.81,-53.8,-0.032
-0.81,-53.2,-0.032
-0.8,-52.8,-0.032
-0.79,-52.3,-0.032
-0.79,-51.9,-0.032
-0.78,-51.4,-0.031
-0.78,-50.9,-0.031
-0.77,-50.4,-0.031
-0.77,-49.9,-0.031
-0.76,-49.4,-0.03
-0.75,-48.9,-0.03
-0.75,-48.4,-0.03
-0.74,-48,-0.03
-0.73,-47.5,-0.029
-0.73,-47,-0.029
-0.72,-46.5,-0.029
-0.72,-46.1,-0.029
-0.71,-45.6,-0.028
-0.7,-45.2,-0.028
-0.7,-44.7,-0.028
-0.69,-44.3,-0.028
-0.68,-43.9,-0.027
-0.68,-43.4,-0.027
-0.67,-43,-0.027
-0.66,-42.6,-0.026
-0.66,-42.1,-0.026
-0.65,-41.7,-0.026
-0.64,-41.2,-0.026
-0.64,-40.8,-0.025
-0.63,-40.3,-0.025
-0.62,-39.9,-0.025
-0.62,-39.5,-0.025
-0.61,-39.1,-0.024
-0.61,-38.6,-0.024
-0.6,-38.2,-0.024
-0.59,-37.7,-0.024
-0.58,-37.3,-0.023
-0.58,-36.8,-0.023
-0.57,-36.3,-0.023
-0.57,-35.8,-0.023
-0.56,-35.4,-0.023
-0.56,-34.9,-0.022
-0.55,-34.5,-0.022
-0.54,-34.1,-0.022
-0.54,-33.7,-0.021
-0.53,-33.3,-0.021
-0.53,-33,-0.021
-0.52,-32.6,-0.021
-0.52,-32.2,-0.021
-0.51,-31.8,-0.02
-0.51,-31.4,-0.02
-0.5,-31,-0.02
-0.5,-30.6,-0.02
-0.49,-30.2,-0.02
-0.48,-29.8,-0.019
-0.48,-29.4,-0.019
-0.47,-29,-0.019
-0.47,-28.6,-0.019
-0.46,-28.2,-0.018
-0.46,-27.7,-0.018
-0.45,-27.4,-0.018
-0.44,-26.9,-0.018
-0.44,-26.5,-0.018
-0.43,-26.1,-0.017
-0.43,-25.8,-0.017
-0.42,-25.4,-0.017
-0.42,-25,-0.017
-0.41,-24.7,-0.017
-0.41,-24.4,-0.016
-0.4,-24,-0.016
-0.4,-23.6,-0.016
-0.39,-23.2,-0.016
-0.39,-22.9,-0.015
-0.38,-22.4,-0.015
-0.38,-22.1,-0.015
-0.37,-21.7,-0.015
-0.36,-21.2,-0.015
-0.36,-20.8,-0.014
-0.35,-20.4,-0.014
-0.35,-19.9,-0.014
-0.34,-19.5,-0.014
-0.33,-19.1,-0.013
-0.33,-18.8,-0.013
-0.32,-18.4,-0.013
-0.31,-18.1,-0.013
-0.31,-17.8,-0.012
-0.3,-17.4,-0.012
-0.29,-17.1,-0.012
-0.29,-16.7,-0.012
-0.28,-16.3,-0.011
-0.28,-15.9,-0.011
-0.27,-15.5,-0.011
-0.27,-15.2,-0.011
-0.26,-14.9,-0.01
-0.26,-14.5,-0.01
-0.25,-14.2,-0.01
-0.25,-13.8,-0.01
-0.24,-13.5,-0.01
-0.24,-13.1,-0.009
-0.23,-12.8,-0.009
-0.22,-12.4,-0.009
-0.21,-12.1,-0.009
-0.2,-11.7,-0.008
-0.2,-11.4,-0.008
-0.19,-11.1,-0.008
-0.18,-10.7,-0.007
-0.18,-10.3,-0.007
-0.17,-9.9,-0.007
-0.16,-9.6,-0.007
-0.16,-9.2,-0.006
-0.15,-8.8,-0.006
-0.15,-8.5,-0.006
-0.14,-8.2,-0.006
-0.14,-7.8,-0.005
-0.13,-7.5,-0.005
-0.13,-7.2,-0.005
-0.12,-6.9,-0.005
-0.12,-6.6,-0.005
-0.11,-6.3,-0.005
-0.11,-6,-0.004
-0.1,-5.8,-0.004
-0.1,-5.5,-0.004
-0.09,-5.2,-0.004
-0.09,-4.9,-0.004
-0.08,-4.7,-0.003
-0.08,-4.5,-0.003
-0.07,-4.3,-0.003
-0.07,-4.1,-0.003
-0.06,-3.9,-0.002
-0.06,-3.7,-0.002
-0.05,-3.6,-0.002
-0.05,-3.4,-0.002
-0.04,-3.3,-0.002
-0.04,-3.2,-0.001
-0.03,-3.1,-0.001
-0.03,-3,-0.001
-0.02,-2.9,-0.001
-0.02,-2.7,-0.001
-0.01,-2.5,-0
-0.01,-2.3,-0
-0,-2,-0
0.01,-1.8,0
0.01,-1.5,0
0.02,-1.3,0.001
0.02,-1.1,0.001
0.02,-0.9,0.001
0.03,-0.7,0.001
0.03,-0.6,0.001
0.03,-0.4,0.001
0.03,-0.3,0.001
0.04,-0.2,0.001
0.04,-0,0.002
0.04,0.1,0.002
0.05,0.2,0.002
0.05,0.3,0.002
0.05,0.4,0.002
0.05,0.5,0.002
0.05,0.6,0.002
0.05,0.7,0.002
0.06,0.8,0.002
0.06,1,0.002
0.06,1.1,0.002
0.06,1.3,0.003
0.07,1.4,0.003
0.07,1.6,0.003
0.07,1.8,0.003
0.07,1.9,0.003
0.08,2.1,0.003
0.08,2.3,0.003
0.08,2.5,0.003
0.09,2.7,0.003
0.09,2.9,0.004
0.09,3.2,0.004
0.1,3.5,0.004
0.1,3.8,0.004
0.11,4.1,0.004
0.11,4.4,0.005
0.12,4.8,0.005
0.12,5.1,0.005
0.13,5.5,0.005
0.14,5.9,0.005
0.14,6.3,0.006
0.15,6.7,0.006
0.15,7,0.006
0.16,7.4,0.006
0.17,7.8,0.007
