load_step_names,image_names,Fh,u,Fv_total,Fv_s,Fv_n,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0015,-17.62,-1.25645954049747,-122.72,-58.65,-64.07,-1.618,-1.456,-0.897,-1.931,0.1238,0.0098,-0.02619,-0.03256,0.08337,-0.2719,0.03456,0.317,0.101,0.1515
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0016,-15.27,-1.1408069606995,-122.76,-59.04,-63.72,-1.493,-1.344,-0.9742,-1.889,0.1252,0.01078,-0.02702,-0.03228,0.07908,-0.2726,0.03439,0.3168,0.1008,0.1484
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0017,-12.92,-1.02500405640657,-122.81,-59.45,-63.36,-1.365,-1.233,-1.049,-1.846,0.1267,0.01183,-0.02755,-0.03175,0.07548,-0.2727,0.03441,0.3168,0.1008,0.1452
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0018,-10.64,-0.909393536962121,-122.94,-59.92,-63.02,-1.244,-1.122,-1.119,-1.804,0.128,0.01271,-0.02805,-0.03114,0.07238,-0.2727,0.03428,0.3166,0.1006,0.142
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0019,-8.392,-0.806943622972222,-123,-60.31,-62.69,-1.117,-1.01,-1.188,-1.761,0.1292,0.0136,-0.02837,-0.03042,0.07005,-0.2728,0.03372,0.3165,0.1005,0.1388
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0020,-6.252,-0.709838131558081,-122.99,-60.63,-62.36,-0.9951,-0.9043,-1.254,-1.717,0.1303,0.01447,-0.02857,-0.02976,0.06826,-0.2724,0.0326,0.3164,0.1004,0.1355
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0021,-4.133,-0.592257637643939,-122.95,-60.91,-62.04,-0.8644,-0.7962,-1.317,-1.671,0.1311,0.01516,-0.02874,-0.02921,0.06723,-0.2716,0.03079,0.3161,0.1002,0.1321
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0022,-2.102,-0.488246855926768,-122.86,-61.12,-61.74,-0.7367,-0.6888,-1.379,-1.625,0.1319,0.016,-0.02859,-0.02847,0.06708,-0.2704,0.02891,0.3162,0.1003,0.129
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0023,-0.1385,-0.39207628105303,-122.79,-61.35,-61.44,-0.6089,-0.5879,-1.44,-1.602,0.1325,0.01671,-0.02855,-0.02803,0.06712,-0.2691,0.02669,0.316,0.1001,0.1259
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0024,1.72,-0.295277695194444,-122.79,-61.63,-61.16,-0.4904,-0.4895,-1.497,-1.557,0.1328,0.01736,-0.02827,-0.02752,0.06777,-0.2676,0.02451,0.316,0.1001,0.1231
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0025,3.401,-0.206829212770202,-122.72,-61.81,-60.91,-0.3931,-0.3957,-1.546,-1.514,0.1332,0.01813,-0.02762,-0.02696,0.06872,-0.2661,0.02238,0.3161,0.1003,0.1208
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0026,5.299,-0.104521146684343,-122.71,-62.08,-60.63,-0.2633,-0.2995,-1.601,-1.467,0.1333,0.01869,-0.0271,-0.02656,0.06894,-0.2642,0.01962,0.316,0.1002,0.1182
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0027,7.234,0.00113025357575758,-122.8,-62.45,-60.35,-0.1375,-0.1963,-1.657,-1.416,0.1334,0.01948,-0.02628,-0.02598,0.06887,-0.262,0.01647,0.3161,0.1004,0.1157
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0028,9.186,0.0990990918459596,-122.86,-62.81,-60.05,-0.00819,-0.09148,-1.712,-1.365,0.1335,0.02027,-0.02547,-0.02547,0.06729,-0.2596,0.01266,0.3161,0.1007,0.1133
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0029,11.16,0.207886434477273,-122.87,-63.13,-59.74,0.1275,0.01777,-1.77,-1.309,0.1335,0.0211,-0.02463,-0.02495,0.06461,-0.2568,0.00737,0.3162,0.1009,0.1109
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0030,13.12,0.32775601685101,-122.77,-63.33,-59.44,0.2587,0.1273,-1.828,-1.25,0.1333,0.02198,-0.02371,-0.02447,0.0612,-0.254,0.00044,0.3162,0.1013,0.1087
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0031,15.13,0.434346856800505,-122.85,-63.7,-59.15,0.3907,0.2352,-1.886,-1.191,0.1329,0.02265,-0.02313,-0.02414,0.05677,-0.2509,-0.00751,0.3159,0.1013,0.1064
RS4_LS21_to_LS22,LS21_to_LS22_RS4_0032,17.11,0.544077178517677,-122.84,-63.99,-58.85,0.5284,0.3484,-1.943,-1.128,0.1325,0.02368,-0.02205,-0.02352,0.05229,-0.2478,-0.01487,0.3161,0.1018,0.1049
