Test unit,RS4,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.043905768,15.16,0.065244111
1.007894827,14.3,0.062993427
0.969666835,13.44,0.060604177
0.935648766,12.62,0.058478048
0.906381413,11.79,0.056648838
0.875176552,10.92,0.054698534
0.841238883,10.06,0.05257743
0.805278014,9.252,0.050329876
0.777294156,8.479,0.048580885
0.741233715,7.702,0.046327107
0.709105873,6.801,0.044319117
0.668607054,5.966,0.041787941
0.643126855,5.089,0.040195428
0.608857023,4.235,0.038053564
0.571009191,3.411,0.035688074
0.534727766,2.647,0.033420485
0.507052423,1.872,0.031690776
0.482007725,1.134,0.030125483
0.451108118,0.3885,0.028194257
0.419227286,-0.3719,0.026201705
0.395166898,-1.138,0.024697931
0.367545798,-1.858,0.022971612
0.345851456,-2.527,0.021615716
0.313381469,-3.188,0.019586342
0.281982248,-3.968,0.01762389
0.254546665,-4.76,0.015909167
0.224999501,-5.588,0.014062469
0.194862648,-6.432,0.012178916
0.165143541,-7.285,0.010321471
0.120326011,-8.179,0.007520376
0.09731426,-9.006,0.006082141
0.068335742,-9.854,0.004270984
0.0333085,-10.71,0.002081781
0.001376291,-11.62,8.60182E-05
-0.027892462,-12.56,-0.001743279
-0.067609383,-13.52,-0.004225586
-0.093439203,-14.49,-0.00583995
-0.128457294,-15.45,-0.008028581
-0.170970817,-16.4,-0.010685676
-0.198925392,-17.36,-0.012432837
-0.229936113,-18.32,-0.014371007
-0.271027703,-19.31,-0.016939231
-0.300697157,-20.27,-0.018793572
-0.334917216,-21.3,-0.020932326
-0.367793209,-22.28,-0.022987076
-0.400893967,-23.24,-0.025055873
-0.429823508,-24.19,-0.026863969
-0.466783769,-25.13,-0.029173986
-0.504298389,-26,-0.031518649
-0.536262862,-26.86,-0.033516429
-0.568561428,-27.69,-0.035535089
-0.607476567,-28.5,-0.037967285
-0.640699058,-29.28,-0.040043691
-0.678110577,-30.05,-0.042381911
-0.721433164,-30.78,-0.045089573
-0.75180078,-31.51,-0.046987549
-0.788889804,-32.21,-0.049305613
-0.831144869,-32.92,-0.051946554
-0.866597144,-33.57,-0.054162321
-0.894261626,-34.25,-0.055891352
-0.937240299,-34.88,-0.058577519
-0.974830812,-35.49,-0.060926926
-1.016483801,-36.1,-0.063530238
-1.050310206,-36.68,-0.065644388
-1.098836131,-37.28,-0.068677258
-1.143449302,-37.86,-0.071465581
-1.179066259,-38.43,-0.073691641
-1.207045819,-39,-0.075440364
-1.246176454,-39.54,-0.077886028
-1.289388551,-39.78,-0.080586784
-1.297827668,-37.71,-0.081114229
-1.288086035,-37.01,-0.080505377
-1.245779023,-35.61,-0.077861189
-1.21575848,-34.1,-0.075984905
-1.185348415,-32.63,-0.074084276
-1.14323953,-31.26,-0.071452471
-1.117317341,-29.95,-0.069832334
-1.07784677,-28.69,-0.067365423
-1.044191413,-27.46,-0.065261963
-1.009822557,-26.3,-0.06311391
-0.979801463,-25.1,-0.061237591
-0.944417364,-23.89,-0.059026085
-0.910422245,-22.67,-0.05690139
-0.879317138,-21.53,-0.054957321
-0.841414003,-20.52,-0.052588375
-0.813531198,-19.42,-0.0508457
-0.782247217,-18.28,-0.048890451
-0.748937353,-17.31,-0.046808585
-0.716344399,-16.27,-0.044771525
-0.6794314,-15.16,-0.042464462
-0.646109684,-14.17,-0.040381855
-0.615240687,-13.19,-0.038452543
-0.57639342,-12.1,-0.036024589
-0.543352024,-11.14,-0.033959501
-0.506605922,-10.26,-0.03166287
-0.477515099,-9.246,-0.029844694
-0.443058434,-8.274,-0.027691152
-0.414006095,-7.396,-0.025875381
-0.381286185,-6.535,-0.023830387
-0.345286843,-5.684,-0.021580428
-0.319989448,-4.839,-0.01999934
-0.293112381,-3.985,-0.018319524
-0.246686035,-3.142,-0.015417877
-0.221623539,-2.319,-0.013851471
