ID,Reference,Reference nb,Test unit name,Cyclic / Monotonic,Cycles,Lab / In-situ,Stone masonry typology,Joints,Leaves,Stone,H [mm],L [mm],t [mm],H0 [mm],H0/H,fc [MPa],Type of compression test,Epc [MPa],Ecompr [MPa],Edyn [MPa],hb [mm],lb [mm],"fc,b [MPa]",Eb [MPa],"fc,m  [MPa]",Em [MPa],"?0,pc [MPa]","?0,tot /fc",dcr [%],Vcr [kN],"dmax,+ [%]","Vmax,+ [kN]","dmax,- [%]","Vmax,- [kN]","dc,+ [%]","dc,- [%]","dy,+ [%]","dy,- [%]","du,+ [%]","Vu,+ [kN]","du,- [%]","Vu,- [kN]","Kel,+ [kN/mm]","Kel,- [kN/mm]","Keff,+ [kN/mm]","Keff,- [kN/mm]",?+,?-,From test report: Failure type,Failure type,HC,IT,SU,SJ,DU,QM,REL,IQMvert,IQMip,IQMoop,LMTvert [mm],HLVDT,"?0,tot [MPa]",Ntot [kN],Availability of F-? curve,Unretrofitted / Retrofitted,Comment,Drift at which the photo was taken [%],Drift at which the crack map was taken [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Vasconcelos and Lourenço (2009),1,WR2.175,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2393,1248,NaN,133,167,69.2,20200,4,NaN,0.875,0.180,0.15,27.50,1.11,62.3,1.58,56.5,1.68,1.98,0.39,0.45,1.68,59.7,1.98,53.4,22.9,12.4,11.4,8.9,4.26,4.36,"F, S",0.5,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,0.899,179.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vasconcelos and Lourenço (2009),1,WR1.250,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2496,1248,NaN,133,167,69.2,20200,3.8,NaN,1.25,0.255,0.15,31.04,0.47,59.9,0.49,67.4,0.82,1.06,0.27,0.27,0.81,55.3,1.06,62.6,22.2,25.6,15.6,17.3,3.02,3.88,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Vasconcelos and Lourenço (2009),1,WR2.250,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2496,1248,NaN,133,167,69.2,20200,3.6,NaN,1.25,0.255,0.15,39.40,0.40,69.8,0.84,80.4,0.48,0.84,0.30,0.32,0.48,69.8,0.84,78.1,34.5,23.7,17.6,18.6,1.59,2.65,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Vasconcelos and Lourenço (2009),1,WR3.250,Cyclic,1,Laboratory,C,Hydraulic lime mortar,1,Granite,1200,1000,200,1325,1.10,5.00,2,2496,1248,NaN,133,167,69.2,20200,3.3,NaN,1.25,0.255,0.15,28.96,0.69,63.9,0.64,73.8,0.87,1.12,0.40,0.35,0.87,63.1,0.87,69.4,18.9,22.5,12.0,14.8,2.18,2.46,S,0,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1090,NaN,1.274,254.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Silva et al. (2014),2,C1,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,2.49,1,NaN,2531,NaN,NaN,NaN,149,67500,3.6,4600,1,0.411,0.15,106.10,0.27,112.1,0.34,120.7,0.49,0.69,0.08,0.07,0.49,105.5,0.69,111.5,132.4,150.7,96.6,112.0,6.06,9.29,"F, S",0.5,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,1070,NaN,1.024,512.0,1,0,retrofitted counterpart: C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Silva et al. (2014),2,C2,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,2.49,1,NaN,2531,NaN,NaN,NaN,149,67500,3.6,4600,1.25,0.512,0.12,93.20,0.18,85.3,0.18,124.6,0.29,0.30,0.07,0.10,0.22,78.9,0.30,116.3,79.2,112.8,81.0,85.8,3.05,2.94,"F, S",0.5,NR,NR,PR,NR,NR,PR,R,2,2,1.5,1120,NaN,1.274,637.0,1,0,retrofitted counterpart: C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Silva et al. (2014),2,C3,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,2.49,1,NaN,2531,NaN,NaN,NaN,149,67500,3.6,4600,0.75,0.311,0.09,67.90,0.25,66.1,0.13,87.6,0.46,0.44,0.07,0.03,0.44,62.5,0.25,81.7,164.1,325.7,67.9,185.7,6.42,7.67,"F, S",0.5,NR,NR,NR,NR,PR,PR,R,1,1.5,1,1050,NaN,0.774,387.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Silva et al. (2014),2,C4,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,2.49,1,NaN,2531,NaN,NaN,NaN,149,67500,3.6,4600,0.5,0.210,0.21,70.90,0.37,70.7,0.44,81.6,1.07,1.13,0.07,0.13,0.89,67.3,0.77,77.6,82.3,82.9,72.9,42.6,13.05,5.70,F,1,NR,NR,NR,NR,PR,PR,R,1,1.5,1,1160,NaN,0.524,262.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Silva et al. (2014),2,C5,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,4.28,1,NaN,4966,NaN,NaN,NaN,149,67500,3.6,4600,1,0.239,0.54,150.70,1.22,166.7,1.68,177.2,1.58,2.12,0.16,0.11,1.58,154.7,2.12,164.0,153.5,241.9,70.0,114.6,9.66,20.02,"F, R",1,NR,R,PR,NR,PR,PR,R,3.5,4.5,5,1050,NaN,1.024,512.0,1,1,unretrofitted counterpart: C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Silva et al. (2014),2,C6,Cyclic,3,Laboratory,B,Hydraulic lime mortar,3,Limestone,1200,1000,500,1350,1.13,4.28,1,NaN,4966,NaN,NaN,NaN,149,67500,3.6,4600,1.5,0.356,0.21,200.30,0.56,214.9,0.24,214.6,0.84,0.63,0.10,0.07,0.74,201.2,0.63,200.2,176.4,254.3,143.8,210.1,7.17,8.96,"F,R",1,NR,R,PR,NR,PR,PR,R,3.5,4.5,5,1020,NaN,1.524,762.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
