ID,Reference,Reference nb,Test unit name,Cyclic / Monotonic,Cycles,Lab / In-situ,Stone masonry typology,Joints,Leaves,Stone,H [mm],L [mm],t [mm],H0 [mm],H0/H,fc [MPa],Type of compression test,Epc [MPa],Ecompr [MPa],Edyn [MPa],hb [mm],lb [mm],"fc,b [MPa]",Eb [MPa],"fc,m  [MPa]",Em [MPa],"?0,pc [MPa]","?0,tot /fc",dcr [%],Vcr [kN],"dmax,+ [%]","Vmax,+ [kN]","dmax,- [%]","Vmax,- [kN]","dc,+ [%]","dc,- [%]","dy,+ [%]","dy,- [%]","du,+ [%]","Vu,+ [kN]","du,- [%]","Vu,- [kN]","Kel,+ [kN/mm]","Kel,- [kN/mm]","Keff,+ [kN/mm]","Keff,- [kN/mm]",?+,?-,From test report: Failure type,Failure type,HC,IT,SU,SJ,DU,QM,REL,IQMvert,IQMip,IQMoop,LMTvert [mm],HLVDT,"?0,tot [MPa]",Ntot [kN],Availability of F-? curve,Unretrofitted / Retrofitted,Comment,Drift at which the photo was taken [%],Drift at which the crack map was taken [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Corradi et al. (2014),8,TC-17-U-OR,Monotonic,0,In-situ,A,Air lime mortar,2,"Limestone, sponge travertine",905,900,600,452.5,0.50,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,0.05,#VALUE!,NaN,NaN,NaN,46.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.068,36.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Borri et al. (2012),7,TC-35-L-OR,Monotonic,0,Laboratory,A,Hydraulic lime mortar,2,Calcareous,902,900,510,451,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.549,NaN,0.208,#VALUE!,NaN,NaN,NaN,109.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.226,103.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Borri et al. (2012),7,TC-36-L-OR,Monotonic,0,Laboratory,A,Hydraulic lime mortar,2,Calcareous,905,900,490,452.5,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.549,NaN,0.208,#VALUE!,NaN,NaN,NaN,52.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.226,99.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Borri et al. (2012),7,TC-37-L-OR,Monotonic,0,Laboratory,A,Hydraulic lime mortar,2,Calcareous,902,900,510,451,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.549,NaN,0.188,#VALUE!,NaN,NaN,NaN,80.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.206,94.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Borri et al. (2012),7,TC-39-L-OR,Monotonic,0,Laboratory,A,Hydraulic lime mortar,2,Calcareous,950,900,486,475,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.549,NaN,0.209,#VALUE!,NaN,NaN,NaN,87.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,S,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.228,99.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Marcari et al. (2007),9,P#1,Monotonic,0,Laboratory,D,Hydraulic lime mortar,3,Tuff,1570,1480,530,785,0.50,1.66,1,NaN,630,NaN,250,400,2.1,NaN,2,NaN,0.5,0.320,0.19,64.30,0.43,90.7,NaN,NaN,0.87,NaN,0.25,NaN,0.76,85.3,NaN,NaN,29.6,NaN,21.4,NaN,3.00,NaN,S,0,R,R,R,R,R,R,PR,3,3,3,1360,NaN,0.531,416.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Marcari et al. (2007),9,P#2,Monotonic,0,Laboratory,D,Hydraulic lime mortar,3,Tuff,1570,1480,530,785,0.50,1.66,1,NaN,630,NaN,250,400,2.1,NaN,2,NaN,0.5,0.320,0.24,95.70,0.71,136.9,NaN,NaN,1.88,NaN,0.31,NaN,1.28,125.5,NaN,NaN,28.5,NaN,25.7,NaN,4.12,NaN,S,0,R,R,R,R,R,R,PR,3,3,3,1360,NaN,0.531,416.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Marcari et al. (2007),9,P#3,Monotonic,0,Laboratory,D,Hydraulic lime mortar,3,Tuff,1570,1480,530,785,0.50,1.66,1,NaN,630,NaN,250,400,2.1,NaN,2,NaN,0.5,0.320,0.21,86.10,0.58,123.2,NaN,NaN,1.65,NaN,0.29,NaN,1.25,113.6,NaN,NaN,27.0,NaN,25.4,NaN,4.38,NaN,S,0,R,R,R,R,R,R,PR,3,3,3,1360,NaN,0.531,416.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Marcari et al. (2007),9,P#4,Monotonic,0,Laboratory,D,Hydraulic lime mortar,3,Tuff,1570,1480,530,785,0.50,1.66,1,NaN,630,NaN,250,400,2.1,NaN,2,NaN,0.5,0.320,0.17,123.20,0.37,177.1,NaN,NaN,1.11,NaN,0.22,NaN,0.82,162.4,NaN,NaN,32.0,NaN,47.5,NaN,3.75,NaN,S,0,R,R,R,R,R,R,PR,3,3,3,1360,NaN,0.531,416.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Costa et al. (2011),10,PS_1,Cyclic,3,In-situ,A,Air lime mortar,3,Basalt stone,1960,2270,660,1960,1.00,1.40,3,NaN,NaN,230,NaN,NaN,NaN,NaN,NaN,NaN,0,0.036,0.01,6.49,0.48,41.2,0.25,48.7,1.22,1.05,0.18,0.10,1.22,38.2,0.81,42.8,25.9,27.9,10.6,23.0,6.65,8.55,"S, SL",0,,,,,,,,,,,0,NaN,0.050,75.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Pinho et al. (2012),11,M20,Monotonic,0,Laboratory,A,Air lime mortar,3,Calcareous,1190,1190,400,1265,1.06,0.43,1,NaN,305,NaN,NaN,NaN,47.8,NaN,0.7,2500,0.226875,0.583,NaN,NaN,0.36,24.9,NaN,NaN,0.78,NaN,0.07,NaN,0.61,23.0,NaN,NaN,73.2,NaN,26.1,NaN,8.76,NaN,"S, TC",0,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.251,119.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Pinho et al. (2012),11,M5,Monotonic,0,Laboratory,A,Air lime mortar,3,Calcareous,1200,1190,400,1275,1.06,0.43,1,NaN,305,NaN,NaN,NaN,47.8,NaN,0.7,2500,0.22875,0.588,NaN,NaN,0.22,22.4,NaN,NaN,0.42,NaN,0.08,NaN,0.34,21.1,NaN,NaN,73.9,NaN,22.0,NaN,4.57,NaN,"S, TC",0,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.253,120.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Pinho et al. (2012),11,M12,Monotonic,0,Laboratory,A,Air lime mortar,3,Calcareous,1200,1200,400,1275,1.06,0.43,1,NaN,305,NaN,NaN,NaN,47.8,NaN,0.7,2500,0.226875,0.583,NaN,NaN,0.31,24.1,NaN,NaN,0.72,NaN,0.07,NaN,0.56,22.0,NaN,NaN,135.0,NaN,26.3,NaN,8.61,NaN,"S, TC",0,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.251,120.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Pinho et al. (2012),11,M10,Monotonic,0,Laboratory,A,Air lime mortar,3,Calcareous,1200,1190,400,1275,1.06,0.63,1,NaN,488,NaN,NaN,NaN,47.8,NaN,0.7,2500,0.33125,0.566,NaN,NaN,0.44,34.4,NaN,NaN,1.31,NaN,0.15,NaN,1.14,32.3,NaN,NaN,103.4,NaN,16.7,NaN,7.48,NaN,"S, TC",0,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.355,169.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Pinho et al. (2012),11,M13,Monotonic,0,Laboratory,A,Air lime mortar,3,Calcareous,1200,1210,400,1275,1.06,0.63,1,NaN,488,NaN,NaN,NaN,47.8,NaN,0.7,2500,0.327708333,0.560,NaN,NaN,0.49,28.1,NaN,NaN,0.94,NaN,0.14,NaN,0.87,26.8,NaN,NaN,52.5,NaN,15.4,NaN,6.34,NaN,"S, TC",0,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.352,170.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Pinho et al. (2012),11,M17,Cyclic,3,Laboratory,A,Air lime mortar,3,Calcareous,1200,1200,400,1275,1.06,0.63,1,NaN,488,NaN,NaN,NaN,47.8,NaN,0.7,2500,0.333958333,0.570,NaN,NaN,0.49,48.2,0.22,45.0,0.49,0.60,0.17,0.08,0.49,45.4,0.60,40.1,30.7,39.6,20.9,39.6,2.88,7.49,"S, TC",0,NR,NR,NR,NR,NR,PR,R,0.5,1,0.5,0,NaN,0.358,171.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Lourenço et al. (2005),12,SW.30.1,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,566,12750,NaN,100,200,91.6,15500,NaN,NaN,0.15,0.003,NaN,NaN,2.60,21.9,NaN,NaN,3,NaN,0.36,NaN,3.00,17.9,NaN,NaN,15.4,NaN,5.0,NaN,8.32,NaN,"F, R, SL",1,R,R,R,R,R,R,R,10,10,10,1900,NaN,0.168,33.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Lourenço et al. (2005),12,SW.30.2,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,566,12750,NaN,100,200,91.6,15500,NaN,NaN,0.15,0.003,NaN,NaN,0.88,22.9,NaN,NaN,1.74,NaN,0.30,NaN,0.94,20.4,NaN,NaN,15.4,NaN,6.9,NaN,3.14,NaN,"F, R, SL",1,R,R,R,R,R,R,R,10,10,10,1900,NaN,0.168,33.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Lourenço et al. (2005),12,SW.100.1,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,756,12750,NaN,100,200,91.6,15500,NaN,NaN,0.5,0.009,NaN,NaN,1.01,41.5,NaN,NaN,2.16,NaN,0.53,NaN,1.26,39.7,NaN,NaN,16.8,NaN,7.5,NaN,2.39,NaN,"F, TC, SL",1,R,R,R,R,R,R,R,10,10,10,1900,NaN,0.518,103.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Lourenço et al. (2005),12,SW.100.2,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,756,12750,NaN,100,200,91.6,15500,NaN,NaN,0.5,0.009,NaN,NaN,0.70,48.2,NaN,NaN,2.48,NaN,0.44,NaN,1.89,43.7,NaN,NaN,11.8,NaN,10.0,NaN,4.30,NaN,"F, TC, SL",0.5,R,R,R,R,R,R,R,10,10,10,1900,NaN,0.518,103.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Lourenço et al. (2005),12,SW.200.1,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,1135.5,12750,NaN,100,200,91.6,15500,NaN,NaN,1,0.018,NaN,NaN,0.96,71.6,NaN,NaN,2.46,NaN,0.40,NaN,1.62,64.6,NaN,NaN,53.4,NaN,16.3,NaN,4.09,NaN,"TC, SL",0.5,R,R,R,R,R,R,R,10,10,10,1900,NaN,1.018,203.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Lourenço et al. (2005),12,SW.200.2,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,1135.5,12750,NaN,100,200,91.6,15500,NaN,NaN,1,0.018,NaN,NaN,1.91,68.6,NaN,NaN,2.27,NaN,0.48,NaN,2.27,62.3,NaN,NaN,19.1,NaN,13.0,NaN,4.72,NaN,"TC, SL",0.5,R,R,R,R,R,R,R,10,10,10,1900,NaN,1.018,203.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Lourenço et al. (2005),12,SW.250.1,Monotonic,0,Laboratory,E1,Dry,1,Sandstone,900,1000,200,1000,1.11,56.80,2,1188.5,12750,NaN,100,200,91.6,15500,NaN,NaN,1.25,0.022,NaN,NaN,0.88,102.7,NaN,NaN,2.99,NaN,0.41,NaN,0.93,99.3,NaN,NaN,56.1,NaN,24.1,NaN,2.26,NaN,"TC, SL",0.5,R,R,R,R,R,R,R,10,10,10,1900,NaN,1.268,253.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Almeida et al. (2014),13,R4,Cyclic,3,Laboratory,E,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,27.30,1,4310,2100,2360,450,900,61.1,20000,1.53,87,0.4,0.016,0.18,47.15,0.49,61.5,1.01,69.8,0.87,1.01,0.19,0.30,0.87,59.8,1.01,65.9,74.8,398.5,15.8,11.4,4.49,3.39,R,1,R,R,R,R,R,R,R,10,10,10,1610,NaN,0.436,146.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Almeida et al. (2014),13,R5,Cyclic,3,Laboratory,E,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,27.30,1,2970,2100,2360,450,900,61.1,20000,1.53,87,0.8,0.031,0.28,73.31,0.72,82.7,1.11,92.8,0.72,1.11,0.14,0.26,0.72,77.2,1.11,90.9,84.2,38.0,28.5,18.1,5.19,4.31,"R, SL",1,R,R,R,R,R,R,R,10,10,10,1610,NaN,0.836,280.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Almeida et al. (2014),13,R6,Cyclic,3,Laboratory,E,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,27.30,1,8000,2100,2360,450,900,61.1,20000,1.53,87,1.2,0.045,0.54,100.42,1.60,125.0,1.90,126.5,2,1.90,0.55,0.28,2.00,123.7,1.90,118.0,116.7,288.1,11.6,21.4,3.67,6.70,"R, SL",1,R,R,R,R,R,R,R,10,10,10,1610,NaN,1.236,415.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Almeida et al. (2014),13,PR4,Cyclic,3,Laboratory,E,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,4.14,1,330,340,720,450,900,43.8,13850,1.78,27,0.4,0.105,0.26,37.13,0.45,54.3,0.56,48.6,0.45,0.87,0.25,0.33,0.45,48.9,0.87,48.6,21.3,55.5,10.1,7.6,1.82,2.64,"R, SL",1,R,R,R,NR,R,R,R,9,8,9,1210,NaN,0.436,146.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Almeida et al. (2014),13,PR5,Cyclic,3,Laboratory,E,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,4.14,1,420,340,720,450,900,43.8,13850,1.78,27,0.8,0.202,0.53,66.96,1.50,89.5,1.50,86.4,1.5,1.50,0.23,0.88,1.50,86.2,1.50,86.4,87.4,26.1,18.9,5.1,6.41,1.71,"R, SL",1,R,R,R,NR,R,R,R,9,8,9,1410,NaN,0.836,280.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Almeida et al. (2014),13,PR6,Cyclic,3,Laboratory,E,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,4.14,1,410,340,720,450,900,43.8,13850,1.78,27,1.2,0.299,0.44,101.40,1.14,120.1,1.07,57.7,1.54,1.07,0.33,0.21,1.54,116.6,1.07,54.1,36.3,20.8,18.1,13.5,4.68,5.20,"R, SL",1,R,R,R,NR,R,R,R,9,8,9,1710,NaN,1.236,415.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Almeida et al. (2014),13,IR4,Cyclic,3,Laboratory,C,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,3.93,1,210,290,750,300,700,54.9,16000,1.28,22,0.4,0.111,0.23,34.17,0.71,46.9,0.72,42.5,1.11,1.20,0.27,0.23,1.11,45.7,1.20,41.6,104.7,61.6,8.6,9.2,4.09,5.19,"F, TC",1,PR,R,R,NR,R,R,R,8,7.5,8,1370,NaN,0.436,146.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Almeida et al. (2014),13,IR5,Cyclic,3,Laboratory,C,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,3.93,1,220,290,750,300,700,54.9,16000,1.28,22,0.8,0.213,0.24,53.16,1.07,79.4,0.71,68.6,1.15,1.09,0.26,0.31,1.15,75.4,1.09,66.5,25.4,94.5,14.7,11.0,4.39,3.52,"F, TC",1,PR,R,R,NR,R,R,R,8,7.5,8,1250,NaN,0.836,280.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Almeida et al. (2014),13,IR6,Cyclic,3,Laboratory,C,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,3.93,1,230,290,750,300,700,54.9,16000,1.28,22,1.2,0.315,0.21,68.07,0.81,137.2,0.74,97.7,0.81,0.83,0.46,0.36,0.81,134.4,0.83,92.6,26.5,52.4,15.0,13.2,1.76,2.31,"F, TC",1,PR,R,R,NR,R,R,R,8,7.5,8,1070,NaN,1.236,415.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Almeida et al. (2014),13,IR4++,Cyclic,3,Laboratory,C,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,3.16,1,170,220,390,200,400,67.5,19800,1.29,20,0.4,0.138,0.25,17.31,0.92,50.4,1.04,39.9,0.92,1.23,0.46,0.29,0.92,49.3,1.23,37.0,13.2,48.0,5.5,6.5,2.02,4.23,"F, TC",1,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1500,NaN,0.436,146.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Almeida et al. (2014),13,IR5++,Cyclic,3,Laboratory,C,Air lime mortar,1,Granite,1800,1200,280,1950,1.08,3.16,1,220,220,390,200,400,67.5,19800,1.29,20,0.8,0.265,0.26,48.04,0.54,65.7,0.81,49.9,0.76,0.81,0.21,0.23,0.76,63.5,0.81,46.6,24.4,68.0,15.6,10.5,3.65,3.55,"F, TC",1,NR,R,PR,NR,PR,R,R,5,5.5,5.5,1300,NaN,0.836,280.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
