load_step_names,image_names,Fh,u,Fv_total,Fv_s,Fv_n,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0010,0.2677,NaN,-3.051,-1.64,-1.411,0.00013,-0.00944,0.02139,0.03627,-0.00107,0.0001,-0.0003,-0.00075,0.0016,-0,-0,-0.00083,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0011,0.02109,NaN,-5.611,-2.55,-3.061,0.00016,-0.00944,0.01367,0.03407,-0.00105,-0,-0.00027,-0.00078,0.00138,-0,-0,-0.00087,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0012,0.4099,NaN,-7.857,-4.005,-3.852,0.00026,-0.00929,0.00751,0.01584,-0.00093,-0,-0.00026,-0.00071,0.00095,-0,-0,-0.00077,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0013,0.2206,NaN,-8.042,-3.864,-4.178,0.00024,-0.00914,0.00678,0.0195,-0.00092,0.0001,-0.0002,-0.0007,0.00094,-0,-0,-0.00077,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0014,0.2672,NaN,-8.196,-3.989,-4.207,0.00029,-0.00918,0.0067,0.01754,-0.00095,-0,-0.00024,-0.00072,0.00091,-0,-0,-0.00073,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0015,0.2542,NaN,-8.275,-4.018,-4.257,0.00026,-0.00923,0.00666,0.01764,-0.00095,-0,-0.00026,-0.00068,0.00094,-0,-0,-0.00071,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0016,0.4568,NaN,-8.118,-3.993,-4.125,0.00018,-0.00929,0.00524,0.02007,-0.00097,-0,-0.00025,-0.00071,0.00072,-0,-0,-0.00081,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0017,0,NaN,-7.936,-4.047,-3.889,0.00015,-0.00946,0.01106,0.00674,-0.00093,-0,-0.00032,-0.00071,0.00108,-0,-0,-0.0008,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0018,0.1396,NaN,-9.544,-5.884,-3.66,-0.01331,-0.00975,0.05132,-0.04179,-0.00093,-0,-0.00025,-0.00031,0.0019,-0,-0,-0.0006,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0019,0.2995,NaN,-12.026,-7.809,-4.217,-0.05828,-0.00985,0.08393,-0.08901,-0.00101,0.00011,-0.00027,-0,0.0023,-0,-0,-0.00031,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0020,-0.07266,NaN,-14.625,-10.19,-4.435,-0.1579,-0.05366,0.1987,-0.2163,-0.00182,0.00058,-0.0006,0.00209,0.00271,-0,-0,0.00061,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0021,0.03281,NaN,-16.953,-10.12,-6.833,-0.1562,-0.0582,0.1376,-0.1745,-0.00162,0.00044,-0.00056,0.0015,0.00257,-0,-0,0.00055,0.00012,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0022,0.2234,NaN,-19.312,-10.02,-9.292,-0.1553,-0.05929,0.06132,-0.1223,-0.0008,0.00016,-0.0004,0.00065,0.00176,-0,-0,0.0005,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0023,0.4258,NaN,-19.973,-10.1,-9.873,-0.1546,-0.05944,0.02745,-0.1,-0.00045,-0,-0.0003,0.00024,0.00083,-0.0004,-0,0.00038,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0024,0.4253,NaN,-20.3,-10.07,-10.23,-0.1543,-0.05934,0.02183,-0.09329,-0.00044,-0,-0.00027,0.00014,0.0007,-0.00056,-0,0.00038,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0025,0.4404,NaN,-20.2,-10.14,-10.06,-0.154,-0.05933,0.02074,-0.0958,-0.00041,-0,-0.00022,0.00018,0.00081,-0.00054,-0,0.00041,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0026,0.3951,NaN,-20.139,-9.909,-10.23,-0.1541,-0.05936,0.02061,-0.09185,-0.00041,-0,-0.00027,0.00018,0.00077,-0.00062,-0,0.00042,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0027,0.413,NaN,-20.177,-9.947,-10.23,-0.154,-0.05933,0.02027,-0.09202,-0.00044,-0,-0.00026,0.0002,0.00084,-0.00064,-0.00011,0.00038,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0028,0.00182,NaN,-20.17,-10.03,-10.14,-0.1538,-0.05928,0.0298,-0.1038,-0.00044,0.0001,-0.00023,0.00022,0.00146,-0.00058,-0,0.00043,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0029,0.3693,NaN,-20.22,-10.11,-10.11,-0.1539,-0.05931,0.02636,-0.09902,-0.00045,-0,-0.0003,0.0002,0.00124,-0.00066,-0,0.0004,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0030,-0.08229,NaN,-20.09,-10.08,-10.01,-0.1537,-0.05921,0.02894,-0.1076,-0.00041,0.0001,-0.00017,0.00022,0.00155,-0.0006,-0,0.0004,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0031,-0.07969,NaN,-20.063,-10.1,-9.963,-0.1538,-0.05931,0.02564,-0.106,-0.00043,-0,-0.0002,0.00016,0.00145,-0.00062,-0.00011,0.00042,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0032,-0.09401,NaN,-20.148,-10.2,-9.948,-0.1537,-0.05926,0.02876,-0.109,-0.00041,0.00011,-0.00022,0.00022,0.00155,-0.00059,-0,0.00041,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0033,-0.1505,NaN,-19.995,-10.1,-9.895,-0.1537,-0.05921,0.02915,-0.1095,-0.00042,-0,-0.00025,0.0002,0.00157,-0.00067,-0,0.00039,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0034,0.3323,NaN,-21.58,-10.86,-10.72,-0.1537,-0.05919,0.01387,-0.1028,-0.00029,-0,-0.00016,-0,0.00077,-0.00097,-0,0.00045,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0035,0.3445,NaN,-22.55,-11.21,-11.34,-0.1536,-0.05918,0.01416,-0.1017,-0.00029,-0,-0.00013,-0,0.00065,-0.00095,-0,0.00041,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0036,0.3169,NaN,-22.33,-11.09,-11.24,-0.1537,-0.05916,0.01587,-0.1026,-0.00035,-0,-0.00018,-0,0.00082,-0.00101,-0,0.00039,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0037,0.05234,NaN,-20.46,-10.32,-10.14,-0.1536,-0.05921,0.01937,-0.1059,-0.00026,-0,-0.00014,-0,0.0013,-0.00095,-0,0.0004,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0038,0.3109,NaN,-22.02,-11,-11.02,-0.1536,-0.05923,0.01493,-0.1023,-0.00032,-0,-0.00021,-0,0.0008,-0.00104,-0,0.00037,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0039,0.326,NaN,-21.96,-10.97,-10.99,-0.1535,-0.05924,0.01736,-0.1028,-0.00027,-0,-0.00012,-0,0.00098,-0.00095,-0,0.00044,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0040,0.06224,NaN,-20.59,-10.37,-10.22,-0.1536,-0.05933,0.01845,-0.1062,-0.0003,-0,-0.00021,-0,0.00121,-0.00099,-0,0.0004,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0041,0.2779,NaN,-21.47,-10.8,-10.67,-0.1537,-0.05928,0.01473,-0.1039,-0.00025,-0,-0.00012,-0,0.00087,-0.00097,-0,0.00038,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0042,0.3323,NaN,-21.94,-10.96,-10.98,-0.1535,-0.05919,0.01695,-0.1029,-0.00025,-0,-0.00012,-0,0.00096,-0.00095,-0,0.00042,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0043,0.02266,NaN,-20.65,-10.37,-10.28,-0.1537,-0.05919,0.0172,-0.1058,-0.00027,-0,-0.00017,-0,0.00121,-0.00093,-0,0.00041,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0044,0.2875,NaN,-22.17,-11.03,-11.14,-0.1536,-0.05906,0.01478,-0.1025,-0.00033,-0,-0.00018,-0,0.00086,-0.00101,-0,0.00044,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0045,0.00156,NaN,-21.27,-10.57,-10.7,-0.1536,-0.05918,0.01901,-0.1055,-0.00032,-0,-0.0002,-0,0.0012,-0.001,-0,0.00039,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0046,0.00547,NaN,-21.58,-10.72,-10.86,-0.1536,-0.05918,0.01475,-0.1047,-0.00026,-0,-0.00016,-0,0.00099,-0.001,-0,0.00037,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0047,0.1724,NaN,-23,-11.38,-11.62,-0.1536,-0.05915,0.01329,-0.1057,-0.00029,-0,-0.00013,-0,0.00077,-0.00102,-0,0.00044,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0048,0.4089,NaN,-22.61,-11.51,-11.1,-0.1535,-0.05921,0.01533,-0.1106,-0.00024,-0,-0.00011,-0,0.00099,-0.00107,-0,0.00048,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0049,-0.02891,NaN,-23.57,-11.83,-11.74,-0.1536,-0.05916,0.01261,-0.1153,-0.00027,-0,-0.00016,-0,0.0009,-0.00117,-0,0.0004,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0050,0.1534,NaN,-23.42,-11.82,-11.6,-0.1536,-0.05923,0.00874,-0.1127,-0.0002,-0,-0.00014,-0,0.00071,-0.00128,-0,0.00042,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0051,0.4589,NaN,-24.24,-12.26,-11.98,-0.1536,-0.05921,0.00691,-0.1112,-0.00015,-0,-0,-0,0.00041,-0.00127,-0,0.00045,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0052,0.4036,NaN,-24.6,-12.49,-12.11,-0.1535,-0.05926,0.00693,-0.1163,-0.00012,-0,-0.00013,-0,0.00053,-0.00134,-0,0.00044,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0053,0.03359,NaN,-25.41,-12.8,-12.61,-0.1537,-0.05921,0.00335,-0.1202,-0,-0,-0,-0,0.00047,-0.00138,-0,0.00046,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0054,0.363,NaN,-25.75,-12.98,-12.77,-0.1537,-0.05934,0.00131,-0.1164,-0,-0.00011,-0,-0.00012,0.00012,-0.00149,-0,0.00043,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0055,-0.01094,NaN,-26.89,-13.43,-13.46,-0.1537,-0.05931,0.00116,-0.1242,-0,-0,-0,-0,0.00024,-0.00149,-0,0.00038,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0056,0.1612,NaN,-27.14,-13.47,-13.67,-0.1536,-0.05929,-0.00482,-0.1183,0.00016,-0.00012,-0,-0.00016,-0.00014,-0.00159,-0,0.00042,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0057,0.2734,NaN,-27.29,-13.62,-13.67,-0.1537,-0.05926,-0.0048,-0.1202,0.00013,-0.0002,-0,-0.00012,-0,-0.00169,-0,0.00042,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0058,0.07396,NaN,-27.66,-13.89,-13.77,-0.1537,-0.05933,-0.00629,-0.1252,0.00021,-0.00016,-0,-0.00016,-0,-0.00173,-0,0.00046,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0059,0.1885,NaN,-28.3,-14.05,-14.25,-0.1536,-0.0591,-0.0113,-0.1216,0.00028,-0.00017,-0,-0.00019,-0.00033,-0.00185,-0,0.00047,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0060,0.1823,NaN,-28.41,-14.13,-14.28,-0.1536,-0.05915,-0.01166,-0.1229,0.00031,-0.00019,-0,-0.00021,-0.00031,-0.00184,-0,0.00044,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0061,0.1128,NaN,-26.59,-13.41,-13.18,-0.1536,-0.05906,-0.01251,-0.1235,0.00027,-0.00023,-0,-0.00026,0.00016,-0.00191,-0,0.00046,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0062,0.2529,NaN,-21.68,-10.82,-10.86,-0.1536,-0.05906,-0.00563,-0.1055,0.00033,-0.00016,-0,-0.00022,0.00069,-0.00187,-0,0.00039,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0063,0.07448,NaN,-15.622,-7.842,-7.78,-0.1537,-0.05916,0.01364,-0.08939,0.0003,-0,-0,-0.00011,0.00192,-0.00173,-0,0.0004,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0064,0.1974,NaN,-10.618,-5.341,-5.277,-0.1529,-0.05931,0.0241,-0.06571,-0,-0,-0,-0.00012,0.00221,-0.00142,-0,0.00023,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0065,0.3641,NaN,-10.11,-5.214,-4.896,-0.1527,-0.05929,0.03093,-0.06442,-0.00019,-0,-0,-0,0.00242,-0.00118,-0,0.0002,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0066,0.1393,NaN,-10.192,-5.239,-4.953,-0.152,-0.05923,0.03268,-0.06699,-0.00023,-0,-0,-0,0.00246,-0.00119,-0,0.00018,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0067,0.2815,NaN,-10.182,-5.024,-5.158,-0.152,-0.05929,0.0305,-0.0571,-0.00023,-0,-0,-0,0.00241,-0.00114,-0,0.00016,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0068,-0.07552,NaN,-10.289,-5.063,-5.226,-0.1517,-0.05918,0.03264,-0.06431,-0.00023,-0,-0,-0,0.00248,-0.00118,-0,0.00015,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0069,-0.00755,NaN,-12.033,-5.851,-6.182,-0.1516,-0.05918,0.02729,-0.06379,-0.00024,-0,-0,-0,0.00236,-0.00118,-0,0.00014,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0070,0.3177,NaN,-16.762,-8.349,-8.413,-0.1516,-0.05918,0.01486,-0.08066,-0.00016,-0,-0,-0,0.00192,-0.00113,-0,0.00019,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0071,-0.0401,NaN,-22.13,-11.03,-11.1,-0.1516,-0.05921,0.00919,-0.1059,-0,-0.00012,-0,-0,0.00161,-0.00125,-0,0.00025,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0072,-0.1542,NaN,-28.69,-14.3,-14.39,-0.1518,-0.05911,-0.0094,-0.1285,0.00029,-0.0002,-0,-0,0.00029,-0.00181,-0,0.00029,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0073,0.2878,NaN,-31.97,-15.97,-16,-0.1518,-0.05916,-0.03037,-0.1282,0.0006,-0.0004,0.00015,-0.00039,-0.00086,-0.00224,-0,0.00033,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0074,0.2466,NaN,-37.9,-19.01,-18.89,-0.1521,-0.05936,-0.05911,-0.152,0.00127,-0.00066,0.00041,-0.00075,-0.00189,-0.00276,-0,0.00059,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0075,0.1216,NaN,-41.94,-20.94,-21,-0.152,-0.05926,-0.08782,-0.163,0.00187,-0.00081,0.00066,-0.00124,-0.00276,-0.00313,-0,0.00096,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0076,0.1552,NaN,-46.83,-23.45,-23.38,-0.1523,-0.05915,-0.1173,-0.1824,0.0024,-0.00112,0.00089,-0.00193,-0.00361,-0.00359,0.00013,0.00139,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0077,0.2583,NaN,-52.88,-26.52,-26.36,-0.1526,-0.05901,-0.16,-0.2024,0.00332,-0.00148,0.00127,-0.00321,-0.00461,-0.0043,0.00023,0.00188,0.00011,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0078,0.06719,NaN,-56.36,-28.12,-28.24,-0.153,-0.05877,-0.1864,-0.2161,0.00395,-0.00172,0.00148,-0.00425,-0.00461,-0.00483,0.00025,0.00203,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0079,0.06953,NaN,-56.11,-27.98,-28.13,-0.1243,-0.05176,-0.1946,-0.2187,0.00424,-0.00177,0.00163,-0.00461,-0.00445,-0.00509,0.00032,0.00217,0.00012,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0080,0.2268,NaN,-53.93,-26.99,-26.94,-0.1243,-0.0518,-0.1969,-0.2176,0.00429,-0.00176,0.00163,-0.00472,-0.00405,-0.00512,0.00033,0.00223,0.00014,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0081,0.2276,NaN,-48.77,-24.47,-24.3,-0.1241,-0.05152,-0.1905,-0.2082,0.00428,-0.00174,0.00172,-0.0045,-0.00221,-0.00513,0.00036,0.00225,0.00017,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0082,0.15,NaN,-42.97,-21.45,-21.52,-0.1242,-0.05162,-0.1784,-0.1954,0.00425,-0.00174,0.00159,-0.00426,-0.00052,-0.00516,0.00032,0.00218,0.00014,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0083,0.2263,NaN,-38.93,-19.53,-19.4,-0.124,-0.05155,-0.1675,-0.1868,0.00427,-0.0017,0.00163,-0.00398,0.00088,-0.00513,0.00034,0.00219,0.00017,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0084,0.1997,NaN,-33.95,-17.03,-16.92,-0.124,-0.0516,-0.1536,-0.1742,0.00413,-0.00173,0.00148,-0.00367,0.00229,-0.00511,0.00029,0.00209,0.00012,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0085,0.238,NaN,-28.91,-14.52,-14.39,-0.124,-0.05176,-0.1389,-0.1593,0.00389,-0.0017,0.00136,-0.00326,0.00341,-0.00508,0.00027,0.00205,0.00014,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0086,0.2951,NaN,-22.51,-11.41,-11.1,-0.1236,-0.05188,-0.1135,-0.139,0.00355,-0.00154,0.00124,-0.00265,0.00457,-0.00475,0.00027,0.0018,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0087,0.131,NaN,-18.175,-9.093,-9.082,-0.1234,-0.0519,-0.101,-0.1205,0.0032,-0.00146,0.00111,-0.00221,0.00516,-0.00451,0.00025,0.00161,0.00013,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0088,0.1479,NaN,-13.985,-6.939,-7.046,-0.1228,-0.05204,-0.09,-0.09513,0.00277,-0.00144,0.00093,-0.00189,0.00557,-0.0043,0.0002,0.0013,0.00012,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0089,0.2581,NaN,-9.936,-5.12,-4.816,-0.1226,-0.05201,-0.06058,-0.08193,0.00206,-0.00115,0.00076,-0.00148,0.00611,-0.00353,0.00019,0.00092,0.0001,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0090,0.156,NaN,-10.166,-5.055,-5.111,-0.1224,-0.05211,-0.06071,-0.07554,0.00203,-0.00116,0.00076,-0.00148,0.00609,-0.00352,0.00019,0.00083,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0091,0.1938,NaN,-12.291,-6.208,-6.083,-0.1222,-0.05198,-0.06094,-0.08627,0.00204,-0.00116,0.00078,-0.00144,0.00617,-0.00348,0.00019,0.00083,-0,-0.00011
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0092,0.1677,NaN,-17.538,-8.724,-8.814,-0.1221,-0.05196,-0.08037,-0.1029,0.00214,-0.00127,0.00079,-0.00162,0.00609,-0.00351,0.00014,0.00082,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0093,0.2591,NaN,-22.63,-11.28,-11.35,-0.1219,-0.05193,-0.09899,-0.1238,0.00248,-0.00133,0.00094,-0.00183,0.00581,-0.00351,0.00023,0.00097,0.00016,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0094,0.00964,NaN,-27.99,-14.04,-13.95,-0.1219,-0.05194,-0.1098,-0.1505,0.00278,-0.00142,0.00101,-0.00207,0.00545,-0.0036,0.00025,0.00102,0.00012,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0095,0.03568,NaN,-33.3,-16.73,-16.57,-0.1219,-0.05206,-0.1323,-0.1654,0.00315,-0.00159,0.00114,-0.0026,0.00425,-0.00404,0.00026,0.00119,0.00012,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0096,0.2484,NaN,-38.43,-19.17,-19.26,-0.1219,-0.05194,-0.1527,-0.1714,0.00349,-0.00166,0.00132,-0.00309,0.00248,-0.00437,0.00029,0.00145,0.00016,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0097,0.3635,NaN,-43.33,-21.7,-21.63,-0.1219,-0.05194,-0.1657,-0.1866,0.00372,-0.00177,0.00137,-0.00353,0.00092,-0.00467,0.00027,0.00161,-0,-0.00012
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0098,0.00417,NaN,-48.54,-24.23,-24.31,-0.122,-0.05199,-0.1769,-0.2044,0.00397,-0.00178,0.00149,-0.00394,-0,-0.00494,0.00031,0.00192,0.00018,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0099,0.1935,NaN,-52.46,-26.17,-26.29,-0.1219,-0.05206,-0.1936,-0.2101,0.00421,-0.00179,0.00167,-0.00447,-0.00117,-0.00517,0.0003,0.00203,0.00015,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0100,0.04609,NaN,-58.48,-29.19,-29.29,-0.1222,-0.05199,-0.2125,-0.2299,0.00462,-0.00192,0.00182,-0.00548,-0.00218,-0.00551,0.00032,0.00229,-0,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0101,0.3307,NaN,-62.16,-31.18,-30.98,-0.1223,-0.05204,-0.2324,-0.2409,0.00507,-0.00211,0.00199,-0.00629,-0.00282,-0.00581,0.0004,0.00261,0.00017,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0102,0.1786,NaN,-67.45,-33.69,-33.76,-0.1224,-0.05196,-0.2642,-0.2565,0.00589,-0.00243,0.0023,-0.00787,-0.00374,-0.00642,0.00046,0.00307,0.0002,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0103,0.1247,NaN,-72.42,-36.19,-36.23,-0.1221,-0.05181,-0.2909,-0.2782,0.00679,-0.0027,0.00259,-0.00937,-0.00448,-0.00695,0.00057,0.00359,0.00029,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0104,0.1786,NaN,-77.47,-38.72,-38.75,-0.1222,-0.05183,-0.3225,-0.2981,0.00798,-0.00307,0.00282,-0.01108,-0.0055,-0.00754,0.00064,0.00404,0.00015,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0105,0.07526,NaN,-82.05,-40.95,-41.1,-0.1221,-0.05185,-0.3584,-0.3185,0.00935,-0.00345,0.00318,-0.01335,-0.00637,-0.00836,0.00081,0.00468,0.00034,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0106,0.1536,NaN,-82.31,-41.11,-41.2,-0.122,-0.05175,-0.3658,-0.3226,0.00973,-0.00341,0.00337,-0.01385,-0.00654,-0.00855,0.00088,0.00494,0.00043,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0107,0.1745,NaN,-77.77,-38.92,-38.85,-0.122,-0.05172,-0.3687,-0.3196,0.00985,-0.00342,0.00343,-0.01401,-0.00564,-0.00871,0.00088,0.00491,0.00036,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0108,0.231,NaN,-72.48,-36.33,-36.15,-0.1219,-0.05155,-0.3625,-0.3107,0.00984,-0.00348,0.00335,-0.01369,-0.004,-0.00874,0.00083,0.00489,0.00038,-0.0001
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0109,0.2125,NaN,-68.65,-34.4,-34.25,-0.1219,-0.05152,-0.3546,-0.304,0.00983,-0.00344,0.00339,-0.01335,-0.0026,-0.0087,0.00087,0.00494,0.00041,-0
RS3_LS00_to_LS01,LS00_to_LS01_RS3_0110,0.1776,NaN,-62.66,-31.33,-31.33,-0.1217,-0.05155,-0.3433,-0.2919,0.00982,-0.00344,0.00335,-0.01292,-0.00048,-0.00868,0.00085,0.00492,0.00046,-0.00013
