Test unit,E7
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.12,-5.9,-0.01
-0.12,-4.8,-0.01
-0.11,-3.8,-0.009
-0.11,-2.6,-0.009
-0.1,-1.4,-0.008
-0.09,-0.4,-0.008
-0.08,0.6,-0.007
-0.07,1.6,-0.006
-0.07,2.7,-0.006
-0.05,3.6,-0.004
-0.03,4.6,-0.003
-0.04,5.7,-0.003
-0.03,6.9,-0.003
-0.03,7.9,-0.003
-0.02,9,-0.002
-0.01,10,-0.001
-0,10.9,-0
0,12,0
0,13,0
0.01,14,0.001
0.03,15.1,0.002
0.05,16.2,0.004
0.05,17.3,0.004
0.05,18.5,0.004
0.05,19.7,0.004
0.05,20.7,0.005
0.06,21.7,0.005
0.07,22.7,0.006
0.08,23.7,0.007
0.09,24.8,0.007
0.1,26,0.008
0.1,27,0.009
0.11,28,0.01
0.12,29.3,0.01
0.12,30.2,0.011
0.13,31.6,0.012
0.14,32.7,0.012
0.16,33.9,0.014
0.18,34.7,0.015
0.18,35.7,0.016
0.19,36.8,0.016
0.2,38.1,0.017
0.21,39.3,0.018
0.21,40.4,0.018
0.23,41.2,0.02
0.24,42.2,0.021
0.26,43.2,0.022
0.26,44.3,0.023
0.28,45.5,0.024
0.29,46.4,0.025
0.3,47.3,0.026
0.32,48.3,0.028
0.33,49.3,0.029
0.34,50.4,0.03
0.35,51.5,0.03
0.36,52.2,0.031
0.37,53,0.033
0.38,54.3,0.033
0.39,55.3,0.034
0.4,56.2,0.034
0.4,57.1,0.035
0.41,58.2,0.036
0.43,59.1,0.037
0.44,59.9,0.039
0.46,60.8,0.04
0.48,61.5,0.041
0.49,62.3,0.043
0.52,62.9,0.045
0.54,63.6,0.047
0.55,64.7,0.047
0.56,65.7,0.048
0.58,66,0.051
0.6,66.7,0.052
0.62,67.6,0.054
0.64,67.9,0.056
0.67,68.7,0.058
0.68,69.4,0.059
0.7,69.7,0.061
0.72,70.1,0.063
0.74,70.9,0.064
0.76,70.4,0.066
0.76,71.4,0.066
0.77,72.2,0.067
0.77,71.1,0.067
0.78,70,0.068
0.78,71,0.068
0.79,72.1,0.069
0.8,71.2,0.07
0.81,70,0.07
0.83,69.1,0.072
0.82,68.1,0.071
0.8,69.2,0.07
0.8,70.4,0.069
0.8,71.6,0.069
0.81,70.7,0.071
0.81,69.5,0.071
0.82,68.4,0.071
0.82,67.4,0.071
0.82,68.4,0.071
0.81,67.3,0.07
0.81,66.1,0.07
0.8,65.1,0.07
0.79,64.1,0.069
0.78,63.1,0.068
0.78,62,0.068
0.77,61,0.067
0.75,60.3,0.066
0.74,59.3,0.065
0.73,58.2,0.064
0.72,57.3,0.063
0.71,56.4,0.062
0.69,55.3,0.06
0.7,54.1,0.061
0.69,53.2,0.06
0.67,52.4,0.058
0.65,51.5,0.056
0.63,50.5,0.055
0.62,49.5,0.054
0.61,48.5,0.053
0.6,47.5,0.052
0.59,46.4,0.051
0.58,45.5,0.05
0.57,44.4,0.049
0.55,43.4,0.048
0.55,42.3,0.048
0.56,41.1,0.049
0.55,40.1,0.047
0.53,39.2,0.046
0.51,38.2,0.044
0.5,37.3,0.043
0.48,36.2,0.042
0.47,35,0.041
0.46,33.9,0.04
0.45,32.9,0.039
0.45,31.9,0.039
0.43,31,0.038
0.42,30,0.037
0.41,28.8,0.036
0.4,27.8,0.035
0.39,26.7,0.034
0.39,25.5,0.034
0.38,24.3,0.033
0.37,23.3,0.032
0.35,22.4,0.03
0.34,21.3,0.029
0.33,20.2,0.029
0.32,19.2,0.028
0.31,18.1,0.027
0.3,16.9,0.026
0.29,15.9,0.025
0.28,14.8,0.025
0.28,13.6,0.025
0.28,12.5,0.024
0.27,11.5,0.023
0.26,10.4,0.022
0.25,9.3,0.021
0.23,8.2,0.02
0.23,7.2,0.02
0.22,6.1,0.019
0.22,5.1,0.019
0.22,4.1,0.019
0.21,2.9,0.018
0.19,2,0.016
0.18,1,0.015
0.16,-0,0.014
0.16,-1,0.014
0.15,-1.9,0.013
0.14,-3.1,0.012
0.13,-4,0.011
0.12,-5.1,0.01
0.11,-6,0.009
0.1,-7,0.009
0.09,-7.9,0.008
0.07,-8.9,0.006
0.06,-9.9,0.006
0.05,-11.5,0.005
0.05,-12.8,0.004
0.04,-14.1,0.004
0.04,-15.3,0.003
0.04,-16.4,0.003
0.02,-17,0.001
0,-17.7,0
-0.01,-18.6,-0.001
-0.02,-19.6,-0.002
-0.03,-20.6,-0.002
-0.03,-21.6,-0.003
-0.04,-22.9,-0.004
-0.05,-24.1,-0.004
-0.06,-25.1,-0.005
-0.07,-26.1,-0.006
-0.08,-27,-0.007
-0.09,-28,-0.008
-0.1,-29,-0.009
-0.12,-30,-0.01
-0.12,-31,-0.011
-0.14,-32,-0.012
-0.13,-33.1,-0.012
-0.13,-34.2,-0.011
-0.15,-34.9,-0.013
-0.18,-35.7,-0.015
-0.19,-36.6,-0.017
-0.2,-37.5,-0.018
-0.21,-38.5,-0.019
-0.23,-39.5,-0.02
-0.24,-40.5,-0.021
-0.26,-41.4,-0.022
-0.27,-42.2,-0.024
-0.29,-43,-0.025
-0.29,-44,-0.025
-0.32,-44.7,-0.027
-0.34,-45.5,-0.029
-0.35,-46.2,-0.031
-0.37,-47,-0.032
-0.38,-47.1,-0.033
-0.4,-47.9,-0.035
-0.41,-48.8,-0.036
-0.42,-49.8,-0.036
-0.44,-50,-0.039
-0.47,-50.7,-0.041
-0.5,-50.8,-0.043
-0.51,-51.7,-0.044
-0.53,-52.4,-0.046
-0.54,-53.1,-0.047
-0.57,-53.5,-0.05
-0.59,-53.1,-0.051
-0.61,-52.3,-0.053
-0.6,-51.2,-0.053
-0.59,-50.2,-0.051
-0.6,-49.3,-0.052
-0.6,-48.2,-0.052
-0.6,-47.1,-0.052
-0.59,-46,-0.051
-0.58,-45.1,-0.05
-0.57,-43.9,-0.05
-0.57,-42.7,-0.049
-0.56,-41.6,-0.049
-0.54,-40.8,-0.047
-0.54,-39.6,-0.047
-0.54,-38.6,-0.047
-0.54,-37.4,-0.047
-0.53,-36.5,-0.046
-0.53,-35.5,-0.046
-0.52,-34.4,-0.045
-0.51,-33.3,-0.044
-0.5,-32.3,-0.044
-0.5,-31.2,-0.043
-0.48,-30.2,-0.042
-0.46,-29.3,-0.04
-0.46,-28.2,-0.04
-0.46,-27.1,-0.04
-0.46,-26,-0.04
-0.46,-24.9,-0.04
-0.45,-23.9,-0.039
-0.44,-22.8,-0.038
-0.43,-21.6,-0.037
-0.41,-20.6,-0.036
-0.4,-19.5,-0.035
-0.39,-18.5,-0.034
-0.38,-17.4,-0.033
-0.37,-16.4,-0.032
-0.36,-15.3,-0.031
-0.34,-14.4,-0.029
-0.32,-13.5,-0.028
-0.32,-12.5,-0.028
-0.32,-11.3,-0.028
-0.31,-10.2,-0.027
-0.31,-9.3,-0.027
-0.29,-8.3,-0.026
-0.28,-7.3,-0.024
-0.27,-6.3,-0.024
-0.26,-5.1,-0.023
-0.25,-4,-0.022
-0.24,-3.1,-0.021
-0.24,-2,-0.02
-0.23,-0.8,-0.02
-0.21,0.3,-0.019
-0.21,1.5,-0.018
-0.19,2.3,-0.017
-0.17,3,-0.015
-0.16,4,-0.014
-0.16,5,-0.014
-0.16,6.1,-0.014
-0.15,7.1,-0.013
-0.14,8.1,-0.012
-0.13,9.2,-0.012
-0.12,10.2,-0.01
-0.11,11.2,-0.009
-0.1,12.3,-0.009
-0.09,13.4,-0.008
-0.08,14.5,-0.007
-0.07,16,-0.006
-0.06,17.4,-0.005
-0.06,18.5,-0.005
-0.04,19.7,-0.004
-0.03,20.7,-0.003
-0.02,21.6,-0.002
0,22.5,0
0.02,23.2,0.002
0.02,24.3,0.002
0.03,25.4,0.002
0.03,26.5,0.003
0.04,27.5,0.004
0.05,28.7,0.004
0.07,29.7,0.006
0.08,30.7,0.007
0.09,31.7,0.008
0.11,32.7,0.01
0.12,33.7,0.011
0.14,34.7,0.012
0.15,35.7,0.013
0.16,36.5,0.014
0.17,37.5,0.015
0.17,38.5,0.015
0.19,39.5,0.016
0.21,40.3,0.018
0.22,41.3,0.019
0.22,42.2,0.019
0.23,43.4,0.02
0.24,44.5,0.021
0.25,45.6,0.022
0.26,46.6,0.023
0.27,47.6,0.024
0.29,48.5,0.025
0.31,49.6,0.027
0.32,50.7,0.027
0.33,51.5,0.029
0.35,52.5,0.03
0.36,53.5,0.032
0.38,54.3,0.033
0.41,54.8,0.035
0.41,55.9,0.036
0.42,56.9,0.036
0.43,57.8,0.037
0.44,58.7,0.039
0.46,59.7,0.04
0.47,60.6,0.041
0.49,61.3,0.043
0.5,62.1,0.044
0.52,63,0.045
0.54,63.9,0.047
0.56,64.3,0.049
0.57,65.2,0.05
0.59,66.2,0.051
0.61,66.9,0.053
0.63,67.6,0.054
0.64,68.5,0.056
0.66,69,0.057
0.67,69.9,0.058
0.69,70.6,0.06
0.7,71.3,0.061
0.71,72.2,0.061
0.73,72.6,0.063
0.75,73.3,0.065
0.75,72.3,0.065
0.76,73.2,0.066
0.78,74.1,0.068
0.8,74.5,0.069
0.78,73.6,0.068
0.79,74.6,0.069
0.8,75.4,0.07
0.82,74.5,0.071
0.82,73.2,0.072
0.83,72.1,0.072
0.83,71,0.072
0.84,72.4,0.073
0.83,73.6,0.072
0.83,74.7,0.072
0.83,73.5,0.072
0.83,72.3,0.072
0.84,71.1,0.073
0.83,70.2,0.072
0.83,71.4,0.072
0.83,72.8,0.072
0.83,74.2,0.072
0.84,75.2,0.073
0.85,74,0.074
0.85,72.9,0.074
0.86,71.7,0.074
0.85,70.3,0.074
0.85,69.3,0.074
0.83,70.2,0.072
0.83,71.4,0.072
0.82,72.4,0.072
0.83,71,0.072
0.83,69.7,0.072
0.83,68.7,0.072
0.82,67.7,0.072
0.81,68.6,0.07
0.83,67.6,0.072
0.83,66.5,0.072
0.81,65.5,0.07
0.79,64.9,0.069
0.76,65.2,0.066
0.77,63.8,0.067
0.76,62.8,0.066
0.76,61.6,0.066
0.74,60.9,0.064
0.75,59.5,0.065
0.73,58.6,0.063
0.7,58.3,0.061
0.68,57.5,0.059
0.68,56.5,0.059
0.67,55.5,0.058
0.66,54.5,0.058
0.65,53.6,0.056
0.63,52.7,0.055
0.63,51.6,0.055
0.61,50.6,0.053
0.61,49.6,0.053
0.6,48.7,0.052
0.58,47.9,0.05
0.56,46.9,0.049
0.55,46,0.048
0.54,44.9,0.047
0.53,43.8,0.046
0.51,42.8,0.045
0.5,41.8,0.044
0.49,40.9,0.043
0.47,40,0.041
0.47,38.9,0.041
0.46,37.9,0.04
0.45,36.9,0.039
0.44,35.9,0.039
0.45,34.7,0.039
0.44,33.8,0.038
0.42,33.1,0.036
0.4,32.2,0.035
0.38,31.1,0.033
0.37,30,0.033
0.37,28.8,0.032
0.36,27.7,0.031
0.35,26.5,0.03
0.34,25.5,0.029
0.32,24.5,0.028
0.31,23.5,0.027
0.3,22.5,0.026
0.29,21.4,0.025
0.28,20.3,0.025
0.28,19.2,0.024
0.28,18,0.024
0.26,17.1,0.023
0.25,16.2,0.022
0.23,15.4,0.02
0.22,14.4,0.019
0.2,13.3,0.018
0.21,12.2,0.018
0.2,11.2,0.017
0.18,10.2,0.016
0.18,9.1,0.015
0.17,8,0.015
0.16,6.5,0.014
0.16,5.5,0.014
0.15,4.5,0.013
0.14,3.5,0.012
0.12,2.4,0.01
