Test unit,test 6
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.51,16,0.034
0.51,12.9,0.034
0.42,10.7,0.028
0.34,8.9,0.022
0.32,6.1,0.021
0.25,4,0.017
0.17,2.2,0.011
0.14,0.2,0.009
0.09,-1.8,0.006
-0,-3.6,-0
-0.02,-6,-0.001
-0.09,-8.1,-0.006
-0.17,-9.9,-0.011
-0.2,-11.9,-0.013
-0.25,-13.9,-0.017
-0.34,-15.7,-0.023
-0.42,-17.5,-0.028
-0.44,-19.8,-0.029
-0.52,-22.1,-0.035
-0.61,-24.3,-0.04
-0.75,-26.4,-0.05
-0.76,-24.5,-0.051
-0.67,-22.2,-0.045
-0.67,-18.8,-0.045
-0.59,-16.6,-0.039
-0.51,-14.8,-0.034
-0.49,-12.1,-0.033
-0.42,-9.9,-0.028
-0.34,-8.1,-0.023
-0.32,-5.8,-0.022
-0.25,-3.7,-0.017
-0.17,-1.9,-0.011
-0.17,-0.1,-0.011
NaN,NaN,NaN
-0.09,0.4,-0.006
-0.09,3.5,-0.006
-0,4,-0
-0,6.2,-0
0.09,6.6,0.006
0.09,9.3,0.006
0.17,9.8,0.011
0.17,12,0.011
0.25,12.5,0.017
0.25,14.7,0.017
0.34,15.1,0.022
0.34,17.8,0.022
0.42,18.3,0.028
0.42,20.1,0.028
0.51,20.5,0.034
0.51,22.7,0.034
0.59,23.2,0.039
0.59,25.4,0.039
0.67,25.9,0.045
0.67,27.7,0.045
0.76,28.1,0.051
0.76,28.6,0.051
0.76,24.5,0.051
0.67,24.1,0.045
0.67,21,0.045
0.59,20.5,0.039
0.59,17.4,0.039
0.51,16.9,0.034
0.51,13.8,0.034
0.42,13.3,0.028
0.42,10.2,0.028
0.34,9.8,0.022
0.34,7.1,0.022
0.25,6.6,0.017
0.25,4,0.017
0.17,3.5,0.011
0.17,0.8,0.011
0.09,0.4,0.006
0.09,-1.9,0.006
-0,-2.3,-0
-0,-5,-0
-0.09,-5.4,-0.006
-0.09,-8.1,-0.006
-0.17,-8.6,-0.011
-0.17,-10.8,-0.011
-0.25,-11.3,-0.017
-0.25,-13.9,-0.017
-0.34,-14.4,-0.023
-0.34,-16.2,-0.023
-0.42,-16.6,-0.028
-0.42,-18.8,-0.028
-0.51,-19.3,-0.034
-0.51,-21.5,-0.034
-0.59,-22,-0.039
-0.59,-23.8,-0.039
-0.67,-24.2,-0.045
-0.67,-25.6,-0.045
-0.76,-26,-0.051
-0.76,-22.9,-0.051
-0.67,-22.4,-0.045
-0.67,-19.3,-0.045
-0.59,-18.8,-0.039
-0.59,-15.3,-0.039
-0.51,-14.8,-0.034
-0.51,-12.1,-0.034
-0.42,-11.7,-0.028
-0.42,-9,-0.028
-0.34,-8.6,-0.023
-0.34,-6.3,-0.023
-0.25,-5.9,-0.017
-0.25,-2.8,-0.017
-0.17,-2.3,-0.011
-0.17,-0.1,-0.011
NaN,NaN,NaN
-0.17,-0.1,-0.011
-0.09,2.5,-0.006
-0,4.7,-0
0.09,7.1,0.006
0.1,9.4,0.007
0.17,11.9,0.011
0.25,14,0.017
0.34,16.2,0.022
0.42,18.4,0.028
0.51,20.6,0.034
0.52,23.3,0.035
0.67,25.9,0.045
0.76,28.1,0.051
0.84,30.3,0.056
0.93,32.5,0.062
1.01,32.2,0.067
0.99,28.9,0.066
0.93,26.5,0.062
0.84,24.3,0.056
0.76,21.8,0.051
0.74,19.1,0.049
0.67,16.6,0.045
0.59,14.5,0.039
0.51,12,0.034
0.49,9.7,0.033
0.42,7.2,0.028
