Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.04,-3.9,-0.002
-0.22,-5.6,-0.009
-0.28,-6.6,-0.011
-0.32,-7.8,-0.012
-0.49,-9.3,-0.019
-0.52,-10.1,-0.02
-0.82,-13,-0.032
-1.02,-14.3,-0.039
-1.09,-14.4,-0.042
-1.23,-15.4,-0.047
-1.23,-15.4,-0.047
-1.49,-15.7,-0.057
-1.49,-12.3,-0.057
-1.4,-11.1,-0.054
-1.34,-9,-0.052
-1.29,-7.5,-0.05
-1.28,-7,-0.049
-1.21,-5.6,-0.047
-1.2,-4.3,-0.046
-1.14,-3.9,-0.044
-1.06,-2.5,-0.041
-1,-1.4,-0.038
-0.96,-0.2,-0.037
-0.93,0.4,-0.036
-0.86,1,-0.033
-0.75,2.1,-0.029
-0.77,2.8,-0.029
-0.75,3.4,-0.029
-0.64,4.8,-0.025
-0.53,6.6,-0.02
-0.43,7.7,-0.017
-0.21,10.6,-0.008
-0.12,11.5,-0.005
-0.04,12.9,-0.002
0.05,13.9,0.002
0.16,15.4,0.006
0.23,16.5,0.009
0.36,17.7,0.014
0.43,18.9,0.016
0.51,19.9,0.02
0.63,21.4,0.024
0.72,22.3,0.028
0.96,24.9,0.037
1.26,27.6,0.048
1.3,27.1,0.05
1.45,28.4,0.056
1.55,26.5,0.06
1.49,25.7,0.057
1.49,23.9,0.057
1.43,22.7,0.055
1.34,20.5,0.052
1.28,20.2,0.049
1.24,18.4,0.048
1.18,17.6,0.045
1.15,16.5,0.044
1.03,14.8,0.04
0.96,13.5,0.037
0.9,12.4,0.035
0.83,11.2,0.032
0.74,10.4,0.029
0.71,9.1,0.027
0.52,7.2,0.02
0.4,5.6,0.015
0.35,4.5,0.013
0.19,2.9,0.007
0.19,2.3,0.007
0.13,1.9,0.005
0.05,0.5,0.002
-0.07,-0.8,-0.003
-0.15,-1.1,-0.006
-0.15,-2.5,-0.006
-0.19,-2.2,-0.007
-0.25,-3.4,-0.01
-0.34,-5,-0.013
-0.4,-5.2,-0.015
-0.49,-6.9,-0.019
-0.69,-8.6,-0.026
-0.72,-9.5,-0.028
-0.8,-10.6,-0.031
-0.89,-11.4,-0.034
-0.93,-12.6,-0.036
-1.11,-14,-0.043
-1.17,-14.1,-0.045
-1.26,-15.3,-0.049
-1.49,-14.5,-0.057
-1.43,-11.6,-0.055
-1.4,-11.2,-0.054
-1.34,-9,-0.052
-1.31,-7.8,-0.05
-1.28,-6.6,-0.049
-1.23,-5.6,-0.047
-1.14,-3.8,-0.044
-1.07,-3.3,-0.041
-1.01,-1.9,-0.039
-1.01,-1.4,-0.039
-0.93,-0.3,-0.036
-0.84,0.6,-0.032
-0.8,1.7,-0.031
-0.75,2.1,-0.029
-0.66,3.5,-0.026
-0.57,4.7,-0.022
-0.47,6.2,-0.018
-0.38,7.2,-0.015
-0.37,8.7,-0.014
-0.13,11.4,-0.005
-0.07,12.6,-0.003
0.03,13.5,0.001
0.14,15,0.005
0.22,15.4,0.009
0.29,17,0.011
0.32,17.9,0.012
0.44,19.2,0.017
0.56,19.9,0.022
0.58,21.1,0.022
0.69,22.5,0.027
1.05,25.7,0.04
1.08,26.5,0.042
1.24,28,0.048
1.33,28,0.051
1.38,28.9,0.053
1.55,27.8,0.06
1.47,26.7,0.057
1.49,25.5,0.057
1.43,23.6,0.055
1.38,22.5,0.053
1.36,21.4,0.052
1.23,18.8,0.047
1.14,17.5,0.044
1.08,16.6,0.041
1.04,15,0.04
0.92,13.7,0.035
0.83,12.6,0.032
0.8,11.5,0.031
0.69,9.8,0.027
0.59,8.9,0.023
0.46,7.2,0.018
0.45,6.5,0.017
0.37,5.4,0.014
0.26,4.3,0.01
0.19,2.9,0.007
0.13,1.9,0.005
0,0.8,0
-0.16,-1.3,-0.006
-0.28,-3.2,-0.011
-0.35,-4.3,-0.014
-0.43,-5.6,-0.016
-0.65,-7.5,-0.025
-0.75,-9.1,-0.029
-0.9,-11.1,-0.035
-0.96,-12.2,-0.037
-1.19,-14.3,-0.046
-1.31,-14.6,-0.051
-1.48,-15.4,-0.057
-1.55,-12.9,-0.059
-1.49,-12.2,-0.057
-1.4,-9.5,-0.054
-1.36,-8.1,-0.052
-1.34,-6.8,-0.052
-1.28,-6.1,-0.049
-1.17,-3.7,-0.045
-1.08,-1.9,-0.041
-1.05,-1.1,-0.04
-0.93,0.8,-0.036
-0.84,2.1,-0.032
-0.75,2.7,-0.029
-0.75,3.5,-0.029
-0.59,5.5,-0.023
-0.56,6.7,-0.021
-0.39,8.1,-0.015
-0.18,11.8,-0.007
-0.01,13.4,-0.001
0.17,16,0.007
0.37,18.3,0.014
0.4,19.6,0.015
0.76,23.7,0.029
1.05,26.2,0.04
1.15,27.8,0.044
1.47,30.7,0.057
1.65,31.9,0.064
1.89,33.7,0.073
2.17,35.5,0.083
2.56,35.3,0.099
2.58,32.2,0.099
2.5,30.5,0.096
2.43,28.5,0.093
2.28,25.9,0.088
2.05,22.5,0.079
1.82,18.3,0.07
1.7,16.4,0.065
1.46,13.8,0.056
1.37,12.2,0.053
1.23,10.4,0.047
1.06,8.9,0.041
0.87,6.6,0.034
0.81,4.8,0.031
0.52,2.4,0.02
0.4,0.5,0.015
0.26,-0.8,0.01
0.24,-1.5,0.009
0.22,-1.4,0.009
0.04,-3.2,0.002
-0.07,-4,-0.003
-0.05,-4.7,-0.002
-0.13,-5.8,-0.005
-0.49,-9.3,-0.019
-0.59,-10.8,-0.023
-0.84,-13.2,-0.032
-0.88,-14,-0.034
-1.11,-15.4,-0.043
-1.28,-17,-0.049
-1.47,-18.1,-0.056
-1.67,-19.2,-0.064
-1.76,-19.4,-0.068
-1.89,-20.6,-0.073
-1.99,-20.9,-0.076
-2.12,-21.6,-0.082
-2.31,-22.4,-0.089
-2.55,-21.8,-0.098
-2.62,-22.1,-0.101
-2.57,-19.2,-0.099
-2.53,-17.2,-0.097
-2.46,-15.2,-0.095
-2.38,-13.3,-0.092
-2.35,-12.7,-0.09
-2.29,-11.2,-0.088
-2.19,-9.7,-0.084
-2.08,-8,-0.08
-1.93,-5.8,-0.074
-1.82,-4.5,-0.07
-1.68,-2.5,-0.065
-1.59,-0.4,-0.061
-1.47,0.1,-0.057
-1.4,0.9,-0.054
-1.33,1.7,-0.051
-1.28,2.3,-0.049
-1.22,4.2,-0.047
-1.14,4.3,-0.044
-0.98,6.2,-0.038
-0.91,7.6,-0.035
