Test unit,CT01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.37,-59.4,-0.015
-0.37,-60.1,-0.015
-0.38,-60.7,-0.015
-0.39,-61.4,-0.015
-0.39,-62.1,-0.016
-0.4,-62.7,-0.016
-0.4,-63.3,-0.016
-0.41,-63.8,-0.016
-0.41,-64.4,-0.017
-0.42,-64.9,-0.017
-0.43,-65.5,-0.017
-0.43,-66.2,-0.017
-0.44,-66.8,-0.018
-0.44,-67.4,-0.018
-0.45,-68,-0.018
-0.45,-68.6,-0.018
-0.46,-69.2,-0.018
-0.46,-69.7,-0.019
-0.47,-70.2,-0.019
-0.48,-70.8,-0.019
-0.48,-71.4,-0.019
-0.49,-71.9,-0.02
-0.49,-72.6,-0.02
-0.5,-73.1,-0.02
-0.51,-73.7,-0.02
-0.51,-74.2,-0.021
-0.52,-74.8,-0.021
-0.52,-75.3,-0.021
-0.53,-75.9,-0.021
-0.54,-76.4,-0.021
-0.54,-76.9,-0.022
-0.55,-77.4,-0.022
-0.55,-77.9,-0.022
-0.56,-78.4,-0.022
-0.56,-78.9,-0.023
-0.57,-79.4,-0.023
-0.57,-79.9,-0.023
-0.58,-80.4,-0.023
-0.59,-80.9,-0.023
-0.59,-81.4,-0.024
-0.6,-82,-0.024
-0.61,-82.6,-0.024
-0.61,-83.1,-0.025
-0.62,-83.6,-0.025
-0.63,-84.2,-0.025
-0.63,-84.7,-0.025
-0.64,-85.2,-0.026
-0.64,-85.7,-0.026
-0.65,-86.2,-0.026
-0.66,-86.7,-0.026
-0.66,-87.2,-0.027
-0.67,-87.6,-0.027
-0.68,-88.2,-0.027
-0.69,-88.6,-0.027
-0.69,-89.1,-0.028
-0.7,-89.6,-0.028
-0.71,-90.1,-0.028
-0.71,-90.6,-0.028
-0.72,-91.1,-0.029
-0.72,-91.6,-0.029
-0.73,-92,-0.029
-0.73,-92.4,-0.029
-0.74,-92.9,-0.03
-0.75,-93.4,-0.03
-0.75,-93.8,-0.03
-0.76,-94.3,-0.03
-0.77,-94.7,-0.031
-0.77,-95.2,-0.031
-0.78,-95.7,-0.031
-0.78,-96.2,-0.031
-0.79,-96.6,-0.032
-0.79,-97,-0.032
-0.8,-97.4,-0.032
-0.81,-97.9,-0.032
-0.81,-98.3,-0.032
-0.82,-98.7,-0.033
-0.82,-99.2,-0.033
-0.83,-99.6,-0.033
-0.84,-100.1,-0.034
-0.84,-100.6,-0.034
-0.85,-101,-0.034
-0.86,-101.5,-0.034
-0.86,-101.9,-0.035
-0.87,-102.4,-0.035
-0.87,-102.8,-0.035
-0.88,-103.3,-0.035
-0.88,-103.7,-0.035
-0.89,-104.2,-0.036
-0.9,-104.6,-0.036
-0.9,-105,-0.036
-0.91,-105.4,-0.036
-0.91,-105.8,-0.037
-0.92,-106.2,-0.037
-0.93,-106.7,-0.037
-0.93,-107.1,-0.037
-0.94,-107.6,-0.038
-0.94,-108.1,-0.038
-0.95,-108.5,-0.038
-0.96,-108.9,-0.038
-0.96,-109.4,-0.039
-0.97,-109.8,-0.039
-0.98,-110.2,-0.039
-0.98,-110.6,-0.039
-0.99,-111.1,-0.039
-0.99,-111.5,-0.04
-1,-111.9,-0.04
-1.01,-112.3,-0.04
-1.02,-112.7,-0.041
-1.02,-113.1,-0.041
-1.03,-113.6,-0.041
-1.03,-113.9,-0.041
-1.04,-114.3,-0.042
-1.04,-114.7,-0.042
-1.05,-115.1,-0.042
-1.05,-115.1,-0.042
-1.06,-114.8,-0.042
-1.06,-114.1,-0.042
-1.06,-113.2,-0.042
-1.06,-112.2,-0.042
-1.06,-111.2,-0.042
-1.05,-110.3,-0.042
-1.05,-109.3,-0.042
-1.04,-108.3,-0.042
-1.03,-107.5,-0.041
-1.03,-106.7,-0.041
-1.02,-105.8,-0.041
-1.02,-104.9,-0.041
-1.01,-104,-0.04
-1,-103.2,-0.04
-1,-102.4,-0.04
-0.99,-101.6,-0.04
-0.98,-100.8,-0.039
-0.98,-99.9,-0.039
-0.97,-99,-0.039
-0.97,-98.1,-0.039
-0.96,-97.3,-0.039
-0.96,-96.5,-0.038
-0.95,-95.7,-0.038
-0.94,-94.9,-0.038
-0.94,-94.1,-0.037
-0.93,-93.2,-0.037
-0.92,-92.4,-0.037
-0.92,-91.6,-0.037
-0.91,-90.9,-0.036
-0.9,-90.2,-0.036
-0.9,-89.4,-0.036
-0.89,-88.6,-0.036
-0.89,-87.8,-0.035
-0.88,-87,-0.035
-0.87,-86.2,-0.035
-0.87,-85.5,-0.035
-0.86,-84.7,-0.034
-0.86,-83.9,-0.034
-0.85,-83.1,-0.034
-0.84,-82.3,-0.034
-0.84,-81.5,-0.034
-0.83,-80.8,-0.033
-0.83,-80.1,-0.033
-0.82,-79.3,-0.033
-0.81,-78.5,-0.032
-0.81,-77.7,-0.032
