Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.15,-81.4,-0.092
-1.06,-73.9,-0.085
-0.97,-65.7,-0.078
-0.87,-57.3,-0.069
-0.75,-48.8,-0.06
-0.64,-39.1,-0.051
-0.51,-29.4,-0.041
-0.37,-19.4,-0.03
-0.25,-9.4,-0.02
-0.12,0.9,-0.009
0.02,11.6,0.002
0.05,11.9,0.004
0.04,7.5,0.003
0.04,11,0.003
0.04,10.6,0.003
0.1,16.3,0.008
0.34,36.9,0.027
0.47,46.6,0.038
0.6,56.7,0.048
0.73,66.4,0.058
0.84,74.8,0.067
0.95,83,0.076
1.06,91.1,0.085
1.16,97.4,0.093
1.23,103,0.099
1.31,108,0.104
1.37,111.4,0.11
1.41,115.2,0.113
1.47,117.7,0.117
1.5,119.3,0.12
1.5,119,0.12
1.51,118.3,0.121
1.51,113.3,0.121
1.47,108,0.117
1.42,104.2,0.114
1.38,99.9,0.11
1.32,94.2,0.105
1.24,87.3,0.099
1.17,80.8,0.093
1.07,72.3,0.086
0.96,63.2,0.077
0.86,54.2,0.069
0.73,44.1,0.058
0.62,34.1,0.05
0.48,22.9,0.039
0.4,16,0.032
0.18,0,0.015
0.06,-8.8,0.005
-0.06,-19.1,-0.005
-0.19,-29.4,-0.015
-0.34,-39.4,-0.027
-0.47,-48.8,-0.038
-0.59,-58.2,-0.047
-0.72,-67.6,-0.057
-0.82,-74.8,-0.066
-0.93,-83.3,-0.075
-1.03,-90.5,-0.082
-1.11,-96.4,-0.089
-1.2,-102.1,-0.096
-1.26,-106.1,-0.101
-1.34,-109.6,-0.107
-1.37,-112.4,-0.11
-1.4,-113.6,-0.112
-1.42,-114.6,-0.114
-1.42,-114.3,-0.114
-1.43,-111.4,-0.115
-1.39,-100.8,-0.111
-1.36,-97.7,-0.109
-1.32,-93.3,-0.105
-1.24,-87.7,-0.099
-1.18,-80.8,-0.094
-1.1,-73.9,-0.088
-1.01,-66.1,-0.081
-0.91,-58.2,-0.073
-0.8,-50.4,-0.064
-0.67,-41.3,-0.054
-0.57,-32.2,-0.045
-0.44,-22.5,-0.035
-0.3,-12.8,-0.024
-0.16,-2.8,-0.013
-0.03,7.2,-0.003
0.06,12.8,0.005
0.04,7.2,0.003
0.04,11,0.003
0.04,7.2,0.003
0.04,9.4,0.003
0.04,8.1,0.003
0.1,15,0.008
0.36,37.6,0.029
0.52,49.8,0.042
0.72,64.5,0.057
0.91,78,0.073
1.07,91.1,0.086
1.24,102.7,0.099
1.38,111.8,0.11
1.54,122.1,0.123
1.67,129,0.134
1.79,133.7,0.143
1.88,137.7,0.151
1.96,140.9,0.157
2.03,143.1,0.163
2.08,143.7,0.166
2.11,144.6,0.169
2.13,144,0.17
2.13,142.1,0.17
2.09,136.5,0.167
2.06,132.7,0.164
1.99,127.7,0.159
1.92,121.5,0.153
1.83,115.2,0.146
1.7,104.6,0.136
1.6,95.8,0.128
1.45,85.2,0.116
1.31,74.2,0.104
1.15,62.3,0.092
0.96,49.5,0.077
0.79,36,0.063
0.61,22.5,0.049
0.5,14.7,0.04
0.21,-6.3,0.017
0.02,-19.7,0.002
-0.17,-33.8,-0.014
-0.36,-47,-0.029
-0.55,-60.1,-0.044
-0.75,-72.9,-0.06
-0.92,-84.8,-0.074
-1.24,-106.8,-0.099
-1.4,-115.8,-0.112
-1.54,-123,-0.123
-1.66,-128,-0.133
-1.76,-131.5,-0.14
-1.85,-134.3,-0.148
-1.93,-135.6,-0.154
-1.98,-135.9,-0.158
-2.01,-135.9,-0.161
-2.03,-135.2,-0.163
-2.03,-125.2,-0.163
-1.97,-117.7,-0.158
-1.93,-113,-0.154
-1.86,-106.8,-0.149
-1.77,-99.2,-0.141
-1.66,-91.7,-0.133
-1.54,-83,-0.123
-1.4,-73.9,-0.112
-1.25,-64.2,-0.1
-1.08,-53.5,-0.087
-0.93,-42.9,-0.075
-0.75,-31.6,-0.06
-0.57,-19.7,-0.045
-0.37,-7.2,-0.03
-0.18,5,-0.015
-0.02,15.3,-0.002
0.06,21.9,0.005
0.06,15.3,0.005
0.05,14.4,0.004
0.05,14.4,0.004
0.04,13.8,0.003
0.04,13.8,0.003
0.17,29.1,0.014
0.43,46.3,0.034
0.61,58.5,0.049
0.79,71.4,0.063
0.97,82.6,0.078
1.15,93.3,0.092
1.31,102.7,0.104
1.45,110.5,0.116
1.61,119,0.128
1.71,124.3,0.137
1.83,129.6,0.146
1.92,134.3,0.153
1.99,137.4,0.159
2.06,139.9,0.164
2.09,140.9,0.167
