Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.4,-9.7,0.032
-0.07,-22.2,-0.006
-0.55,-33.8,-0.044
-1.04,-44.5,-0.083
-1.51,-53.8,-0.121
-1.94,-62.6,-0.155
-2.41,-70.4,-0.193
-2.78,-78.3,-0.223
-3.18,-85.5,-0.254
-3.53,-91.4,-0.283
-3.87,-97.7,-0.309
-4.15,-103.6,-0.332
-4.39,-108.6,-0.351
-4.61,-113,-0.369
-4.79,-116.5,-0.383
-4.91,-119,-0.393
-4.99,-120.2,-0.399
-5.03,-120.2,-0.403
-5.04,-118,-0.403
-4.97,-105.5,-0.397
-4.88,-101.7,-0.391
-4.75,-96.4,-0.38
-4.56,-90.8,-0.365
-4.35,-84.2,-0.348
-4.09,-77,-0.327
-3.78,-69.5,-0.302
-3.46,-61.4,-0.277
-3.08,-52.9,-0.247
-2.7,-43.8,-0.216
-2.29,-33.8,-0.183
-1.85,-23.5,-0.148
-1.4,-12.2,-0.112
-0.93,0.6,-0.075
-0.44,13.8,-0.035
0.06,27.2,0.005
0.05,20.3,0.004
0.04,21.3,0.003
0.04,22.5,0.003
0.05,23.8,0.004
0.05,20.7,0.004
0.04,19.4,0.003
0.04,22.5,0.003
0.05,22.5,0.004
0.05,19.7,0.004
0.04,19.4,0.003
0.04,21.3,0.003
0.44,38.2,0.035
0.96,53.8,0.077
1.48,67.9,0.118
1.97,80.5,0.158
2.46,92.4,0.197
2.92,102.1,0.234
3.36,111.8,0.269
3.77,121.2,0.301
4.14,129.6,0.331
4.49,137.4,0.359
4.79,143.4,0.383
5.04,149.3,0.403
5.25,153.1,0.42
5.41,156.2,0.433
5.54,157.5,0.443
5.6,157.8,0.448
5.62,156.8,0.45
5.6,150,0.448
5.52,145.6,0.442
5.4,139.6,0.432
5.21,132.4,0.417
5,124.9,0.4
4.73,116.8,0.379
4.44,107.7,0.355
4.09,96.7,0.327
3.7,85.8,0.296
3.3,73.3,0.264
2.86,60.7,0.229
2.39,46,0.191
1.9,31,0.152
1.41,16.6,0.113
0.88,1.3,0.07
0.35,-13.1,0.028
-0.15,-26.3,-0.012
-0.69,-37.9,-0.055
-1.2,-48.2,-0.096
-1.72,-57.9,-0.138
-2.22,-67.3,-0.177
-2.69,-75.8,-0.215
-3.13,-84.2,-0.25
-3.55,-92.7,-0.284
-3.94,-99.9,-0.315
-4.28,-106.4,-0.343
-4.59,-113,-0.367
-4.87,-118.3,-0.39
-5.11,-122.4,-0.409
-5.28,-124.9,-0.422
-5.42,-125.8,-0.433
-5.5,-126.8,-0.44
-5.54,-125.8,-0.443
-5.54,-122.4,-0.443
-5.43,-105.2,-0.434
-5.35,-101.7,-0.428
-5.19,-96.1,-0.415
-4.99,-89.8,-0.399
-4.74,-83.3,-0.379
-4.45,-75.8,-0.356
-4.11,-67.9,-0.329
-3.75,-59.5,-0.3
-3.34,-49.8,-0.267
-2.91,-40.4,-0.233
-2.45,-30.4,-0.196
-1.97,-19.1,-0.158
-1.49,-7.5,-0.119
-0.95,5.3,-0.076
-0.55,15.3,-0.044
0.1,33.2,0.008
0.04,22.9,0.003
0.04,26.6,0.003
0.05,28.5,0.004
0.55,46.3,0.044
1.09,60.4,0.087
1.61,72.3,0.128
2.1,83.6,0.168
2.56,93.6,0.205
3.03,103.6,0.242
3.47,112.1,0.278
3.85,120.2,0.308
4.22,127.7,0.337
4.56,134,0.365
4.83,138.7,0.386
5.09,144.3,0.407
5.29,147.8,0.423
5.45,150.6,0.436
5.56,152.5,0.445
5.61,153.1,0.449
5.62,152.1,0.45
5.59,146.5,0.447
5.5,141.5,0.44
5.36,135.2,0.429
5.18,128,0.415
4.96,120.5,0.397
4.68,112.1,0.374
4.36,102.4,0.349
4.01,92.7,0.321
3.62,81.7,0.29
3.2,69.5,0.256
2.75,56.4,0.22
2.28,42.3,0.182
1.8,28.5,0.144
1.35,16.3,0.108
0.75,0,0.06
0.25,-13.5,0.02
-0.28,-25.7,-0.022
-0.8,-37.3,-0.064
-1.33,-47.3,-0.106
-1.83,-56.7,-0.146
-2.32,-65.4,-0.186
-2.32,-65.4,-0.186
-2.78,-73.3,-0.223
-3.22,-80.8,-0.258
-3.63,-88.3,-0.29
-4.01,-95.2,-0.321
-4.36,-101.4,-0.349
-4.66,-106.8,-0.373
-4.91,-111.4,-0.393
-5.14,-115.5,-0.411
-5.31,-118,-0.425
-5.44,-119.6,-0.435
-5.5,-120.2,-0.44
-5.54,-119,-0.443
-5.54,-113.6,-0.443
-5.43,-100.8,-0.434
-5.32,-96.1,-0.426
-5.14,-90.5,-0.411
-4.94,-84.2,-0.395
-4.68,-77.6,-0.374
-4.37,-69.8,-0.349
-4.03,-62,-0.322
-3.65,-53.5,-0.292
-3.25,-44.1,-0.26
-2.81,-34.7,-0.224
-2.34,-25,-0.188
-1.85,-14.1,-0.148
-1.35,-2.5,-0.108
-0.84,9.7,-0.067
-0.4,22.9,-0.032
0.1,31.6,0.008
0.04,24.7,0.003
0.04,27.9,0.003
0.05,29.4,0.004
0.06,25.4,0.005
0.04,24.7,0.003
0.04,27.2,0.003
0.4,41.9,0.032
0.93,55.7,0.075
1.43,68.2,0.115
1.95,79.2,0.156
2.42,89.5,0.194
2.89,99.2,0.231
3.32,107.4,0.266
3.74,115.5,0.299
4.12,122.7,0.33
4.45,129.6,0.356
4.75,135.6,0.38
5.02,140.6,0.402
5.24,144.9,0.419
5.41,148.4,0.433
5.52,150,0.442
5.6,151.2,0.448
5.62,150.6,0.45
5.62,145.6,0.45
5.52,138.4,0.442
5.41,132.7,0.433
5.25,127.1,0.42
5.02,120.8,0.402
4.78,113,0.382
4.45,104.2,0.356
4.12,94.9,0.33
3.75,84.5,0.3
3.33,72.9,0.266
2.89,60.1,0.231
2.43,46.3,0.194
1.95,32.2,0.156
1.45,18.8,0.116
0.89,4.1,0.071
0.4,-8.5,0.032
-0.12,-20.3,-0.009
-0.66,-31.6,-0.053
-1.17,-41.9,-0.093
-1.67,-51.3,-0.134
-2.17,-60.4,-0.174
-2.64,-68.6,-0.212
-3.09,-76.1,-0.248
-3.52,-83,-0.282
-3.91,-89.8,-0.313
-4.26,-96.4,-0.341
-4.56,-102.1,-0.365
-4.85,-106.8,-0.388
-5.07,-111.4,-0.406
-5.26,-114.3,-0.421
-5.41,-116.5,-0.433
-5.49,-117.4,-0.439
-5.54,-117.4,-0.443
-5.55,-113.6,-0.444
-5.44,-97,-0.435
-5.36,-93.6,-0.429
-5.21,-88.6,-0.417
-5,-82.3,-0.4
-4.75,-75.8,-0.38
-4.48,-68.6,-0.358
-4.14,-61,-0.331
-3.78,-52.9,-0.302
-3.37,-44.1,-0.27
-2.96,-35.4,-0.236
-2.49,-25.4,-0.2
-2.01,-15,-0.161
-1.53,-3.8,-0.122
-1,7.8,-0.08
-0.64,16.3,-0.051
0.05,33.8,0.004
0.04,24.7,0.003
0.04,31,0.003
0.05,29.7,0.004
0.05,24.7,0.004
0.04,25.4,0.003
0.04,29.7,0.003
0.05,29.7,0.004
0.05,25.4,0.004
0.04,24.1,0.003
0.47,44.1,0.038
1.05,58.5,0.084
1.61,71.4,0.128
2.15,83,0.172
2.68,93.6,0.214
3.14,98.3,0.251
3.64,110.5,0.291
4.11,119.3,0.329
4.89,134.9,0.391
5.21,140.9,0.417
5.49,146.5,0.439
5.72,150.6,0.457
5.91,153.4,0.473
6.04,155,0.483
6.11,155.6,0.489
6.13,154.3,0.491
6.1,149,0.488
6.02,144.3,0.481
5.89,138.1,0.471
5.7,130.5,0.456
5.47,123,0.438
5.17,114.9,0.414
4.84,105.5,0.387
4.46,95.5,0.357
4.06,84.5,0.325
3.6,72.9,0.288
3.12,59.8,0.249
2.61,46.3,0.209
1.98,32.6,0.158
1.54,21.6,0.123
0.95,8.8,0.076
0.4,-6.3,0.032
-0.17,-18.8,-0.014
-0.74,-30.4,-0.059
-1.32,-41,-0.105
-2.41,-60.7,-0.193
-2.92,-70.1,-0.234
-3.4,-78.6,-0.272
-3.87,-86.4,-0.309
-4.29,-94.2,-0.343
-4.67,-100.8,-0.373
-5.01,-106.8,-0.401
-5.31,-112.4,-0.425
-5.56,-116.5,-0.445
-5.76,-119,-0.461
-5.91,-120.2,-0.473
-6,-121.2,-0.48
-6.04,-120.2,-0.483
-6.04,-118,-0.483
-5.93,-100.8,-0.475
-5.85,-97.4,-0.468
-5.67,-91.4,-0.454
-5.45,-85.2,-0.436
-5.18,-78,-0.415
-4.86,-70.1,-0.389
-4.5,-61.7,-0.36
-4.09,-53.5,-0.327
-3.65,-44.5,-0.292
-3.18,-34.7,-0.254
-2.69,-24.7,-0.215
-2.16,-13.8,-0.173
-1.62,-2.2,-0.129
-1.05,10.3,-0.084
-0.5,22.5,-0.04
0.07,34.7,0.006
0.04,26.9,0.003
0.04,30.4,0.003
0.05,29.7,0.004
0.47,43.8,0.038
1.04,55.7,0.083
1.62,67.9,0.129
2.15,79.2,0.172
2.68,89.5,0.214
3.19,98.6,0.255
3.65,107.1,0.292
4.11,115.5,0.329
4.52,123,0.361
4.9,129,0.392
5.21,134.9,0.417
5.49,140.3,0.439
5.72,144.3,0.457
5.9,148.1,0.472
6.04,150,0.483
6.04,150,0.483
6.13,150,0.491
6.1,144.3,0.488
6.02,139.6,0.481
5.89,133.1,0.471
5.7,127.1,0.456
5.45,119.3,0.436
5.16,111.1,0.413
4.83,101.7,0.386
4.46,92.4,0.357
4.04,82,0.323
3.59,70.8,0.287
3.12,58.5,0.249
2.61,46.3,0.209
2.08,33.8,0.166
1.52,20.7,0.122
0.95,8.8,0.076
0.4,-5,0.032
-0.17,-16.9,-0.014
-0.75,-28.2,-0.06
-1.33,-38.2,-0.106
-1.87,-47.6,-0.15
-2.41,-56.7,-0.193
-2.91,-65.4,-0.233
-3.42,-73.6,-0.273
-3.88,-81.1,-0.31
-4.29,-88.3,-0.343
-4.67,-94.9,-0.373
-5.02,-98,-0.402
-5.32,-105.8,-0.426
-5.57,-109.6,-0.445
-5.76,-113.6,-0.461
-5.91,-115.2,-0.473
-6.01,-115.8,-0.481
-6.04,-115.8,-0.483
-6.04,-112.4,-0.483
-5.94,-98,-0.475
-5.85,-93.9,-0.468
-5.67,-88,-0.454
-5.44,-81.4,-0.435
-5.17,-74.2,-0.414
-4.85,-66.7,-0.388
-4.49,-58.9,-0.359
-4.09,-50.4,-0.327
-3.65,-41.3,-0.292
-3.18,-32.2,-0.254
-2.69,-22.5,-0.215
-2.15,-12.2,-0.172
-1.61,-0.9,-0.128
-1.03,11,-0.082
-0.42,21.3,-0.033
0.09,34.7,0.007
0.04,27.5,0.003
0.04,30.1,0.003
0.05,30.4,0.004
0.05,28.2,0.004
0.04,26.9,0.003
0.04,28.2,0.003
0.59,45.4,0.047
1.68,67.6,0.134
2.23,78,0.178
2.75,88.3,0.22
3.24,97.4,0.26
3.73,105.8,0.298
4.16,114,0.333
4.56,120.8,0.365
4.94,127.1,0.395
5.26,133.1,0.421
5.52,137.7,0.442
5.75,141.8,0.46
5.92,144.9,0.474
6.06,146.8,0.485
6.11,147.5,0.489
6.13,146.8,0.491
6.09,140.9,0.487
6.01,136.2,0.481
5.87,129.9,0.469
5.67,123.3,0.454
5.42,115.5,0.433
5.15,108,0.412
4.79,98,0.383
4.42,88.3,0.354
4,78,0.32
3.53,66.7,0.283
3.05,54.8,0.244
2.55,42.9,0.204
2,30.1,0.16
1.48,17.5,0.118
0.84,5,0.067
0.31,-6.6,0.025
-0.26,-18.2,-0.021
-0.82,-28.5,-0.066
-1.39,-38.2,-0.111
-1.93,-47.3,-0.154
-2.48,-55.7,-0.199
-2.99,-64.5,-0.239
-3.47,-72.6,-0.278
-3.92,-80.1,-0.313
-4.35,-87,-0.348
-4.73,-93.6,-0.379
-5.05,-99.2,-0.404
-5.34,-104.2,-0.427
-5.59,-108,-0.447
-5.78,-111.4,-0.463
-5.92,-113.3,-0.474
-6.01,-114,-0.481
-6.04,-113.6,-0.483
-6.04,-108.9,-0.483
-5.93,-93,-0.475
-5.82,-88.6,-0.466
-5.63,-83,-0.451
-5.42,-77,-0.433
-5.13,-69.8,-0.41
-4.81,-62.3,-0.385
-4.44,-54.8,-0.355
-4.04,-46,-0.323
-3.59,-37.3,-0.287
-3.12,-28.2,-0.249
-2.61,-18.5,-0.209
-2.09,-7.8,-0.167
-1.53,2.8,-0.122
-0.99,13.8,-0.079
-0.37,26.9,-0.03
0.1,34.4,0.008
0.04,26.9,0.003
0.04,31.3,0.003
0.05,31.3,0.004
0.05,29.1,0.004
0.04,26.6,0.003
0.04,26.3,0.003
0.04,30.7,0.003
0.05,31.3,0.004
0.05,27.2,0.004
0.04,25.7,0.003
0.04,28.5,0.003
0.29,39.8,0.023
0.9,52.9,0.072
1.52,64.5,0.122
2.11,75.8,0.169
2.69,86.7,0.215
3.23,96.4,0.259
3.76,105.2,0.301
4.26,114,0.341
4.72,121.5,0.378
5.13,128.7,0.41
5.5,135.6,0.44
5.82,141.2,0.466
6.09,145.9,0.487
6.31,149,0.504
6.48,151.2,0.518
6.57,151.8,0.526
6.63,151.5,0.53
6.63,148.1,0.53
6.54,141.2,0.523
6.41,135.6,0.513
6.21,129,0.497
5.99,121.8,0.479
5.71,114,0.457
5.34,103.9,0.427
4.95,93.9,0.396
4.52,83.3,0.361
4.05,72,0.324
3.54,59.8,0.284
3.01,47,0.241
2.44,34.7,0.195
1.86,22.9,0.149
1.38,16,0.11
0.63,0,0.051
0.02,-11,0.002
-0.59,-22.5,-0.047
-1.22,-32.9,-0.098
-1.82,-42.6,-0.146
-2.41,-52,-0.193
-2.98,-61,-0.238
-4.01,-77.6,-0.321
-4.48,-85.5,-0.358
-4.9,-92.7,-0.392
-5.29,-98.9,-0.423
-5.62,-104.6,-0.45
-5.91,-109.6,-0.473
-6.15,-113,-0.492
-6.33,-114.9,-0.506
-6.45,-115.8,-0.516
-6.51,-115.8,-0.521
-6.52,-114.3,-0.522
-6.52,-101.4,-0.522
-6.35,-94.2,-0.508
-6.19,-88.6,-0.495
-5.96,-82,-0.477
-5.7,-74.8,-0.456
-5.36,-67,-0.429
-4.99,-58.9,-0.399
-4.57,-50.4,-0.366
-4.11,-41.9,-0.329
-4.11,-41.9,-0.329
-3.62,-32.2,-0.29
-3.08,-22.5,-0.247
-2.53,-11.9,-0.202
-1.97,-1.3,-0.158
-1.36,9.4,-0.109
-0.91,20.7,-0.073
-0.11,33.8,-0.009
0.06,29.4,0.005
0.04,30.7,0.003
0.04,33.8,0.003
0.05,31.9,0.004
0.05,28.2,0.004
0.04,29.7,0.003
0.04,31.9,0.003
0.34,41.9,0.027
0.97,53.5,0.078
1.61,64.2,0.128
2.19,74.2,0.176
2.75,84.5,0.22
3.3,93.9,0.264
3.82,102.4,0.306
4.34,111.1,0.347
4.78,118.3,0.382
5.17,125.2,0.414
5.52,131.5,0.442
5.85,136.5,0.468
6.11,140.9,0.489
6.32,144,0.505
6.49,146.8,0.519
6.6,147.5,0.528
6.62,147.1,0.529
6.62,143.4,0.529
6.53,138.1,0.522
6.4,132.1,0.512
6.2,124.6,0.496
5.95,117.1,0.476
5.66,108.9,0.453
5.3,98.6,0.424
4.91,89.5,0.393
4.49,79.5,0.359
4.01,69.2,0.321
3.49,57.6,0.279
2.94,45.7,0.236
2.39,34.4,0.191
1.8,22.5,0.144
1.35,14.1,0.108
0.57,-0.3,0.045
-0.04,-11,-0.003
-0.66,-21.3,-0.053
-1.27,-31,-0.102
-1.88,-40.4,-0.151
-2.45,-49.2,-0.196
-3.01,-57.9,-0.241
-3.55,-66.1,-0.284
-4.06,-73.9,-0.325
-4.53,-81.1,-0.362
-4.95,-87.7,-0.396
-5.32,-93.6,-0.426
-5.65,-99.2,-0.452
-5.93,-103.6,-0.475
-6.17,-107.4,-0.493
-6.34,-109.6,-0.507
-6.46,-111.1,-0.516
-6.52,-111.4,-0.522
-6.52,-109.6,-0.522
-6.45,-95.5,-0.516
-6.34,-91.4,-0.507
-6.18,-85.8,-0.494
-5.94,-78.9,-0.475
-5.66,-71.7,-0.453
-5.33,-63.9,-0.427
-4.96,-56,-0.397
-4.54,-47.3,-0.363
-4.07,-38.8,-0.325
-3.57,-29.4,-0.285
-3.04,-20,-0.243
-2.46,-10,-0.197
-1.9,0.3,-0.152
-1.31,11,-0.104
-0.63,20.7,-0.051
-0.04,33.2,-0.003
0.04,28.5,0.003
0.04,30.4,0.003
0.05,31.3,0.004
0.05,29.1,0.004
0.04,27.9,0.003
0.54,43.2,0.043
1.16,54.2,0.093
1.75,64.5,0.14
2.33,74.5,0.187
2.91,83.9,0.233
3.46,93.6,0.277
3.96,102.1,0.317
4.43,109.6,0.355
4.88,117.1,0.391
5.27,124,0.421
5.63,129.3,0.451
5.93,134.3,0.475
6.38,141.5,0.51
6.52,144,0.522
6.61,144.6,0.528
6.64,143.1,0.531
6.58,139,0.527
6.5,134,0.52
6.34,127.1,0.507
6.15,119.9,0.492
5.87,111.4,0.469
5.56,102.4,0.445
5.2,93.9,0.416
4.81,84.2,0.385
4.34,73.9,0.347
3.87,63.6,0.309
3.35,52.6,0.268
2.78,41.3,0.223
2.21,30.4,0.176
1.63,19.4,0.13
0.95,8.1,0.076
0.4,-2.2,0.032
-0.22,-12.2,-0.018
-0.84,-22.2,-0.067
-1.45,-31.3,-0.116
-2.07,-40.4,-0.165
-2.61,-48.8,-0.209
-3.18,-57,-0.254
-3.7,-65.4,-0.296
-4.2,-72.6,-0.336
-4.65,-79.8,-0.372
-5.05,-86.1,-0.404
-5.43,-91.7,-0.434
-5.74,-97.4,-0.459
-6.01,-101.4,-0.481
-6.22,-104.9,-0.498
-6.38,-107.1,-0.51
-6.48,-108.3,-0.518
-6.52,-108.3,-0.522
-6.52,-104.2,-0.522
-6.42,-92.4,-0.514
-6.3,-87.3,-0.504
-6.11,-80.8,-0.489
-5.87,-73.9,-0.469
-5.57,-67,-0.445
-5.24,-59.2,-0.419
-4.84,-51.3,-0.387
-4.4,-42.9,-0.352
-3.92,-34.4,-0.313
-3.42,-25.4,-0.273
-2.88,-15.7,-0.23
-2.32,-5.9,-0.186
-1.72,3.8,-0.138
-1.11,14.1,-0.089
-0.49,25.4,-0.039
0.1,34.4,0.008
0.04,27.9,0.003
0.04,31,0.003
0.05,29.7,0.004
0.04,26.9,0.003
0.04,30.7,0.003
0.05,29.7,0.004
0.05,27.2,0.004
0.04,27.2,0.003
0.04,30.4,0.003
0.05,29.7,0.004
0.05,27.5,0.004
0.04,26.9,0.003
0.04,29.7,0.003
0.05,30.4,0.004
0.04,28.5,0.003
0.05,26.9,0.004
0.56,42.6,0.045
1.21,54.2,0.097
1.85,65.1,0.148
2.49,75.1,0.2
3.09,85.5,0.248
3.69,95.2,0.296
4.23,103.9,0.338
4.76,113,0.381
5.22,120.5,0.418
5.7,127.1,0.456
6.04,134,0.483
6.37,139.6,0.51
6.65,143.7,0.532
6.85,146.5,0.548
7,147.1,0.56
7.1,148.1,0.568
7.12,147.1,0.57
7.09,141.2,0.567
6.99,136.2,0.559
6.82,129.6,0.546
6.62,121.8,0.529
6.34,114,0.507
5.99,103.9,0.479
5.6,94.5,0.448
5.17,84.8,0.414
4.68,74.8,0.374
4.68,74.8,0.374
4.15,63.9,0.332
3.61,52.6,0.289
3.01,41.3,0.241
2.4,30.1,0.192
1.77,18.8,0.141
1.05,6.6,0.084
0.45,-3.4,0.036
-0.22,-13.8,-0.018
-0.88,-23.8,-0.07
-1.54,-33.5,-0.123
-2.19,-42.6,-0.176
-2.79,-51,-0.224
-3.39,-59.8,-0.272
-3.96,-68.2,-0.317
-4.51,-76.1,-0.361
-4.99,-83.6,-0.399
-5.44,-90.8,-0.435
-5.82,-96.4,-0.466
-6.18,-102.1,-0.494
-6.46,-106.4,-0.516
-6.69,-109.6,-0.535
-6.86,-111.4,-0.549
-6.97,-112.1,-0.558
-7.01,-111.4,-0.561
-7.02,-106.8,-0.562
-6.92,-94.5,-0.553
-6.79,-89.5,-0.543
-6.57,-83,-0.526
-6.32,-76.1,-0.505
-6.01,-68.6,-0.481
-5.63,-60.7,-0.451
-5.21,-52.3,-0.417
-4.75,-43.8,-0.38
-4.24,-34.7,-0.339
-3.69,-25.7,-0.296
-3.13,-16,-0.25
-2.51,-6.3,-0.2
-1.86,4.4,-0.149
-1.21,14.7,-0.097
-0.54,25.4,-0.043
0.11,34.7,0.009
0.04,29.1,0.003
0.05,30.1,0.004
0.05,31.6,0.004
0.05,29.1,0.004
0.57,43.2,0.045
1.21,54.2,0.097
1.85,64.5,0.148
2.49,74.5,0.2
3.1,83.6,0.248
3.68,92.7,0.295
4.24,101.1,0.339
4.74,109.3,0.379
5.25,116.8,0.42
5.65,123.3,0.452
6.38,134.6,0.51
6.64,138.1,0.531
6.85,141.5,0.548
7.01,143.7,0.561
7.1,144,0.568
7.12,143.4,0.57
7.09,137.4,0.567
6.99,132.7,0.559
6.83,126.2,0.546
6.62,118,0.529
6.34,109.9,0.507
6,100.5,0.48
5.61,90.8,0.449
4.7,70.8,0.376
4.18,59.8,0.334
3.62,49.5,0.29
3.03,38.2,0.242
2.4,26.9,0.192
1.8,16.6,0.144
1.11,5.3,0.089
0.46,-5,0.037
-0.88,-23.8,-0.07
-1.53,-32.9,-0.122
-2.17,-41.3,-0.174
-2.78,-49.8,-0.223
-3.38,-58.2,-0.271
-3.95,-66.7,-0.316
-4.49,-74.2,-0.359
-4.98,-81.4,-0.398
-5.43,-87.7,-0.434
-5.81,-93.6,-0.465
-6.17,-98.9,-0.493
-6.46,-103,-0.516
-6.68,-105.8,-0.534
-6.85,-108,-0.548
-6.97,-108.6,-0.558
-7.01,-108,-0.561
-7.01,-105.2,-0.561
-6.9,-88.6,-0.552
-6.78,-84.8,-0.542
-6.58,-78.9,-0.527
-6.33,-72.3,-0.506
-6.01,-64.8,-0.481
-5.63,-57,-0.451
-5.21,-48.8,-0.417
-4.74,-40.7,-0.379
-4.24,-32.2,-0.339
-3.69,-23.8,-0.296
-3.12,-14.4,-0.249
-2.52,-4.4,-0.201
-1.88,5,-0.151
-1.24,15,-0.099
-0.54,26,-0.043
0.09,35.4,0.007
0.04,26.9,0.003
0.04,30.1,0.003
0.05,32.2,0.004
0.05,30.1,0.004
0.14,36,0.011
0.91,49.2,0.073
1.55,59.5,0.124
2.19,69.5,0.176
2.83,78.6,0.226
3.43,87.3,0.274
3.98,95.5,0.319
4.52,103.3,0.361
5.03,110.8,0.403
5.47,117.4,0.438
5.88,123.7,0.47
6.21,129,0.497
6.53,133.7,0.522
6.95,139.3,0.556
7.07,140.3,0.565
7.12,140.6,0.57
7.12,138.1,0.57
7.04,132.4,0.564
6.92,126.5,0.553
6.72,119,0.538
6.48,110.8,0.518
6.15,101.4,0.492
5.79,92.4,0.463
5.37,82.3,0.43
4.91,72.3,0.393
4.43,62.9,0.355
3.87,52.6,0.309
3.3,41.6,0.264
2.68,30.7,0.214
2.07,20.3,0.165
1.5,8.8,0.12
0.75,0,0.06
0.09,-9.4,0.007
-0.58,-18.5,-0.046
-1.23,-27.2,-0.099
-1.9,-35.7,-0.152
-2.53,-43.8,-0.202
-3.13,-52,-0.25
-3.72,-60.1,-0.297
-4.26,-67.6,-0.341
-4.78,-74.5,-0.382
-5.24,-81.1,-0.419
-5.64,-87,-0.451
-6.01,-92,-0.481
-6.34,-96.4,-0.507
-6.58,-100.5,-0.527
-6.79,-103,-0.543
-6.93,-104.2,-0.554
-7.01,-104.6,-0.561
-7.02,-103.6,-0.562
-7.01,-91.4,-0.561
-6.86,-85.5,-0.549
-6.69,-79.8,-0.535
-6.46,-73.3,-0.516
-6.17,-66.4,-0.493
-5.82,-58.9,-0.466
-5.42,-51,-0.433
-4.49,-35.1,-0.359
-3.96,-26.6,-0.317
-3.38,-17.5,-0.271
-2.79,-8.1,-0.224
-2.18,0.9,-0.175
-1.54,10.3,-0.123
-1.06,18.5,-0.085
-0.18,30.4,-0.015
0.09,28.5,0.007
0.04,27.5,0.003
0.04,29.4,0.003
0.05,31.3,0.004
0.05,28.5,0.004
0.04,26,0.003
0.04,29.7,0.003
0.05,29.7,0.004
0.05,26.9,0.004
0.04,26.6,0.003
0.04,28.5,0.003
0.05,30.7,0.004
0.05,26,0.004
0.05,26,0.004
0.04,26.9,0.003
0.04,28.5,0.003
0.05,29.7,0.004
0.05,26,0.004
0.04,26.9,0.003
0.04,29.1,0.003
0.05,30.1,0.004
0.06,28.2,0.005
0.57,42.6,0.045
1.31,54.5,0.104
1.99,64.8,0.159
2.68,74.2,0.214
3.33,83.9,0.266
3.96,93.6,0.317
4.59,101.7,0.367
5.09,109.9,0.407
5.61,117.4,0.449
6.08,124.6,0.487
6.5,130.5,0.52
6.84,135.6,0.547
7.13,139,0.57
7.36,141.2,0.588
7.53,142.8,0.602
7.61,142.8,0.609
7.64,141.8,0.612
7.6,135.9,0.608
7.49,130.5,0.6
7.33,123,0.587
7.1,114.3,0.568
6.8,104.9,0.544
6.43,95.2,0.515
6,84.8,0.48
5.55,75.1,0.444
5.02,64.5,0.402
4.46,53.5,0.357
3.87,42.9,0.309
3.22,31.3,0.258
2.58,20.3,0.206
1.91,9.1,0.152
1.17,0,0.093
0.47,-9.4,0.038
-0.24,-18.5,-0.019
-0.95,-27.2,-0.076
-1.67,-36,-0.134
-2.36,-44.8,-0.188
-3.01,-52.6,-0.241
-3.66,-61,-0.293
-4.25,-69.2,-0.34
-4.84,-76.7,-0.387
-5.35,-83.3,-0.428
-5.84,-89.5,-0.467
-6.25,-95.2,-0.5
-6.62,-100.5,-0.529
-6.94,-103.9,-0.555
-7.18,-106.1,-0.575
-7.38,-107.7,-0.59
-7.47,-108.3,-0.598
-7.53,-107.7,-0.602
-7.54,-104.2,-0.603
-7.41,-87.7,-0.593
-7.28,-83.3,-0.582
-7.07,-77.3,-0.565
-6.78,-70.1,-0.542
-6.45,-62.6,-0.516
-6.04,-55.1,-0.483
-5.6,-47,-0.448
-5.1,-38.8,-0.408
-4.55,-30.7,-0.364
-3.96,-21.9,-0.317
-3.33,-13.1,-0.266
-2.68,-3.8,-0.214
-2.01,5.6,-0.161
-1.33,15,-0.106
-0.58,25.4,-0.046
0.1,34.1,0.008
0.04,26.6,0.003
0.04,30.1,0.003
0.06,28.8,0.005
0.04,25.4,0.003
0.04,29.1,0.003
0.06,29.7,0.005
0.05,26,0.004
0.04,26.6,0.003
0.04,29.7,0.003
0.05,28.5,0.004
0.05,25.4,0.004
0.04,26.6,0.003
0.05,29.7,0.004
0.05,25.7,0.004
0.04,26.6,0.003
0.04,29.7,0.003
0.05,28.8,0.004
0.05,26.6,0.004
0.04,25.4,0.003
0.04,27.5,0.003
0.05,29.7,0.004
0.05,25.7,0.004
0.04,25.4,0.003
0.04,29.1,0.003
0.05,28.5,0.004
0.05,26.6,0.004
0.04,24.7,0.003
0.04,28.5,0.003
0.05,29.1,0.004
0.05,25.7,0.004
0.04,25.4,0.003
0.04,29.4,0.003
0.05,28.2,0.004
0.05,26.6,0.004
0.04,24.7,0.003
0.04,28.2,0.003
0.05,29.1,0.004
0.05,25.4,0.004
0.04,25,0.003
0.04,28.5,0.003
0.44,40.4,0.035
1.17,51,0.093
1.88,61,0.151
2.56,70.8,0.205
3.21,80.1,0.257
3.87,88.6,0.309
4.46,97,0.357
5,104.6,0.4
5.54,112.1,0.443
6,118.6,0.48
6.42,124.6,0.514
6.78,129.6,0.542
7.09,133.4,0.567
7.32,136.2,0.586
7.48,138.1,0.599
7.6,138.4,0.608
7.64,137.7,0.612
7.61,132.4,0.609
7.52,127.1,0.601
7.36,120.5,0.588
7.14,112.7,0.571
6.84,103.3,0.547
6.49,93.9,0.519
6.08,83.6,0.487
5.62,73.9,0.45
