Test unit,C2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.68,29.5,0.051
0.67,27.9,0.049
0.65,26.2,0.048
0.63,24.5,0.046
0.61,22.8,0.045
0.59,21.1,0.044
0.58,19.3,0.043
0.55,17.8,0.041
0.53,16.2,0.039
0.5,14.6,0.037
0.48,12.9,0.036
0.46,11.2,0.034
0.45,9.7,0.033
0.43,7.9,0.032
0.41,6.3,0.03
0.38,4.7,0.028
0.38,3.1,0.028
0.35,1.7,0.026
0.32,0.4,0.024
0.3,-1.4,0.023
0.29,-3.4,0.021
0.27,-5.2,0.02
0.25,-7.6,0.018
0.22,-10.4,0.016
0.19,-12.9,0.014
0.16,-15.1,0.012
0.13,-16.9,0.01
0.1,-18.5,0.008
0.09,-17,0.006
0.09,-19,0.007
0.07,-21.2,0.005
0.04,-23.2,0.003
0.02,-25.1,0.001
-0.01,-26.8,-0.001
-0.04,-28.3,-0.003
-0.05,-29.9,-0.004
-0.07,-31.6,-0.005
-0.09,-33.1,-0.007
-0.11,-34.8,-0.008
-0.13,-36.4,-0.01
-0.15,-38,-0.011
-0.17,-39.7,-0.012
-0.18,-41.4,-0.013
-0.21,-42.9,-0.016
-0.24,-44.3,-0.018
-0.26,-45.8,-0.019
-0.28,-47.5,-0.021
-0.3,-49.2,-0.022
-0.32,-50.8,-0.024
-0.34,-52.3,-0.026
-0.37,-53.9,-0.027
-0.39,-55.6,-0.029
-0.41,-57.1,-0.03
-0.42,-58.8,-0.031
-0.44,-60.6,-0.033
-0.47,-62,-0.035
-0.51,-63.4,-0.037
-0.53,-65,-0.039
-0.55,-66.7,-0.041
-0.57,-68.2,-0.042
-0.6,-69.7,-0.044
-0.62,-71.3,-0.046
-0.64,-72.9,-0.047
-0.65,-74.7,-0.048
-0.68,-76,-0.051
-0.72,-77.1,-0.054
-0.74,-78.6,-0.055
-0.77,-80.2,-0.057
-0.79,-81.6,-0.059
-0.82,-83,-0.061
-0.84,-84.8,-0.062
-0.89,-85.7,-0.066
-0.91,-87.1,-0.067
-0.94,-88.5,-0.07
-0.97,-89.8,-0.072
-0.99,-88.1,-0.073
-1,-89.8,-0.074
-0.99,-88,-0.073
-1,-86.3,-0.074
-1.01,-84.7,-0.075
-1.02,-82.9,-0.075
-1,-81.2,-0.074
-0.98,-79.5,-0.072
-0.97,-77.7,-0.072
-0.97,-75.9,-0.072
-0.95,-74.4,-0.07
-0.94,-72.6,-0.069
-0.92,-71,-0.068
-0.9,-69.3,-0.067
-0.87,-68,-0.064
-0.87,-66.2,-0.064
-0.85,-64.6,-0.063
-0.84,-63,-0.062
-0.82,-61.3,-0.061
-0.81,-59.6,-0.06
-0.79,-57.9,-0.058
-0.77,-56.3,-0.057
-0.75,-54.7,-0.056
-0.72,-53.1,-0.053
-0.7,-51.5,-0.052
-0.7,-49.9,-0.052
-0.69,-48.1,-0.051
-0.66,-46.5,-0.049
-0.65,-45,-0.048
-0.63,-43.3,-0.047
-0.61,-41.7,-0.045
-0.59,-40,-0.044
-0.57,-38.5,-0.042
-0.55,-36.8,-0.041
-0.52,-35.1,-0.038
-0.49,-33.5,-0.037
-0.48,-31.7,-0.036
-0.47,-30.1,-0.035
-0.46,-28.3,-0.034
-0.43,-26.7,-0.032
-0.41,-24.9,-0.031
-0.4,-23.4,-0.029
-0.37,-21.7,-0.028
-0.35,-20.1,-0.026
-0.33,-18.4,-0.024
-0.31,-16.7,-0.023
-0.28,-15,-0.021
-0.25,-13.4,-0.019
-0.24,-11.7,-0.018
-0.23,-10,-0.017
-0.21,-8.3,-0.016
-0.19,-6.7,-0.014
-0.17,-5.1,-0.012
-0.15,-3.6,-0.011
-0.13,-2,-0.009
-0.11,-0.5,-0.008
-0.07,1,-0.005
-0.06,2.7,-0.005
