Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.33,6.1,0.024
0.28,5.2,0.021
0.32,3.6,0.024
0.23,3.5,0.017
0.29,2.5,0.022
0.22,-1.1,0.016
0.11,-15.7,0.008
0.09,-16.5,0.006
0.03,-18.1,0.003
-0.13,-28.4,-0.01
-0.27,-39.3,-0.02
-0.45,-50.5,-0.033
-0.62,-57,-0.046
-0.66,-62.3,-0.049
-0.72,-68.9,-0.053
-0.88,-74.6,-0.065
-0.92,-80.1,-0.068
-0.97,-83,-0.072
-1.05,-85,-0.078
-0.97,-84.6,-0.072
-1.08,-86.6,-0.08
-1.02,-89.7,-0.076
-1.09,-92.1,-0.081
-1.18,-92.8,-0.087
-1.14,-93.8,-0.084
-1.25,-95.5,-0.093
-1.23,-97.4,-0.091
-1.24,-97.6,-0.092
-1.33,-99.5,-0.099
-1.35,-100.7,-0.1
-1.37,-101.6,-0.102
-1.46,-102,-0.108
-1.41,-101.9,-0.105
-1.48,-102.7,-0.11
-1.44,-103,-0.106
-1.44,-103.2,-0.106
-1.54,-103.3,-0.114
-1.45,-102.9,-0.108
-1.52,-103.6,-0.113
-1.49,-98.3,-0.11
-1.55,-97.8,-0.115
-1.53,-98.4,-0.113
-1.52,-95.1,-0.113
-1.45,-94.3,-0.108
-1.47,-93.5,-0.109
-1.42,-92.7,-0.105
-1.45,-91.4,-0.107
-1.43,-87.6,-0.106
-1.35,-86.4,-0.1
-1.34,-83.9,-0.099
-1.32,-83.1,-0.098
-1.23,-78.4,-0.091
-1.23,-75.3,-0.091
-1.18,-70.9,-0.088
-1.19,-67.6,-0.088
-1.13,-65,-0.084
-1.03,-62.4,-0.076
-1.06,-60.7,-0.078
-0.97,-55.8,-0.072
-0.98,-53.7,-0.072
-0.96,-51.1,-0.071
-0.79,-40.6,-0.058
-0.76,-35.8,-0.056
-0.63,-24.1,-0.047
-0.62,-20.8,-0.046
-0.53,-16.7,-0.039
-0.36,-7,-0.026
-0.27,0.2,-0.02
-0.24,0.6,-0.018
-0.19,10.5,-0.014
0.02,20.6,0.002
0.08,17.9,0.006
0.11,30.1,0.008
0.17,32.3,0.013
0.2,38.1,0.015
0.32,45.6,0.024
0.4,49,0.03
0.43,54.1,0.032
0.6,61.3,0.044
0.69,68.3,0.051
1.08,80.3,0.08
1.39,92.5,0.103
1.44,83.7,0.107
1.08,62.5,0.08
0.9,47.8,0.067
0.73,33,0.054
0.6,29.3,0.045
0.38,12.4,0.028
0.3,5.2,0.022
0.17,-6,0.012
0.01,-18.2,0
-0.19,-32.8,-0.014
-0.41,-46.2,-0.03
-0.63,-56.8,-0.047
-0.76,-65.5,-0.056
-0.83,-72.2,-0.061
-0.96,-79.1,-0.071
-1.07,-85.7,-0.079
-1.14,-88.5,-0.085
-1.22,-92.7,-0.091
-1.21,-93.9,-0.089
-1.24,-95.7,-0.092
-1.36,-99,-0.101
-1.42,-101.4,-0.105
-1.54,-102.2,-0.114
-1.52,-102.1,-0.112
-1.52,-99.4,-0.113
-1.54,-96.8,-0.114
NaN,NaN,NaN
-1.51,-96.9,-0.112
-1.46,-95.4,-0.109
-1.55,-95,-0.115
-1.41,-93.3,-0.105
-1.5,-91.8,-0.111
-1.43,-90,-0.106
-1.41,-88.7,-0.105
-1.45,-87.8,-0.108
-1.38,-85.9,-0.102
-1.38,-84.3,-0.102
-1.27,-80.3,-0.094
-1.31,-78.3,-0.097
-1.19,-74.5,-0.088
-1.22,-71.3,-0.09
-1.17,-69.7,-0.087
-1.12,-65.9,-0.083
-1.14,-63.2,-0.084
-1.01,-61.7,-0.075
-1.01,-59.1,-0.075
-0.99,-54.2,-0.073
-0.91,-51.6,-0.068
-0.98,-49.7,-0.072
-0.87,-44.1,-0.065
-0.8,-39.4,-0.059
-0.79,-35.4,-0.058
-0.78,-32.2,-0.058
-0.7,-26.4,-0.052
-0.53,-21.2,-0.039
-0.48,-17.2,-0.035
-0.42,-12.1,-0.031
-0.42,-9.4,-0.031
-0.34,-4.6,-0.025
-0.31,0.1,-0.023
-0.2,1,-0.015
-0.2,5.4,-0.015
0.01,17.4,0.001
0.09,26,0.007
0.49,54,0.037
1,79.2,0.074
1.71,99.9,0.127
1.85,100.8,0.137
1.83,96.3,0.135
1.78,92.2,0.132
1.39,67.4,0.103
0.97,39.8,0.072
0.55,12.9,0.041
0.11,-17,0.008
0.09,-17.8,0.007
-0.23,-39.8,-0.017
-0.86,-75.7,-0.064
-1.38,-100.6,-0.102
-1.95,-106.9,-0.144
-1.59,-79.9,-0.118
-1.18,-53.3,-0.087
-0.76,-25.3,-0.057
-0.32,2.1,-0.023
-0.06,20.2,-0.005
-0.1,17.3,-0.008
-0.1,18.6,-0.007
-0.1,15.9,-0.008
0.33,41.6,0.024
0.84,67.5,0.062
1.46,91.2,0.108
1.8,93.4,0.133
1.4,67.1,0.104
0.96,40,0.071
0.5,9.9,0.037
0.04,-16.1,0.003
0.04,-15.5,0.003
-0.32,-37.3,-0.024
-0.77,-63.7,-0.057
-1.31,-88.9,-0.097
-1.92,-107.9,-0.142
-1.72,-85.2,-0.127
-1.33,-59.3,-0.099
-0.89,-31.9,-0.066
-0.46,-5.6,-0.034
-0.19,14.8,-0.014
-0.05,16.2,-0.003
0.02,25.1,0.001
0.51,50.6,0.038
1.08,76,0.08
1.71,95.9,0.127
1.62,79.3,0.12
1.18,53.9,0.087
0.72,26.6,0.053
0.31,1.1,0.023
0.02,-14.2,0.001
-0.1,-21.2,-0.007
-0.56,-48,-0.041
-1.08,-74,-0.08
-1.63,-98,-0.121
-2.03,-102.5,-0.151
-1.61,-76,-0.119
-1.2,-49.3,-0.089
-0.75,-23.6,-0.055
-0.35,2.7,-0.026
-0.05,19.3,-0.003
-0.08,16.8,-0.006
0.38,39.9,0.028
0.78,62.7,0.058
1.18,79.3,0.087
NaN,NaN,NaN
1.15,78.2,0.085
1.18,79.3,0.087
1.21,80.2,0.09
1.24,81.6,0.092
1.28,83.1,0.095
1.3,84.5,0.097
1.37,84.7,0.102
1.38,86.2,0.102
1.41,87.4,0.105
1.46,88.6,0.108
1.46,90,0.108
1.5,90.9,0.111
1.56,92,0.116
1.6,93,0.119
1.65,94.2,0.122
1.69,95.3,0.125
1.73,96.6,0.128
1.79,97.3,0.132
1.82,98.4,0.135
1.87,99.5,0.139
1.93,99.8,0.143
1.98,100.9,0.146
2.03,100.6,0.15
2.05,102.1,0.152
2.11,102.8,0.157
2.17,102.8,0.161
2.19,101.4,0.162
2.16,100,0.16
2.15,98.6,0.159
2.17,100.2,0.161
2.17,98.5,0.16
2.16,97,0.16
2.15,95.5,0.16
2.1,94.9,0.155
2.09,93.4,0.155
2.06,92.2,0.153
2.06,90.7,0.153
2.02,89.4,0.149
2.01,88,0.149
1.97,86.8,0.146
1.98,85.3,0.147
1.93,84.2,0.143
1.9,82.9,0.141
1.87,81.6,0.139
1.86,80.2,0.138
1.84,78.8,0.136
1.79,77.9,0.133
1.76,76.6,0.131
1.76,75.1,0.13
1.72,74,0.127
1.7,72.7,0.126
1.66,71.4,0.123
1.64,69.8,0.121
1.63,68.4,0.121
1.61,66.9,0.119
1.59,65.6,0.118
1.54,64.6,0.114
1.54,63.1,0.114
1.48,61.7,0.109
1.45,60.4,0.108
