Test unit,C8
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.05,42.2,0.003
0.05,44.1,0.004
0.06,45.9,0.005
0.07,47.7,0.005
0.08,50,0.006
0.08,51.8,0.006
0.09,53.4,0.007
0.1,55.2,0.007
0.11,56.7,0.008
0.13,57.7,0.009
0.13,59.6,0.01
0.13,62,0.01
0.13,63.9,0.01
0.14,65.6,0.01
0.14,67.5,0.01
0.15,69.1,0.011
0.15,70.9,0.011
0.16,72.4,0.012
0.17,74.3,0.012
0.17,76.1,0.013
0.19,77.4,0.014
0.2,77.9,0.015
0.2,80.3,0.014
0.19,82.4,0.014
0.2,84,0.015
0.2,85.7,0.015
0.21,87.1,0.016
0.22,88.8,0.016
0.22,90.7,0.016
0.23,92,0.017
0.24,92.1,0.018
0.23,94.2,0.017
0.23,96.2,0.017
0.24,97.3,0.018
0.25,98.6,0.018
0.25,100.3,0.019
0.27,100.7,0.02
0.26,102.6,0.02
0.27,102.5,0.02
0.29,103.1,0.021
0.28,101.8,0.02
0.28,99.6,0.021
0.29,97.5,0.021
0.29,95.2,0.022
0.3,93,0.022
0.31,90.8,0.023
0.32,89.8,0.024
0.31,88.3,0.023
0.3,87.6,0.022
0.29,85.6,0.022
0.29,83.8,0.021
0.28,81.8,0.021
0.3,80.4,0.022
0.29,78.6,0.021
0.28,77.8,0.02
0.27,76.5,0.02
0.26,74.6,0.02
0.26,72.5,0.019
0.26,70.7,0.019
0.26,68.5,0.019
0.25,67.1,0.019
0.26,65,0.02
0.26,63.2,0.019
0.25,62.4,0.018
0.24,60.6,0.018
0.23,58.7,0.017
0.22,56.4,0.017
0.22,54.8,0.016
0.21,52.7,0.016
0.21,51.1,0.015
0.2,49,0.015
0.19,47.4,0.014
0.2,45.2,0.015
0.19,43.1,0.014
0.18,41.8,0.014
0.17,40.2,0.013
0.16,38.5,0.012
0.15,36.9,0.011
0.15,34.9,0.011
0.15,32.8,0.011
0.14,30.9,0.011
0.14,28.7,0.01
0.13,26.8,0.01
0.12,25,0.009
0.13,22.9,0.009
0.13,20.7,0.009
0.11,19.1,0.008
0.1,17.6,0.008
0.09,15.9,0.007
0.09,13.7,0.007
0.08,12,0.006
0.08,10,0.006
0.07,8.3,0.005
0.06,6.4,0.005
0.05,4.5,0.004
0.05,2.5,0.004
0.06,1,0.005
0.05,0.6,0.004
0.03,-0.6,0.003
0.03,-2.4,0.002
0.03,-4.4,0.002
0.02,-6.3,0.002
0.02,-8.3,0.001
0.01,-11,0.001
0,-13.5,0
-0,-16.2,-0
-0.01,-18.7,-0.001
-0.02,-21.3,-0.002
-0.03,-24,-0.002
-0.03,-26.3,-0.003
-0.03,-28.2,-0.003
-0.04,-30.2,-0.003
-0.04,-31.7,-0.003
-0.05,-33.5,-0.004
-0.06,-35.2,-0.004
-0.06,-36.9,-0.005
-0.06,-38.9,-0.005
-0.07,-40.7,-0.005
-0.07,-42.7,-0.005
-0.07,-44.6,-0.005
-0.07,-46,-0.005
-0.07,-47.8,-0.005
-0.08,-49.4,-0.006
-0.08,-51.8,-0.006
-0.08,-54,-0.006
-0.09,-55,-0.007
-0.1,-56.3,-0.008
-0.11,-57.5,-0.008
-0.13,-58.8,-0.009
-0.13,-61.1,-0.009
-0.13,-63.1,-0.01
-0.14,-64.6,-0.01
-0.15,-66.5,-0.011
-0.16,-68.2,-0.012
-0.16,-70,-0.012
-0.15,-72,-0.011
-0.16,-73.3,-0.012
-0.17,-74.5,-0.013
-0.18,-75.5,-0.014
-0.19,-76.5,-0.014
-0.2,-78.1,-0.015
-0.2,-79.9,-0.015
-0.21,-82,-0.016
-0.22,-83.7,-0.016
-0.2,-85.9,-0.015
-0.21,-87.4,-0.016
-0.22,-88.1,-0.016
-0.23,-89.1,-0.017
-0.24,-89.8,-0.018
-0.24,-91.9,-0.018
-0.26,-93.4,-0.019
-0.24,-93.8,-0.018
-0.25,-94.9,-0.018
-0.26,-95.8,-0.019
-0.27,-96.6,-0.02
-0.28,-97.4,-0.021
-0.27,-97.6,-0.02
-0.28,-98.2,-0.021
-0.29,-96.6,-0.022
-0.29,-94.4,-0.022
-0.29,-92.2,-0.022
-0.3,-89.9,-0.022
-0.3,-87.8,-0.022
-0.3,-85.5,-0.022
-0.29,-85,-0.021
-0.29,-82.8,-0.021
-0.29,-80.6,-0.021
-0.29,-78.6,-0.021
-0.28,-76.6,-0.021
-0.28,-74.5,-0.02
-0.26,-73.5,-0.019
-0.25,-72.8,-0.018
-0.26,-71.6,-0.019
-0.26,-69.5,-0.019
-0.26,-67.6,-0.019
-0.25,-65.4,-0.019
-0.24,-63.5,-0.018
-0.24,-61.2,-0.018
-0.23,-59.5,-0.017
-0.22,-58,-0.016
-0.2,-57.2,-0.015
-0.21,-55.2,-0.016
-0.21,-53,-0.016
-0.21,-50.9,-0.015
-0.2,-48.8,-0.015
-0.19,-46.9,-0.014
-0.18,-45.2,-0.014
-0.18,-43.1,-0.013
-0.17,-41,-0.013
-0.17,-39.4,-0.012
-0.15,-37.4,-0.011
-0.14,-36.4,-0.01
-0.14,-34.2,-0.011
-0.14,-32,-0.01
-0.14,-29.8,-0.01
-0.13,-28.3,-0.009
-0.12,-26.1,-0.009
-0.11,-24.3,-0.008
-0.11,-22.2,-0.008
-0.1,-20.5,-0.008
-0.09,-18.7,-0.007
-0.08,-16.9,-0.006
-0.08,-14.6,-0.006
-0.06,-13.5,-0.005
-0.06,-11.6,-0.004
-0.06,-9.5,-0.005
-0.07,-7.4,-0.005
-0.06,-5.7,-0.004
-0.05,-4,-0.004
-0.05,-2,-0.004
-0.04,-0.4,-0.003
-0.03,0.2,-0.002
-0.04,2.4,-0.003
-0.04,4.5,-0.003
-0.04,7,-0.003
-0.04,9.5,-0.003
-0.04,11.7,-0.003
-0.03,13.6,-0.003
-0.02,15.1,-0.002
-0.02,17.5,-0.002
-0.02,19.5,-0.002
-0.01,22,-0.001
-0.01,24.7,-0.001
-0.01,27.6,-0.001
0,30.3,0
0.02,32.8,0.001
0.02,35,0.001
0.02,36.9,0.002
0.04,39.3,0.003
0.04,41.3,0.003
0.05,42.7,0.004
0.05,44.6,0.004
0.06,46.2,0.005
0.07,48.1,0.005
0.08,49.6,0.006
0.1,51.1,0.007
0.11,52.1,0.008
0.11,54.6,0.008
0.12,56.9,0.009
0.12,59.2,0.009
0.13,61.7,0.01
0.13,63.6,0.01
0.14,65.3,0.01
0.14,67.5,0.01
0.14,69.1,0.011
0.16,71.2,0.012
0.16,73.3,0.012
0.17,75.3,0.013
0.18,77.4,0.013
0.18,79.3,0.014
0.19,81.2,0.014
0.2,83,0.015
0.21,84.4,0.015
0.21,86.4,0.016
0.22,88.1,0.016
0.22,90,0.017
0.22,92,0.017
0.23,93.7,0.017
0.24,94.8,0.018
0.25,96,0.019
0.25,98,0.019
0.25,100.2,0.019
0.25,102.4,0.019
0.26,103.6,0.019
0.27,105.1,0.02
0.27,106.7,0.02
0.27,107.9,0.02
0.28,109.1,0.021
0.29,110.6,0.021
0.3,112,0.022
0.31,113.4,0.023
0.32,114.8,0.024
0.33,116.1,0.024
0.34,117.4,0.025
0.34,119.1,0.025
0.35,120.6,0.026
0.36,122,0.027
0.38,122.9,0.028
0.38,124.2,0.028
0.38,126,0.028
0.38,127.5,0.028
0.39,128.4,0.029
0.4,129.4,0.03
0.41,130.4,0.03
0.42,131.9,0.031
0.42,133.3,0.031
0.42,134.4,0.031
0.43,135.2,0.032
0.44,136.4,0.032
0.44,137.1,0.033
0.46,137.4,0.034
0.45,138.8,0.034
0.46,140.1,0.034
0.47,140.7,0.035
0.47,141.9,0.035
0.48,143,0.035
0.49,143,0.036
0.5,144.6,0.037
0.51,145.3,0.038
0.52,145.4,0.039
0.53,146.5,0.039
0.54,145.9,0.04
0.55,146.6,0.041
0.57,147.5,0.042
0.56,145.7,0.041
0.55,143,0.041
0.55,140.6,0.041
0.55,138.5,0.041
0.55,135.9,0.041
0.55,133.7,0.041
0.55,131.8,0.04
0.54,129.9,0.04
0.54,132.1,0.04
0.54,134.3,0.04
0.55,135.4,0.041
0.54,134.2,0.04
0.54,131.9,0.04
0.54,129.4,0.04
0.53,127.6,0.039
0.54,125.4,0.04
0.53,123.6,0.039
0.52,121.8,0.039
0.52,120.1,0.038
0.51,117.8,0.038
0.51,116.1,0.038
0.51,113.9,0.038
0.52,111.6,0.039
0.51,109.4,0.038
0.51,108.4,0.037
0.5,107.2,0.037
0.49,106,0.036
0.48,104.3,0.036
0.48,102.4,0.035
0.48,100.5,0.035
0.47,98.8,0.035
0.47,96.8,0.035
0.47,95,0.035
0.47,93,0.034
0.46,91.4,0.034
0.46,89.1,0.034
0.45,87.3,0.033
0.45,84.9,0.033
0.45,82.6,0.033
0.45,81.2,0.033
0.43,79.7,0.032
0.43,78,0.032
0.42,76.4,0.031
0.41,74.3,0.031
0.4,72.7,0.03
0.4,70.8,0.029
0.39,68.9,0.029
0.38,66.7,0.028
0.37,64.4,0.028
0.37,62.5,0.027
0.36,60.6,0.027
0.35,58.3,0.026
0.35,56.3,0.026
0.34,54.5,0.025
0.33,52.4,0.025
0.33,50.2,0.025
0.33,47.9,0.025
0.32,46.3,0.024
0.31,44.8,0.023
0.3,43.2,0.022
0.29,41.8,0.021
0.28,40,0.021
0.27,38,0.02
0.27,36.1,0.02
0.26,34.2,0.019
0.25,32.4,0.019
0.24,30.5,0.018
0.23,28.5,0.017
0.23,26.6,0.017
0.22,25.1,0.017
0.22,23.1,0.016
0.22,21.1,0.016
0.21,19.2,0.016
0.21,17.3,0.016
0.2,15.7,0.015
0.21,13.4,0.015
0.21,11,0.015
0.19,9.2,0.014
0.18,7.6,0.014
0.17,6.3,0.013
0.16,4.2,0.012
0.15,2.8,0.011
0.15,0.8,0.011
0.14,-0.4,0.01
0.14,-2.4,0.01
0.13,-4.4,0.01
0.12,-6.6,0.009
0.11,-10.5,0.008
0.11,-12.6,0.008
0.1,-14.7,0.007
0.1,-17,0.007
0.09,-19.2,0.007
0.08,-21.2,0.006
0.07,-23.4,0.005
0.06,-25.5,0.005
0.05,-27.6,0.004
0.05,-29.7,0.003
0.03,-31.7,0.003
0.03,-33.8,0.002
0.01,-35.6,0.001
0,-38.7,0
-0.01,-41,-0.001
-0.01,-42.9,-0.001
-0.02,-40.8,-0.001
-0.03,-41.8,-0.002
-0.04,-44.7,-0.003
-0.04,-47.6,-0.003
-0.04,-49.4,-0.003
-0.05,-51.1,-0.004
-0.05,-53,-0.004
-0.06,-54.6,-0.004
-0.06,-56.1,-0.005
-0.07,-58,-0.005
-0.07,-59.8,-0.006
-0.08,-61.2,-0.006
-0.08,-63.2,-0.006
-0.08,-64.8,-0.006
-0.08,-66.4,-0.006
-0.08,-68.4,-0.006
-0.09,-69.9,-0.006
-0.09,-71.6,-0.007
-0.1,-73.6,-0.007
-0.09,-76.2,-0.006
-0.1,-77.5,-0.007
-0.11,-78.9,-0.008
-0.12,-80.5,-0.009
-0.13,-81.9,-0.009
-0.14,-83.4,-0.01
-0.14,-85,-0.011
-0.15,-86.9,-0.011
-0.16,-88.9,-0.012
-0.17,-90.3,-0.012
-0.17,-92.2,-0.013
-0.17,-93.9,-0.013
-0.18,-95.4,-0.013
-0.18,-96.8,-0.014
-0.19,-98.7,-0.014
-0.2,-100.2,-0.014
-0.2,-102.1,-0.015
-0.21,-103.9,-0.016
-0.22,-105.4,-0.017
-0.23,-106.9,-0.017
-0.24,-108.5,-0.018
-0.24,-110.6,-0.018
-0.25,-111.7,-0.018
-0.26,-112.6,-0.019
-0.27,-113.7,-0.02
-0.29,-114.5,-0.021
-0.29,-116.1,-0.022
-0.31,-117.1,-0.023
-0.31,-118.6,-0.023
-0.32,-120,-0.024
-0.32,-121.5,-0.024
-0.33,-122.6,-0.024
-0.34,-123.9,-0.025
-0.35,-125,-0.026
-0.36,-125.9,-0.026
-0.37,-127,-0.027
-0.38,-128.3,-0.028
-0.38,-129.5,-0.028
-0.35,-131.3,-0.026
-0.36,-132,-0.027
-0.36,-133,-0.027
-0.37,-133.6,-0.028
-0.38,-134.1,-0.028
-0.38,-135.5,-0.028
-0.38,-136.7,-0.028
-0.39,-137.7,-0.029
-0.4,-138.5,-0.029
-0.41,-139.6,-0.03
-0.42,-140.9,-0.031
-0.43,-141.9,-0.032
-0.43,-143.1,-0.032
-0.44,-143.2,-0.032
-0.45,-144.3,-0.033
-0.46,-145.4,-0.034
-0.46,-146.1,-0.034
-0.47,-146.4,-0.035
-0.49,-147.9,-0.036
-0.5,-147.8,-0.037
-0.51,-149.2,-0.038
-0.52,-150.4,-0.039
-0.53,-148.9,-0.039
-0.52,-146.8,-0.039
-0.53,-148.9,-0.039
-0.54,-148.1,-0.04
-0.54,-145.9,-0.04
-0.54,-143.6,-0.04
-0.55,-141.1,-0.041
-0.55,-138.8,-0.041
-0.55,-136.3,-0.041
-0.54,-134.8,-0.04
-0.53,-132.8,-0.039
-0.52,-130.9,-0.038
-0.5,-130.4,-0.037
-0.51,-129.4,-0.038
-0.52,-127.1,-0.039
-0.51,-125.6,-0.038
-0.51,-123.5,-0.037
-0.5,-121.8,-0.037
-0.5,-119.9,-0.037
-0.49,-117.8,-0.036
-0.48,-116,-0.035
-0.47,-114.1,-0.035
-0.47,-112.3,-0.035
-0.45,-111.8,-0.034
-0.46,-109.4,-0.034
-0.46,-107,-0.034
-0.45,-105.2,-0.033
-0.45,-103.1,-0.033
-0.45,-101.2,-0.033
-0.44,-99.6,-0.033
-0.44,-97.7,-0.032
-0.43,-95.9,-0.032
-0.42,-93.7,-0.031
-0.41,-91.7,-0.031
-0.41,-89.9,-0.03
-0.41,-87.9,-0.03
-0.4,-86.2,-0.03
-0.39,-85,-0.029
-0.38,-83.8,-0.028
-0.38,-81.5,-0.028
-0.38,-79.2,-0.028
-0.38,-77.1,-0.028
-0.37,-75.2,-0.028
-0.36,-72.9,-0.027
-0.36,-71.2,-0.026
-0.35,-69.6,-0.026
-0.34,-67.7,-0.025
-0.33,-65.9,-0.024
-0.32,-64,-0.024
-0.31,-62.3,-0.023
-0.31,-60.4,-0.023
-0.3,-58.7,-0.022
-0.29,-56.6,-0.022
-0.28,-55.1,-0.021
-0.27,-53.1,-0.02
-0.26,-51.4,-0.02
-0.25,-50.1,-0.019
-0.24,-48.7,-0.018
-0.23,-47.6,-0.017
-0.23,-45.4,-0.017
-0.23,-43.5,-0.017
-0.23,-41.4,-0.017
-0.23,-39.1,-0.017
-0.22,-37.6,-0.017
-0.22,-35.3,-0.017
-0.22,-34.4,-0.017
-0.22,-31.3,-0.016
-0.22,-28.4,-0.016
-0.22,-25.5,-0.016
-0.21,-22.3,-0.016
-0.2,-19.1,-0.015
-0.19,-15.8,-0.014
-0.17,-12.6,-0.013
-0.14,-10.2,-0.011
-0.15,-7,-0.011
-0.14,-3.9,-0.01
-0.12,-0.8,-0.009
-0.11,2.7,-0.008
-0.1,5.8,-0.007
-0.08,9.1,-0.006
-0.07,12.9,-0.005
-0.05,16.3,-0.004
-0.03,20.4,-0.002
-0.02,24.2,-0.001
0,27.9,0
0.02,31.6,0.002
0.04,34.8,0.003
0.05,38.4,0.004
0.05,41.9,0.004
