Test unit,R4
Reference,Mazzon (2010)
0.3,42.5,0.023
0.3,42.3,0.023
0.31,42.3,0.024
0.32,43.1,0.025
0.32,43.3,0.025
0.31,43.4,0.024
0.31,43.6,0.024
0.32,43.4,0.025
0.32,42.5,0.025
0.32,41.1,0.025
0.32,40.6,0.025
0.32,40.7,0.025
0.32,41.5,0.025
0.32,42,0.025
0.32,42,0.025
0.32,41.9,0.025
0.32,41.9,0.025
0.32,42.1,0.025
0.32,42.1,0.025
0.34,42,0.026
0.33,41.9,0.026
0.33,41.8,0.025
0.32,41.7,0.025
0.32,41.6,0.025
0.32,41.6,0.025
0.32,41.5,0.025
0.32,41.4,0.025
0.32,40.7,0.025
0.32,39.8,0.025
0.32,39.1,0.025
0.32,38.9,0.025
0.33,38.2,0.025
0.33,37.5,0.025
0.33,36.9,0.025
0.32,36.8,0.025
0.33,36.9,0.026
0.34,36.9,0.027
0.33,36.8,0.026
0.33,35.8,0.026
0.33,34.4,0.026
0.33,32.9,0.026
0.33,31.3,0.026
0.34,29.6,0.026
0.34,27.8,0.027
0.35,25.8,0.027
0.35,23.5,0.027
0.35,21.3,0.027
0.34,19.6,0.026
0.33,19,0.026
0.33,19,0.026
0.33,18.7,0.026
0.33,18.2,0.025
0.33,17.8,0.026
0.34,17.7,0.026
0.33,17.6,0.025
0.32,17.4,0.025
0.31,16.9,0.024
0.31,16.2,0.024
0.3,15.7,0.023
0.3,15.2,0.023
0.29,14.6,0.023
0.29,14.2,0.023
0.29,14.1,0.023
0.29,14,0.023
0.29,13.8,0.023
0.29,13.4,0.022
0.28,12.8,0.022
0.28,12.3,0.022
0.28,11.9,0.022
0.29,11.3,0.022
0.28,10.7,0.022
0.27,10.2,0.021
0.26,10.1,0.02
0.26,10.1,0.02
0.25,9.5,0.02
0.25,8.7,0.019
0.24,8,0.019
0.24,7.4,0.019
0.23,6.7,0.018
0.23,6.2,0.018
0.23,5.9,0.018
0.22,5.5,0.017
0.22,5.1,0.017
0.21,4.5,0.017
0.21,4,0.016
0.21,3.8,0.017
0.22,3.4,0.017
0.21,2.7,0.016
0.2,2.3,0.015
0.19,1.8,0.015
0.18,1.4,0.014
0.18,1.1,0.014
0.18,0.9,0.014
0.17,0.7,0.014
0.17,0.5,0.013
0.17,0.3,0.013
0.17,0.1,0.013
0.17,-0.1,0.013
0.17,-0.3,0.013
0.17,-0.6,0.013
0.16,-0.9,0.013
0.16,-1.4,0.012
0.17,-2.5,0.013
0.16,-4,0.012
0.14,-5.7,0.011
0.12,-6.6,0.01
0.11,-7.7,0.008
0.1,-8.9,0.008
0.09,-9.6,0.007
0.09,-10.1,0.007
0.08,-10.5,0.006
0.08,-11.1,0.006
0.07,-11.6,0.006
0.07,-12,0.005
0.06,-12.5,0.005
0.06,-13,0.004
0.05,-13.6,0.004
0.04,-14.2,0.003
0.04,-14.9,0.003
0.04,-15.3,0.003
0.03,-15.7,0.003
0.02,-16.1,0.002
0.01,-16.6,0.001
-0,-17.2,-0
-0.01,-17.8,-0.001
-0.02,-18.3,-0.002
-0.02,-18.5,-0.002
-0.03,-18.9,-0.002
-0.03,-19.4,-0.003
-0.04,-19.9,-0.003
-0.04,-20.2,-0.003
-0.05,-20.5,-0.004
-0.05,-20.7,-0.004
-0.06,-20.9,-0.004
-0.06,-21.3,-0.005
-0.06,-21.7,-0.005
-0.06,-22.1,-0.004
-0.07,-22.5,-0.005
-0.08,-22.9,-0.006
-0.09,-23.3,-0.007
-0.11,-24,-0.008
-0.11,-24.5,-0.009
-0.12,-24.9,-0.009
-0.13,-25.1,-0.01
-0.13,-25.2,-0.01
-0.14,-25.4,-0.011
-0.14,-25.8,-0.011
-0.15,-26.2,-0.012
-0.16,-26.6,-0.012
-0.17,-26.8,-0.013
-0.17,-26.9,-0.013
-0.17,-27,-0.013
-0.16,-27.3,-0.013
-0.17,-27.7,-0.013
-0.18,-28.3,-0.014
-0.2,-28.6,-0.015
-0.2,-28.6,-0.016
-0.21,-28.5,-0.016
-0.21,-28.9,-0.016
-0.22,-29.4,-0.017
-0.22,-29.6,-0.017
-0.23,-29.7,-0.018
-0.23,-30,-0.018
-0.24,-30.3,-0.018
-0.24,-30.7,-0.019
-0.25,-31.1,-0.02
-0.26,-31.1,-0.02
-0.26,-31.2,-0.02
-0.26,-31.4,-0.02
-0.25,-31.6,-0.02
-0.26,-31.8,-0.02
-0.27,-31.7,-0.021
-0.28,-31.9,-0.022
-0.29,-32.1,-0.022
-0.29,-32.4,-0.023
-0.3,-32.8,-0.023
-0.3,-33,-0.024
-0.31,-32.9,-0.024
-0.31,-32.9,-0.024
-0.31,-33.1,-0.024
-0.31,-33.3,-0.024
-0.32,-33.6,-0.025
-0.33,-33.9,-0.025
-0.33,-33.9,-0.026
-0.33,-33.7,-0.026
-0.32,-33.6,-0.025
-0.32,-33.9,-0.025
-0.33,-34.2,-0.025
-0.34,-34.5,-0.026
-0.35,-34.4,-0.027
-0.35,-34.3,-0.027
-0.35,-34.5,-0.028
-0.36,-34.9,-0.028
-0.36,-34.9,-0.028
-0.36,-34.9,-0.028
-0.36,-34.7,-0.028
-0.36,-34.7,-0.028
-0.36,-34.8,-0.028
-0.37,-35.1,-0.029
-0.37,-35.4,-0.029
-0.37,-35.2,-0.029
-0.37,-35,-0.029
-0.36,-34.8,-0.028
-0.36,-35.1,-0.028
-0.38,-35.8,-0.029
-0.38,-36,-0.03
-0.39,-35.5,-0.03
-0.4,-35.1,-0.031
-0.4,-34.8,-0.031
-0.4,-34.6,-0.031
-0.4,-34.5,-0.031
-0.4,-34.3,-0.031
-0.4,-33.9,-0.031
-0.4,-33.9,-0.031
-0.4,-33.9,-0.031
-0.4,-34,-0.031
-0.39,-34.5,-0.031
-0.39,-34.7,-0.031
-0.39,-34.7,-0.03
-0.38,-34.7,-0.029
-0.38,-34.6,-0.03
-0.39,-34.6,-0.03
-0.4,-35,-0.031
-0.4,-35,-0.031
-0.4,-34.9,-0.031
-0.4,-34.7,-0.031
-0.4,-34.5,-0.031
-0.4,-34.3,-0.031
-0.4,-34.3,-0.031
-0.4,-34.3,-0.031
-0.4,-34.1,-0.031
-0.4,-33.9,-0.031
-0.4,-33.4,-0.031
-0.4,-32.9,-0.031
-0.41,-32.2,-0.032
-0.4,-31.4,-0.031
-0.4,-30.6,-0.031
-0.4,-29.6,-0.031
-0.41,-28.6,-0.032
-0.41,-27.7,-0.032
-0.41,-26.7,-0.032
-0.41,-26,-0.032
-0.41,-25.3,-0.032
-0.41,-24.9,-0.032
-0.4,-24.5,-0.031
-0.4,-24,-0.031
-0.4,-23.2,-0.031
-0.41,-22.2,-0.032
-0.41,-21.1,-0.032
-0.41,-19.9,-0.032
-0.41,-18.7,-0.032
-0.4,-17.8,-0.031
-0.38,-17,-0.03
-0.38,-16.3,-0.03
-0.38,-15.7,-0.03
-0.39,-15.2,-0.03
-0.39,-14.6,-0.03
-0.39,-14.1,-0.03
-0.38,-13.7,-0.03
-0.38,-13.2,-0.029
-0.37,-12.9,-0.029
-0.37,-12.6,-0.029
-0.36,-12.1,-0.028
-0.36,-11.4,-0.028
-0.35,-10.9,-0.027
-0.35,-10.6,-0.027
-0.35,-10.7,-0.027
-0.35,-10.6,-0.027
-0.34,-10,-0.027
-0.32,-9.3,-0.025
-0.32,-8.7,-0.025
-0.32,-8.2,-0.025
-0.32,-7.8,-0.025
-0.32,-7.6,-0.025
-0.32,-7.2,-0.025
-0.32,-6.8,-0.025
-0.31,-6.3,-0.024
-0.31,-5.8,-0.024
-0.3,-5.4,-0.023
-0.3,-5,-0.023
-0.29,-4.5,-0.023
-0.28,-4,-0.022
-0.28,-3.5,-0.022
-0.28,-3.1,-0.022
-0.27,-2.7,-0.021
-0.26,-2.3,-0.02
-0.25,-1.9,-0.019
-0.25,-1.5,-0.02
-0.26,-1.2,-0.02
-0.26,-0.9,-0.02
-0.26,-0.6,-0.02
-0.26,-0.2,-0.02
-0.25,0.1,-0.02
-0.25,0.3,-0.019
-0.25,0.4,-0.019
-0.25,0.5,-0.019
-0.24,0.8,-0.019
-0.24,1.1,-0.019
-0.24,1.5,-0.018
-0.23,2.4,-0.018
-0.22,3.5,-0.017
-0.2,5.2,-0.016
-0.17,7.1,-0.013
-0.16,8.1,-0.012
-0.16,8.7,-0.012
-0.16,9.1,-0.012
-0.16,9.5,-0.012
-0.16,10,-0.012
-0.15,10.6,-0.012
-0.14,11.3,-0.011
-0.14,11.8,-0.011
-0.13,12,-0.01
-0.13,12.1,-0.01
-0.13,12.8,-0.01
-0.12,13.6,-0.009
-0.11,14.2,-0.009
-0.1,14.7,-0.008
-0.1,15.1,-0.008
-0.09,15.7,-0.007
-0.07,16.4,-0.005
-0.07,17,-0.005
-0.07,17.5,-0.005
-0.07,17.9,-0.005
-0.06,18.3,-0.005
-0.06,18.9,-0.004
-0.05,19.5,-0.004
-0.05,20.2,-0.004
-0.04,20.7,-0.003
-0.04,21,-0.003
-0.03,21.5,-0.003
-0.03,22.2,-0.002
-0.02,22.9,-0.002
-0.02,23.3,-0.001
-0.01,23.6,-0.001
-0.01,23.9,-0.001
0,24.3,0
0.02,25,0.001
0.02,25.8,0.001
0.02,26.2,0.001
0.02,26.3,0.001
0.02,26.6,0.001
0.02,27.3,0.002
0.03,28.1,0.002
0.04,28.8,0.003
0.04,29.3,0.003
0.05,29.6,0.004
0.06,30.1,0.005
0.07,30.7,0.005
0.07,31.3,0.006
0.08,31.5,0.006
0.08,32,0.007
0.09,32.8,0.007
0.11,33.2,0.009
0.12,33.3,0.009
0.11,33.5,0.009
0.11,34,0.009
0.12,34.6,0.009
0.12,35.2,0.009
0.13,35.6,0.01
0.13,35.7,0.01
0.14,36,0.011
0.14,36.6,0.011
0.15,37.2,0.012
0.16,37.5,0.012
0.16,37.5,0.013
0.16,37.8,0.013
0.17,38.3,0.013
0.18,39,0.014
0.19,39.6,0.015
0.21,40.1,0.016
0.21,40.5,0.016
0.2,40.4,0.016
0.2,40.3,0.016
0.2,40.7,0.016
0.2,41.3,0.016
0.21,41.7,0.016
0.21,41.7,0.017
0.21,41.7,0.017
0.22,42,0.017
0.22,42.6,0.017
0.23,43,0.018
0.23,43.1,0.018
0.24,43,0.018
0.24,43.4,0.019
0.25,44.2,0.019
0.26,44.6,0.021
0.27,44.6,0.021
0.27,44.4,0.021
0.26,44.1,0.02
0.26,44,0.02
0.26,44.4,0.02
0.26,45.3,0.02
0.27,45.6,0.021
0.27,45.6,0.021
0.27,45.5,0.021
0.28,45.8,0.021
0.28,46.1,0.022
0.28,46,0.022
0.29,45.9,0.022
0.29,45.6,0.022
0.29,45.5,0.022
0.29,45.8,0.022
0.31,46.8,0.024
0.32,47.2,0.025
0.31,47,0.024
0.31,46.8,0.024
0.3,46.5,0.024
0.3,46.3,0.023
0.3,46.3,0.024
0.3,46.5,0.024
0.3,47.1,0.024
0.31,47.6,0.024
0.32,47.6,0.025
0.32,47.3,0.025
0.32,46.6,0.025
0.32,45.8,0.025
0.32,45.4,0.025
0.32,44.4,0.025
0.33,43.6,0.025
0.34,43.2,0.027
0.34,43,0.026
0.33,42.8,0.026
0.32,42.9,0.025
0.32,42.9,0.025
0.32,43,0.025
0.32,43.1,0.025
0.32,43,0.025
0.32,42.9,0.025
0.32,42.9,0.025
0.32,42.7,0.025
0.32,42.5,0.025
0.33,42.3,0.025
0.33,42,0.025
0.33,41.9,0.025
0.33,41.5,0.025
0.34,41,0.026
0.34,40.1,0.027
0.34,39.5,0.026
0.33,39.3,0.026
0.33,39.1,0.025
0.32,38.7,0.025
0.33,38.2,0.025
0.33,37.5,0.026
0.33,36.3,0.026
0.34,34.9,0.026
0.34,33.3,0.027
0.34,31.6,0.027
0.35,29.7,0.027
0.34,28.1,0.027
0.33,26.8,0.026
0.33,26.1,0.025
0.32,25.7,0.025
0.34,25.5,0.026
0.34,25.6,0.026
0.33,25.6,0.025
0.32,25.5,0.025
0.32,25,0.025
0.3,24.2,0.024
0.3,23.7,0.023
0.3,23.5,0.023
0.3,23.4,0.023
0.3,23.4,0.023
0.29,22.9,0.023
0.29,22.3,0.023
0.29,21.9,0.022
0.28,21.4,0.022
0.28,20.9,0.021
0.27,20.4,0.021
0.27,20.1,0.021
0.28,19.9,0.022
0.27,19.5,0.021
0.26,19.1,0.02
0.26,18.6,0.02
0.25,18,0.019
0.24,17.6,0.019
0.24,17.3,0.019
0.24,17,0.018
0.24,16.8,0.018
0.23,16.3,0.018
0.23,15.9,0.018
0.23,15.7,0.018
0.22,15.4,0.017
0.21,14.6,0.017
0.21,13.8,0.016
0.21,13.2,0.016
0.21,12.8,0.016
0.22,12.5,0.017
0.2,12,0.016
0.19,11.4,0.015
0.18,11.1,0.014
0.18,10.8,0.014
0.17,10.5,0.014
0.17,9.9,0.013
0.17,9.1,0.013
0.16,8.5,0.013
0.16,8.2,0.012
0.15,8,0.012
0.15,7.6,0.012
0.14,7,0.011
0.14,6.1,0.011
0.13,5.5,0.01
0.13,5.2,0.01
0.14,4.8,0.011
0.13,4.2,0.01
0.11,3.6,0.009
0.1,3.2,0.008
0.09,2.9,0.007
0.09,2.6,0.007
0.09,2.1,0.007
0.08,1.5,0.006
0.07,1.1,0.006
0.07,0.9,0.006
0.07,0.7,0.005
0.07,0.6,0.005
0.07,0.3,0.005
0.06,0.2,0.005
0.06,-0.1,0.005
0.06,-0.3,0.005
0.06,-0.4,0.005
0.07,-0.5,0.006
0.06,-0.9,0.005
0.05,-1.4,0.004
0.04,-2.6,0.003
0.03,-4,0.002
0.01,-5.7,0.001
0,-6.3,0
-0,-7.2,-0
-0.01,-8.3,-0.001
-0.02,-9.3,-0.001
-0.03,-10.2,-0.002
-0.03,-10.6,-0.003
-0.04,-10.9,-0.003
-0.04,-11.3,-0.003
-0.05,-11.8,-0.004
-0.05,-12.3,-0.004
-0.05,-12.9,-0.004
-0.04,-13.3,-0.003
-0.06,-13.6,-0.005
-0.07,-14,-0.005
-0.08,-14.6,-0.006
-0.09,-15.1,-0.007
-0.09,-15.5,-0.007
-0.1,-16.1,-0.007
-0.1,-16.6,-0.008
-0.11,-17.4,-0.009
-0.12,-18,-0.009
-0.12,-18.6,-0.01
-0.13,-19,-0.01
-0.13,-19.4,-0.01
-0.14,-19.9,-0.011
-0.14,-20.4,-0.011
-0.15,-20.8,-0.011
-0.14,-21.3,-0.011
-0.15,-21.8,-0.012
-0.17,-22.3,-0.013
-0.17,-22.6,-0.014
-0.18,-22.7,-0.014
-0.19,-23.2,-0.015
-0.19,-23.8,-0.015
-0.2,-24.4,-0.016
-0.21,-24.7,-0.016
-0.21,-24.9,-0.016
-0.21,-25.3,-0.017
-0.22,-25.9,-0.017
-0.23,-26.4,-0.018
-0.23,-26.5,-0.018
-0.24,-26.5,-0.018
-0.24,-26.7,-0.018
-0.24,-27.5,-0.019
-0.24,-28.3,-0.019
-0.26,-28.8,-0.02
-0.27,-29,-0.021
-0.28,-29.3,-0.022
-0.28,-29.3,-0.022
-0.28,-29.3,-0.022
-0.29,-29.6,-0.022
-0.29,-30,-0.023
-0.3,-30.5,-0.023
-0.3,-30.8,-0.023
-0.31,-31.1,-0.024
-0.31,-31.2,-0.024
-0.31,-31.1,-0.024
-0.31,-31,-0.024
-0.31,-31.3,-0.024
-0.32,-31.9,-0.025
-0.32,-32.5,-0.025
-0.32,-32.6,-0.025
-0.33,-32.6,-0.026
-0.34,-32.7,-0.026
-0.34,-32.9,-0.027
-0.35,-33.2,-0.027
-0.36,-33.5,-0.028
-0.36,-33.6,-0.028
-0.36,-33.6,-0.028
-0.36,-33.8,-0.028
-0.36,-33.9,-0.028
-0.36,-34,-0.028
-0.37,-34.1,-0.028
-0.37,-34.4,-0.029
-0.37,-34.5,-0.029
-0.37,-34.4,-0.029
-0.37,-34.4,-0.029
-0.36,-34.6,-0.028
-0.36,-35,-0.028
-0.37,-35.3,-0.029
-0.38,-35.3,-0.03
-0.39,-35,-0.03
-0.39,-34.5,-0.03
-0.39,-34.3,-0.03
-0.39,-34.4,-0.03
-0.39,-34.8,-0.03
-0.39,-35.2,-0.03
-0.39,-35.5,-0.031
-0.39,-35.6,-0.031
-0.39,-35.4,-0.031
-0.39,-35.2,-0.031
-0.4,-35,-0.031
-0.4,-35,-0.031
-0.39,-35,-0.03
-0.38,-35.1,-0.029
-0.38,-35.4,-0.03
-0.39,-35.7,-0.031
-0.4,-35.7,-0.031
-0.4,-35.5,-0.031
-0.4,-35.2,-0.031
-0.4,-34.7,-0.031
-0.4,-34.6,-0.031
-0.4,-34.4,-0.031
-0.41,-34,-0.032
-0.41,-33.6,-0.032
-0.41,-33,-0.032
-0.41,-32.4,-0.032
-0.42,-31.8,-0.032
-0.42,-31.4,-0.033
-0.42,-31.2,-0.033
-0.41,-30.9,-0.032
-0.4,-30.6,-0.031
-0.41,-30.2,-0.032
-0.42,-29.7,-0.032
-0.42,-29.1,-0.033
-0.42,-28.6,-0.033
-0.42,-28.1,-0.033
-0.42,-27.4,-0.032
-0.41,-27,-0.032
-0.41,-26.7,-0.032
-0.41,-26.2,-0.032
-0.41,-25.5,-0.032
-0.41,-24.9,-0.032
-0.41,-24.4,-0.032
-0.41,-23.9,-0.032
-0.41,-23.2,-0.032
-0.41,-22.4,-0.032
-0.39,-21.5,-0.031
-0.4,-20.3,-0.031
-0.4,-19.1,-0.031
-0.4,-17.9,-0.031
-0.4,-17,-0.031
-0.39,-16.3,-0.031
-0.39,-15.9,-0.03
-0.39,-15.6,-0.03
-0.39,-15.3,-0.03
-0.38,-14.9,-0.03
-0.38,-14.4,-0.029
-0.38,-14.2,-0.029
-0.37,-13.8,-0.029
-0.37,-13.3,-0.029
-0.36,-12.6,-0.028
-0.36,-12.2,-0.028
-0.35,-12,-0.027
-0.34,-11.7,-0.026
-0.34,-11.6,-0.026
-0.35,-11.4,-0.027
-0.35,-10.9,-0.027
-0.34,-10.3,-0.027
-0.34,-9.8,-0.026
-0.33,-9.2,-0.026
-0.32,-8.5,-0.025
-0.32,-8,-0.025
-0.32,-7.7,-0.025
-0.31,-7.5,-0.024
-0.31,-7.2,-0.024
-0.3,-6.8,-0.024
-0.3,-6.4,-0.023
-0.3,-6,-0.023
-0.29,-5.4,-0.023
-0.27,-4.7,-0.021
-0.27,-4.3,-0.021
-0.27,-4,-0.021
-0.28,-3.7,-0.021
-0.27,-3.1,-0.021
-0.27,-2.4,-0.021
-0.26,-2,-0.02
-0.26,-1.7,-0.02
-0.26,-1.3,-0.02
-0.26,-1,-0.02
-0.25,-0.8,-0.02
-0.25,-0.4,-0.019
-0.25,-0.2,-0.019
-0.25,0,-0.019
-0.24,0.2,-0.019
-0.24,0.3,-0.019
-0.24,0.5,-0.019
-0.22,0.7,-0.017
-0.22,1.2,-0.017
-0.23,1.7,-0.018
-0.22,2.7,-0.017
-0.21,4.1,-0.016
-0.2,5.9,-0.015
-0.18,7.3,-0.014
-0.17,8.2,-0.013
-0.16,9,-0.012
-0.15,9.4,-0.012
-0.15,9.8,-0.012
-0.14,10.4,-0.011
-0.14,10.9,-0.011
-0.13,11.3,-0.01
-0.13,11.5,-0.01
-0.13,11.8,-0.01
-0.11,12.6,-0.009
-0.09,13.3,-0.007
-0.1,13.8,-0.007
-0.1,14,-0.008
-0.1,14.5,-0.008
-0.09,15.1,-0.007
-0.08,16,-0.006
-0.07,16.7,-0.006
-0.07,17.2,-0.005
-0.06,17.5,-0.005
-0.06,18,-0.005
-0.06,18.4,-0.004
-0.05,19,-0.004
-0.04,19.6,-0.003
-0.04,20.4,-0.003
-0.03,21,-0.002
-0.02,21.4,-0.002
-0.01,21.7,-0.001
-0.01,22.1,-0
-0.01,22.8,-0.001
-0.01,23.3,-0.001
-0.01,23.5,-0.001
-0,23.8,-0
0,24.3,0
0.01,25,0.001
0.01,25.6,0.001
0.02,26.1,0.002
0.03,26.7,0.002
0.03,27,0.002
0.04,27.7,0.003
0.05,28.3,0.004
0.05,28.7,0.004
0.06,29.2,0.004
0.07,29.8,0.005
0.09,30.3,0.007
0.09,30.7,0.007
0.09,31.1,0.007
0.09,31.6,0.007
0.09,32.1,0.007
0.1,32.5,0.007
0.1,32.9,0.008
0.11,33.1,0.008
0.12,33.6,0.009
0.12,34.4,0.01
0.13,34.8,0.01
0.14,35.1,0.011
0.14,35.5,0.011
0.15,35.9,0.011
0.15,36.1,0.012
0.15,36.4,0.012
0.17,36.9,0.013
0.18,37.4,0.014
0.18,38,0.014
0.18,38.6,0.014
0.18,38.9,0.014
0.18,39,0.014
0.19,39.1,0.015
0.19,39.6,0.015
0.2,40.2,0.016
0.21,40.5,0.016
0.21,40.7,0.016
0.21,40.9,0.016
0.22,41.3,0.017
0.22,41.9,0.017
0.22,42.3,0.017
0.23,42.4,0.018
0.23,42.5,0.018
0.25,42.8,0.019
0.25,42.7,0.02
0.24,42.9,0.019
0.25,43.5,0.019
0.25,44,0.019
0.25,44.3,0.019
0.26,44.4,0.02
0.26,44.2,0.02
0.26,44.3,0.02
0.26,44.7,0.02
0.27,45,0.021
0.27,45.4,0.021
0.27,45.5,0.021
0.28,45.5,0.022
0.28,45.6,0.022
0.28,46,0.022
0.29,46.1,0.023
0.3,46,0.024
0.3,45.8,0.023
0.29,45.8,0.023
0.29,46.4,0.023
0.3,47.2,0.023
0.3,47.2,0.023
0.3,46.6,0.023
0.3,45.8,0.024
0.31,45.5,0.024
0.31,45.6,0.024
0.31,45.8,0.024
0.31,46.7,0.024
0.31,47.8,0.024
0.32,48,0.025
0.32,47.6,0.025
0.32,46.3,0.025
0.34,44.9,0.026
0.34,44.2,0.027
0.34,43.9,0.026
0.33,43.5,0.026
0.33,43.1,0.026
0.33,43,0.025
0.33,42.9,0.025
0.33,42.4,0.026
0.33,42,0.026
0.33,41.8,0.026
0.33,41.8,0.026
0.33,41.9,0.026
0.33,42,0.026
0.33,42,0.026
0.33,41.9,0.026
0.33,42,0.026
0.33,42.2,0.026
0.35,42.5,0.027
0.34,42.5,0.027
0.34,42.3,0.026
0.33,42.2,0.026
0.33,41.7,0.026
0.33,40.8,0.026
0.33,40,0.026
0.33,39.6,0.026
0.33,39.3,0.026
0.33,39,0.026
0.33,38.2,0.026
0.34,37.5,0.026
0.34,36.6,0.026
0.34,35.5,0.027
0.35,34,0.027
0.35,32.1,0.027
0.35,30.4,0.028
0.36,28.8,0.028
0.34,27.5,0.027
0.33,26.7,0.025
0.32,26.3,0.025
0.32,26.4,0.025
0.32,26.9,0.025
0.31,27.5,0.024
0.31,27.6,0.024
0.31,27.5,0.024
0.32,27.1,0.025
0.32,26.1,0.025
0.31,25.1,0.024
0.3,24.3,0.023
0.29,23.7,0.023
0.29,23.5,0.023
0.29,23.2,0.023
0.3,22.7,0.023
0.3,22.4,0.023
0.28,22.1,0.022
0.28,21.7,0.022
0.27,21.5,0.021
0.26,21,0.02
0.26,20.6,0.02
0.26,20.2,0.02
0.25,19.6,0.02
0.25,19.1,0.019
0.25,18.8,0.019
0.24,18.4,0.019
0.24,18.2,0.019
0.24,17.7,0.018
0.23,17.2,0.018
0.23,16.7,0.018
0.22,16.4,0.017
0.24,16,0.018
0.23,15.5,0.018
0.21,14.9,0.017
0.2,14.2,0.016
0.2,14.2,0.015
0.19,14.1,0.015
0.19,13.7,0.015
0.19,13,0.015
0.18,12.2,0.014
0.18,11.7,0.014
0.18,11.4,0.014
0.17,11.1,0.014
0.17,10.5,0.013
0.16,9.9,0.013
