Test unit,E1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.01,0.9,0.001
0.01,1.4,0.001
0.02,2,0.002
0.04,2.5,0.003
0.05,3,0.004
0.06,3.4,0.006
0.08,3.9,0.007
0.1,4.4,0.008
0.11,4.8,0.01
0.14,5.2,0.012
0.14,5.7,0.012
0.15,6.2,0.013
0.18,6.7,0.015
0.19,7.2,0.017
0.21,7.8,0.018
0.23,8.2,0.02
0.26,8.6,0.022
0.27,9.1,0.023
0.29,9.5,0.025
0.31,10,0.027
0.34,10.3,0.03
0.36,10.8,0.032
0.39,11.2,0.034
0.41,10.7,0.036
0.42,10.1,0.037
0.46,9.8,0.04
0.46,9.3,0.04
0.48,8.8,0.042
0.49,9.4,0.042
0.5,9.9,0.044
0.5,9.4,0.044
0.53,9.9,0.046
0.54,9.3,0.047
0.55,9.9,0.048
0.58,10.2,0.05
0.58,9.6,0.05
0.57,9.1,0.05
0.57,9.8,0.05
0.59,10.3,0.051
0.6,9.7,0.053
0.61,9.1,0.053
0.62,9.7,0.054
0.63,10.2,0.055
0.64,10.7,0.056
0.64,9.9,0.056
0.65,9.2,0.056
0.65,8.5,0.056
0.63,8,0.055
0.63,7.3,0.055
0.63,8,0.054
0.62,8.7,0.054
0.62,9.3,0.054
0.63,10.2,0.055
0.65,10.7,0.057
0.66,10.1,0.057
0.66,9.4,0.058
0.67,8.8,0.058
0.67,8.2,0.058
0.66,7.6,0.057
0.65,7.1,0.057
0.65,7.6,0.056
0.64,8.2,0.056
0.64,9.1,0.056
0.65,9.6,0.057
0.67,10,0.058
0.67,9.5,0.058
0.67,8.8,0.058
0.67,8.2,0.058
0.66,7.5,0.057
0.66,8.1,0.057
0.65,8.6,0.057
0.65,9.1,0.057
0.65,9.6,0.057
0.68,9.2,0.059
0.68,8.6,0.059
0.68,8,0.059
0.67,7.4,0.059
0.66,6.8,0.058
0.66,6.3,0.057
0.65,6.8,0.056
0.65,7.4,0.056
0.65,8,0.056
0.65,7.4,0.056
0.65,6.9,0.056
0.65,6.4,0.056
0.65,5.7,0.056
0.63,5.3,0.055
0.63,4.7,0.054
0.61,4.3,0.053
0.6,4.8,0.052
0.6,4.3,0.053
0.6,3.7,0.052
0.59,3.1,0.051
0.58,2.7,0.05
0.57,2.2,0.05
0.55,1.7,0.048
0.54,1.2,0.047
0.53,0.7,0.046
0.53,0.2,0.046
0.52,-0.3,0.045
0.49,-0.7,0.043
0.48,-1.2,0.042
0.47,-1.7,0.041
0.46,-2.2,0.04
0.45,-2.7,0.039
0.44,-3.1,0.038
0.42,-3.6,0.037
0.42,-4.1,0.036
0.41,-4.6,0.036
0.41,-5.2,0.035
0.38,-5.5,0.033
0.36,-6,0.032
0.35,-6.5,0.031
0.34,-7,0.03
0.33,-7.5,0.029
0.32,-8,0.028
0.32,-8.6,0.028
0.3,-9,0.026
0.27,-9.5,0.024
0.26,-10.1,0.023
0.24,-10.5,0.02
0.23,-11.1,0.02
0.21,-11.6,0.018
0.18,-11.9,0.015
0.16,-12.4,0.014
0.13,-12.8,0.012
0.11,-13.2,0.009
0.1,-13.7,0.009
0.06,-13.7,0.005
0.04,-14.1,0.003
0.01,-14.5,0.001
-0.01,-14,-0
-0.01,-13.4,-0.001
-0.02,-13.9,-0.002
-0.02,-14.6,-0.002
-0.04,-15.1,-0.003
-0.06,-14.6,-0.005
-0.05,-14,-0.005
-0.05,-14.5,-0.005
-0.07,-15,-0.006
-0.1,-15.3,-0.009
-0.11,-14.8,-0.009
-0.12,-15.3,-0.01
-0.12,-14.8,-0.011
-0.13,-15.3,-0.011
-0.15,-14.8,-0.013
-0.15,-14.2,-0.013
-0.16,-13.7,-0.014
-0.16,-13.2,-0.014
-0.15,-12.6,-0.013
-0.15,-13.2,-0.013
-0.15,-13.7,-0.013
-0.15,-14.2,-0.013
-0.15,-14.8,-0.013
-0.16,-15.3,-0.014
-0.17,-14.7,-0.014
-0.17,-14.1,-0.015
-0.17,-13.6,-0.015
-0.17,-13,-0.015
-0.15,-12.5,-0.013
-0.16,-13,-0.014
-0.16,-13.5,-0.014
-0.16,-14.1,-0.014
-0.17,-14.8,-0.014
-0.18,-14.2,-0.015
-0.18,-13.5,-0.015
-0.17,-13,-0.015
-0.17,-12.3,-0.015
-0.16,-11.8,-0.014
-0.16,-12.4,-0.014
-0.16,-12.9,-0.014
-0.16,-12.4,-0.014
-0.17,-11.8,-0.014
-0.16,-11.3,-0.014
-0.15,-10.7,-0.013
-0.14,-11.2,-0.012
-0.14,-11.8,-0.012
-0.14,-12.3,-0.012
-0.13,-11.7,-0.012
-0.14,-11.1,-0.012
-0.14,-10.4,-0.012
-0.12,-10,-0.011
-0.11,-9.4,-0.01
-0.11,-8.9,-0.01
-0.1,-8.4,-0.009
-0.09,-7.9,-0.008
-0.08,-7.4,-0.007
-0.05,-7,-0.004
-0.04,-6.3,-0.004
-0.05,-5.8,-0.004
-0.03,-5.3,-0.003
-0.01,-4.9,-0.001
-0,-4.3,-0
0.01,-3.8,0.001
0.04,-3.4,0.003
0.04,-2.9,0.004
0.04,-2.4,0.004
0.06,-1.9,0.005
0.07,-1.4,0.006
0.09,-1,0.008
0.1,-0.5,0.008
0.12,-0.1,0.011
0.13,0.4,0.011
0.13,1,0.012
0.15,1.5,0.013
0.17,2.1,0.015
0.18,2.7,0.016
0.21,3.1,0.018
0.22,3.7,0.019
0.24,4.1,0.021
0.27,4.5,0.023
0.27,5,0.023
0.28,5.6,0.025
0.3,6.1,0.026
0.31,6.6,0.027
0.33,7.1,0.029
0.36,7.5,0.031
0.38,8,0.033
0.4,8.5,0.034
0.42,8.9,0.036
0.45,9.2,0.039
0.47,9.6,0.041
0.48,10.1,0.042
0.51,10.5,0.044
0.53,10.9,0.046
0.56,11.3,0.049
0.59,11.6,0.052
0.62,12,0.054
0.66,12.2,0.057
0.69,11.8,0.06
NaN,NaN,NaN
0.66,12.2,0.057
0.69,11.8,0.06
0.7,12.3,0.061
0.74,12.6,0.064
0.76,13,0.066
0.8,13,0.069
0.83,13.4,0.072
0.85,12.9,0.074
0.88,13.3,0.076
0.91,13.6,0.079
0.95,13.7,0.082
0.99,13.7,0.086
1.03,13.7,0.09
1.05,14.2,0.091
1.08,13.8,0.094
1.1,14.3,0.096
1.11,13.7,0.097
1.14,14.1,0.099
1.15,13.6,0.1
1.15,13,0.1
1.16,12.5,0.1
1.16,13,0.101
1.15,13.6,0.1
1.16,14.1,0.101
1.17,13.5,0.102
1.17,13,0.102
1.19,12.5,0.104
1.18,12.1,0.103
1.18,11.5,0.103
1.18,11,0.103
1.18,11.6,0.103
1.18,10.9,0.103
1.19,10.4,0.103
1.18,9.9,0.103
1.16,9.5,0.101
1.16,8.9,0.101
1.16,8.4,0.101
1.14,7.9,0.099
1.13,7.5,0.098
1.12,7,0.098
1.13,6.5,0.098
1.1,6,0.096
1.09,5.6,0.094
1.08,5.1,0.094
1.06,4.6,0.092
1.05,4.1,0.091
1.03,3.6,0.09
1.02,3.1,0.089
1.01,2.7,0.088
1.01,2.1,0.088
0.99,1.7,0.086
0.97,1.2,0.084
0.95,0.8,0.082
0.94,0.3,0.081
0.92,-0.2,0.08
0.91,-0.7,0.079
0.9,-1.1,0.078
0.89,-1.7,0.077
0.87,-2.2,0.076
0.85,-2.9,0.074
0.83,-3.7,0.072
0.81,-4.3,0.071
0.8,-4.8,0.07
0.8,-4.2,0.069
0.79,-3.7,0.069
0.78,-4.2,0.068
0.78,-4.8,0.067
0.76,-5.4,0.066
0.74,-5.9,0.065
0.73,-6.6,0.064
0.71,-7.1,0.062
0.69,-7.5,0.06
0.67,-8.1,0.059
0.66,-8.6,0.057
0.64,-9.1,0.056
0.62,-9.6,0.054
0.61,-10,0.053
0.6,-10.5,0.052
0.58,-10.9,0.05
0.55,-11.4,0.048
0.53,-11.8,0.046
0.51,-12.3,0.044
0.49,-12.7,0.042
0.47,-13.1,0.041
0.45,-13.6,0.039
0.43,-14,0.038
0.4,-14.4,0.035
0.38,-14.9,0.033
0.37,-15.3,0.032
0.34,-15.6,0.029
0.31,-16,0.027
0.28,-16.3,0.024
0.25,-16.7,0.022
0.22,-17.1,0.019
0.18,-17.2,0.016
0.15,-17.6,0.013
0.11,-17.9,0.01
0.08,-18.1,0.007
0.04,-18.4,0.004
0.01,-18.6,0.001
-0.03,-18.8,-0.002
-0.06,-19,-0.006
-0.1,-19.1,-0.009
-0.14,-19.4,-0.012
-0.17,-19.7,-0.015
-0.21,-19.7,-0.018
-0.24,-20,-0.021
-0.27,-20,-0.024
-0.31,-20.2,-0.027
-0.35,-20.4,-0.03
-0.39,-20.1,-0.034
-0.42,-20.5,-0.036
-0.45,-20.2,-0.04
-0.47,-20.6,-0.041
-0.51,-20.9,-0.044
-0.52,-20.3,-0.045
-0.52,-19.8,-0.045
-0.52,-19.2,-0.045
