Test unit;CS02;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
0.245260778;6.964124855;0.013625599
0.242831731;6.875453131;0.013490652
0.240391385;6.786781406;0.013355077
0.237940234;6.697704047;0.013218902
0.23547876;6.605990063;0.013082153
0.232974039;6.513140302;0.012943002
0.230437362;6.419154763;0.012802076
0.227869247;6.324560773;0.012659403
0.225311939;6.228709316;0.01251733
0.222691215;6.132208843;0.012371734
0.220007559;6.034856537;0.012222642
0.217333259;5.936449581;0.01207407
0.214595043;5.836947412;0.011921947
0.211773256;5.737201862;0.011765181
0.209004054;5.634779123;0.011611336
0.206107533;5.53312709;0.011450418
0.203137261;5.430542098;0.011285403
0.200113433;5.326983582;0.011117413
0.197058148;5.221194076;0.010947675
0.193887833;5.114633864;0.010771546
0.190686061;5.010223516;0.01059367
0.187527081;4.905772604;0.010418171
0.184336623;4.800672676;0.010240924
0.181135847;4.694558662;0.010063103
0.177924766;4.59022944;0.009884709
0.174703852;4.486792614;0.00970577
0.171462799;4.382706773;0.009525711
0.168273356;4.278945439;0.00934852
0.165009171;4.176684954;0.009167176
0.161756318;4.074059397;0.008986462
0.158513791;3.970865952;0.008806322
0.155176373;3.868078141;0.00862091
0.151839952;3.765371457;0.008435553
0.148481409;3.662421393;0.008248967
0.145050134;3.559917526;0.008058341
0.141681754;3.456399573;0.007871209
0.138314395;3.35324669;0.007684133
0.13495736;3.249850427;0.007497631
0.13162045;3.149131353;0.007312247
0.128367102;3.04808777;0.007131506
0.12515604;2.945624466;0.006953113
0.121933669;2.844175249;0.006774093
0.118733457;2.742888285;0.006596303
0.11552243;2.640790052;0.006417913
0.112321735;2.53824562;0.006240096
0.109099914;2.43476823;0.006061106
0.105877611;2.330966331;0.005882089
0.102614044;2.225339076;0.00570078
0.099331375;2.119022242;0.00551841
0.096068322;2.011326251;0.005337129
0.092795481;1.903346315;0.005155304
0.089533977;1.794636236;0.00497411
0.086272495;1.683573477;0.004792916
0.083010481;1.573038042;0.004611693
0.079715492;1.463638384;0.004428638
0.076348306;1.352453934;0.004241573
0.072896101;1.23899793;0.004049783
0.069474819;1.125866433;0.003859712
0.065970519;1.010057748;0.003665029
0.062371349;0.89327554;0.003465075
0.058719083;0.776452769;0.003262171
0.055034325;0.66072521;0.003057462
0.05133824;0.543943002;0.002852124
0.04763185;0.426917413;0.002646214
0.043882668;0.30997295;0.002437926
0.040091225;0.192744543;0.00222729
0.036289491;0.076205715;0.002016083
0.032486195;-0.038386067;0.001804789
0.028691671;-0.15322123;0.001593982
0.024803316;-0.267407378;0.001377962
0.020935069;-0.38001155;0.001163059
0.017087453;-0.492210088;0.000949303
0.013208423;-0.601974819;0.000733801
0.009351563;-0.712753636;0.000519531
0.00556893;-0.823654143;0.000309385
0.001817253;-0.933216057;0.000100958
-0.001787515;-1.039573457;-0.0000993064
-0.005443829;-1.145322405;-0.000302435
-0.009047527;-1.251193044;-0.00050264
-0.012609486;-1.353778042;-0.000700527
-0.016161144;-1.453523598;-0.000897841
-0.019732362;-1.555256764;-0.001096242
-0.023282442;-1.655732463;-0.001293469
-0.02681245;-1.752800831;-0.001489581
-0.030257918;-1.847719335;-0.001680995
-0.033555956;-1.941420936;-0.00186422
-0.036770507;-2.03423014;-0.002042806
-0.039994323;-2.125741314;-0.002221907
-0.043175343;-2.216765727;-0.00239863
-0.046229516;-2.30673549;-0.002568306
-0.049273402;-2.396137364;-0.002737411
-0.052275011;-2.484930787;-0.002904167
-0.055162239;-2.573196884;-0.003064569
-0.058059754;-2.659434809;-0.003225542
-0.060956736;-2.746159495;-0.003386485
-0.063811432;-2.832478547;-0.00354508
-0.066708421;-2.919487178;-0.003706023
-0.069595089;-3.007266515;-0.003866394
-0.072451398;-3.093707257;-0.004025078
-0.075306635;-3.183393077;-0.004183702
-0.078140745;-3.275309887;-0.004341152
-0.080933094;-3.366739936;-0.004496283
-0.083778563;-3.458981254;-0.004654365
-0.086654951;-3.554792157;-0.004814164
-0.08961535;-3.653604757;-0.004978631
-0.09274486;-3.751768341;-0.005152492
-0.096000664;-3.850094179;-0.00533337
-0.099266194;-3.951218896;-0.005514789
-0.102594583;-4.053682208;-0.005699699
-0.106050876;-4.157484114;-0.005891715
-0.109591194;-4.263354756;-0.0060884
-0.113268072;-4.370847938;-0.006292671
-0.117060417;-4.479923095;-0.006503356
-0.12088528;-4.590864171;-0.006715849
-0.124805531;-4.70346835;-0.006933641
-0.12877945;-4.816883798;-0.007154414
-0.132816251;-4.931597277;-0.007378681
-0.136905601;-5.046838081;-0.007605867
-0.141068689;-5.163052409;-0.007837149
-0.145275152;-5.278009269;-0.008070842
-0.149555333;-5.393250074;-0.00830863
-0.153878338;-5.508206934;-0.008548797
-0.158212208;-5.622839288;-0.008789567
-0.162577505;-5.736011356;-0.009032084
-0.166985629;-5.848412719;-0.009276979
-0.171319501;-5.961787605;-0.00951775
-0.175590526;-6.075811506;-0.009755029
-0.179894054;-6.188375124;-0.009994114
-0.184156986;-6.299478456;-0.010230944
-0.188419378;-6.4079046;-0.010467743
-0.192660059;-6.514870459;-0.010703337
-0.196817293;-6.619767582;-0.010934294
-0.201048243;-6.723528927;-0.011169347
-0.205268351;-6.825221536;-0.011403797
-0.209466749;-6.924602028;-0.011637042
-0.213696023;-7.023130687;-0.011872001
-0.217915014;-7.119306665;-0.01210639
-0.222060862;-7.213373342;-0.012336715
-0.226205589;-7.306141989;-0.012566977
-0.230317771;-7.397653169;-0.012795432
-0.23439738;-7.489326603;-0.013022077
-0.238476426;-7.580351021;-0.01324869
-0.242522923;-7.670036845;-0.013473496
-0.246537988;-7.758505765;-0.013696555
-0.250489652;-7.845433274;-0.013916092
-0.254452173;-7.93244191;-0.014136232
-0.258435858;-8.017341245;-0.014357548
-0.262388116;-8.101307621;-0.014577118
-0.26634954;-8.185192871;-0.014797197
-0.270237857;-8.270538405;-0.015013214
-0.274084456;-8.355802812;-0.015226914
-0.277942511;-8.440864403;-0.015441251
-0.281715425;-8.525236414;-0.015650857
-0.285508893;-8.611190401;-0.015861605
-0.289272091;-8.696738754;-0.016070672
-0.292983308;-8.779731608;-0.01627685
-0.296703643;-8.86235939;-0.016483536
-0.300445126;-8.943526889;-0.016691396
-0.304123755;-9.020921985;-0.016895764
-0.307802372;-9.093652282;-0.017100132
-0.311428405;-9.160014115;-0.017301578
-0.314960777;-9.220210301;-0.017497821
-0.318429722;-9.273591824;-0.01769054
-0.321823801;-9.322146295;-0.0178791
-0.325132747;-9.364129484;-0.01806293
-0.328409115;-9.39694533;-0.018244951
-0.33159977;-9.423189893;-0.018422209
-0.334643058;-9.441767962;-0.018591281
-0.337570365;-9.450407981;-0.018753909
-0.340390824;-9.449231641;-0.018910601
-0.343074768;-9.438076687;-0.019059709
-0.345577591;-9.41669974;-0.019198755
-0.347881059;-9.383681078;-0.019326725
-0.350005135;-9.339548026;-0.01944473
-0.351969811;-9.285233543;-0.019553878
-0.353764803;-9.222035661;-0.0196536
-0.355329605;-9.149548745;-0.019740534
-0.356704176;-9.068218993;-0.019816899
-0.357898781;-8.981575427;-0.019883266
-0.358839142;-8.893106505;-0.019935508
-0.359559613;-8.801635886;-0.019975534
-0.360130957;-8.706757936;-0.020007275
-0.360512636;-8.610947026;-0.02002848
-0.360705824;-8.510755263;-0.020039212
-0.360697911;-8.40894096;-0.020038773
-0.360416366;-8.308708633;-0.020023131
-0.359924011;-8.207665037;-0.019995778
-0.359283689;-8.105647918;-0.019960205
-0.358495395;-8.004158124;-0.019916411
-0.357527712;-7.903033401;-0.019862651
-0.356409735;-7.802436003;-0.019800541
