Test unit,SC4,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.135580167,-11.7088,0.015064463
0.06867283,-22.688,0.007630314
-0.008063867,-34.672,-0.000895985
-0.084955633,-45.568,-0.009439515
-0.165586633,-56.912,-0.018398515
-0.253715633,-68.032,-0.028190626
-0.349324967,-76.912,-0.038813885
-0.464749633,-85.44,-0.051638848
-0.540681967,-87.84,-0.060075774
-0.5490783,-85.888,-0.0610087
-0.556915633,-77.12,-0.061879515
-0.5049093,-65.104,-0.056101033
-0.425511967,-49.472,-0.047279107
-0.3474073,-34.496,-0.038600811
-0.264480633,-20.112,-0.029386737
-0.184505633,-7.5456,-0.020500626
-0.105268633,3.8832,-0.011696515
-0.0391033,15.4432,-0.004344811
0.044995467,26.192,0.004999496
0.121754533,37.792,0.013528281
0.200856033,47.984,0.022317337
0.275944367,57.952,0.030660485
0.3633827,68.608,0.040375856
0.442925033,78,0.049213893
0.5282507,87.824,0.058694522
0.6069097,95.808,0.067434411
0.667395367,98.544,0.074155041
0.633885367,86.944,0.070431707
0.596151033,77.824,0.066239004
0.5264297,62.56,0.058492189
0.450021367,47.792,0.050002374
0.372964367,35.2,0.041440485
0.300627367,22.224,0.033403041
0.2247692,11.0512,0.024974356
0.1494432,-0.85968,0.0166048
0.073165997,-11.176,0.008129555
-0.004702367,-22.88,-0.000522485
-0.084212633,-33.184,-0.009356959
-0.1671863,-44.624,-0.018576256
-0.2528613,-55.568,-0.0280957
-0.335036967,-65.36,-0.03722633
-0.4287983,-75.92,-0.047644256
-0.5139863,-84.352,-0.057109589
-0.521675967,-76,-0.057963996
-0.486212967,-66.128,-0.054023663
-0.4043043,-49.44,-0.0449227
-0.321166967,-35.408,-0.035685219
-0.246475633,-22.352,-0.027386181
-0.166073967,-8.6448,-0.018452663
-0.087396967,4.1696,-0.009710774
-0.013097767,14.52,-0.001455307
0.06632228,26.4,0.007369142
0.146896,37.952,0.016321778
0.234718033,49.168,0.026079781
0.317715367,59.072,0.035301707
0.404674033,69.84,0.044963781
0.483110033,80.096,0.053678893
0.5568497,88.992,0.061872189
0.640487367,97.152,0.071165263
0.726451367,104.368,0.080716819
0.8174057,108.832,0.090822856
0.923014367,112.544,0.102557152
1.0669357,115.152,0.118548411
1.117397033,113.792,0.124155226
1.115627367,111.376,0.123958596
1.011895367,89.568,0.112432819
0.983367033,82.896,0.109263004
0.9137937,70.48,0.101532633
0.8358217,58.128,0.092869078
0.7620787,46.688,0.084675411
0.6871347,35.92,0.0763483
0.613446367,25.616,0.068160707
0.544784033,14.7872,0.060531559
0.472785367,5.1424,0.052531707
0.4005717,-3.8672,0.044507967
0.335389367,-12.8944,0.037265485
0.2634077,-22.304,0.029267522
0.180068,-31.696,0.020007556
0.102337097,-40.896,0.011370789
0.0329821,-50.016,0.003664678
-0.054559967,-58.896,-0.006062219
-0.1342103,-67.648,-0.014912256
-0.215172967,-76.496,-0.023908107
-0.308939967,-84.96,-0.034326663
-0.406915967,-92.8,-0.045212885
-0.517269967,-99.744,-0.057474441
-0.631797633,-105.84,-0.070199737
-0.754725967,-110.912,-0.083858441
-0.799376633,-109.424,-0.088819626
-0.732690633,-87.6,-0.08141007
-0.7060213,-80.016,-0.078446811
-0.620693967,-66.384,-0.068965996
-0.532466967,-51.568,-0.059162996
-0.4394603,-38.848,-0.048828922
-0.359832633,-27.04,-0.039981404
-0.270535967,-14.4096,-0.030059552
-0.186871633,-3.5648,-0.020763515
-0.106807967,6.4048,-0.011867552
-0.0247162,17.04,-0.002746244
0.063245693,26.8,0.007027299
0.148643467,37.28,0.016515941
0.2357587,46.592,0.026195411
0.329963033,55.568,0.036662559
0.421293367,65.2,0.046810374
0.512704367,73.648,0.056967152
0.611236367,82.656,0.067915152
0.705437367,90.352,0.07838193
0.798390033,97.504,0.088710004
0.892102367,104.416,0.099122485
0.9851897,109.36,0.109465522
1.080768033,113.392,0.120085337
1.151517033,114.224,0.127946337
1.0979777,100.96,0.121997522
1.084711033,96.528,0.120523448
1.021717033,84.896,0.113524115
0.930854033,71.712,0.103428226
0.8510427,59.872,0.0945603
0.7729387,47.936,0.085882078
0.6934597,37.552,0.077051078
0.6172697,27.632,0.068585522
0.539492033,17.008,0.059943559
0.463261033,7.4272,0.051473448
0.385494033,-1.9248,0.04283267
0.307525367,-11.7616,0.034169485
0.228100033,-21.104,0.025344448
0.1368522,-31.408,0.0152058
0.05058582,-40.768,0.005620647
-0.034579867,-49.904,-0.003842207
-0.122249633,-59.792,-0.013583293
-0.2176673,-68.72,-0.024185256
-0.3156063,-77.376,-0.035067367
-0.413764967,-86.608,-0.045973885
-0.5190423,-94.704,-0.057671367
-0.623719633,-102.96,-0.069302181
-0.732194633,-108.688,-0.081354959
-0.733214633,-97.44,-0.081468293
-0.708680967,-92.064,-0.07874233
-0.629263967,-77.28,-0.069918219
-0.527819633,-63.152,-0.058646626
-0.4391123,-48.768,-0.048790256
-0.347407633,-35.28,-0.038600848
-0.256815633,-23.648,-0.02853507
-0.173344633,-11.3264,-0.019260515
-0.0826243,-0.65872,-0.009180478
-0.003427833,9.9648,-0.00038087
0.081892163,19.6,0.009099129
0.169760167,30.288,0.018862241
0.259230033,40.72,0.028803337
0.353553367,49.888,0.039283707
0.448003367,59.744,0.049778152
0.550153033,69.216,0.061128115
0.647969033,78.24,0.071996559
0.743168367,86.224,0.082574263
0.8447737,94.56,0.093863744
0.939086367,102.368,0.10434293
1.046886033,109.28,0.11632067
1.1592837,114.448,0.1288093
1.276047033,118.24,0.141783004
1.356670367,119.344,0.150741152
1.390880367,119.328,0.154542263
1.4096637,119.28,0.1566293
1.4259637,119.552,0.158440411
1.451490367,119.6,0.161276707
1.461587033,119.664,0.162398559
1.468260367,119.632,0.163140041
1.481607033,119.568,0.164623004
1.4804737,118.912,0.164497078
1.485437033,118.432,0.165048559
1.4881037,118.176,0.165344856
1.4933537,119.056,0.165928189
1.4981837,119.184,0.166464856
1.503920367,118.768,0.167102263
1.5779737,118.752,0.175330411
1.5700037,118.368,0.174444856
1.551157033,114,0.172350781
1.476810367,101.92,0.164090041
1.361297033,85.888,0.151255226
1.261837033,73.248,0.140204115
1.1709737,61.552,0.130108189
1.086830033,50.576,0.120758893
0.992486033,39.584,0.110276226
0.909437367,29.84,0.101048596
0.824527033,19.28,0.091614115
0.739174367,9.664,0.082130485
0.655094367,0.32096,0.072788263
0.6343887,1.45152,0.070487633
0.5558777,-10.6848,0.061764189
0.4567437,-20.592,0.0507493
0.367944367,-31.232,0.040882707
0.270617367,-40.8,0.030068596
0.1753582,-50.896,0.019484244
0.071755137,-60,0.007972793
-0.031910967,-69.856,-0.003545663
-0.1348073,-79.408,-0.014978589
-0.250565967,-88.624,-0.027840663
-0.3698833,-97.392,-0.041098144
-0.491581633,-105.584,-0.054620181
-0.6277023,-112.896,-0.0697447
-0.773395967,-119.136,-0.085932885
-0.939209633,-124.064,-0.104356626
-1.087829633,-125.76,-0.120869959
-1.1178863,-112.544,-0.124209589
-1.088382967,-107.248,-0.120931441
-0.988412967,-93.984,-0.109823663
-0.8824283,-80.128,-0.098047589
-0.7778483,-66.8,-0.086427589
-0.674136967,-54.08,-0.074904107
-0.569947633,-41.584,-0.063327515
-0.474210633,-30.832,-0.05269007
-0.378538633,-19.376,-0.042059848
-0.284689633,-9.2944,-0.031632181
-0.1861853,1.4928,-0.020687256
-0.084701967,11.104,-0.00941133
0.009590033,21.168,0.001065559
0.1096323,31.248,0.012181367
0.2108537,40.928,0.023428189
0.3115397,50.432,0.034615522
0.420376367,59.68,0.046708485
0.527748033,68.544,0.05863867
0.647723033,77.792,0.071969226
0.759010033,85.312,0.084334448
0.880466367,93.808,0.097829596
0.996774367,100.528,0.110752707
1.123190367,107.984,0.12479893
1.252420367,113.344,0.139157819
1.3937637,118.832,0.154862633
1.535420367,123.056,0.170602263
1.6477537,124,0.183083744
1.6497037,115.056,0.183300411
1.618730367,110.208,0.17985893
1.530270367,97.616,0.170030041
1.4346037,86.128,0.159400411
1.337567033,74.448,0.148618559
1.249507033,63.424,0.138834115
1.158030367,52.56,0.128670041
1.067249033,41.936,0.118583226
0.967675033,31.312,0.107519448
0.887513033,21.872,0.098612559
0.789337033,11.544,0.087704115
0.7001107,1.28096,0.077790078
0.6054017,-8.064,0.067266856
0.5116387,-17.136,0.056848744
0.417322367,-27.168,0.046369152
0.310714367,-37.024,0.034523819
0.209597367,-46.8,0.023288596
0.099631247,-56.096,0.011070139
-0.007129067,-64.624,-0.000792119
-0.119164967,-74.4,-0.013240552
-0.2385593,-83.248,-0.026506589
-0.367605633,-91.6,-0.04084507
-0.489112633,-99.488,-0.054345848
-0.623103967,-106.816,-0.069233774
-0.7536123,-113.36,-0.0837347
-0.8957103,-118.512,-0.099523367
-1.0524163,-123.52,-0.116935144
-1.122842967,-113.312,-0.12476033
-1.0722363,-104.64,-0.119137367
-0.918228967,-84.416,-0.102025441
-0.7521523,-65.872,-0.083572478
-0.596805633,-45.168,-0.066311737
-0.444656967,-29.136,-0.04940633
-0.302285633,-12.2736,-0.033587293
-0.151188633,3.664,-0.016798737
-0.018419133,16.56,-0.00204657
0.132153267,31.024,0.014683696
0.280170033,45.248,0.031130004
0.4361157,58.992,0.0484573
0.6002057,70.736,0.066689522
0.769055367,83.12,0.085450596
0.9504797,95.664,0.105608856
1.130480367,105.168,0.12560893
1.3173537,114.08,0.146372633
1.517870367,121.424,0.168652263
1.753007033,127.376,0.194778559
1.985847033,130.592,0.22064967
2.177247033,131.264,0.241916337
2.311657033,131.728,0.256850781
2.412767033,132.096,0.268085226
2.485897033,132.272,0.276210781
2.5322037,131.552,0.281355967
2.549047033,125.024,0.283227448
2.5062737,119.264,0.278474856
2.3494137,103.904,0.261045967
2.1763737,86.816,0.2418193
2.007160367,71.072,0.223017819
1.8616937,56.272,0.206854856
1.709787033,41.712,0.189976337
1.566390367,28.464,0.174043374
1.415530367,14.3568,0.157281152
1.2650737,0.16416,0.140563744
1.107700367,-13.0448,0.123077819
0.945015033,-26.8,0.10500167
0.776260033,-40.368,0.086251115
0.599904367,-54.656,0.066656041
0.421993033,-67.504,0.046888115
0.2379077,-80.864,0.026434189
0.033595667,-91.872,0.003732852
-0.1701873,-101.648,-0.0189097
-0.3878403,-110.512,-0.043093367
-0.610538967,-118.48,-0.067837663
-0.8728963,-123.808,-0.096988478
-1.182262967,-126.64,-0.131362552
-1.495792967,-127.216,-0.166199219
-1.987162967,-122.864,-0.220795885
-2.043849633,-119.968,-0.227094404
-2.043669633,-110.016,-0.227074404
-1.9478163,-97.136,-0.216424033
-1.7609663,-77.184,-0.195662922
-1.585832967,-58.176,-0.176203663
-1.420959633,-40.368,-0.157884404
-1.265299633,-23.952,-0.140588848
-1.094579633,-8.1056,-0.121619959
-0.935802967,6.2192,-0.103978107
-0.778444967,20.08,-0.086493885
-0.612342967,32.64,-0.068038107
-0.445793967,47.248,-0.049532663
-0.2786833,58.896,-0.030964811
-0.097434633,70.992,-0.01082607
0.09970444,82.048,0.011078271
0.303934033,91.904,0.033770448
0.533895033,100.24,0.05932167
0.760019367,107.056,0.084446596
0.9919287,112.96,0.1102143
1.2228937,118.128,0.135877078
1.464947033,122.208,0.162771893
1.711240367,126.288,0.190137819
