Test unit,test 1
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.2,3.2,0.01
0.59,3.7,0.031
0.59,6.2,0.031
0.98,6.7,0.051
0.98,8.7,0.051
1.37,9.2,0.072
1.37,11.7,0.072
1.76,12.2,0.093
1.76,14.7,0.093
2.15,15.2,0.113
2.15,17.6,0.113
2.55,18.2,0.134
2.55,20.1,0.134
2.94,20.6,0.155
2.94,23.1,0.155
3.33,23.6,0.175
3.33,26.1,0.175
3.72,26.6,0.196
3.72,28.6,0.196
4.11,29.1,0.216
4.11,31.1,0.216
4.5,31.6,0.237
4.5,33.1,0.237
4.89,33.6,0.257
4.89,35.6,0.257
5.28,36.1,0.278
5.28,37.1,0.278
5.67,37.6,0.299
5.67,39.1,0.299
6.06,39.6,0.319
6.06,40.6,0.319
6.45,41.1,0.34
6.45,42.1,0.34
6.85,42.6,0.36
6.85,43.5,0.36
7.62,44.6,0.401
7.62,45.5,0.401
8.42,46.5,0.443
8.42,47.5,0.443
9.2,48.5,0.484
9.2,50,0.484
9.98,51,0.525
9.98,51.5,0.525
10.37,52,0.546
10.76,52,0.566
11.15,52,0.587
11.54,52.5,0.607
11.93,52.5,0.628
12.32,53,0.648
12.32,50.5,0.648
11.93,50,0.628
11.93,48,0.628
11.54,47.5,0.607
11.54,46.5,0.607
10.76,45.5,0.566
10.76,44.6,0.566
10.37,44.1,0.546
9.59,43.1,0.505
9.59,41.6,0.505
8.81,40.6,0.464
8.81,39.1,0.464
8.42,38.6,0.443
8.42,37.6,0.443
8.03,37.1,0.422
8.03,36.1,0.422
7.62,35.6,0.401
7.62,34.6,0.401
7.24,34.1,0.381
7.24,32.6,0.381
6.85,32.1,0.36
6.85,30.6,0.36
6.45,30.1,0.34
6.45,28.6,0.34
6.06,28.1,0.319
6.06,26.6,0.319
5.67,26.1,0.299
5.67,24.1,0.299
5.28,23.6,0.278
5.28,21.6,0.278
4.89,21.1,0.257
4.89,18.6,0.257
4.5,18.2,0.237
4.5,15.7,0.237
4.11,15.2,0.216
4.11,12.7,0.216
3.72,12.2,0.196
3.72,9.2,0.196
3.33,8.7,0.175
3.33,6.2,0.175
2.94,5.7,0.155
2.94,3.2,0.155
2.55,2.7,0.134
2.55,0.2,0.134
2.15,-0.3,0.113
2.15,-2.8,0.113
1.76,-3.3,0.093
1.76,-5.8,0.093
1.37,-6.3,0.072
1.37,-8.8,0.072
0.98,-9.3,0.051
0.98,-11.2,0.051
0.59,-11.7,0.031
0.59,-13.7,0.031
0.2,-14.2,0.01
0.2,-16.7,0.01
-0.2,-17.2,-0.01
-0.2,-19.2,-0.01
-0.59,-19.7,-0.031
-0.59,-21.7,-0.031
-0.98,-22.2,-0.051
-0.98,-24.2,-0.051
-1.37,-24.7,-0.072
-1.37,-26.7,-0.072
-1.76,-27.2,-0.093
-1.76,-29.2,-0.093
-2.15,-29.7,-0.113
-2.15,-31.2,-0.113
-2.54,-31.7,-0.134
-2.54,-32.7,-0.134
-2.93,-33.2,-0.154
-2.93,-34.7,-0.154
-3.33,-35.2,-0.175
-3.33,-36.2,-0.175
-3.72,-36.7,-0.196
-3.72,-37.7,-0.196
-4.11,-38.2,-0.216
-4.11,-39.1,-0.216
-4.89,-40.1,-0.257
-4.89,-41.1,-0.257
-5.28,-41.6,-0.278
-5.28,-42.6,-0.278
-6.06,-43.6,-0.319
-6.06,-44.1,-0.319
-6.85,-45.1,-0.36
-6.85,-46.1,-0.36
-7.24,-46.6,-0.381
-7.63,-47.1,-0.401
-8.02,-47.6,-0.422
-8.41,-48.1,-0.443
-8.81,-48.6,-0.464
-9.59,-49.6,-0.505
-9.59,-50.1,-0.505
-10.37,-51.1,-0.546
-9.98,-51.1,-0.525
-10.37,-51.1,-0.546
-10.76,-51.1,-0.566
-11.15,-51.1,-0.587
-11.54,-51.1,-0.607
-11.93,-51.1,-0.628
-12.32,-50.6,-0.649
-12.32,-49.1,-0.649
-11.93,-48.6,-0.628
-11.93,-47.6,-0.628
-11.15,-46.6,-0.587
-11.15,-46.1,-0.587
-10.37,-45.1,-0.546
-10.37,-44.6,-0.546
-9.98,-44.1,-0.525
-9.2,-43.1,-0.484
-9.2,-42.6,-0.484
-8.41,-41.6,-0.443
-8.41,-40.6,-0.443
-7.63,-39.7,-0.401
-7.63,-38.6,-0.401
-6.85,-37.7,-0.36
-6.85,-36.7,-0.36
-6.45,-36.2,-0.34
-6.45,-35.7,-0.34
-6.06,-35.2,-0.319
-6.06,-34.2,-0.319
-5.67,-33.7,-0.299
-5.67,-32.7,-0.299
-5.28,-32.2,-0.278
-5.28,-31.2,-0.278
-4.89,-30.7,-0.257
-4.89,-29.2,-0.257
-4.5,-28.7,-0.237
-4.5,-27.2,-0.237
-4.11,-26.7,-0.216
-4.11,-25.2,-0.216
-3.72,-24.7,-0.196
-3.72,-23.2,-0.196
-3.33,-22.7,-0.175
-3.33,-21.2,-0.175
-2.93,-20.7,-0.154
-2.93,-18.7,-0.154
-2.54,-18.2,-0.134
-2.54,-16.2,-0.134
-2.15,-15.7,-0.113
-2.15,-13.2,-0.113
-1.76,-12.7,-0.093
-1.76,-10.8,-0.093
-1.37,-10.3,-0.072
-1.37,-7.8,-0.072
-0.98,-7.3,-0.051
-0.98,-5.3,-0.051
-0.59,-4.8,-0.031
-0.59,-2.3,-0.031
-0.2,-1.8,-0.01
-0.2,-0.3,-0.01
NaN,NaN,NaN
0.2,0.2,0.01
0.2,3.7,0.01
0.59,4.2,0.031
0.59,6.7,0.031
0.98,7.2,0.051
0.98,9.7,0.051
1.37,10.2,0.072
1.37,12.2,0.072
1.76,12.7,0.093
1.76,15.2,0.093
2.15,15.7,0.113
2.15,18.2,0.113
2.55,18.6,0.134
2.55,20.6,0.134
2.94,21.1,0.155
2.94,23.6,0.155
3.33,24.1,0.175
3.33,26.1,0.175
3.72,26.6,0.196
3.72,28.6,0.196
4.11,29.1,0.216
4.11,31.1,0.216
4.5,31.6,0.237
4.5,33.6,0.237
4.89,34.1,0.257
4.89,35.6,0.257
5.28,36.1,0.278
5.28,37.6,0.278
5.67,38.1,0.299
5.67,39.1,0.299
6.06,39.6,0.319
6.06,40.6,0.319
6.45,41.1,0.34
6.45,42.1,0.34
7.24,43.1,0.381
7.24,44.1,0.381
7.62,44.6,0.401
7.62,45.5,0.401
8.42,46.5,0.443
8.42,47.5,0.443
8.81,48,0.464
9.59,49,0.505
9.59,49.5,0.505
10.37,50.5,0.546
10.37,51,0.546
10.76,51,0.566
11.15,51.5,0.587
11.93,52.5,0.628
11.93,53,0.628
12.32,53.5,0.648
12.71,53.5,0.669
13.1,53.5,0.69
13.49,53.5,0.71
13.89,54,0.731
14.28,54,0.752
14.68,54,0.772
15.07,53.5,0.793
14.68,53,0.772
14.68,51,0.772
14.28,50.5,0.752
14.28,49.5,0.752
13.49,48.5,0.71
13.49,48,0.71
13.1,48,0.69
12.71,47.5,0.669
12.32,47,0.648
11.54,46,0.607
11.54,45.5,0.607
10.76,44.6,0.566
10.76,44.1,0.566
9.98,43.1,0.525
9.98,42.1,0.525
9.2,41.1,0.484
9.2,39.6,0.484
8.81,39.1,0.464
8.81,38.6,0.464
8.42,38.1,0.443
8.42,37.1,0.443
8.03,36.6,0.422
8.03,35.6,0.422
7.62,35.1,0.401
7.62,33.6,0.401
7.24,33.1,0.381
7.24,32.1,0.381
6.85,31.6,0.36
6.85,30.1,0.36
6.45,29.6,0.34
6.45,27.6,0.34
6.06,27.1,0.319
6.06,25.6,0.319
5.67,25.1,0.299
5.67,23.6,0.299
5.28,23.1,0.278
5.28,20.6,0.278
4.89,20.1,0.257
4.89,17.6,0.257
4.5,17.1,0.237
4.5,14.7,0.237
4.11,14.2,0.216
4.11,11.7,0.216
3.72,11.2,0.196
3.72,8.2,0.196
3.33,7.7,0.175
3.33,5.2,0.175
2.94,4.7,0.155
2.94,2.2,0.155
2.55,1.7,0.134
2.55,-0.8,0.134
2.15,-1.3,0.113
2.15,-3.8,0.113
1.76,-4.3,0.093
1.76,-6.3,0.093
1.37,-6.8,0.072
1.37,-9.3,0.072
0.98,-9.8,0.051
0.98,-11.7,0.051
0.59,-12.2,0.031
0.59,-14.7,0.031
0.2,-15.2,0.01
0.2,-17.2,0.01
-0.2,-17.7,-0.01
-0.2,-19.7,-0.01
-0.59,-20.2,-0.031
-0.59,-22.2,-0.031
-0.98,-22.7,-0.051
-0.98,-24.7,-0.051
-1.37,-25.2,-0.072
-1.37,-27.2,-0.072
-1.76,-27.7,-0.093
-1.76,-29.2,-0.093
-2.15,-29.7,-0.113
-2.15,-31.2,-0.113
-2.54,-31.7,-0.134
-2.54,-33.2,-0.134
-2.93,-33.7,-0.154
-2.93,-34.7,-0.154
-3.33,-35.2,-0.175
-3.33,-36.2,-0.175
-3.72,-36.7,-0.196
-3.72,-37.7,-0.196
-4.11,-38.2,-0.216
-4.11,-39.1,-0.216
-4.89,-40.1,-0.257
-4.89,-41.1,-0.257
-5.67,-42.1,-0.299
-5.67,-43.1,-0.299
-6.45,-44.1,-0.34
-6.45,-45.1,-0.34
-6.85,-45.6,-0.36
-7.63,-46.6,-0.401
-7.63,-47.1,-0.401
-8.02,-47.6,-0.422
-8.41,-48.1,-0.443
-8.81,-48.6,-0.464
-9.2,-49.1,-0.484
-9.59,-49.1,-0.505
-9.98,-49.6,-0.525
-10.37,-49.6,-0.546
-10.76,-50.1,-0.566
-11.15,-50.1,-0.587
-11.54,-50.6,-0.607
-11.93,-51.1,-0.628
-12.32,-51.6,-0.649
-12.71,-52.1,-0.669
-13.1,-51.6,-0.69
-13.49,-51.6,-0.71
-13.88,-51.6,-0.731
-14.27,-52.1,-0.751
