Test unit,M17
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.61,-23.6,-0.048
-0.72,-24.9,-0.056
-0.72,-25.8,-0.056
-0.77,-27.5,-0.06
-0.82,-27.5,-0.064
-0.92,-29.7,-0.072
-0.87,-29.3,-0.068
-1.03,-31,-0.081
-0.97,-31.5,-0.076
-1.08,-33.2,-0.084
-1.18,-32.8,-0.093
-1.38,-33.6,-0.108
-1.23,-29.7,-0.096
-1.23,-26.6,-0.096
-1.18,-24.9,-0.093
-1.18,-22.7,-0.093
-1.13,-21.8,-0.088
-1.13,-20.1,-0.088
-1.08,-17.9,-0.084
-1.08,-16.1,-0.084
-1.03,-14.4,-0.081
-1.08,-12.2,-0.084
-1.03,-11.7,-0.081
-0.97,-10,-0.076
-0.97,-8.7,-0.076
-0.87,-6.5,-0.068
-0.97,-5.2,-0.076
-0.82,-3,-0.064
-0.87,-3,-0.068
-0.77,-1.2,-0.06
-0.82,-0.8,-0.064
-0.77,0.1,-0.06
NaN,NaN,NaN
-0.72,1.4,-0.056
-0.77,1.4,-0.06
-0.72,0.9,-0.056
-0.77,1.9,-0.06
-0.77,0.5,-0.06
-0.72,1.9,-0.056
-0.72,0.5,-0.056
-0.61,2.3,-0.048
-0.77,2.3,-0.06
-0.67,0.9,-0.052
-0.77,1.4,-0.06
-0.67,0.9,-0.052
-0.72,2.3,-0.056
-0.72,0.5,-0.056
-0.61,1.9,-0.048
-0.72,1.4,-0.056
-0.67,2.7,-0.052
-0.67,2.3,-0.052
-0.72,3.2,-0.056
-0.67,4.9,-0.052
-0.67,5.8,-0.052
-0.51,8,-0.04
-0.61,8,-0.048
-0.51,10.2,-0.04
-0.51,10.6,-0.04
-0.41,12.8,-0.032
-0.46,13.7,-0.036
-0.36,15.4,-0.028
-0.31,16.7,-0.024
-0.31,17.6,-0.024
-0.26,19.4,-0.02
-0.26,20.7,-0.02
-0.15,22,-0.012
-0.1,22.9,-0.008
-0.05,24.6,-0.004
-0.05,25.9,-0.004
0.05,26.4,0.004
0.16,29,0.012
0.21,30.7,0.016
0.21,30.7,0.016
0.36,32.1,0.028
0.31,32.5,0.024
0.47,33.4,0.036
0.47,33.8,0.036
0.57,34.3,0.044
0.62,34.7,0.049
0.67,35.6,0.052
0.72,36,0.057
0.82,36,0.064
0.87,34.7,0.069
0.82,32.9,0.064
0.82,29,0.064
0.77,27.2,0.061
0.82,25.5,0.064
0.72,23.7,0.057
0.77,21.5,0.061
0.67,20.2,0.052
0.67,18,0.052
0.62,17.6,0.049
0.67,15,0.052
0.62,14.1,0.049
0.57,11.5,0.044
0.57,11.1,0.044
0.47,8.4,0.036
0.51,8,0.04
0.47,6.2,0.036
0.41,4.9,0.032
0.41,4,0.032
0.36,2.3,0.028
0.41,1.9,0.032
0.31,0.9,0.024
0.36,0.9,0.028
0.26,0.9,0.02
0.31,0.5,0.024
0.31,0.9,0.024
0.36,0.9,0.028
0.31,1.4,0.024
0.36,1.9,0.028
0.36,0.9,0.028
0.26,0.5,0.02
0.31,1.4,0.024
0.31,0.5,0.024
0.26,0.9,0.02
0.31,0.5,0.024
0.31,0.9,0.024
0.31,0.5,0.024
0.26,-0.3,0.02
0.31,-0.3,0.024
0.21,-1.2,0.016
0.26,-1.7,0.02
0.26,-3.4,0.02
0.21,-3.4,0.016
0.16,-5.6,0.012
0.16,-7.8,0.012
0.05,-8.2,0.004
0,-10.4,0
-0.05,-10.9,-0.004
-0.05,-12.6,-0.004
-0.1,-13.5,-0.008
-0.2,-15.7,-0.016
-0.2,-16.6,-0.016
-0.26,-17.9,-0.02
-0.26,-18.7,-0.02
-0.31,-19.6,-0.024
-0.36,-21.8,-0.028
-0.31,-21.8,-0.024
-0.46,-24.4,-0.036
-0.46,-24.4,-0.036
-0.61,-26.6,-0.048
-0.61,-26.6,-0.048
-0.67,-28.4,-0.052
-0.72,-28.8,-0.056
-0.82,-30.1,-0.064
-0.87,-30.6,-0.068
-0.87,-31.5,-0.068
-0.97,-32.8,-0.076
-1.03,-32.3,-0.081
-1.03,-31.5,-0.081
-1.08,-29.7,-0.084
-1.08,-26.6,-0.084
-0.97,-26.2,-0.076
-1.03,-24,-0.081
-0.97,-22.3,-0.076
-1.03,-20.5,-0.081
-0.92,-18.7,-0.072
-0.92,-17,-0.072
-0.87,-15.7,-0.068
-0.82,-13.5,-0.064
-0.87,-13.5,-0.068
-0.77,-10.4,-0.06
-0.82,-10,-0.064
-0.72,-7.4,-0.056
-0.77,-6.5,-0.06
-0.72,-5.6,-0.056
-0.67,-3.8,-0.052
-0.67,-3,-0.052
-0.61,-1.7,-0.048
-0.61,-0.8,-0.048
-0.56,-0.3,-0.044
-0.56,0.5,-0.044
NaN,NaN,NaN
-0.56,0.5,-0.044
-0.51,0.9,-0.04
-0.56,0.5,-0.044
-0.51,0.9,-0.04
-0.56,0.9,-0.044
-0.46,0.9,-0.036
-0.51,1.4,-0.04
-0.46,0.5,-0.036
-0.51,1.9,-0.04
-0.51,0.9,-0.04
-0.51,2.3,-0.04
-0.56,0.9,-0.044
-0.46,2.7,-0.036
-0.56,1.4,-0.044
-0.46,2.3,-0.036
-0.56,2.3,-0.044
-0.46,2.7,-0.036
-0.51,2.7,-0.04
-0.46,4,-0.036
-0.46,5.8,-0.036
-0.36,7.5,-0.028
-0.26,9.7,-0.02
-0.31,10.2,-0.024
-0.26,11.5,-0.02
-0.2,13.2,-0.016
-0.2,14.5,-0.016
-0.1,15.4,-0.008
-0.1,16.7,-0.008
-0.05,17.2,-0.004
0.05,19.4,0.004
0.05,20.7,0.004
0.16,22,0.012
0.16,22.9,0.012
0.21,23.3,0.016
0.26,25.5,0.02
0.31,26.8,0.024
0.31,29,0.024
0.47,28.6,0.036
0.51,30.3,0.04
0.47,30.7,0.036
0.62,32.5,0.049
0.57,32.5,0.044
0.67,34.7,0.052
0.67,34.3,0.052
0.72,35.6,0.057
0.82,36.4,0.064
0.77,33.4,0.061
0.77,34.3,0.061
0.87,32.1,0.069
0.77,29.9,0.061
0.82,27.7,0.064
0.77,26.4,0.061
0.77,24.6,0.061
0.72,22.9,0.057
0.67,20.2,0.052
0.72,19.8,0.057
0.67,18,0.052
0.67,15.4,0.052
0.62,15,0.049
0.57,12.8,0.044
0.57,11.5,0.044
0.47,9.3,0.036
0.57,8.4,0.044
0.47,6.2,0.036
0.51,6.2,0.04
0.36,4,0.028
0.36,0.5,0.028
0.31,0.9,0.024
0.36,0.9,0.028
0.31,0.9,0.024
0.36,1.4,0.028
0.31,0.9,0.024
0.31,0.9,0.024
0.36,1.4,0.028
0.31,0.5,0.024
0.36,1.4,0.028
0.31,0.9,0.024
0.31,0.5,0.024
0.26,1.4,0.02
0.31,0.1,0.024
0.31,0.5,0.024
0.31,0.1,0.024
0.41,0.9,0.032
0.21,-0.8,0.016
0.31,-0.8,0.024
0.21,-3.4,0.016
0.16,-3.8,0.012
0.16,-6.5,0.012
0,-8.2,0
0.05,-9.5,0.004
-0.05,-10.9,-0.004
-0.05,-11.7,-0.004
-0.15,-13.5,-0.012
-0.15,-14.4,-0.012
-0.2,-15.2,-0.016
-0.26,-17,-0.02
-0.26,-17.9,-0.02
-0.36,-19.6,-0.028
-0.36,-20.9,-0.028
-0.41,-22.3,-0.032
-0.41,-23.6,-0.032
-0.46,-24,-0.036
