Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.58,-40.1,-0.046
-0.64,-43.2,-0.051
-0.71,-46.3,-0.057
-0.76,-48.5,-0.061
-0.81,-51,-0.065
-0.86,-52.6,-0.069
-0.9,-54.8,-0.072
-0.92,-53.2,-0.074
-0.94,-55.4,-0.075
-0.96,-55.4,-0.077
-0.96,-54.2,-0.077
-0.95,-52.9,-0.076
-0.96,-47.9,-0.077
-0.92,-45.1,-0.074
-0.89,-43.2,-0.071
-0.86,-41.6,-0.069
-0.81,-39.1,-0.065
-0.76,-36.6,-0.061
-0.7,-33.8,-0.056
-0.64,-30.7,-0.051
-0.57,-27.5,-0.045
-0.49,-23.8,-0.039
-0.43,-20,-0.034
-0.33,-16,-0.027
-0.28,-13.5,-0.022
-0.19,-8.5,-0.015
-0.07,-3.1,-0.006
0.01,1.3,0.001
0.11,5.3,0.009
0.11,5.3,0.009
0.19,9.4,0.015
0.28,13.8,0.022
0.36,17.5,0.029
0.45,21.6,0.036
0.52,25,0.042
0.6,28.8,0.048
0.66,31.9,0.053
0.72,34.1,0.057
0.78,36.9,0.063
0.84,39.1,0.067
0.88,41.3,0.07
0.91,42.3,0.073
0.93,43.5,0.075
0.95,42.6,0.076
0.96,44.5,0.077
0.97,42.3,0.078
0.97,38.8,0.078
0.94,30.7,0.075
0.93,30.1,0.075
0.9,28.2,0.072
0.86,25.7,0.069
0.81,23.5,0.065
0.76,21,0.061
0.71,18.5,0.057
0.63,14.7,0.051
0.57,11.6,0.045
0.49,8.1,0.039
0.41,5,0.033
0.33,1.6,0.027
0.26,-1.6,0.021
0.16,-5.6,0.013
0.07,-9.4,0.006
0.01,-11.9,0.001
0,-11.3,0
0,-8.8,0
0.01,-6.6,0.001
0.01,-11,0.001
0,-11.3,0
0,-10.3,0
0.01,-10.3,0.001
0,-10.3,0
0.01,-10.3,0.001
0.01,-10.3,0.001
-0.14,-19.4,-0.011
-0.26,-26.3,-0.021
-0.41,-32.2,-0.033
-0.54,-38.2,-0.043
-0.65,-43.8,-0.052
-0.78,-49.2,-0.063
-0.89,-53.8,-0.071
-1,-57.6,-0.08
-1.09,-60.7,-0.087
-1.19,-63.2,-0.095
-1.26,-65.1,-0.101
-1.33,-66.1,-0.106
-1.38,-65.7,-0.11
-1.42,-67.6,-0.114
-1.46,-67.9,-0.116
-1.48,-68.2,-0.118
-1.48,-67,-0.118
-1.45,-60.4,-0.116
-1.42,-59.2,-0.114
-1.37,-57.3,-0.11
-1.32,-54.8,-0.105
-1.25,-52,-0.1
-1.17,-48.8,-0.093
-1.08,-45.4,-0.087
-0.99,-41.6,-0.079
-0.89,-37.6,-0.071
-0.77,-33.2,-0.062
-0.63,-27.5,-0.051
-0.52,-22.2,-0.042
-0.39,-16.6,-0.031
-0.27,-11.3,-0.021
-0.1,-3.4,-0.008
0.02,2.5,0.002
0.16,8.8,0.013
0.3,15,0.024
0.44,21.3,0.035
0.57,27.2,0.045
0.69,32.9,0.055
0.81,37.9,0.065
0.92,42.9,0.074
1.02,47,0.081
1.11,50.1,0.089
1.21,52.3,0.097
1.28,53.8,0.103
1.35,55.1,0.108
1.39,55.7,0.111
1.45,56.4,0.116
1.48,56.4,0.118
1.49,56.7,0.119
1.49,54.5,0.119
1.46,47,0.116
1.42,45.7,0.114
1.38,43.2,0.11
1.33,40.4,0.106
1.25,37.6,0.1
1.18,33.8,0.094
1.08,30.4,0.087
0.99,26,0.079
0.88,21.6,0.07
0.75,17.2,0.06
0.64,12.5,0.051
0.51,7.5,0.041
0.37,2.2,0.03
0.25,-3.8,0.02
0.11,-9.1,0.009
0,-14.7,0
-0.01,-11.6,-0.001
0,-10.3,0
0,-11,0
-0.17,-21.6,-0.014
-0.31,-27.5,-0.025
-0.44,-32.6,-0.035
-0.57,-37.9,-0.045
-0.7,-42.3,-0.056
-0.8,-46.6,-0.064
-0.92,-50.7,-0.074
-1.03,-54.2,-0.082
-1.12,-57,-0.09
-1.21,-59.5,-0.097
-1.28,-62,-0.103
-1.34,-63.6,-0.107
-1.39,-64.8,-0.111
-1.43,-66.1,-0.115
-1.47,-67,-0.117
-1.48,-67,-0.118
-1.49,-64.8,-0.119
-1.47,-61,-0.117
-1.45,-60.4,-0.116
-1.41,-58.5,-0.113
-1.36,-56.7,-0.109
-1.31,-54.2,-0.104
-1.23,-51.7,-0.099
-1.15,-48.2,-0.092
-1.06,-44.8,-0.085
-0.96,-41,-0.077
-0.85,-36.3,-0.068
-0.74,-31.9,-0.059
-0.61,-26.6,-0.049
-0.48,-21,-0.039
