Test unit,RS5,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.218771057,-2.728,-0.013673191
-0.186255844,-1.915,-0.01164099
-0.156732384,-1.146,-0.009795774
-0.125639529,-0.4049,-0.007852471
-0.095237849,0.3372,-0.005952366
-0.062767737,1.054,-0.003922984
-0.036901466,1.731,-0.002306342
-0.009125959,2.307,-0.000570372
0.015053775,2.918,0.000940861
0.043961784,3.566,0.002747611
0.071191583,4.208,0.004449474
0.102268537,4.864,0.006391784
0.134801025,5.501,0.008425064
0.164997673,6.145,0.010312355
0.197547846,6.799,0.01234674
0.231916738,7.44,0.014494796
0.263821529,8.092,0.016488846
0.29595035,8.723,0.018496897
0.327434846,9.35,0.020464678
0.35848762,9.983,0.022405476
0.39606764,10.63,0.024754228
0.428955448,11.27,0.026809715
0.46148015,11.96,0.028842509
0.491253366,12.62,0.030703335
0.528462779,13.31,0.033028924
0.561331039,13.98,0.03508319
0.601785465,14.62,0.037611592
0.628402233,15.24,0.03927514
0.666423574,15.82,0.041651473
0.667269158,14.97,0.041704322
0.639985234,13.63,0.039999077
0.598634346,12.52,0.037414647
0.570067591,11.53,0.035629224
0.535097274,10.61,0.03344358
0.503287747,9.747,0.031455484
0.471843231,8.924,0.029490202
0.437696867,8.127,0.027356054
0.407708456,7.327,0.025481779
0.370653041,6.514,0.023165815
0.336380533,5.703,0.021023783
0.299426761,4.906,0.018714173
0.265598956,4.149,0.016599935
0.233238591,3.392,0.014577412
0.200230016,2.677,0.012514376
0.169341191,1.976,0.010583824
0.142626912,1.28,0.008914182
0.108037372,0.5982,0.006752336
0.080056362,-0.2224,0.005003523
0.053088079,-0.7693,0.003318005
0.02630195,-1.452,0.001643872
-0.003495618,-2.06,-0.000218476
-0.022494559,-2.666,-0.00140591
-0.049035707,-3.362,-0.003064732
-0.076162555,-4.109,-0.00476016
-0.11082941,-4.878,-0.006926838
-0.141734721,-5.648,-0.00885842
-0.177952296,-6.406,-0.011122019
-0.207350714,-7.162,-0.01295942
-0.23705729,-7.911,-0.014816081
-0.268986946,-8.676,-0.016811684
-0.294479269,-9.431,-0.018404954
-0.328190796,-10.21,-0.020511925
-0.360232267,-11.16,-0.022514517
-0.390786663,-11.81,-0.024424166
-0.42415324,-12.6,-0.026509578
-0.451516411,-13.41,-0.028219776
-0.488044738,-14.21,-0.030502796
-0.520454192,-15.02,-0.032528387
-0.552062238,-15.8,-0.03450389
-0.594119828,-16.56,-0.037132489
-0.629977804,-17.27,-0.039373613
-0.657642658,-17.45,-0.041102666
-0.657879979,-16.37,-0.041117499
-0.630401978,-15.92,-0.039400124
-0.604146424,-14.18,-0.037759151
-0.570326852,-13.25,-0.035645428
-0.532923026,-11.99,-0.033307689
-0.496303135,-10.9,-0.031018946
-0.467742053,-9.845,-0.029233878
-0.432534829,-8.847,-0.027033427
-0.406064306,-7.902,-0.025379019
-0.369744843,-6.996,-0.023109053
-0.334264258,-6.111,-0.020891516
-0.309417139,-5.242,-0.019338571
-0.278832628,-4.41,-0.017427039
-0.247608687,-3.586,-0.015475543
-0.214737049,-2.788,-0.013421066
-0.188802955,-2.006,-0.011800185
-0.152477885,-1.236,-0.009529868
-0.127471892,-0.4961,-0.007966993
-0.091738208,0.2438,-0.005733638
-0.067415929,0.9622,-0.004213496
-0.037866617,1.657,-0.002366664
-0.015222229,2.222,-0.000951389
0.014592397,2.812,0.000912025
0.041049897,3.461,0.002565619
0.068112768,4.118,0.004257048
0.104470981,4.764,0.006529436
0.133956781,5.404,0.008372299
0.162904141,6.047,0.010181509
0.198746483,6.677,0.012421655
0.234293007,7.323,0.014643313
0.264244573,7.969,0.016515286
0.291949866,8.623,0.018246867
0.325619185,9.245,0.020351199
