Test unit,WI1.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-6.28,-33.9,-0.474
-6.75,-34.3,-0.509
-7.93,-35.1,-0.598
-8.69,-35.3,-0.656
-9.62,-35.5,-0.726
-10.03,-36.1,-0.757
NaN,NaN,NaN
-12.68,-36.7,-0.957
-12.1,-34.8,-0.913
-11.26,-34,-0.85
-10.61,-32.8,-0.801
-9.94,-32.3,-0.75
-9.37,-31.2,-0.707
-8.12,-30,-0.613
-7.88,-32.3,-0.594
-7.46,-29.3,-0.563
-6.32,-27.7,-0.477
-5.27,-26,-0.398
-4.54,-24.4,-0.343
-3.7,-22.7,-0.28
-3.01,-20.1,-0.228
-2.44,-17.6,-0.184
-2.07,-15.5,-0.157
-1.69,-12.8,-0.128
-1.32,-9.7,-0.1
-0.95,-5.6,-0.072
-0.57,-2.9,-0.043
-0.22,-0.1,-0.017
0.15,2.5,0.011
0.31,3.1,0.024
0.68,7,0.051
1.09,9.8,0.082
1.21,10.6,0.092
1.61,14.5,0.122
2.08,17.5,0.157
2.52,20.1,0.19
3.18,23,0.24
3.84,25.4,0.289
4.2,26.4,0.317
4.91,29,0.371
5.64,31,0.426
6.57,32.2,0.496
7.39,33.1,0.558
8.12,34.2,0.613
8.78,34.4,0.663
9.69,35,0.731
10.66,35.7,0.804
11.04,34.5,0.833
11.77,36.1,0.888
12.43,34.9,0.938
12.66,35,0.956
13.34,36.1,1.007
13.76,35,1.039
12.84,34.3,0.969
11.93,33.3,0.901
11.11,32.5,0.838
10.11,31.2,0.763
9.54,30,0.72
8.63,28.3,0.651
7.72,26.5,0.583
7.11,24.8,0.537
6.52,22.5,0.492
5.88,19.8,0.444
5.44,17.3,0.41
4.91,14,0.371
4.25,11.4,0.321
3.92,8.6,0.296
3.59,6.5,0.271
3.28,3.8,0.247
2.89,1.4,0.218
2.62,-1.3,0.198
2.09,-4,0.158
1.86,-6.8,0.14
1.45,-10,0.109
1.03,-13.6,0.078
0.62,-16.7,0.046
0.21,-19.5,0.016
-0.13,-22.1,-0.01
-0.7,-24.7,-0.053
-1.37,-27,-0.103
-2.27,-29,-0.171
-2.52,-29.2,-0.19
-3.43,-30.8,-0.259
-4.45,-31.7,-0.336
-4.67,-34,-0.352
-5.06,-32.7,-0.382
-5.76,-32.6,-0.435
-6.38,-33.5,-0.481
-7.61,-34.3,-0.575
-8.43,-35.1,-0.636
-9.36,-35.6,-0.706
-10.74,-36.1,-0.81
-11.51,-36.7,-0.869
-12.35,-36.9,-0.932
-12.51,-36.9,-0.944
NaN,NaN,NaN
-15.24,-37.7,-1.15
-14.84,-36.3,-1.12
-13.92,-34.9,-1.05
-13.22,-34,-0.998
-12.43,-33.1,-0.938
-11.54,-31.3,-0.871
-10.94,-31.6,-0.826
-10.04,-31,-0.758
-9.16,-29.9,-0.692
-8.01,-28.5,-0.604
-6.81,-27.1,-0.514
-6.32,-27,-0.477
-5.58,-24.8,-0.421
-4.49,-23,-0.339
-3.68,-20.6,-0.277
-3.08,-18.4,-0.232
-2.52,-15.5,-0.19
-1.97,-12.5,-0.149
-1.59,-9.7,-0.12
-0.95,-3.6,-0.072
-0.54,-0.8,-0.041
-0.21,1.8,-0.016
0.2,4.8,0.015
0.69,7.7,0.052
1.36,13,0.103
1.93,15.8,0.146
2.26,18.8,0.171
2.83,20.3,0.213
3.09,22.2,0.233
3.79,24.7,0.286
4.67,27.3,0.353
5.57,29.5,0.421
6.43,31.1,0.486
7.08,30.5,0.535
7.14,32.3,0.539
8.28,33.5,0.625
9.5,34.5,0.717
10.76,34.6,0.812
11.85,35.2,0.894
12.68,35.5,0.957
13.59,36.1,1.025
14.66,36.1,1.106
15.44,35.9,1.165
16.22,36,1.224
15.98,34.4,1.206
15.7,34.3,1.185
15.44,34.1,1.165
14.34,33.6,1.082
13.17,32.7,0.994
11.82,31.7,0.892
10.9,30.6,0.822
9.79,28.6,0.739
8.88,27.1,0.67
8.22,24.7,0.62
7.45,22.7,0.562
6.81,20.1,0.514
6.47,18.3,0.489
5.91,15.2,0.446
5.41,12.8,0.408
4.91,10.3,0.371
4.5,7.4,0.34
4.06,4.3,0.307
3.61,1.4,0.272
3.41,-0.4,0.257
2.94,-3.4,0.222
2.61,-5.9,0.197
2.19,-8.6,0.165
1.76,-11.7,0.133
1.36,-15.7,0.103
0.9,-18.6,0.068
0.4,-21.6,0.03
-0.12,-24.7,-0.009
-0.78,-27.1,-0.059
-1.74,-29.2,-0.132
-2.77,-30.8,-0.209
-3.82,-31.6,-0.288
-4.61,-32.5,-0.348
-5.44,-33.7,-0.411
-6.56,-34.4,-0.495
-7.54,-35.2,-0.569
-8.33,-35.6,-0.629
-9.13,-36.2,-0.689
-9.92,-36.6,-0.748
-10.86,-36.9,-0.82
-11.85,-37.7,-0.894
-12.81,-38.9,-0.967
-13.54,-38.2,-1.022
-14.41,-38.4,-1.088
-15.05,-37.7,-1.136
-15.06,-37.5,-1.137
-15.07,-37.4,-1.138
NaN,NaN,NaN
-17.72,-38.9,-1.337
-17.55,-38,-1.325
-16.72,-36.9,-1.262
-16.07,-36.1,-1.213
-15.24,-35.5,-1.15
-14.41,-34.6,-1.088
-13.45,-33.2,-1.015
-12.84,-32.5,-0.969
-12.51,-32.5,-0.944
-11.69,-31.2,-0.882
-10.86,-31.5,-0.82
-9.98,-29.7,-0.754
-9.73,-30,-0.734
-9.13,-28.6,-0.689
-8.05,-27.4,-0.607
-7.09,-26,-0.535
-5.99,-24.2,-0.452
-5.22,-23.4,-0.394
-4.95,-21.9,-0.373
-4.09,-19.6,-0.309
-3.18,-16.4,-0.24
-2.48,-13.8,-0.187
-2.02,-10.5,-0.153
-1.61,-7.1,-0.122
-0.87,-1,-0.065
-0.39,2,-0.029
0.04,5.1,0.003
0.64,8.8,0.048
0.98,12.2,0.074
1.64,15.1,0.124
2.15,18.3,0.162
2.6,20.1,0.196
3.34,23.3,0.252
4.17,25.7,0.315
4.71,27.5,0.355
5.19,27.9,0.392
5.82,29.6,0.439
6.24,31.6,0.471
6.9,31.6,0.52
7.97,32.6,0.601
8.98,33.8,0.678
9.7,34.4,0.732
10.95,34.6,0.826
11.93,35.5,0.9
