Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.27,-25.6,-0.019
-0.27,-24.6,-0.019
-0.27,-23.7,-0.019
-0.27,-22.7,-0.019
-0.26,-21.4,-0.018
-0.26,-20.1,-0.018
-0.25,-19.1,-0.018
-0.25,-18.1,-0.017
-0.24,-16.8,-0.017
-0.24,-15.4,-0.017
-0.24,-14.1,-0.017
-0.23,-12.6,-0.016
-0.22,-11.4,-0.015
-0.2,-10.2,-0.014
-0.21,-8.8,-0.015
-0.21,-7.4,-0.015
-0.21,-6.1,-0.015
-0.2,-4.7,-0.014
-0.2,-3.2,-0.014
-0.19,-1.9,-0.014
-0.19,-1.3,-0.013
-0.19,-1,-0.013
-0.19,-0.8,-0.013
-0.19,-0.6,-0.013
-0.18,-0.2,-0.013
-0.18,0.1,-0.013
-0.18,0.3,-0.013
-0.18,0.6,-0.012
-0.18,1.3,-0.012
-0.16,2.8,-0.011
-0.14,5.5,-0.01
-0.14,9.4,-0.01
-0.13,13.4,-0.009
-0.12,17.2,-0.008
-0.1,21.1,-0.007
-0.09,24.3,-0.006
-0.08,26.8,-0.006
-0.07,28.5,-0.005
-0.06,29.8,-0.004
-0.06,31.1,-0.004
-0.05,32.4,-0.004
-0.04,34,-0.003
-0.03,35.4,-0.002
-0.03,36.8,-0.002
-0.02,38.1,-0.002
-0.02,39.8,-0.001
0,41.4,0
0.01,42.8,0.001
0.01,44.1,0
0.01,45.7,0
0.01,47.8,0.001
0.02,49.8,0.001
0.02,51.5,0.002
0.03,52.8,0.002
0.04,54.1,0.003
0.05,55.5,0.003
0.06,56.8,0.004
0.06,57.7,0.004
0.06,58.2,0.004
0.07,59.1,0.005
0.07,60.5,0.005
0.08,62.2,0.006
0.09,63.9,0.006
0.11,65.5,0.008
0.11,67.3,0.008
0.11,69,0.008
0.11,70.1,0.008
0.11,71.1,0.008
0.12,72.2,0.008
0.12,73.6,0.009
0.13,75.5,0.009
0.14,76.3,0.01
0.15,76.4,0.01
0.15,76.3,0.01
0.15,76.8,0.011
0.16,78.1,0.011
0.16,80.2,0.011
0.17,82.4,0.012
0.18,84.2,0.012
0.19,85.7,0.014
0.21,86.9,0.015
0.2,87.5,0.014
0.2,88,0.014
0.2,88.8,0.014
0.21,89.9,0.014
0.21,91,0.015
0.22,91.9,0.015
0.22,92.7,0.016
0.23,93.4,0.016
0.23,93.9,0.016
0.24,94.6,0.017
0.24,95.2,0.017
0.25,96.2,0.018
0.26,97.6,0.018
0.26,98.6,0.019
0.27,99.1,0.019
0.29,98.7,0.02
0.29,98.5,0.02
0.28,98.7,0.02
0.28,100,0.02
0.29,101.5,0.02
0.29,102.5,0.021
0.3,103.4,0.021
0.31,103.9,0.022
0.31,103.8,0.022
0.31,103.4,0.022
0.32,103,0.022
0.32,103.4,0.022
0.32,104.7,0.023
0.33,105.6,0.023
0.34,106.4,0.024
0.34,107.3,0.024
0.35,107.9,0.025
0.37,108,0.026
0.37,108.3,0.026
0.37,108.9,0.026
0.37,109.8,0.026
0.38,109.8,0.026
0.38,109.2,0.026
0.38,107.9,0.027
0.38,107,0.027
0.38,106.9,0.027
0.38,107.1,0.027
0.39,108.4,0.027
0.39,110,0.028
0.4,111,0.028
0.41,111.1,0.029
0.41,110.9,0.029
0.41,110.5,0.029
0.42,109.9,0.029
0.43,108.8,0.03
0.42,107.7,0.03
0.42,107.4,0.029
0.41,107.8,0.029
0.41,109.7,0.029
0.42,111.7,0.029
0.42,112.6,0.03
0.43,112.7,0.03
0.43,113.1,0.03
0.44,113.8,0.031
0.44,113.9,0.031
0.44,113.1,0.031
0.44,111.1,0.031
0.44,110.1,0.031
0.44,109.7,0.031
0.44,109.6,0.031
0.46,109.4,0.032
0.46,109.6,0.032
0.45,110.4,0.032
0.45,111.3,0.031
0.45,111.3,0.031
0.44,111,0.031
0.45,110.6,0.031
0.45,109.8,0.031
0.45,108.6,0.032
0.45,107.2,0.032
0.45,105.6,0.032
0.45,105.1,0.032
0.45,105.1,0.032
0.45,105.1,0.032
0.45,105.1,0.032
0.45,105.1,0.032
0.46,105.1,0.032
0.47,105,0.033
0.47,104.7,0.033
0.46,104,0.032
0.45,103.6,0.032
0.45,103,0.032
0.45,101.6,0.032
0.45,100,0.032
0.46,98.2,0.032
0.46,95.8,0.032
0.46,93.2,0.032
0.46,90.4,0.032
0.47,87.3,0.033
0.47,83.9,0.033
0.47,79.8,0.033
0.47,75.5,0.033
0.47,71.6,0.033
0.48,68.5,0.034
0.49,65.9,0.034
0.48,63.6,0.034
0.48,61,0.033
0.47,58.1,0.033
0.47,55.6,0.033
0.47,53.5,0.033
0.47,51.9,0.033
0.47,50.7,0.033
0.47,49.4,0.033
0.46,47.9,0.033
0.46,46.2,0.033
0.46,44.4,0.032
0.46,42.4,0.032
0.45,40.1,0.032
0.45,38.2,0.032
0.45,36.5,0.032
0.46,34.7,0.032
0.46,32.6,0.032
0.45,30.4,0.032
0.44,28.7,0.031
0.44,27.4,0.031
0.43,26.3,0.03
0.43,25.4,0.03
0.43,24,0.03
0.43,22.4,0.03
0.42,20.5,0.03
0.42,18.3,0.029
0.42,15.9,0.029
0.41,14.2,0.029
0.41,13,0.029
0.4,12.1,0.028
0.4,11.2,0.028
0.4,10.2,0.028
0.41,9.3,0.029
0.4,8.4,0.029
0.39,6.9,0.027
0.38,5.5,0.027
0.37,4.2,0.026
0.37,3.1,0.026
0.36,2.1,0.025
0.36,1.2,0.025
0.36,0.7,0.025
0.36,0.4,0.025
0.36,0.1,0.025
0.35,-0.2,0.025
0.35,-0.3,0.025
0.35,-0.6,0.025
0.35,-0.8,0.025
0.35,-1.3,0.024
0.35,-1.9,0.025
0.36,-3.5,0.025
0.34,-6.6,0.024
0.33,-9.1,0.023
0.31,-14.5,0.022
0.28,-20,0.02
0.26,-25.1,0.018
0.24,-29.4,0.017
0.23,-32,0.016
0.23,-33.4,0.016
0.22,-33.8,0.016
0.22,-34.4,0.016
0.22,-35.4,0.015
0.21,-36.8,0.015
0.21,-38.1,0.015
0.2,-39.6,0.014
0.19,-41.6,0.014
0.2,-43.4,0.014
0.2,-45,0.014
0.18,-46.7,0.013
0.17,-48.2,0.012
0.16,-49.8,0.011
0.15,-51.5,0.01
0.14,-53.2,0.01
0.14,-55,0.01
0.13,-56.6,0.009
0.12,-57.9,0.008
0.12,-58.9,0.008
0.11,-59.9,0.008
0.11,-61,0.008
0.1,-62.4,0.007
0.09,-64.2,0.007
0.09,-65.9,0.006
0.08,-67.4,0.006
0.09,-68.7,0.006
0.08,-70.1,0.006
0.07,-71.6,0.005
0.05,-73.5,0.004
0.04,-75.2,0.003
0.03,-76.7,0.002
0.03,-78,0.002
0.03,-78.5,0.002
0.02,-78.8,0.001
0.02,-79.4,0.001
0.01,-80.8,0.001
0,-82.7,0
-0.01,-84.6,-0
-0.01,-86.4,-0.001
-0.02,-88,-0.001
-0.03,-89.6,-0.002
-0.03,-91.4,-0.002
-0.03,-92.9,-0.002
-0.04,-94,-0.003
-0.05,-94.9,-0.004
-0.06,-96.1,-0.004
-0.07,-97.6,-0.005
-0.08,-99.1,-0.006
-0.09,-100.7,-0.006
-0.09,-101.6,-0.007
-0.1,-102.5,-0.007
-0.1,-103.3,-0.007
-0.11,-104.2,-0.008
-0.12,-105.1,-0.008
-0.13,-106,-0.009
-0.13,-106.5,-0.009
-0.13,-106.5,-0.009
-0.13,-107.4,-0.009
-0.13,-108.9,-0.009
-0.13,-110.4,-0.009
-0.14,-111.4,-0.01
-0.16,-112.2,-0.011
-0.16,-113.3,-0.011
-0.17,-114.3,-0.012
-0.18,-115.1,-0.012
-0.18,-116.1,-0.013
-0.18,-117.2,-0.013
-0.19,-118.1,-0.013
-0.19,-118.7,-0.013
-0.19,-119.1,-0.013
-0.2,-119.5,-0.014
-0.2,-119.9,-0.014
-0.2,-121,-0.014
-0.21,-121.9,-0.015
-0.21,-123,-0.015
-0.21,-123.7,-0.015
-0.21,-123.7,-0.015
-0.22,-123.3,-0.015
-0.22,-122.9,-0.016
-0.23,-122.7,-0.016
-0.23,-123,-0.016
-0.24,-124.8,-0.017
-0.24,-126.2,-0.017
-0.25,-126.5,-0.017
-0.25,-126.2,-0.018
