Test unit,E2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.47,31.8,0.041
0.51,32.6,0.045
0.55,31.9,0.048
0.57,31,0.05
0.56,30,0.049
0.56,29.1,0.048
0.55,28,0.048
0.55,27.1,0.048
0.53,26.1,0.046
0.53,25.1,0.046
0.51,24.2,0.045
0.51,23.3,0.045
0.51,22.3,0.044
0.48,21.3,0.042
0.48,20.3,0.042
0.46,19.4,0.04
0.45,18.4,0.039
0.45,17.3,0.039
0.45,16.3,0.039
0.43,15.4,0.037
0.4,14.5,0.035
0.4,13.6,0.035
0.39,12.6,0.034
0.38,11.6,0.033
0.37,10.6,0.032
0.36,9.7,0.031
0.35,8.7,0.03
0.34,7.8,0.03
0.33,6.8,0.028
0.31,5.9,0.027
0.31,5,0.027
0.29,4,0.025
0.28,3.1,0.024
0.27,2.2,0.023
0.26,1.3,0.022
0.25,0.3,0.022
0.23,-0.6,0.02
0.22,-1.5,0.019
0.21,-2.6,0.018
0.2,-3.5,0.017
0.19,-4.5,0.016
0.17,-5.6,0.015
0.16,-6.6,0.014
0.14,-7.5,0.012
0.13,-8.4,0.011
0.13,-9.5,0.012
0.11,-10.3,0.01
0.09,-11.2,0.008
0.07,-12.1,0.006
0.06,-13,0.005
0.05,-14,0.004
0.04,-15,0.003
0.02,-15.9,0.002
0.01,-16.8,0.001
0.02,-17.8,0.002
-0,-18.8,-0
-0.03,-19.7,-0.002
-0.04,-20.7,-0.004
-0.05,-21.7,-0.005
-0.06,-22.5,-0.006
-0.07,-23.4,-0.006
-0.09,-24.4,-0.008
-0.09,-25.3,-0.008
-0.1,-26.2,-0.009
-0.13,-27.1,-0.011
-0.14,-28,-0.012
-0.15,-28.9,-0.013
-0.17,-29.8,-0.015
-0.18,-30.8,-0.016
-0.19,-31.7,-0.016
-0.21,-32.6,-0.018
-0.22,-33.5,-0.019
-0.23,-34.4,-0.02
-0.26,-35.2,-0.022
-0.28,-36,-0.024
-0.29,-35.2,-0.025
-0.29,-34.2,-0.025
-0.29,-33.2,-0.025
-0.29,-32.3,-0.025
-0.29,-31.3,-0.025
-0.28,-30.4,-0.024
-0.27,-29.4,-0.023
-0.27,-28.2,-0.023
-0.26,-27.2,-0.023
-0.25,-26.3,-0.022
-0.23,-25.3,-0.02
-0.23,-24.3,-0.02
-0.22,-23.4,-0.019
-0.21,-22.4,-0.019
-0.2,-21.3,-0.018
-0.19,-20.4,-0.017
-0.18,-19.5,-0.016
-0.17,-18.5,-0.014
-0.17,-17.6,-0.014
-0.16,-16.7,-0.014
-0.16,-15.7,-0.014
-0.15,-14.7,-0.013
-0.14,-13.7,-0.012
-0.13,-12.8,-0.011
-0.12,-11.9,-0.01
-0.12,-10.9,-0.01
-0.1,-9.9,-0.009
-0.07,-9.1,-0.006
-0.08,-8.2,-0.007
-0.08,-7.2,-0.007
-0.06,-6.3,-0.006
-0.05,-5.4,-0.004
-0.04,-4.3,-0.003
-0.03,-3.4,-0.003
-0.02,-2.4,-0.002
-0.01,-1.5,-0.001
0.01,-0.6,0
0.01,0.4,0.001
0.03,1.3,0.002
0.04,2.2,0.003
0.05,3.5,0.004
0.06,4.6,0.005
0.07,5.6,0.006
0.09,6.8,0.008
0.11,7.8,0.009
0.14,8.7,0.013
0.14,9.6,0.013
0.15,10.5,0.013
0.16,11.6,0.014
0.17,12.7,0.015
0.18,13.8,0.016
0.2,14.8,0.017
0.21,15.8,0.018
0.23,16.6,0.02
0.24,17.6,0.021
0.26,18.7,0.022
0.27,19.6,0.024
0.29,20.5,0.025
0.3,21.5,0.026
0.31,22.5,0.027
0.33,23.4,0.029
0.34,24.3,0.03
0.36,25.3,0.032
0.39,26.3,0.034
0.39,27.4,0.034
0.41,28.3,0.035
0.43,29.2,0.037
0.44,30.1,0.039
0.46,31.2,0.04
0.47,32.1,0.041
0.49,33,0.043
0.52,33.8,0.045
0.55,34.7,0.047
0.58,35.6,0.05
0.6,36.5,0.052
0.64,37.2,0.056
0.66,38.2,0.057
0.69,39,0.06
0.74,39.2,0.064
0.77,40,0.067
0.78,40.9,0.068
0.83,41.4,0.072
0.87,41.9,0.076
0.91,42.7,0.079
0.91,41.7,0.079
0.92,42.7,0.08
0.95,41.9,0.082
0.97,42.9,0.085
