Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.94,-53.2,-0.075
-0.91,-50.4,-0.073
-0.86,-46.6,-0.069
-0.81,-42.3,-0.065
-0.75,-37.6,-0.06
-0.69,-32.6,-0.055
-0.61,-27.2,-0.049
-0.54,-22.2,-0.043
-0.54,-22.2,-0.043
-0.45,-17.2,-0.036
-0.36,-11.3,-0.029
-0.28,-5.9,-0.022
-0.19,-0.3,-0.015
-0.1,5.9,-0.008
-0.01,11.6,-0.001
0,10,0
-0.01,7.2,-0.001
-0.01,8.8,-0.001
0,10.3,0
0,7.2,0
-0.01,7.8,-0.001
-0.01,9.1,-0.001
0.03,12.8,0.003
0.19,24.4,0.015
0.28,29.7,0.022
0.36,35.1,0.029
0.45,40.4,0.036
0.54,45.4,0.043
0.61,50.1,0.049
0.69,54.5,0.055
0.74,58.2,0.059
0.8,62.3,0.064
0.86,65.1,0.069
0.9,67.6,0.072
0.93,69.5,0.075
0.96,70.8,0.077
0.97,72,0.078
1,72,0.08
1,71.7,0.08
0.99,68.6,0.079
0.96,66.7,0.077
0.94,64.2,0.075
0.91,61.4,0.073
0.87,57.9,0.069
0.81,53.8,0.065
0.76,49.2,0.061
0.7,43.8,0.056
0.62,38.5,0.05
0.56,32.6,0.045
0.47,26.9,0.038
0.39,21,0.031
0.3,15,0.024
0.26,12.2,0.021
0.1,2.5,0.008
0.02,-2.8,0.002
-0.06,-8.1,-0.005
-0.16,-13.8,-0.013
-0.25,-19.1,-0.02
-0.34,-24.7,-0.027
-0.44,-30.4,-0.035
-0.51,-35.1,-0.041
-0.59,-40.1,-0.047
-0.66,-44.5,-0.053
-0.74,-48.5,-0.059
-0.79,-52.6,-0.063
-0.85,-55.7,-0.068
-0.89,-58.2,-0.071
-0.93,-60.7,-0.075
-0.96,-62,-0.077
-0.99,-63.2,-0.079
-1,-63.9,-0.08
-1.01,-63.6,-0.081
-1.01,-62,-0.081
-0.97,-55.7,-0.078
-0.96,-54.2,-0.077
-0.93,-52,-0.075
-0.89,-48.2,-0.071
-0.85,-44.5,-0.068
-0.79,-40.4,-0.063
-0.73,-35.4,-0.058
-0.66,-30.7,-0.053
-0.59,-25.4,-0.047
-0.51,-20,-0.041
-0.44,-15,-0.035
-0.34,-9.4,-0.027
-0.25,-4.4,-0.02
-0.16,1.3,-0.013
-0.06,7.2,-0.005
0.01,11.3,0.001
0,6.6,0
-0.01,6.9,-0.001
0,8.8,0
0,9.7,0
0,6.6,0
-0.01,6.6,-0.001
0,8.8,0
0,5.9,0
1.38,90.5,0.11
1.39,90.8,0.111
1.4,91.1,0.112
1.43,92.4,0.115
1.48,93.3,0.118
1.5,93.9,0.12
1.5,91.1,0.12
1.49,88.3,0.119
1.46,85.5,0.116
1.4,81.7,0.112
1.35,76.7,0.108
1.28,71.7,0.103
1.21,65.1,0.097
1.11,58.2,0.089
1.02,51.7,0.081
0.91,44.1,0.073
0.79,36.3,0.063
0.66,28.5,0.053
0.54,20.7,0.043
0.42,13.1,0.033
0.26,3.8,0.021
0.12,-3.1,0.009
-0.02,-11,-0.002
-0.16,-19.1,-0.013
-0.3,-26.6,-0.024
-0.44,-34.7,-0.035
-0.57,-42.3,-0.045
-0.71,-50.1,-0.057
-0.82,-57.3,-0.066
-0.93,-63.2,-0.075
-1.05,-68.9,-0.084
-1.15,-72.9,-0.092
-1.23,-76.7,-0.099
-1.33,-79.2,-0.106
-1.38,-81.1,-0.11
-1.43,-82.6,-0.115
-1.48,-83.3,-0.118
-1.5,-83.6,-0.12
-1.52,-83.6,-0.122
-1.52,-77.3,-0.122
-1.48,-72.9,-0.118
-1.45,-70.4,-0.116
-1.38,-65.4,-0.11
-1.33,-61,-0.106
-1.23,-55.1,-0.099
-1.16,-49.5,-0.093
-1.06,-43.8,-0.085
-0.95,-37.9,-0.076
-0.84,-30.4,-0.067
-0.72,-23.8,-0.057
-0.59,-16.6,-0.047
-0.45,-9.4,-0.036
-0.32,-2.5,-0.026
-0.18,5,-0.015
-0.05,11.9,-0.004
-0.02,13.1,-0.002
0.01,14.7,0.001
0.01,11.6,0.001
0,10.6,0
-0.01,10,-0.001
-0.01,12.5,-0.001
0,12.5,0
0,12.8,0
0.19,25,0.015
0.32,31.9,0.026
0.46,40.1,0.037
0.59,46.6,0.047
0.72,53.5,0.057
0.84,59.8,0.067
0.95,66.4,0.076
1.05,71.1,0.084
1.16,76.1,0.093
1.24,80.5,0.099
1.32,83.9,0.105
1.38,86.7,0.11
1.43,88.9,0.115
1.48,90.5,0.118
1.5,91.1,0.12
1.5,89.8,0.12
1.49,85.8,0.119
1.46,83.9,0.116
1.41,80.1,0.113
1.36,75.8,0.109
1.3,71.1,0.104
1.22,65.4,0.098
1.13,59.2,0.091
1.04,52.3,0.083
0.92,45.4,0.074
0.81,38.8,0.065
0.7,31,0.056
0.57,23.2,0.045
0.44,16,0.035
0.35,11.9,0.028
0.14,0.6,0.011
0.01,-6.6,0.001
0.01,-6.6,0.001
-0.14,-13.8,-0.011
-0.28,-20.7,-0.022
-0.41,-27.5,-0.033
-0.55,-34.1,-0.044
-0.67,-41,-0.054
-0.8,-47.3,-0.064
-0.92,-53.2,-0.074
-1.03,-58.5,-0.082
-1.12,-63.2,-0.09
-1.22,-68.2,-0.098
-1.31,-72,-0.104
-1.37,-75.1,-0.11
-1.43,-77.6,-0.115
-1.48,-79.2,-0.118
-1.5,-80.1,-0.12
-1.52,-80.5,-0.122
-1.53,-80.1,-0.122
-1.53,-76.4,-0.122
-1.49,-71.4,-0.119
-1.45,-69.2,-0.116
-1.4,-64.8,-0.112
-1.34,-60.4,-0.107
-1.26,-55.4,-0.101
-1.18,-49.8,-0.094
-1.08,-43.8,-0.087
-0.97,-37.9,-0.078
-0.87,-31.6,-0.069
-0.75,-24.7,-0.06
-0.62,-17.8,-0.05
-0.48,-11,-0.039
-0.34,-4.1,-0.027
-0.2,3.1,-0.016
-0.07,10.3,-0.006
-0.02,12.5,-0.002
0,13.1,0
0,11,0
-0.01,8.8,-0.001
0,12.5,0
0.22,26,0.018
0.35,32.9,0.028
0.49,39.1,0.039
0.62,46.3,0.05
0.75,52.9,0.06
0.87,59.2,0.069
0.97,65.1,0.078
1.08,70.1,0.087
1.18,74.8,0.094
1.26,79.2,0.101
1.33,82.6,0.106
1.39,85.5,0.111
1.43,87.3,0.115
1.47,88.9,0.117
1.5,89.8,0.12
1.5,88,0.12
1.48,83.9,0.118
1.45,81.7,0.116
1.4,78,0.112
1.35,73.3,0.108
1.28,68.9,0.103
1.2,63.2,0.096
1.11,57.3,0.089
1.01,50.7,0.081
0.9,43.8,0.072
0.78,36.9,0.063
0.65,29.7,0.052
0.52,22.2,0.042
0.4,15.3,0.032
0.33,11.6,0.027
0.11,0,0.009
-0.02,-6.6,-0.002
-0.16,-13.1,-0.013
-0.31,-20,-0.025
-0.58,-33.2,-0.046
-0.71,-39.4,-0.057
-0.84,-46,-0.067
-0.94,-51.3,-0.075
-1.05,-56.7,-0.084
-1.15,-62,-0.092
-1.23,-66.1,-0.099
-1.32,-69.8,-0.105
-1.39,-72.9,-0.111
-1.43,-75.4,-0.115
-1.48,-77.3,-0.118
-1.5,-78,-0.12
-1.52,-78.6,-0.122
-1.52,-77.6,-0.122
-1.51,-72.3,-0.121
-1.48,-69.2,-0.118
-1.43,-66.4,-0.115
-1.38,-62.3,-0.11
-1.33,-57.9,-0.106
-1.23,-52.6,-0.099
-1.15,-47.3,-0.092
-1.05,-41.3,-0.084
-0.95,-35.4,-0.076
-0.84,-28.8,-0.067
-0.71,-22.5,-0.057
-0.58,-15.7,-0.046
-0.44,-8.8,-0.035
-0.32,-2.2,-0.026
-0.17,4.7,-0.014
-0.03,11.6,-0.003
-0.01,12.8,-0.001
0,12.8,0
0,11,0
-0.01,8.8,-0.001
0.01,12.8,0.001
0.24,25.4,0.019
0.37,32.9,0.03
0.5,39.4,0.04
0.64,46,0.051
0.76,52.6,0.061
0.88,58.9,0.07
1,64.2,0.08
1.09,69.2,0.087
1.19,73.9,0.095
1.26,78,0.101
1.34,81.7,0.107
1.4,84.5,0.112
1.45,86.7,0.116
1.48,88.3,0.118
1.5,88.9,0.12
1.5,86.7,0.12
1.48,83.3,0.118
1.45,80.1,0.116
1.4,76.7,0.112
1.34,72.3,0.107
1.27,67.6,0.102
1.19,62,0.095
1.1,56,0.088
1,49.2,0.08
0.89,42.6,0.071
0.77,36.3,0.062
0.64,28.8,0.051
0.51,21.9,0.041
0.37,14.4,0.03
0.32,11.3,0.026
0.09,0.3,0.007
-0.05,-6.6,-0.004
-0.19,-13.1,-0.015
-0.33,-19.4,-0.027
-0.46,-26.3,-0.037
-0.6,-32.6,-0.048
-0.73,-38.8,-0.058
-0.85,-45.1,-0.068
-0.96,-50.7,-0.077
-1.07,-55.7,-0.086
-1.17,-60.7,-0.093
-1.24,-64.8,-0.099
-1.33,-68.6,-0.106
-1.39,-71.7,-0.111
-1.45,-74.2,-0.116
-1.49,-76.1,-0.119
-1.51,-76.7,-0.121
-1.53,-77,-0.122
-1.53,-75.8,-0.122
-1.5,-70.1,-0.12
-1.48,-68.6,-0.118
-1.43,-64.8,-0.115
-1.38,-61,-0.11
-1.32,-56.7,-0.105
-1.23,-51.3,-0.099
-1.13,-45.7,-0.091
-1.04,-40.4,-0.083
-0.93,-34.1,-0.075
-0.81,-27.9,-0.065
-0.7,-21.6,-0.056
-0.57,-14.7,-0.045
-0.43,-7.8,-0.034
-0.3,-1.6,-0.024
-0.02,11.6,-0.002
0,12.5,0
