Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
3.04,54.8,0.243
2.64,46.3,0.212
2.23,37.6,0.178
1.79,28.5,0.143
1.34,19.7,0.107
0.99,12.8,0.079
0.39,1.9,0.031
-0.09,-5.9,-0.007
-0.56,-13.8,-0.045
-1.03,-21.9,-0.082
-1.5,-29.7,-0.12
-1.95,-37.6,-0.156
-2.38,-45.1,-0.19
-2.79,-52.6,-0.224
-3.18,-59.8,-0.254
-3.53,-67,-0.283
-3.87,-73.9,-0.309
-4.15,-80.1,-0.332
-4.41,-85.8,-0.353
-4.61,-90.5,-0.369
-4.81,-94.5,-0.385
-4.94,-97.4,-0.395
-5.02,-98.6,-0.402
-5.06,-98.9,-0.405
-5.07,-98,-0.406
-5.02,-88.6,-0.402
-4.94,-84.5,-0.395
-4.81,-78.9,-0.385
-4.64,-72.9,-0.371
-4.4,-66.1,-0.352
-4.15,-58.9,-0.332
-3.87,-51.3,-0.309
-3.54,-43.8,-0.284
-3.18,-36,-0.254
-2.79,-28.2,-0.224
-2.38,-20.3,-0.19
-1.95,-12.5,-0.156
-1.5,-4.4,-0.12
-1.03,3.4,-0.082
-0.57,11,-0.045
-0.04,19.4,-0.003
0,14.4,0
0,17.8,0
0.01,18.2,0.001
0.01,15.7,0.001
0,13.8,0
0,18.5,0
0,16,0
0,16.9,0
0.56,31.3,0.045
1.05,40.1,0.084
1.5,48.5,0.12
1.94,57,0.155
2.38,64.8,0.19
2.78,73.3,0.223
3.17,80.1,0.254
3.52,87.3,0.282
3.85,93.9,0.308
4.15,99.9,0.332
4.4,104.6,0.352
4.6,108.6,0.368
4.8,112.7,0.384
4.93,115.2,0.394
5.01,116.5,0.401
5.05,116.5,0.404
5.06,115.2,0.405
5.01,108.3,0.401
4.91,104.2,0.393
4.8,99.2,0.384
4.63,93,0.37
4.41,86.7,0.353
4.15,79.8,0.332
3.85,72.9,0.308
3.53,65.4,0.283
3.18,57.3,0.254
2.78,49.2,0.223
2.38,40.4,0.19
1.95,31.6,0.156
1.5,23.2,0.12
1.04,14.4,0.083
0.52,5.6,0.042
0.07,-2.2,0.006
-0.39,-10,-0.031
-0.86,-18.2,-0.069
-1.34,-25.7,-0.107
-1.79,-33.2,-0.143
-2.23,-40.4,-0.178
-2.64,-47.6,-0.212
-3.05,-55.1,-0.244
-3.4,-62,-0.272
-3.75,-68.9,-0.3
-4.06,-75.1,-0.325
-4.33,-81.1,-0.346
-4.55,-86.1,-0.364
-4.74,-90.5,-0.379
-4.89,-93.6,-0.391
-5,-95.5,-0.4
-5.05,-96.4,-0.404
-5.07,-95.8,-0.406
-5.06,-89.8,-0.405
-4.97,-84.5,-0.397
-4.86,-79.2,-0.389
-4.7,-73.6,-0.376
-4.5,-66.7,-0.36
-4.25,-59.8,-0.34
-3.98,-52.6,-0.319
-3.66,-45.1,-0.293
-3.31,-37.6,-0.265
-2.94,-29.7,-0.236
-2.54,-21.6,-0.203
-2.11,-14.1,-0.169
-1.67,-6.6,-0.134
-1.2,1.3,-0.096
-0.74,8.8,-0.059
-0.42,14.7,-0.033
0.02,18.5,0.002
0,17.2,0
0,17.2,0
0,18.5,0
0,16,0
0,18.2,0
0.5,30.4,0.04
1.03,40.1,0.082
1.55,49.5,0.124
2.53,67.9,0.202
2.99,76.7,0.239
3.42,84.8,0.273
3.81,92.4,0.305
4.19,99.2,0.335
4.51,105.5,0.361
4.81,111.4,0.385
5.05,115.8,0.404
5.25,119.3,0.42
5.41,121.2,0.433
5.51,122.1,0.441
5.58,122.1,0.446
5.6,121.2,0.448
5.55,113.3,0.444
5.46,109.3,0.437
5.31,103.6,0.425
5.13,97.4,0.41
4.91,91.1,0.393
4.64,84.2,0.371
4.33,77,0.346
3.97,69.5,0.318
3.58,61.4,0.286
3.17,52.9,0.254
2.71,43.8,0.217
2.24,34.7,0.179
1.76,26,0.14
1.25,16.6,0.1
0.7,7.8,0.056
0.21,-1.6,0.017
-0.32,-10,-0.026
-0.85,-18.2,-0.068
-1.37,-26.6,-0.11
-1.88,-34.7,-0.151
-2.36,-42.6,-0.188
-2.83,-50.4,-0.226
-3.28,-58.5,-0.262
-3.67,-67,-0.294
-4.06,-74.5,-0.325
-4.39,-81.7,-0.351
-4.71,-88.9,-0.377
-4.97,-94.5,-0.397
-5.19,-98.6,-0.415
-5.36,-101.4,-0.429
-5.49,-103,-0.439
-5.57,-103.3,-0.445
-5.6,-102.7,-0.448
-5.59,-98.6,-0.447
-5.5,-93,-0.44
-5.39,-87.3,-0.431
-5.21,-80.8,-0.417
-5.01,-73.9,-0.401
-4.75,-66.1,-0.38
-4.45,-58.2,-0.356
-4.11,-49.8,-0.329
-3.73,-41.6,-0.298
-3.33,-33.2,-0.266
-2.88,-25,-0.23
-2.42,-16.6,-0.194
-1.93,-8.5,-0.154
-1.43,-0.3,-0.115
-0.91,7.5,-0.073
-0.54,13.1,-0.043
0.04,21,0.003
0.01,18.2,0.001
0,18.2,0
0,19.4,0
0.13,23.8,0.01
0.67,33.2,0.054
1.19,42.3,0.095
1.7,51.3,0.136
2.21,60.1,0.176
2.68,68.2,0.214
3.13,75.8,0.25
3.54,83.3,0.284
3.93,89.8,0.314
4.29,95.8,0.343
4.6,101.4,0.368
4.88,106.4,0.391
5.12,111.1,0.409
5.31,114.3,0.425
5.45,116.5,0.436
5.55,117.7,0.444
5.59,117.7,0.447
5.59,115.8,0.447
5.52,110.2,0.442
5.43,105.5,0.434
5.28,99.6,0.422
5.07,93,0.406
4.83,86.7,0.386
4.55,79.5,0.364
4.22,72.3,0.337
3.85,64.5,0.308
3.47,56.7,0.278
3.03,47.9,0.242
2.58,39.8,0.206
2.1,31,0.168
1.1,13.5,0.088
0.57,5,0.045
0.04,-3.8,0.003
-0.48,-11.6,-0.039
-1.01,-19.1,-0.081
-1.53,-27.2,-0.122
-2.03,-34.7,-0.163
-2.51,-42.3,-0.2
-2.97,-49.8,-0.237
-3.39,-57,-0.272
-3.8,-64.5,-0.304
-4.18,-71.4,-0.334
-4.51,-78,-0.361
-4.8,-84.2,-0.384
-5.04,-89.5,-0.403
-5.25,-93.9,-0.42
-5.41,-96.7,-0.433
-5.51,-98.3,-0.441
-5.59,-98.6,-0.447
-5.6,-97.4,-0.448
-5.55,-88.6,-0.444
-5.47,-85.2,-0.438
-5.33,-79.5,-0.427
-5.15,-73.6,-0.412
-4.94,-66.7,-0.395
-4.66,-59.5,-0.373
-4.35,-52.6,-0.348
-3.99,-44.8,-0.319
-3.61,-36.6,-0.289
-3.18,-28.5,-0.254
-2.74,-20.3,-0.219
-2.28,-12.5,-0.182
-1.78,-4.4,-0.142
-1.26,3.1,-0.101
-0.75,10.6,-0.06
-0.18,19.7,-0.015
0.01,18.8,0.001
0,18.8,0
0,19.7,0
0.1,23.8,0.008
0.65,33.2,0.052
1.19,41.6,0.095
1.69,50.1,0.135
2.18,58.5,0.175
2.66,66.7,0.212
3.09,73.9,0.248
3.92,88,0.313
4.28,93.9,0.343
4.6,99.2,0.368
4.87,103.9,0.39
5.11,108.3,0.409
5.3,111.4,0.424
5.44,113.6,0.435
5.54,115.2,0.443
5.59,115.5,0.447
5.6,113.3,0.448
5.52,107.4,0.442
5.43,102.7,0.434
5.28,97.4,0.422
5.09,91.1,0.407
4.84,84.8,0.387
4.56,78.3,0.365
4.24,71.1,0.339
3.88,63.6,0.31
3.47,56,0.278
3.05,47.6,0.244
2.59,39.4,0.207
2.12,30.7,0.17
1.63,22.2,0.13
1.11,13.5,0.089
0.58,4.7,0.046
0.06,-3.4,0.005
-0.46,-10.6,-0.037
-0.97,-17.8,-0.078
-1.5,-26,-0.12
-2.01,-33.5,-0.161
-2.49,-40.7,-0.2
-2.96,-47.9,-0.236
-3.38,-55.1,-0.271
-3.78,-62.3,-0.302
-4.15,-69.2,-0.332
-4.15,-69.2,-0.332
-4.49,-75.4,-0.359
-4.79,-81.4,-0.383
-5.03,-86.4,-0.403
-5.24,-90.8,-0.419
-5.41,-93.9,-0.433
-5.51,-95.8,-0.441
-5.58,-96.4,-0.446
-5.59,-95.8,-0.447
-5.59,-88.6,-0.447
-5.48,-82.6,-0.439
-5.34,-77,-0.427
-5.17,-71.4,-0.414
-4.94,-64.5,-0.395
-4.68,-57.6,-0.374
-4.36,-50.1,-0.349
-4,-42.3,-0.32
-3.63,-34.4,-0.29
-3.21,-26.6,-0.257
-2.76,-18.5,-0.221
-2.28,-10.6,-0.182
-1.8,-3.1,-0.144
-1.28,4.4,-0.103
-0.78,11.6,-0.063
-0.25,20.7,-0.02
0.04,19.7,0.003
0,19.1,0
0,21.6,0
0.01,20,0.001
0.01,18.2,0.001
0,18.5,0
0,21,0
0,19.4,0
0.01,17.8,0.001
0,17.5,0
0,20.3,0
0,16.9,0
0,19.4,0
0.56,32.6,0.045
1.13,41.6,0.091
1.69,50.7,0.135
2.24,59.5,0.179
2.75,67.9,0.22
3.24,76.4,0.26
3.73,84.5,0.298
4.16,91.7,0.333
4.56,98,0.365
4.91,103.9,0.393
5.25,109.9,0.42
5.5,114,0.44
5.72,117.1,0.457
5.89,119,0.471
6.01,119.6,0.481
6.07,119.9,0.486
6.09,119,0.487
6.04,111.4,0.483
5.95,107.7,0.476
5.8,101.7,0.464
5.6,95.5,0.448
5.35,89.2,0.428
5.05,82.6,0.404
4.71,75.1,0.377
4.33,67.6,0.346
3.91,59.5,0.313
3.46,51.3,0.277
2.97,42.6,0.237
2.45,33.5,0.196
1.92,24.7,0.153
1.38,15.7,0.11
0.75,5,0.06
0.22,-1.9,0.018
-0.34,-10,-0.027
-0.92,-18.2,-0.074
-1.48,-26.3,-0.118
-2.03,-34.7,-0.163
-2.57,-42.6,-0.206
-3.08,-50.7,-0.247
-3.55,-58.9,-0.284
-4,-66.7,-0.32
-4.8,-81.7,-0.384
-5.13,-88.3,-0.41
-5.42,-93.9,-0.433
-5.65,-98,-0.452
-5.85,-100.8,-0.468
-5.97,-101.7,-0.478
-6.06,-102.1,-0.485
-6.1,-101.4,-0.488
-6.09,-96.4,-0.487
-5.99,-86.1,-0.479
-5.86,-81.1,-0.469
-5.69,-74.5,-0.455
-5.45,-67.9,-0.436
-5.17,-60.4,-0.414
-4.84,-52.6,-0.387
-4.48,-44.8,-0.358
-4.06,-36.3,-0.325
-3.62,-27.9,-0.29
-3.15,-20,-0.252
-2.63,-11.6,-0.211
-2.11,-3.8,-0.169
-1.56,4.1,-0.125
-1,11.6,-0.08
-0.42,20.3,-0.033
0.04,25,0.003
0,22.5,0
0,23.5,0
0.57,34.4,0.045
1.12,42.9,0.09
1.68,51.7,0.134
2.24,60.1,0.179
2.77,67.9,0.222
3.25,74.8,0.26
4.18,88.6,0.334
4.56,94.5,0.365
4.91,99.6,0.393
5.22,104.6,0.418
5.48,108.3,0.439
5.73,112.1,0.458
5.9,114.6,0.472
6.01,115.8,0.481
6.08,116.1,0.487
6.09,115.2,0.487
6.05,108.6,0.484
5.94,104.2,0.475
5.79,98.9,0.463
5.6,92.7,0.448
5.34,86.4,0.427
5.05,79.5,0.404
4.71,72.6,0.377
4.33,65.1,0.346
3.9,57.3,0.312
3.45,49.2,0.276
2.94,41,0.236
2.43,32.2,0.194
1.9,24.4,0.152
1.37,16,0.11
0.71,9.4,0.057
0.21,-0.6,0.017
-0.35,-8.1,-0.028
-0.93,-15.3,-0.075
-1.5,-23.2,-0.12
-2.04,-31.3,-0.164
-2.58,-38.8,-0.206
-3.08,-46,-0.247
-3.57,-53.8,-0.285
-4.43,-67.9,-0.355
-4.8,-74.5,-0.384
-5.14,-80.8,-0.411
-5.43,-86.1,-0.434
-5.65,-90.2,-0.452
-5.85,-93.6,-0.468
-5.99,-95.5,-0.479
-6.07,-96.1,-0.486
-6.09,-95.8,-0.487
-6.1,-91.4,-0.488
-6,-83,-0.48
-5.87,-77,-0.469
-5.69,-71.1,-0.455
-5.45,-63.9,-0.436
-5.16,-56.7,-0.413
-4.84,-48.8,-0.387
-4.48,-41,-0.358
-4.06,-33.2,-0.325
-3.61,-25.4,-0.289
-3.13,-17.2,-0.25
-2.63,-9.1,-0.211
-2.1,-1.6,-0.168
-1.55,5.9,-0.124
-1.06,12.5,-0.085
-0.4,21.9,-0.032
0.04,26.3,0.003
0,24.1,0
0,25.4,0
0,22.9,0
0,25,0
0,22.5,0
0.04,26.3,0.003
0.67,36.9,0.054
1.24,45.4,0.099
1.8,53.5,0.144
2.33,61.4,0.187
2.87,69.2,0.23
3.34,75.4,0.267
3.81,82.3,0.305
3.81,82.3,0.305
4.24,88.3,0.339
4.63,93.9,0.37
4.98,99.2,0.398
5.29,103.9,0.423
5.55,107.7,0.444
5.76,110.5,0.461
5.91,112.4,0.473
6.02,113.6,0.481
6.08,114,0.487
6.08,112.7,0.487
6.03,106.4,0.482
5.92,101.7,0.474
5.76,96.1,0.461
5.55,89.8,0.444
5.3,83.9,0.424
4.99,77,0.399
4.64,70.1,0.371
4.25,62.6,0.34
3.82,54.8,0.306
3.35,46.6,0.268
2.86,38.5,0.229
2.33,30.7,0.187
1.8,22.9,0.144
1.25,14.7,0.1
0.62,5.6,0.05
0.12,-0.6,0.009
-0.46,-8.1,-0.037
-1.03,-15.7,-0.082
-1.61,-22.9,-0.128
-2.14,-30.7,-0.171
-2.67,-37.9,-0.213
-3.18,-45.4,-0.254
-3.65,-52.6,-0.292
-4.09,-59.8,-0.327
-4.5,-66.4,-0.36
-4.86,-72.6,-0.389
-5.18,-78.6,-0.415
-5.46,-83.3,-0.437
-5.7,-87.3,-0.456
-5.87,-90.5,-0.469
-6.01,-92.7,-0.481
-6.08,-93.3,-0.487
-6.1,-92.4,-0.488
-6.09,-85.2,-0.487
-5.99,-78.9,-0.479
-5.84,-72.9,-0.467
-5.64,-67,-0.451
-5.41,-59.8,-0.433
-5.11,-52.6,-0.409
-4.78,-45.1,-0.382
-4.4,-37.6,-0.352
-3.98,-29.7,-0.319
-3.53,-21.6,-0.283
-3.05,-13.8,-0.244
-2.54,-5.9,-0.203
-2,1.3,-0.16
-1.45,8.8,-0.116
-1.04,15,-0.083
-0.3,24.1,-0.024
0.02,24.7,0.002
0,25.7,0
0.01,25.7,0.001
0.01,23.8,0.001
0,23.2,0
0,25.4,0
0,22.5,0
0,25.4,0
0,22.5,0
0,25,0
0,22.2,0
0,23.8,0
0.39,33.2,0.031
1,42.3,0.08
1.6,51,0.128
2.18,59.8,0.175
2.76,67.9,0.221
3.31,74.8,0.265
3.82,81.7,0.306
4.31,88.6,0.345
4.75,94.9,0.38
5.16,100.5,0.413
5.5,105.5,0.44
5.84,109.9,0.467
6.09,113.3,0.487
6.3,115.5,0.504
6.46,116.8,0.516
6.54,117.1,0.523
6.57,116.5,0.526
6.56,112.1,0.525
6.47,107.4,0.517
6.32,101.7,0.505
6.12,95.5,0.49
5.87,89.5,0.469
5.57,82.3,0.445
5.21,74.8,0.417
4.82,67.6,0.385
4.38,60.1,0.35
3.9,52,0.312
3.38,44.1,0.271
2.85,36,0.228
2.28,27.2,0.182
1.68,19.1,0.134
1.22,12.5,0.098
0.46,2.5,0.037
-0.15,-5,-0.012
-0.76,-12.8,-0.061
-1.38,-20.3,-0.11
-1.98,-28.2,-0.158
-2.56,-36.3,-0.205
-3.13,-44.1,-0.25
-3.65,-52.3,-0.292
-4.14,-59.8,-0.331
-4.6,-67.3,-0.368
-5.03,-74.5,-0.403
-5.41,-81.4,-0.433
-5.72,-87,-0.457
-6.01,-91.7,-0.481
-6.23,-94.5,-0.499
-6.4,-96.4,-0.512
-6.51,-97.4,-0.521
-6.57,-97,-0.526
-6.57,-93.9,-0.526
-6.49,-82.3,-0.519
-6.37,-77.3,-0.51
-6.2,-71.7,-0.496
-5.99,-64.8,-0.479
-5.71,-57.3,-0.457
-5.36,-49.8,-0.429
-4.98,-41.3,-0.398
-4.55,-33.2,-0.364
-4.08,-25.4,-0.326
-3.58,-17.2,-0.286
-3.05,-9.4,-0.244
-2.49,-1.6,-0.2
-1.92,6.3,-0.153
-1.39,12.2,-0.111
-0.67,21.6,-0.054
-0.05,29.4,-0.004
0,26,0
0.01,28.2,0.001
0.01,26.3,0.001
0,24.7,0
0,26.9,0
0.01,27.5,0.001
0,25.7,0
0,24.4,0
0,26,0
0.66,39.1,0.053
1.27,47.3,0.102
1.9,55.4,0.152
2.49,62.6,0.2
3.04,69.5,0.243
3.57,76.4,0.285
4.07,83.3,0.325
4.53,89.5,0.362
4.96,94.9,0.397
5.34,99.6,0.427
5.67,104.2,0.454
5.94,107.7,0.475
6.19,110.5,0.495
6.37,112.7,0.51
6.5,113.6,0.52
6.56,113.6,0.525
6.57,112.1,0.526
6.52,107.4,0.522
6.41,102.7,0.513
6.23,96.4,0.499
6.01,90.2,0.481
5.74,83.9,0.459
5.41,76.4,0.433
5.04,69.5,0.403
4.63,62,0.37
4.16,54.2,0.333
3.66,46.3,0.293
3.14,38.2,0.251
2.58,30.4,0.206
2,22.5,0.16
1.41,14.4,0.113
0.77,7.5,0.062
0.17,-0.6,0.014
-0.45,-7.8,-0.036
-1.05,-15,-0.084
-1.05,-15,-0.084
-1.67,-22.9,-0.134
-2.26,-30.4,-0.181
-2.83,-37.9,-0.226
-3.37,-45.4,-0.27
-3.89,-52.9,-0.311
-4.37,-60.1,-0.349
-4.81,-66.7,-0.385
-5.2,-73.3,-0.416
-5.56,-79.5,-0.445
-5.86,-84.2,-0.469
-6.13,-88.3,-0.491
-6.31,-90.8,-0.504
-6.47,-93,-0.517
-6.54,-93.3,-0.523
-6.57,-92.7,-0.526
-6.57,-87,-0.526
-6.45,-74.5,-0.516
-6.3,-69.5,-0.504
-6.09,-63.2,-0.487
-5.86,-57,-0.469
-5.54,-49.8,-0.443
-5.18,-42.3,-0.415
-4.79,-34.4,-0.383
-4.34,-26.3,-0.347
-3.85,-18.5,-0.308
-3.33,-10.6,-0.266
-2.78,-2.8,-0.223
-2.21,4.7,-0.176
-1.63,11.6,-0.13
-1,19.7,-0.08
-0.39,27.2,-0.031
0.04,29.7,0.003
0,27.9,0
0,30.1,0
0.01,28.5,0.001
0,26.3,0
0,26.6,0
0.59,39.1,0.047
1.2,47,0.096
1.8,54.8,0.144
2.39,62,0.191
2.96,68.6,0.236
3.5,75.1,0.28
3.99,81.7,0.319
4.46,87.3,0.357
4.9,93,0.392
5.29,98,0.423
5.63,102.1,0.451
5.92,105.8,0.474
6.16,108.3,0.493
6.35,110.2,0.508
6.48,111.1,0.518
6.56,111.4,0.525
6.57,111.1,0.526
6.54,106.4,0.523
6.42,101.7,0.514
6.26,95.8,0.501
6.05,89.5,0.484
5.77,83,0.462
5.46,75.8,0.437
5.09,68.9,0.407
4.68,61.4,0.374
4.23,53.8,0.338
3.74,46.3,0.299
3.21,38.5,0.257
2.66,31,0.212
2.09,23.5,0.167
1.43,16.9,0.115
1,8.1,0.08
0.25,1.6,0.02
-0.35,-5,-0.028
-0.96,-12.2,-0.077
-1.61,-18.8,-0.128
-2.18,-26,-0.175
-2.76,-33.2,-0.221
-3.3,-40.4,-0.264
-3.82,-47.6,-0.306
-4.3,-54.5,-0.344
-4.75,-61,-0.38
-5.15,-67,-0.412
-5.51,-72.9,-0.441
-5.82,-77.6,-0.466
-6.09,-82,-0.487
-6.3,-85.2,-0.504
-6.45,-87.3,-0.516
-6.53,-88,-0.522
-6.56,-88,-0.525
-6.57,-83.9,-0.526
-6.47,-77,-0.517
-6.33,-70.8,-0.506
-6.13,-64.2,-0.491
-5.88,-57,-0.47
-5.58,-49.5,-0.446
-5.24,-41.3,-0.419
-4.84,-33.8,-0.387
-4.4,-26,-0.352
-3.92,-18.2,-0.313
-3.4,-10.3,-0.272
-2.86,-2.5,-0.229
-2.3,4.7,-0.184
-1.71,11.9,-0.137
-1.07,19.4,-0.086
-0.47,26.9,-0.038
0.05,31.6,0.004
0,30.4,0
0.01,28.5,0.001
0,29.1,0
0.01,28.8,0.001
0,28.5,0
0,29.7,0
0,27.5,0
0,29.4,0
0,27.5,0
0,29.1,0
0,27.2,0
0,28.5,0
0.47,38.5,0.038
1.15,47,0.092
1.79,54.8,0.143
2.42,62.3,0.194
3.04,69.5,0.243
3.62,76.7,0.29
4.18,83.6,0.334
4.7,89.8,0.376
5.17,95.5,0.414
5.6,100.5,0.448
5.97,105.5,0.478
6.3,109.3,0.504
6.57,111.4,0.526
6.8,113.6,0.544
6.95,114.3,0.556
7.04,114.9,0.564
7.07,114,0.565
7.04,110.2,0.564
6.95,105.8,0.556
6.79,99.2,0.543
6.57,92.7,0.526
6.3,86.1,0.504
5.96,78.6,0.477
5.58,71.4,0.446
5.14,64.5,0.411
4.66,57,0.373
4.14,49.2,0.331
3.59,41.9,0.287
2.99,34.1,0.239
2.38,26.3,0.19
1.76,18.5,0.14
1.25,11.9,0.1
0.44,3.1,0.035
-0.22,-4.4,-0.018
-0.89,-11.6,-0.071
-1.55,-18.8,-0.124
-2.19,-26.3,-0.176
-2.82,-34.1,-0.225
-3.4,-41.9,-0.272
-3.97,-49.8,-0.318
-4.51,-57.3,-0.361
-5,-64.5,-0.4
-5.44,-71.4,-0.435
-5.84,-77.3,-0.467
-6.19,-83,-0.495
-6.49,-86.7,-0.519
-6.71,-89.8,-0.537
-6.9,-91.4,-0.552
-7.01,-92,-0.561
-7.07,-91.4,-0.565
-7.07,-88.6,-0.565
-6.98,-78.9,-0.558
-6.84,-73.6,-0.547
-6.65,-67,-0.532
-6.39,-59.5,-0.511
-6.08,-52,-0.487
-5.72,-43.8,-0.457
-5.29,-35.4,-0.423
-4.83,-27.2,-0.386
-4.33,-18.8,-0.346
-3.78,-11,-0.302
-3.21,-2.8,-0.257
-2.61,4.7,-0.209
-2,11.9,-0.16
-1.32,20,-0.105
-0.66,27.2,-0.053
0,34.7,0
0,31.6,0
0,32.2,0
0,32.2,0
0,30.1,0
0.58,41.3,0.046
1.25,48.8,0.1
1.9,56,0.152
2.51,62.6,0.2
3.14,69.5,0.251
3.7,76.1,0.296
4.26,82.3,0.341
4.76,88.3,0.381
5.24,93.6,0.419
5.65,98.3,0.452
6.03,102.4,0.482
6.34,105.5,0.507
6.62,108.6,0.529
6.82,110.2,0.546
6.97,111.4,0.558
7.06,111.4,0.564
7.07,110.5,0.565
7.03,106.4,0.563
6.92,101.7,0.553
6.76,95.5,0.54
6.53,88.9,0.522
6.23,82.3,0.499
5.9,74.8,0.472
5.5,67.9,0.44
5.06,61,0.405
4.58,53.5,0.367
4.06,46.3,0.325
3.5,38.8,0.28
2.9,31.6,0.232
2.29,24.1,0.183
1.66,16.6,0.133
1.11,9.1,0.089
0.33,1.9,0.027
-0.34,-4.7,-0.027
-0.99,-11.9,-0.079
-1.65,-18.8,-0.132
-2.3,-25.7,-0.184
-2.9,-32.9,-0.232
-3.49,-40.4,-0.279
-4.06,-47.6,-0.325
-4.58,-54.8,-0.367
-5.06,-61.4,-0.405
-5.5,-67.9,-0.44
-5.9,-73.6,-0.472
-6.24,-78.6,-0.499
-6.52,-82.3,-0.522
-6.75,-85.2,-0.54
-6.92,-87,-0.553
-7.02,-87.7,-0.562
-7.07,-87.3,-0.565
-7.07,-83.3,-0.565
-6.97,-74.5,-0.558
-6.82,-69.2,-0.546
-6.62,-62.6,-0.529
-6.35,-55.1,-0.508
-6.04,-47.6,-0.483
-5.65,-39.4,-0.452
-5.24,-31.6,-0.419
-4.78,-23.5,-0.382
-4.26,-15.7,-0.341
-3.7,-7.8,-0.296
-3.13,-0.3,-0.25
-2.51,7.2,-0.2
-2.01,12.8,-0.161
-1.22,22.2,-0.098
-0.56,29.1,-0.045
0.04,34.7,0.003
0,32.2,0
0.01,31.6,0.001
0,30.7,0
0,31.9,0
0,30.4,0
0,31.9,0
0.56,41.3,0.045
1.22,48.5,0.098
1.86,55.4,0.149
2.48,62,0.199
3.09,68.2,0.248
3.68,74.8,0.295
4.24,80.8,0.339
4.73,86.7,0.379
5.24,91.7,0.419
5.64,96.4,0.451
6.03,100.5,0.482
6.34,103.9,0.507
6.61,106.4,0.528
6.81,108.6,0.545
6.96,109.9,0.557
7.04,109.9,0.564
7.07,108.9,0.565
7.03,105.5,0.563
6.93,100.2,0.554
6.77,94.2,0.541
6.54,87.7,0.523
6.25,80.5,0.5
5.91,73.3,0.473
5.51,66.4,0.441
5.09,59.5,0.407
4.6,52,0.368
4.08,45.1,0.326
3.52,37.9,0.282
2.92,30.7,0.234
2.31,23.8,0.185
1.66,16.6,0.133
1.15,9.7,0.092
0.35,2.5,0.028
-0.3,-4.4,-0.024
-0.96,-10.6,-0.077
-1.63,-17.5,-0.13
-2.26,-24.4,-0.181
-2.88,-31.6,-0.23
-3.48,-38.5,-0.278
-4.05,-45.4,-0.324
-4.56,-52.3,-0.365
-5.05,-58.5,-0.404
-5.5,-65.1,-0.44
-5.89,-70.4,-0.471
-6.22,-75.1,-0.498
-6.51,-79.2,-0.521
-6.75,-82,-0.54
-6.92,-83.6,-0.553
-7.02,-84.5,-0.562
-7.06,-84.2,-0.564
-7.07,-80.5,-0.565
-6.96,-72,-0.557
-6.82,-66.4,-0.546
-6.62,-60.1,-0.529
-6.36,-52.9,-0.509
-6.04,-45.4,-0.483
-5.67,-37.6,-0.454
-5.25,-29.7,-0.42
-4.79,-21.6,-0.383
-4.27,-14.4,-0.342
-3.73,-6.6,-0.298
-3.15,0.3,-0.252
-2.53,7.8,-0.202
-2.04,12.8,-0.164
-1.23,22.2,-0.099
-0.58,29.4,-0.046
0.04,35.1,0.003
0,32.2,0
0.01,33.2,0.001
0.01,31,0.001
0,31,0
0,32.2,0
0.01,31.9,0.001
0.01,30.7,0.001
0,30.4,0
0,31.9,0
0.01,31.6,0.001
0,30.4,0
0,31.6,0
0.01,31.9,0.001
0.01,30.4,0.001
0,30.1,0
0,31.6,0
0,30.1,0
0,30.4,0
0,29.7,0
0.19,36.3,0.015
0.92,45.7,0.074
1.64,52.9,0.131
2.31,59.8,0.185
2.98,66.7,0.238
3.61,73.6,0.289
4.23,80.1,0.338
4.8,86.7,0.384
5.34,92.4,0.427
5.82,97.7,0.466
6.24,102.4,0.499
6.62,105.8,0.529
6.94,108.6,0.555
7.21,110.8,0.576
7.39,111.8,0.591
7.51,112.1,0.6
7.57,111.4,0.606
7.58,110.2,0.606
7.49,105.5,0.6
7.36,99.2,0.588
7.15,92.4,0.572
7.15,92.4,0.572
6.87,85.5,0.55
6.54,78,0.523
6.15,70.8,0.492
5.71,63.6,0.457
5.21,56.4,0.417
4.67,48.8,0.373
4.1,41.3,0.328
3.48,34.1,0.278
2.84,26.9,0.227
2.16,19.4,0.173
1.54,13.1,0.123
0.74,4.7,0.059
0.04,-2.2,0.003
-0.65,-9.1,-0.052
-1.37,-16.3,-0.11
-2.07,-23.2,-0.165
-2.73,-30.4,-0.218
-3.38,-37.9,-0.271
-4.01,-45.4,-0.321
-4.6,-52.6,-0.368
-5.14,-59.5,-0.411
-5.64,-66.4,-0.451
-6.09,-72,-0.487
-6.49,-77.3,-0.519
-6.83,-81.4,-0.546
-7.1,-84.2,-0.568
-7.31,-85.8,-0.585
-7.46,-86.4,-0.597
-7.56,-86.7,-0.605
-7.57,-85.2,-0.606
-7.55,-76.4,-0.604
-7.41,-70.1,-0.593
-7.23,-64.2,-0.578
-6.97,-57,-0.558
-6.66,-49.2,-0.533
-6.3,-41.6,-0.504
-5.88,-33.5,-0.47
-5.41,-25.4,-0.433
-4.87,-17.5,-0.39
-4.3,-10,-0.344
-3.7,-2.2,-0.296
-3.07,4.7,-0.246
-2.42,11.9,-0.194
-1.71,19.7,-0.137
-1,26.9,-0.08
-0.3,34.1,-0.024
0,32.9,0
0.02,33.2,0.002
0.01,34.4,0.001
0,31.9,0
0.01,33.5,0.001
0,32.6,0
