Test unit,test 5
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.09,12.3,0.073
0.92,11.5,0.061
0.92,8.4,0.061
0.75,7.7,0.05
0.75,3.8,0.05
0.58,3.1,0.039
0.58,-0,0.039
0.42,-0.8,0.028
0.42,-3.8,0.028
0.25,-4.6,0.017
0.25,-6.9,0.017
0.08,-7.7,0.006
0.08,-10,0.006
-0.08,-10.8,-0.006
-0.08,-13.9,-0.006
-0.25,-14.6,-0.017
-0.25,-16.9,-0.017
-0.42,-17.7,-0.028
-0.42,-19.2,-0.028
-0.58,-20,-0.039
-0.58,-22.3,-0.039
-0.75,-23.1,-0.05
-0.75,-25.4,-0.05
-0.92,-26.2,-0.061
-0.92,-27.7,-0.061
-1.08,-28.5,-0.072
-1.08,-30,-0.072
-1.42,-31.5,-0.095
-1.42,-33.9,-0.095
-1.59,-33.1,-0.106
-1.59,-30.8,-0.106
-1.42,-30,-0.095
-1.42,-25.4,-0.095
-1.25,-24.6,-0.083
-1.25,-21.6,-0.083
-1.08,-20.8,-0.072
-1.08,-17.7,-0.072
-0.92,-16.9,-0.061
-0.92,-14.6,-0.061
-0.75,-13.9,-0.05
-0.75,-10.8,-0.05
-0.58,-10,-0.039
-0.58,-7.7,-0.039
-0.42,-6.9,-0.028
-0.42,-4.6,-0.028
-0.25,-3.8,-0.017
-0.25,-0.8,-0.017
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,0.8,-0.006
-0.08,2.3,-0.006
0.08,3.1,0.006
0.08,6.1,0.006
0.25,6.9,0.017
0.25,9.2,0.017
0.42,10,0.028
0.42,13.1,0.028
0.58,13.8,0.039
0.58,16.1,0.039
0.75,16.9,0.05
0.75,19.2,0.05
0.92,20,0.061
0.92,23.1,0.061
1.09,23.8,0.073
1.09,26.1,0.073
1.26,26.9,0.084
1.26,29.2,0.084
1.42,30,0.095
1.42,31.5,0.095
1.42,21.5,0.095
1.26,20.8,0.084
1.26,16.1,0.084
1.09,15.4,0.073
1.09,11.5,0.073
0.92,10.8,0.061
0.92,6.9,0.061
