Test unit,S5
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.36,-41,-0.025
-0.36,-41.1,-0.025
-0.37,-41.3,-0.026
-0.38,-41.4,-0.027
-0.39,-41.6,-0.027
-0.39,-41.8,-0.027
-0.39,-41.9,-0.028
-0.4,-42.2,-0.028
-0.4,-42.5,-0.028
-0.41,-42.6,-0.028
-0.41,-42.7,-0.029
-0.42,-43.2,-0.029
-0.42,-43,-0.029
-0.42,-42.7,-0.029
-0.42,-42.4,-0.029
-0.42,-42.2,-0.029
-0.42,-42.3,-0.029
-0.41,-43,-0.029
-0.42,-43.7,-0.029
-0.43,-43.8,-0.03
-0.44,-43.6,-0.031
-0.44,-43.1,-0.031
-0.44,-42.8,-0.031
-0.44,-42.7,-0.031
-0.44,-42.9,-0.031
-0.44,-43.7,-0.031
-0.45,-44.3,-0.032
-0.46,-44.4,-0.032
-0.46,-44.1,-0.032
-0.46,-43.3,-0.032
-0.46,-42.4,-0.032
-0.46,-41.7,-0.032
-0.46,-41.5,-0.032
-0.45,-41.5,-0.032
-0.45,-41.6,-0.031
-0.45,-41.6,-0.031
-0.45,-41.6,-0.032
-0.46,-41.5,-0.032
-0.46,-41.5,-0.032
-0.46,-41.4,-0.032
-0.46,-41.4,-0.032
-0.46,-41.5,-0.032
-0.46,-41.9,-0.032
-0.46,-42,-0.032
-0.46,-42,-0.032
-0.46,-42.1,-0.032
-0.46,-42.2,-0.032
-0.46,-42.1,-0.032
-0.46,-42,-0.032
-0.46,-41.8,-0.032
-0.46,-41.7,-0.032
-0.45,-41.3,-0.031
-0.45,-40.6,-0.031
-0.45,-39.9,-0.032
-0.46,-39.1,-0.032
-0.46,-38.2,-0.032
-0.46,-37.3,-0.032
-0.46,-36.2,-0.032
-0.46,-35.3,-0.032
-0.46,-34.2,-0.032
-0.46,-33,-0.032
-0.45,-32.1,-0.032
-0.45,-31.3,-0.032
-0.45,-30.6,-0.031
-0.45,-30,-0.031
-0.44,-29.2,-0.031
-0.44,-28.2,-0.031
-0.44,-27.3,-0.03
-0.42,-26.3,-0.03
-0.42,-25.6,-0.03
-0.43,-24.9,-0.03
-0.43,-23.8,-0.03
-0.43,-23,-0.03
-0.43,-22.6,-0.03
-0.42,-22.3,-0.03
-0.42,-21.8,-0.029
-0.42,-21.3,-0.029
-0.41,-20.6,-0.029
-0.41,-19.9,-0.029
-0.41,-19.2,-0.028
-0.4,-18.5,-0.028
-0.39,-17.8,-0.028
-0.39,-17,-0.027
-0.39,-16.3,-0.027
-0.38,-15.5,-0.026
-0.36,-14.9,-0.025
-0.35,-14.5,-0.025
-0.36,-14.2,-0.025
-0.36,-14,-0.025
-0.36,-13.6,-0.025
-0.35,-12.9,-0.025
-0.35,-12.1,-0.024
-0.34,-11.6,-0.024
-0.34,-11.3,-0.023
-0.33,-11,-0.023
-0.33,-10.6,-0.023
-0.32,-9.9,-0.022
-0.32,-9.3,-0.022
-0.31,-8.7,-0.021
-0.3,-8,-0.021
-0.29,-7.4,-0.021
-0.29,-6.8,-0.02
-0.27,-6.4,-0.019
-0.26,-5.8,-0.019
-0.26,-5.2,-0.019
-0.26,-4.6,-0.019
-0.26,-4,-0.018
-0.26,-3.5,-0.018
-0.25,-3.2,-0.018
-0.25,-2.9,-0.017
-0.24,-2.5,-0.017
-0.24,-2.2,-0.017
-0.24,-1.9,-0.017
-0.23,-1.7,-0.016
-0.23,-1.4,-0.016
-0.23,-1.1,-0.016
-0.22,-0.7,-0.016
-0.22,-0.4,-0.015
-0.22,-0.2,-0.015
-0.2,0.3,-0.014
-0.19,0.6,-0.014
-0.2,1.1,-0.014
-0.19,2.3,-0.013
-0.18,4.1,-0.012
-0.16,6.2,-0.011
-0.14,8,-0.01
-0.12,9.1,-0.008
-0.11,9.8,-0.008
-0.1,10.3,-0.007
-0.1,10.7,-0.007
-0.09,11,-0.006
-0.09,11.4,-0.006
-0.08,11.8,-0.006
-0.08,12.3,-0.005
-0.07,13,-0.005
-0.06,13.6,-0.004
-0.04,14.2,-0.003
-0.03,14.8,-0.002
-0.03,15.3,-0.002
-0.03,16,-0.002
-0.03,16.7,-0.002
-0.02,17.4,-0.001
-0.01,18.1,-0.001
-0,19,-0
0.01,19.5,0
0.01,20,0.001
0.02,20.3,0.001
0.02,20.8,0.002
0.03,21.3,0.002
0.04,21.9,0.003
0.05,22.6,0.003
0.06,23.3,0.004
0.06,23.9,0.004
0.08,24.3,0.005
0.09,24.8,0.006
0.09,25.1,0.006
0.09,25.5,0.006
0.09,26.4,0.006
0.1,27,0.007
0.1,27.6,0.007
0.11,28.2,0.008
0.12,28.9,0.009
0.13,29.5,0.009
