ID;Reference;Test unit name;Cyclic / Monotonic;Lab / In-situ;Stone masonry typology;Joints;Stone;H [mm];L [mm];t [mm];H0/H;?0,tot /fc
73;Costa et al. (2011);PS_1;Cyclic;In-situ;A;Air lime mortar;Basalt stone;1960;2270;660;1;0.036
74;Pinho et al. (2012);M20;Monotonic;Laboratory;A;Air lime mortar;Calcareous;1190;1190;400;1.06302521;0.582965116
75;Pinho et al. (2012);M5;Monotonic;Laboratory;A;Air lime mortar;Calcareous;1200;1190;400;1.0625;0.587790698
76;Pinho et al. (2012);M12;Monotonic;Laboratory;A;Air lime mortar;Calcareous;1200;1200;400;1.0625;0.583430233
77;Pinho et al. (2012);M10;Monotonic;Laboratory;A;Air lime mortar;Calcareous;1200;1190;400;1.0625;0.565864925
78;Pinho et al. (2012);M13;Monotonic;Laboratory;A;Air lime mortar;Calcareous;1200;1210;400;1.0625;0.560223532
79;Pinho et al. (2012);M17;Cyclic;Laboratory;A;Air lime mortar;Calcareous;1200;1200;400;1.0625;0.570178932
80;Lourenço et al. (2005);SW.30.1;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.002957746
81;Lourenço et al. (2005);SW.30.2;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.002957746
82;Lourenço et al. (2005);SW.100.1;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.009119718
83;Lourenço et al. (2005);SW.100.2;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.009119718
84;Lourenço et al. (2005);SW.200.1;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.017922535
85;Lourenço et al. (2005);SW.200.2;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.017922535
86;Lourenço et al. (2005);SW.250.1;Monotonic;Laboratory;E1;Dry;Sandstone;900;1000;200;1.111111111;0.022323944
87;Almeida et al. (2014);R4;Cyclic;Laboratory;E;Air lime mortar;Granite;1800;1200;280;1.083333333;0.015970696
88;Almeida et al. (2014);R5;Cyclic;Laboratory;E;Air lime mortar;Granite;1800;1200;280;1.083333333;0.030622711
89;Almeida et al. (2014);R6;Cyclic;Laboratory;E;Air lime mortar;Granite;1800;1200;280;1.083333333;0.045274725
90;Almeida et al. (2014);PR4;Cyclic;Laboratory;E;Air lime mortar;Granite;1800;1200;280;1.083333333;0.10531401
91;Almeida et al. (2014);PR5;Cyclic;Laboratory;E;Air lime mortar;Granite;1800;1200;280;1.083333333;0.201932367
92;Almeida et al. (2014);PR6;Cyclic;Laboratory;E;Air lime mortar;Granite;1800;1200;280;1.083333333;0.298550725
93;Almeida et al. (2014);IR4;Cyclic;Laboratory;C;Air lime mortar;Granite;1800;1200;280;1.083333333;0.110941476
94;Almeida et al. (2014);IR5;Cyclic;Laboratory;C;Air lime mortar;Granite;1800;1200;280;1.083333333;0.212722646
95;Almeida et al. (2014);IR6;Cyclic;Laboratory;C;Air lime mortar;Granite;1800;1200;280;1.083333333;0.314503817
96;Almeida et al. (2014);IR4++;Cyclic;Laboratory;C;Air lime mortar;Granite;1800;1200;280;1.083333333;0.137974684
97;Almeida et al. (2014);IR5++;Cyclic;Laboratory;C;Air lime mortar;Granite;1800;1200;280;1.083333333;0.264556962
98;Almeida et al. (2014);IR6++;Cyclic;Laboratory;C;Air lime mortar;Granite;1800;1200;280;1.083333333;0.391139241
99;Vasconcelos (2005);WS.40;Monotonic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.003068493
100;Vasconcelos (2005);WS.100;Monotonic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.007178082
101;Vasconcelos (2005);WS.175;Monotonic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.012315068
102;Vasconcelos (2005);WS.250;Monotonic;Laboratory;E1;Dry;Granite;1200;1000;200;1.104166667;0.017452055
103;Krzan et al. (2015);test 1;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;1.266666667;0.070116861
104;Krzan et al. (2015);test 2;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;1.266666667;0.070116861
105;Krzan et al. (2015);test 3;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.070116861
106;Krzan et al. (2015);test 4;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.070116861
107;Krzan et al. (2015);test 5;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.070116861
108;Krzan et al. (2015);test 6;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.070116861
109;Krzan et al. (2015);test 7;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.151502504
110;Krzan et al. (2015);test 8;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.151502504
111;Krzan et al. (2015);test 9;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.151502504
