Test unit;I2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0295868750000000;-50.1715;-2.36695
-0.0295743750000000;-50.1714;-2.36595
-0.0295618750000000;-50.1714;-2.36495
-0.0295493750000000;-50.1714;-2.36395
-0.0295368750000000;-50.1713;-2.36295
-0.0295243750000000;-50.1713;-2.36195
-0.0295118750000000;-50.1713;-2.36095
-0.0294993750000000;-50.1712;-2.35995
-0.0294868750000000;-50.1712;-2.35895
-0.0294743750000000;-50.1712;-2.35795
-0.0294618750000000;-50.1712;-2.35695
-0.0294493750000000;-50.1711;-2.35595
-0.0294368750000000;-50.1711;-2.35495
-0.0294243750000000;-50.1711;-2.35395
-0.0294118750000000;-50.171;-2.35295
-0.0293993750000000;-50.171;-2.35195
-0.0293868750000000;-50.171;-2.35095
-0.0293743750000000;-50.1709;-2.34995
-0.0293618750000000;-50.1709;-2.34895
-0.0293493750000000;-50.1709;-2.34795
-0.0293368750000000;-50.1708;-2.34695
-0.0293243750000000;-50.1708;-2.34595
-0.0293118750000000;-50.1708;-2.34495
-0.0292993750000000;-50.1707;-2.34395
-0.0292868750000000;-50.1707;-2.34295
-0.0292743750000000;-50.1707;-2.34195
-0.0292618750000000;-50.1706;-2.34095
-0.0292493750000000;-50.1706;-2.33995
-0.0292368750000000;-50.1706;-2.33895
-0.0292243750000000;-50.1705;-2.33795
-0.0292118750000000;-50.1705;-2.33695
-0.0291993750000000;-50.1705;-2.33595
-0.0291868750000000;-50.1705;-2.33495
-0.0291743750000000;-50.1704;-2.33395
-0.0291618750000000;-50.1704;-2.33295
-0.0291493750000000;-50.1704;-2.33195
-0.0291368750000000;-50.1703;-2.33095
-0.0291243750000000;-50.1703;-2.32995
-0.0291118750000000;-50.1703;-2.32895
-0.0290993750000000;-50.1702;-2.32795
-0.0290868750000000;-50.1702;-2.32695
-0.0290743750000000;-50.1702;-2.32595
-0.0290618750000000;-50.1701;-2.32495
-0.0290493750000000;-50.1701;-2.32395
-0.0290368750000000;-50.1701;-2.32295
-0.0290243750000000;-50.17;-2.32195
-0.0290118750000000;-50.17;-2.32095
-0.0289993750000000;-50.17;-2.31995
-0.0289868750000000;-50.1699;-2.31895
-0.0289743750000000;-50.1699;-2.31795
-0.0289618750000000;-50.1699;-2.31695
-0.0289493750000000;-50.1698;-2.31595
-0.0289368750000000;-50.1698;-2.31495
-0.0289243750000000;-50.1698;-2.31395
-0.0289118750000000;-50.1697;-2.31295
-0.0288993750000000;-50.1697;-2.31195
-0.0288868750000000;-50.1697;-2.31095
-0.0288743750000000;-50.1697;-2.30995
-0.0288618750000000;-50.1696;-2.30895
-0.0288493750000000;-50.1696;-2.30795
-0.0288368750000000;-50.1696;-2.30695
-0.0288243750000000;-50.1695;-2.30595
-0.0288118750000000;-50.1695;-2.30495
-0.0287993750000000;-50.1695;-2.30395
-0.0287868750000000;-50.1694;-2.30295
-0.0287743750000000;-50.1694;-2.30195
-0.0287618750000000;-50.1694;-2.30095
-0.0287493750000000;-50.1693;-2.29995
-0.0287368750000000;-50.1693;-2.29895
-0.0287243750000000;-50.1693;-2.29795
-0.0287118750000000;-50.1692;-2.29695
-0.0286993750000000;-50.1692;-2.29595
-0.0286868750000000;-50.1692;-2.29495
-0.0286743750000000;-50.1691;-2.29395
-0.0286618750000000;-50.1691;-2.29295
-0.0286493750000000;-50.1691;-2.29195
-0.0286368750000000;-50.169;-2.29095
-0.0286243750000000;-50.169;-2.28995
-0.0286118750000000;-50.169;-2.28895
-0.0285993750000000;-50.1689;-2.28795
-0.0285868750000000;-50.1689;-2.28695
-0.0285743750000000;-50.1689;-2.28595
-0.0285618750000000;-50.1689;-2.28495
-0.0285493750000000;-50.1688;-2.28395
-0.0285368750000000;-50.1688;-2.28295
-0.0285243750000000;-50.1688;-2.28195
-0.0285118750000000;-50.1687;-2.28095
-0.0284993750000000;-50.1687;-2.27995
-0.0284868750000000;-50.1687;-2.27895
-0.0284743750000000;-50.1686;-2.27795
-0.0284618750000000;-50.1686;-2.27695
-0.0284493750000000;-50.1686;-2.27595
-0.0284368750000000;-50.1685;-2.27495
-0.0284243750000000;-50.1685;-2.27395
-0.0284118750000000;-50.1685;-2.27295
-0.0283993750000000;-50.1684;-2.27195
-0.0283868750000000;-50.1684;-2.27095
-0.0283743750000000;-50.1684;-2.26995
-0.0283618750000000;-50.1683;-2.26895
-0.0283493750000000;-50.1683;-2.26795
-0.0283368750000000;-50.1683;-2.26695
-0.0283243750000000;-50.1682;-2.26595
-0.0283118750000000;-50.1682;-2.26495
-0.0282993750000000;-50.1682;-2.26395
-0.0282868750000000;-50.1682;-2.26295
-0.0282743750000000;-50.1681;-2.26195
-0.0282618750000000;-50.1681;-2.26095
-0.0282493750000000;-50.1681;-2.25995
-0.0282368750000000;-50.168;-2.25895
-0.0282243750000000;-50.168;-2.25795
-0.0282118750000000;-50.168;-2.25695
-0.0281993750000000;-50.1679;-2.25595
-0.0281868750000000;-50.1679;-2.25495
-0.0281743750000000;-50.1679;-2.25395
-0.0281618750000000;-50.1678;-2.25295
-0.0281493750000000;-50.1678;-2.25195
-0.0281368750000000;-50.1678;-2.25095
-0.0281243750000000;-50.1677;-2.24995
-0.0281118750000000;-50.1677;-2.24895
-0.0280993750000000;-50.1677;-2.24795
-0.0280868750000000;-50.1676;-2.24695
-0.0280743750000000;-50.1676;-2.24595
-0.0280618750000000;-50.1676;-2.24495
-0.0280493750000000;-50.1675;-2.24395
-0.0280368750000000;-50.1675;-2.24295
-0.0280243750000000;-50.1675;-2.24195
-0.0280118750000000;-50.1674;-2.24095
-0.0279993750000000;-50.1674;-2.23995
-0.0279868750000000;-50.1674;-2.23895
-0.0279743750000000;-50.1674;-2.23795
-0.0279618750000000;-50.1673;-2.23695
-0.0279493750000000;-50.1673;-2.23595
-0.0279368750000000;-50.1673;-2.23495
-0.0279243750000000;-50.1672;-2.23395
-0.0279118750000000;-50.1672;-2.23295
-0.0278993750000000;-50.1672;-2.23195
-0.0278868750000000;-50.1671;-2.23095
-0.0278743750000000;-50.1671;-2.22995
-0.0278618750000000;-50.1671;-2.22895
-0.0278493750000000;-50.167;-2.22795
-0.0278368750000000;-50.167;-2.22695
-0.0278243750000000;-50.167;-2.22595
-0.0278118750000000;-50.1669;-2.22495
-0.0277993750000000;-50.1669;-2.22395
-0.0277868750000000;-50.1669;-2.22295
-0.0277743750000000;-50.1668;-2.22195
-0.0277618750000000;-50.1668;-2.22095
-0.0277493750000000;-50.1668;-2.21995
-0.0277368750000000;-50.1667;-2.21895
-0.0277243750000000;-50.1662;-2.21795
-0.0277118750000000;-50.1508;-2.21695
-0.0276993750000000;-50.1354;-2.21595
-0.0276868750000000;-50.1201;-2.21495
-0.0276743750000000;-50.1047;-2.21395
-0.0276618750000000;-50.0893;-2.21295
-0.0276493750000000;-50.0739;-2.21195
-0.0276368750000000;-50.0585;-2.21095
-0.0276243750000000;-50.0431;-2.20995
-0.0276118750000000;-50.0278;-2.20895
-0.0275993750000000;-50.0124;-2.20795
-0.0275868750000000;-49.997;-2.20695
-0.0275743750000000;-49.9816;-2.20595
-0.0275618750000000;-49.9662;-2.20495
-0.0275493750000000;-49.9509;-2.20395
-0.0275368750000000;-49.9355;-2.20295
-0.0275243750000000;-49.9201;-2.20195
-0.0275118750000000;-49.9047;-2.20095
-0.0274993750000000;-49.8893;-2.19995
-0.0274868750000000;-49.8739;-2.19895
-0.0274743750000000;-49.8586;-2.19795
-0.0274618750000000;-49.8432;-2.19695
-0.0274493750000000;-49.8278;-2.19595
-0.0274368750000000;-49.8124;-2.19495
-0.0274243750000000;-49.797;-2.19395
-0.0274118750000000;-49.7817;-2.19295
-0.0273993750000000;-49.7663;-2.19195
-0.0273868750000000;-49.7509;-2.19095
-0.0273743750000000;-49.7355;-2.18995
-0.0273618750000000;-49.7201;-2.18895
-0.0273493750000000;-49.7047;-2.18795
-0.0273368750000000;-49.6894;-2.18695
-0.0273243750000000;-49.674;-2.18595
-0.0273118750000000;-49.6586;-2.18495
-0.0272993750000000;-49.6544;-2.18395
-0.0272868750000000;-49.6544;-2.18295
-0.0272743750000000;-49.6544;-2.18195
-0.0272618750000000;-49.6543;-2.18095
-0.0272493750000000;-49.6543;-2.17995
-0.0272368750000000;-49.6543;-2.17895
-0.0272243750000000;-49.6543;-2.17795
-0.0272118750000000;-49.6542;-2.17695
-0.0271993750000000;-49.6542;-2.17595
-0.0271868750000000;-49.6542;-2.17495
-0.0271743750000000;-49.6541;-2.17395
-0.0271618750000000;-49.6541;-2.17295
-0.0271493750000000;-49.6541;-2.17195
-0.0271368750000000;-49.654;-2.17095
-0.0271243750000000;-49.654;-2.16995
-0.0271118750000000;-49.654;-2.16895
-0.0270993750000000;-49.6539;-2.16795
-0.0270868750000000;-49.6539;-2.16695
-0.0270743750000000;-49.6539;-2.16595
-0.0270618750000000;-49.6538;-2.16495
-0.0270493750000000;-49.6538;-2.16395
-0.0270368750000000;-49.6538;-2.16295
-0.0270243750000000;-49.6537;-2.16195
-0.0270118750000000;-49.6537;-2.16095
-0.0269993750000000;-49.6537;-2.15995
-0.0269868750000000;-49.6536;-2.15895
-0.0269743750000000;-49.6536;-2.15795
-0.0269618750000000;-49.6536;-2.15695
-0.0269493750000000;-49.6535;-2.15595
-0.0269368750000000;-49.6535;-2.15495
-0.0269243750000000;-49.6535;-2.15395
-0.0269118750000000;-49.6535;-2.15295
-0.0268993750000000;-49.6534;-2.15195
-0.0268868750000000;-49.6534;-2.15095
-0.0268743750000000;-49.6534;-2.14995
-0.0268618750000000;-49.6533;-2.14895
-0.0268493750000000;-49.6533;-2.14795
-0.0268368750000000;-49.6533;-2.14695
-0.0268243750000000;-49.6532;-2.14595
-0.0268118750000000;-49.6532;-2.14495
-0.0267993750000000;-49.6532;-2.14395
-0.0267868750000000;-49.6531;-2.14295
-0.0267743750000000;-49.6531;-2.14195
-0.0267618750000000;-49.6531;-2.14095
-0.0267493750000000;-49.653;-2.13995
-0.0267368750000000;-49.653;-2.13895
-0.0267243750000000;-49.653;-2.13795
-0.0267118750000000;-49.6529;-2.13695
-0.0266993750000000;-49.6529;-2.13595
-0.0266868750000000;-49.6529;-2.13495
-0.0266743750000000;-49.6528;-2.13395
-0.0266618750000000;-49.6528;-2.13295
-0.0266493750000000;-49.6528;-2.13195
-0.0266368750000000;-49.6528;-2.13095
-0.0266243750000000;-49.6527;-2.12995
-0.0266118750000000;-49.6527;-2.12895
-0.0265993750000000;-49.6527;-2.12795
-0.0265868750000000;-49.6526;-2.12695
-0.0265743750000000;-49.6526;-2.12595
-0.0265618750000000;-49.6526;-2.12495
-0.0265493750000000;-49.6525;-2.12395
-0.0265368750000000;-49.6525;-2.12295
-0.0265243750000000;-49.6525;-2.12195
-0.0265118750000000;-49.6524;-2.12095
-0.0264993750000000;-49.6524;-2.11995
-0.0264868750000000;-49.6524;-2.11895
-0.0264743750000000;-49.6523;-2.11795
-0.0264618750000000;-49.6523;-2.11695
-0.0264493750000000;-49.6523;-2.11595
-0.0264368750000000;-49.6522;-2.11495
-0.0264243750000000;-49.6522;-2.11395
-0.0264118750000000;-49.6522;-2.11295
-0.0263993750000000;-49.6521;-2.11195
-0.0263868750000000;-49.6521;-2.11095
-0.0263743750000000;-49.6521;-2.10995
-0.0263618750000000;-49.652;-2.10895
-0.0263493750000000;-49.652;-2.10795
-0.0263368750000000;-49.652;-2.10695
-0.0263243750000000;-49.652;-2.10595
-0.0263118750000000;-49.6519;-2.10495
-0.0262993750000000;-49.6519;-2.10395
-0.0262868750000000;-49.6519;-2.10295
-0.0262743750000000;-49.6518;-2.10195
-0.0262618750000000;-49.6518;-2.10095
-0.0262493750000000;-49.6518;-2.09995
-0.0262368750000000;-49.6517;-2.09895
-0.0262243750000000;-49.6517;-2.09795
-0.0262118750000000;-49.6517;-2.09695
-0.0261993750000000;-49.6516;-2.09595
-0.0261868750000000;-49.6516;-2.09495
-0.0261743750000000;-49.6516;-2.09395
-0.0261618750000000;-49.6515;-2.09295
-0.0261493750000000;-49.6515;-2.09195
-0.0261368750000000;-49.6515;-2.09095
-0.0261243750000000;-49.6514;-2.08995
-0.0261118750000000;-49.6514;-2.08895
-0.0260993750000000;-49.6514;-2.08795
-0.0260868750000000;-49.6513;-2.08695
-0.0260743750000000;-49.6513;-2.08595
-0.0260618750000000;-49.6513;-2.08495
-0.0260493750000000;-49.6512;-2.08395
-0.0260368750000000;-49.6512;-2.08295
-0.0260243750000000;-49.6512;-2.08195
-0.0260118750000000;-49.6512;-2.08095
-0.0259993750000000;-49.6511;-2.07995
-0.0259868750000000;-49.6511;-2.07895
-0.0259743750000000;-49.6511;-2.07795
-0.0259618750000000;-49.651;-2.07695
-0.0259493750000000;-49.651;-2.07595
-0.0259368750000000;-49.651;-2.07495
-0.0259243750000000;-49.6509;-2.07395
-0.0259118750000000;-49.6509;-2.07295
-0.0258993750000000;-49.6509;-2.07195
-0.0258868750000000;-49.6508;-2.07095
-0.0258743750000000;-49.6508;-2.06995
-0.0258618750000000;-49.6508;-2.06895
-0.0258493750000000;-49.6507;-2.06795
-0.0258368750000000;-49.6507;-2.06695
-0.0258243750000000;-49.6507;-2.06595
-0.0258118750000000;-49.6506;-2.06495
-0.0257993750000000;-49.6506;-2.06395
-0.0257868750000000;-49.6506;-2.06295
-0.0257743750000000;-49.6505;-2.06195
-0.0257618750000000;-49.6505;-2.06095
-0.0257493750000000;-49.6505;-2.05995
-0.0257368750000000;-49.6505;-2.05895
-0.0257243750000000;-49.6504;-2.05795
-0.0257118750000000;-49.6504;-2.05695
-0.0256993750000000;-49.6504;-2.05595
-0.0256868750000000;-49.6503;-2.05495
-0.0256743750000000;-49.6503;-2.05395
-0.0256618750000000;-49.6503;-2.05295
-0.0256493750000000;-49.6502;-2.05195
-0.0256368750000000;-49.6502;-2.05095
-0.0256243750000000;-49.6502;-2.04995
-0.0256118750000000;-49.6501;-2.04895
-0.0255993750000000;-49.6501;-2.04795
-0.0255868750000000;-49.6501;-2.04695
-0.0255743750000000;-49.65;-2.04595
-0.0255618750000000;-49.65;-2.04495
-0.0255493750000000;-49.65;-2.04395
-0.0255368750000000;-49.6499;-2.04295
-0.0255243750000000;-49.6499;-2.04195
-0.0255118750000000;-49.6499;-2.04095
-0.0254993750000000;-49.6498;-2.03995
-0.0254868750000000;-49.6498;-2.03895
-0.0254743750000000;-49.6498;-2.03795
-0.0254618750000000;-49.6497;-2.03695
-0.0254493750000000;-49.6497;-2.03595
-0.0254368750000000;-49.6497;-2.03495
-0.0254243750000000;-49.6497;-2.03395
-0.0254118750000000;-49.6496;-2.03295
-0.0253993750000000;-49.6496;-2.03195
-0.0253868750000000;-49.6496;-2.03095
-0.0253743750000000;-49.6495;-2.02995
-0.0253618750000000;-49.6495;-2.02895
-0.0253493750000000;-49.6495;-2.02795
-0.0253368750000000;-49.6494;-2.02695
-0.0253243750000000;-49.6494;-2.02595
-0.0253118750000000;-49.6494;-2.02495
-0.0252993750000000;-49.6493;-2.02395
-0.0252868750000000;-49.6493;-2.02295
-0.0252743750000000;-49.6493;-2.02195
-0.0252618750000000;-49.6492;-2.02095
-0.0252493750000000;-49.6492;-2.01995
-0.0252368750000000;-49.6492;-2.01895
-0.0252243750000000;-49.6491;-2.01795
