Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-3.55,-176.2,-0.279
-3.54,-176.6,-0.278
-3.53,-177,-0.277
-3.51,-177,-0.276
-3.49,-176.6,-0.275
-3.48,-176.2,-0.274
-3.45,-176.4,-0.272
-3.44,-176.3,-0.271
-3.41,-176.1,-0.268
-3.39,-175.8,-0.267
-3.38,-175.6,-0.266
-3.36,-175.5,-0.264
-3.34,-175.4,-0.263
-3.31,-175.3,-0.26
-3.28,-175.1,-0.258
-3.25,-174.6,-0.256
-3.23,-173.8,-0.254
-3.2,-173.2,-0.252
-3.19,-173.2,-0.251
-3.17,-173.3,-0.249
-3.13,-172.9,-0.246
-3.1,-172.1,-0.244
-3.06,-171.3,-0.241
-3.03,-170.8,-0.239
-2.99,-170.3,-0.235
-2.96,-171.8,-0.233
-2.94,-171.7,-0.232
-2.94,-171.9,-0.231
-2.92,-171.7,-0.23
-2.91,-171.5,-0.229
-2.9,-171.8,-0.228
-2.89,-171.8,-0.227
-2.87,-171.2,-0.225
-2.84,-170.9,-0.224
-2.83,-170.9,-0.223
-2.82,-170.7,-0.222
-2.8,-170.6,-0.22
-2.78,-170.6,-0.219
-2.76,-170.5,-0.217
-2.74,-170.3,-0.215
-2.72,-169.8,-0.214
-2.71,-169.3,-0.213
-2.7,-169.2,-0.212
-2.69,-169.4,-0.211
-2.66,-169,-0.209
-2.64,-168.4,-0.208
-2.62,-167.8,-0.206
-2.6,-167.4,-0.204
-2.57,-167.2,-0.202
-2.55,-167.1,-0.201
-2.53,-166.6,-0.199
-2.5,-157.2,-0.197
-2.49,-162.9,-0.196
-2.47,-163.5,-0.195
-2.46,-163.5,-0.194
-2.45,-163.5,-0.193
-2.44,-163.5,-0.192
-2.42,-162.6,-0.191
-2.41,-163.4,-0.19
-2.4,-162.9,-0.189
-2.38,-162.5,-0.187
-2.36,-162.3,-0.186
-2.34,-162.2,-0.184
-2.33,-161.9,-0.183
-2.32,-161.8,-0.182
-2.31,-161.8,-0.181
-2.28,-162.1,-0.18
-2.25,-162,-0.177
-2.24,-161.4,-0.176
-2.23,-160.6,-0.175
-2.21,-160.2,-0.174
-2.2,-160.1,-0.173
-2.18,-159.9,-0.172
-2.16,-159.4,-0.17
-2.14,-158.9,-0.168
-2.12,-158.8,-0.167
-2.11,-158.5,-0.166
-2.07,-158,-0.163
-2.05,-157.5,-0.161
-2.02,-157,-0.159
-2,-156.7,-0.158
-1.99,-156.4,-0.157
-1.96,-155.9,-0.154
-1.93,-155,-0.151
-1.91,-154,-0.15
-1.89,-153.3,-0.148
-1.85,-153,-0.146
-1.83,-152.5,-0.144
-1.8,-151.6,-0.142
-1.78,-150.6,-0.14
-1.75,-149.7,-0.138
-1.73,-149.2,-0.136
-1.72,-148.6,-0.135
-1.69,-148.1,-0.133
-1.68,-147.8,-0.132
-1.65,-147.3,-0.13
-1.61,-146.5,-0.127
-1.58,-145.6,-0.125
-1.56,-144.8,-0.122
-1.54,-144.2,-0.121
-1.53,-143.6,-0.12
-1.51,-142.8,-0.119
-1.49,-142,-0.117
-1.47,-141,-0.116
-1.46,-140.3,-0.115
-1.44,-139.7,-0.113
-1.41,-139.1,-0.111
-1.39,-138.4,-0.109
-1.37,-137.3,-0.107
-1.34,-136.1,-0.106
-1.32,-131.2,-0.104
-1.3,-144.6,-0.103
-1.29,-143.8,-0.102
-1.28,-145.5,-0.101
-1.27,-145.2,-0.1
-1.25,-145.3,-0.099
-1.24,-145,-0.098
-1.23,-144.7,-0.097
-1.22,-143.6,-0.096
-1.21,-143.1,-0.095
-1.19,-143,-0.094
-1.18,-142.7,-0.092
-1.16,-142.3,-0.091
-1.15,-141.6,-0.09
-1.13,-140.8,-0.089
-1.11,-128.5,-0.088
-1.11,-128.5,-0.087
-1.09,-137.8,-0.086
-1.08,-138.2,-0.085
-1.06,-138.1,-0.084
-1.05,-137.3,-0.083
-1.04,-136.9,-0.082
-1.03,-136.9,-0.081
-1.02,-137,-0.08
-1.01,-136.8,-0.079
-0.99,-135.2,-0.078
-0.97,-135.1,-0.077
-0.97,-134.8,-0.076
-0.96,-134.3,-0.075
-0.94,-118.2,-0.074
-0.93,-119.3,-0.073
-0.91,-125,-0.072
-0.9,-125.8,-0.071
-0.88,-130.2,-0.07
-0.87,-129.9,-0.069
-0.86,-129.8,-0.068
-0.85,-128.8,-0.067
-0.83,-128.8,-0.066
-0.83,-128.8,-0.065
-0.81,-128.7,-0.064
-0.79,-127.4,-0.063
-0.78,-126.4,-0.062
-0.77,-125.9,-0.061
-0.76,-125.4,-0.06
-0.75,-125.5,-0.059
-0.73,-109.4,-0.058
-0.72,-107.1,-0.057
-0.71,-112.1,-0.056
-0.69,-118.3,-0.055
-0.68,-121.7,-0.054
-0.67,-121.7,-0.053
-0.65,-121.6,-0.052
-0.64,-121,-0.051
-0.63,-120.2,-0.05
-0.62,-120,-0.049
-0.61,-92.6,-0.048
-0.53,-97.5,-0.042
-0.52,-93.2,-0.041
-0.51,-95.1,-0.04
-0.49,-102.9,-0.039
-0.48,-108.4,-0.038
-0.47,-109.1,-0.037
-0.45,-110.3,-0.036
-0.44,-105.3,-0.035
-0.43,-109.1,-0.034
-0.41,-103,-0.033
-0.4,-79.9,-0.032
-0.39,-82.1,-0.031
-0.38,-83.7,-0.03
-0.36,-91,-0.029
