Test unit;G2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0558995000000000;-43.0523;-4.47196
-0.0558870000000000;-43.0369;-4.47096
-0.0558745000000000;-43.0215;-4.46996
-0.0558620000000000;-43.0061;-4.46896
-0.0558495000000000;-42.9907;-4.46796
-0.0558370000000000;-42.9753;-4.46696
-0.0558245000000000;-42.9599;-4.46596
-0.0558120000000000;-42.9445;-4.46496
-0.0557995000000000;-42.9291;-4.46396
-0.0557870000000000;-42.9137;-4.46296
-0.0557745000000000;-42.8983;-4.46196
-0.0557620000000000;-42.8829;-4.46096
-0.0557495000000000;-42.8675;-4.45996
-0.0557370000000000;-42.8521;-4.45896
-0.0557245000000000;-42.8367;-4.45796
-0.0557120000000000;-42.8213;-4.45696
-0.0556995000000000;-42.8059;-4.45596
-0.0556870000000000;-42.7905;-4.45496
-0.0556745000000000;-42.7751;-4.45396
-0.0556620000000000;-42.7597;-4.45296
-0.0556495000000000;-42.7443;-4.45196
-0.0556370000000000;-42.7289;-4.45096
-0.0556245000000000;-42.7135;-4.44996
-0.0556120000000000;-42.6981;-4.44896
-0.0555995000000000;-42.6827;-4.44796
-0.0555870000000000;-42.6673;-4.44696
-0.0555745000000000;-42.6519;-4.44596
-0.0555620000000000;-42.6365;-4.44496
-0.0555495000000000;-42.6211;-4.44396
-0.0555370000000000;-42.6057;-4.44296
-0.0555245000000000;-42.5903;-4.44196
-0.0555120000000000;-42.5749;-4.44096
-0.0554995000000000;-42.5641;-4.43996
-0.0554870000000000;-42.5641;-4.43896
-0.0554745000000000;-42.5641;-4.43796
-0.0554620000000000;-42.5641;-4.43696
-0.0554495000000000;-42.5641;-4.43596
-0.0554370000000000;-42.5641;-4.43496
-0.0554245000000000;-42.5641;-4.43396
-0.0554120000000000;-42.5641;-4.43296
-0.0553995000000000;-42.5641;-4.43196
-0.0553870000000000;-42.5641;-4.43096
-0.0553745000000000;-42.5641;-4.42996
-0.0553620000000000;-42.5641;-4.42896
-0.0553495000000000;-42.5641;-4.42796
-0.0553370000000000;-42.5641;-4.42696
-0.0553245000000000;-42.5641;-4.42596
-0.0553120000000000;-42.5641;-4.42496
-0.0552995000000000;-42.5641;-4.42396
-0.0552870000000000;-42.5641;-4.42296
-0.0552745000000000;-42.5641;-4.42196
-0.0552620000000000;-42.5641;-4.42096
-0.0552495000000000;-42.5641;-4.41996
-0.0552370000000000;-42.5641;-4.41896
-0.0552245000000000;-42.5641;-4.41796
-0.0552120000000000;-42.5641;-4.41696
-0.0551995000000000;-42.5641;-4.41596
-0.0551870000000000;-42.5641;-4.41496
-0.0551745000000000;-42.5641;-4.41396
-0.0551620000000000;-42.5641;-4.41296
-0.0551495000000000;-42.5641;-4.41196
-0.0551370000000000;-42.5641;-4.41096
-0.0551245000000000;-42.5641;-4.40996
-0.0551120000000000;-42.5641;-4.40896
-0.0550995000000000;-42.5641;-4.40796
-0.0550870000000000;-42.5641;-4.40696
-0.0550745000000000;-42.5641;-4.40596
-0.0550620000000000;-42.5641;-4.40496
-0.0550495000000000;-42.5641;-4.40396
-0.0550370000000000;-42.5641;-4.40296
-0.0550245000000000;-42.5641;-4.40196
-0.0550120000000000;-42.5641;-4.40096
-0.0549995000000000;-42.5641;-4.39996
-0.0549870000000000;-42.5641;-4.39896
-0.0549745000000000;-42.5641;-4.39796
-0.0549620000000000;-42.5641;-4.39696
-0.0549495000000000;-42.5641;-4.39596
