Test unit,E3
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
6.74,40.2,0.586
6.84,40.7,0.595
6.97,41,0.606
7.1,41.2,0.617
7.22,41.5,0.627
7.34,41.6,0.638
7.44,41.1,0.647
7.47,40.3,0.649
7.53,33.6,0.655
7.56,29.1,0.657
7.68,30.9,0.667
7.8,31.2,0.678
7.92,31.4,0.689
8.04,31.7,0.699
8.16,31.9,0.71
8.28,32.1,0.72
8.42,32.2,0.732
8.54,31.9,0.742
8.55,30.8,0.743
8.58,29.9,0.746
8.62,29,0.749
8.68,27.5,0.754
8.77,22.5,0.762
8.9,22.6,0.774
9.03,22.6,0.785
9.15,22.4,0.796
9.28,22.5,0.807
9.39,22.1,0.817
9.52,22.3,0.828
9.62,21.7,0.837
9.72,21.1,0.845
9.78,20.4,0.851
