Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-2.97,-150.7,-0.119
-2.94,-150.3,-0.118
-2.92,-150.1,-0.117
-2.89,-149.7,-0.116
-2.87,-149.5,-0.115
-2.84,-149.1,-0.114
-2.83,-148.9,-0.113
-2.79,-148.4,-0.112
-2.78,-148.1,-0.111
-2.74,-147.6,-0.11
-2.73,-147.4,-0.109
-2.69,-146.8,-0.108
-2.67,-146.5,-0.107
-2.64,-145.8,-0.106
-2.62,-145.4,-0.105
-2.6,-145.1,-0.104
-2.56,-144.3,-0.103
-2.55,-143.9,-0.102
-2.53,-143.5,-0.101
-2.5,-142.7,-0.1
-2.48,-142.2,-0.099
-2.44,-141.3,-0.098
-2.41,-140.3,-0.097
-2.4,-139.8,-0.096
-2.37,-138.6,-0.095
-2.35,-137.9,-0.094
-2.32,-140.9,-0.093
-2.3,-141.2,-0.092
-2.27,-140.5,-0.091
-2.25,-139.9,-0.09
-2.21,-139.2,-0.089
-2.2,-138.9,-0.088
-2.17,-138.3,-0.087
-2.15,-137.6,-0.086
-2.12,-137,-0.085
-2.1,-136.3,-0.084
-2.07,-135.6,-0.083
-2.05,-134.9,-0.082
-2.02,-134.2,-0.081
-2,-133.2,-0.08
-1.97,-132.3,-0.079
-1.94,-131.4,-0.078
-1.92,-130.3,-0.077
-1.89,-129.3,-0.076
-1.87,-128.7,-0.075
-1.84,-127.6,-0.074
-1.82,-126.4,-0.073
-1.79,-125.2,-0.072
-1.77,-123.9,-0.071
-1.74,-122.7,-0.07
-1.72,-121.4,-0.069
-1.69,-119.9,-0.068
-1.66,-119.8,-0.067
-1.65,-119.3,-0.066
-1.62,-117.9,-0.065
-1.59,-116.5,-0.064
-1.56,-115,-0.063
-1.55,-114,-0.062
-1.52,-112.5,-0.061
-1.5,-111.5,-0.06
-1.47,-110.4,-0.059
-1.44,-108.9,-0.058
-1.42,-107.8,-0.057
-1.39,-106.2,-0.056
-1.36,-104.5,-0.055
-1.35,-103.4,-0.054
-1.32,-101.7,-0.053
-1.29,-99.9,-0.052
-1.27,-98.8,-0.051
-1.25,-97,-0.05
-1.22,-95.1,-0.049
-1.19,-93.4,-0.048
-1.16,-91.5,-0.047
-1.15,-90.3,-0.046
-1.12,-88.4,-0.045
-1.09,-86.5,-0.044
-1.07,-85.2,-0.043
-1.04,-81.7,-0.042
-1.02,-80.4,-0.041
-0.99,-78.9,-0.04
-0.96,-77.5,-0.039
-0.94,-75.9,-0.038
-0.91,-74.2,-0.037
-0.89,-72.7,-0.036
-0.86,-70.6,-0.035
-0.84,-69.4,-0.034
-0.81,-67.3,-0.033
-0.79,-65.8,-0.032
-0.77,-64.2,-0.031
-0.74,-62.5,-0.03
-0.72,-60.9,-0.029
-0.69,-59.4,-0.028
-0.66,-57.8,-0.027
-0.64,-56.7,-0.026
-0.61,-54.8,-0.025
-0.59,-53.4,-0.024
-0.57,-51.8,-0.023
-0.54,-50.3,-0.022
-0.52,-48.6,-0.021
-0.49,-46.7,-0.02
-0.47,-45.2,-0.019
-0.44,-43.3,-0.018
-0.41,-41.4,-0.017
-0.39,-40.2,-0.016
-0.36,-38.2,-0.015
-0.34,-36.7,-0.014
-0.32,-35,-0.013
-0.29,-33.3,-0.012
-0.26,-31.1,-0.011
-0.24,-29.7,-0.01
-0.21,-28.1,-0.009
-0.19,-26.9,-0.008
-0.17,-25.5,-0.007
-0.14,-23.7,-0.006
-0.12,-22,-0.005
-0.09,-20,-0.004
-0.07,-18.5,-0.003
-0.04,-16.6,-0.002
-0.02,-15.1,-0.001
0.06,-0.2,0.002
0.06,0.7,0.003
0.09,2.5,0.004
0.12,4.5,0.005
0.14,6,0.006
0.17,8.2,0.007
0.19,10.3,0.008
0.21,12.3,0.009
0.24,14.2,0.01
0.26,16.1,0.011
0.29,18.1,0.012
0.31,19.6,0.013
0.34,21.6,0.014
0.36,23.2,0.015
0.39,25.1,0.016
0.42,26.9,0.017
0.44,28.3,0.018
0.46,29.9,0.019
0.49,31.8,0.02
0.51,33,0.021
0.54,34.3,0.022
0.56,35.5,0.023
0.59,37.2,0.024
0.62,38.8,0.025
0.64,40.4,0.026
0.66,41.7,0.027
0.69,43.6,0.028
