Test unit;CT02;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-27.8372056100000;-59.6631839600000;-1.91980728300000
-27.7809242600000;-59.6912539200000;-1.91592581100000
-27.7245753500000;-59.7204596500000;-1.91203967900000
-27.6684287200000;-59.7508011700000;-1.90816749800000
-27.6121977500000;-59.7800069100000;-1.90428950000000
-27.5560844600000;-59.7787088800000;-1.90041961800000
-27.4998191100000;-59.7775731000000;-1.89653924900000
-27.4437727000000;-59.7759505600000;-1.89267397900000
-27.3877432000000;-59.7613476900000;-1.88880987600000
-27.3318973800000;-59.7149430100000;-1.88495844000000
-27.2758483800000;-59.6790848600000;-1.88109299200000
-27.2199174800000;-59.6407928900000;-1.87723568800000
-27.1639701800000;-59.6000671000000;-1.87337725400000
-27.1077197400000;-59.5595035800000;-1.86949791300000
-27.0514351000000;-59.5189400500000;-1.86561621400000
-26.9949990000000;-59.4916813600000;-1.86172406900000
-26.9385124100000;-59.4653962000000;-1.85782844200000
-26.8816380300000;-59.4394355400000;-1.85390607100000
-26.8246635400000;-59.4118523400000;-1.84997679600000
-26.7675741800000;-59.4144484100000;-1.84603959800000
-26.7107556800000;-59.4176934900000;-1.84212108100000
-26.6538185100000;-59.4198028000000;-1.83819438000000
-26.5968317400000;-59.4352169400000;-1.83426425800000
-26.5399828600000;-59.4673432500000;-1.83034364500000
-26.4830991900000;-59.4910323500000;-1.82642063400000
-26.4264185800000;-59.5153704700000;-1.82251162600000
-26.3699909700000;-59.5379237900000;-1.81862006700000
-26.3137664900000;-59.5604771100000;-1.81474251600000
-26.2574738300000;-59.5872490300000;-1.81086026400000
-26.2012786100000;-59.5866000200000;-1.80698473200000
-26.1448805800000;-59.5872490400000;-1.80309521300000
-26.0885167000000;-59.5887093200000;-1.79920804800000
-26.0320844900000;-59.5668050200000;-1.79531617200000
-25.9756610700000;-59.5106651000000;-1.79142490200000
-25.9194098100000;-59.4705883400000;-1.78754550400000
-25.8630400000000;-59.4314851000000;-1.78365793100000
-25.8063328500000;-59.3928686200000;-1.77974709300000
-25.7494227700000;-59.3544144000000;-1.77582226000000
-25.6924976900000;-59.3041156300000;-1.77189639300000
-25.6354871500000;-59.2614428000000;-1.76796463100000
-25.5785956400000;-59.2182832100000;-1.76404107900000
-25.5215553000000;-59.1861569000000;-1.76010726200000
-25.4645844300000;-59.1668486600000;-1.75617823700000
-25.4076011900000;-59.1655506300000;-1.75224835800000
-25.3503608900000;-59.1561398900000;-1.74830075100000
-25.2928823600000;-59.1486762000000;-1.74433671500000
-25.2353891400000;-59.1433218200000;-1.74037166500000
-25.1779454100000;-59.1379674300000;-1.73641002800000
-25.1205114500000;-59.1423482900000;-1.73244906600000
-25.0627592900000;-59.1640903400000;-1.72846615800000
-25.0047690600000;-59.1840476000000;-1.72446683100000
-24.9467885700000;-59.1827495700000;-1.72046817700000
-24.8889193400000;-58.5574223400000;-1.71647719600000
-24.8872682400000;-58.7699752100000;-1.71636332700000
-24.8761211500000;-59.1488385200000;-1.71559456200000
-24.8545595800000;-59.4824329300000;-1.71410755700000
-24.8239075300000;-59.7678378800000;-1.71199362300000
-24.7856130000000;-59.9812020200000;-1.70935262100000
-24.7410342900000;-60.1168464400000;-1.70627822700000
-24.6914815100000;-60.2197155400000;-1.70286079400000
-24.6380166300000;-60.2864019700000;-1.69917356100000
-24.5821745500000;-60.2998690600000;-1.69532238300000
-24.5251616900000;-60.2778025000000;-1.69139046100000
-24.4676347300000;-60.2589810200000;-1.68742308500000
-24.4101828200000;-60.2437291400000;-1.68346088400000
-24.3530338300000;-60.2317223300000;-1.67951957400000
-24.2960257000000;-60.2158214300000;-1.67558797900000
-24.2387354300000;-60.2249076600000;-1.67163692600000
-24.1812250900000;-60.2690407800000;-1.66767069600000
-24.1237854900000;-60.3125248800000;-1.66370934400000
-24.0664374700000;-60.3358894700000;-1.65975430800000
-24.0088978700000;-60.3779132800000;-1.65578606000000
-23.9515336600000;-60.4254537300000;-1.65182990800000
