Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0409310000000000;-46.3064;-3.27448
-0.0409185000000000;-46.3064;-3.27348
-0.0409060000000000;-46.3064;-3.27248
-0.0408935000000000;-46.3065;-3.27148
-0.0408810000000000;-46.3065;-3.27048
-0.0408685000000000;-46.3065;-3.26948
-0.0408560000000000;-46.3066;-3.26848
-0.0408435000000000;-46.3066;-3.26748
-0.0408310000000000;-46.3066;-3.26648
-0.0408185000000000;-46.3067;-3.26548
-0.0408060000000000;-46.3067;-3.26448
-0.0407935000000000;-46.3067;-3.26348
-0.0407810000000000;-46.3068;-3.26248
-0.0407685000000000;-46.3068;-3.26148
-0.0407560000000000;-46.3068;-3.26048
-0.0407435000000000;-46.3068;-3.25948
-0.0407310000000000;-46.3069;-3.25848
-0.0407185000000000;-46.3069;-3.25748
-0.0407060000000000;-46.3069;-3.25648
-0.0406935000000000;-46.307;-3.25548
-0.0406810000000000;-46.307;-3.25448
-0.0406685000000000;-46.307;-3.25348
-0.0406560000000000;-46.3071;-3.25248
-0.0406435000000000;-46.3071;-3.25148
-0.0406310000000000;-46.3071;-3.25048
-0.0406185000000000;-46.3072;-3.24948
-0.0406060000000000;-46.3072;-3.24848
-0.0405935000000000;-46.3072;-3.24748
-0.0405810000000000;-46.3073;-3.24648
-0.0405685000000000;-46.3073;-3.24548
-0.0405560000000000;-46.3073;-3.24448
-0.0405435000000000;-46.3074;-3.24348
-0.0405310000000000;-46.3074;-3.24248
-0.0405185000000000;-46.3074;-3.24148
-0.0405060000000000;-46.3075;-3.24048
-0.0404935000000000;-46.3075;-3.23948
-0.0404810000000000;-46.3075;-3.23848
-0.0404685000000000;-46.3076;-3.23748
-0.0404560000000000;-46.3076;-3.23648
-0.0404435000000000;-46.3076;-3.23548
-0.0404310000000000;-46.3077;-3.23448
-0.0404185000000000;-46.3077;-3.23348
-0.0404060000000000;-46.3077;-3.23248
-0.0403935000000000;-46.3077;-3.23148
-0.0403810000000000;-46.3078;-3.23048
-0.0403685000000000;-46.3078;-3.22948
-0.0403560000000000;-46.3078;-3.22848
-0.0403435000000000;-46.3079;-3.22748
-0.0403310000000000;-46.3079;-3.22648
-0.0403185000000000;-46.3079;-3.22548
-0.0403060000000000;-46.308;-3.22448
-0.0402935000000000;-46.308;-3.22348
-0.0402810000000000;-46.308;-3.22248
-0.0402685000000000;-46.3081;-3.22148
-0.0402560000000000;-46.3081;-3.22048
-0.0402435000000000;-46.3149;-3.21948
-0.0402310000000000;-46.3304;-3.21848
-0.0402185000000000;-46.3458;-3.21748
-0.0402060000000000;-46.3613;-3.21648
-0.0401935000000000;-46.3768;-3.21548
-0.0401810000000000;-46.3923;-3.21448
-0.0401685000000000;-46.4078;-3.21348
-0.0401560000000000;-46.4232;-3.21248
-0.0401435000000000;-46.4387;-3.21148
-0.0401310000000000;-46.4542;-3.21048
-0.0401185000000000;-46.4697;-3.20948
-0.0401060000000000;-46.4852;-3.20848
-0.0400935000000000;-46.5007;-3.20748
-0.0400810000000000;-46.5161;-3.20648
-0.0400685000000000;-46.5316;-3.20548
-0.0400560000000000;-46.5471;-3.20448
-0.0400435000000000;-46.5626;-3.20348
-0.0400310000000000;-46.5781;-3.20248
-0.0400185000000000;-46.5935;-3.20148
-0.0400060000000000;-46.609;-3.20048
-0.0399935000000000;-46.6245;-3.19948
-0.0399810000000000;-46.64;-3.19848
-0.0399685000000000;-46.6555;-3.19748
-0.0399560000000000;-46.6709;-3.19648
-0.0399435000000000;-46.6864;-3.19548
-0.0399310000000000;-46.7019;-3.19448
-0.0399185000000000;-46.7174;-3.19348
-0.0399060000000000;-46.7329;-3.19248
-0.0398935000000000;-46.7483;-3.19148
-0.0398810000000000;-46.7638;-3.19048
-0.0398685000000000;-46.7793;-3.18948
-0.0398560000000000;-46.7948;-3.18848
-0.0398435000000000;-46.8103;-3.18748
-0.0398310000000000;-46.822;-3.18648
-0.0398185000000000;-46.822;-3.18548
-0.0398060000000000;-46.8221;-3.18448
-0.0397935000000000;-46.8221;-3.18348
-0.0397810000000000;-46.8221;-3.18248
-0.0397685000000000;-46.8222;-3.18148
-0.0397560000000000;-46.8222;-3.18048
-0.0397435000000000;-46.8222;-3.17948
-0.0397310000000000;-46.8223;-3.17848
-0.0397185000000000;-46.8223;-3.17748
-0.0397060000000000;-46.8223;-3.17648
-0.0396935000000000;-46.8224;-3.17548
-0.0396810000000000;-46.8224;-3.17448
-0.0396685000000000;-46.8224;-3.17348
-0.0396560000000000;-46.8225;-3.17248
-0.0396435000000000;-46.8225;-3.17148
-0.0396310000000000;-46.8225;-3.17048
-0.0396185000000000;-46.8226;-3.16948
-0.0396060000000000;-46.8226;-3.16848
-0.0395935000000000;-46.8226;-3.16748
-0.0395810000000000;-46.8227;-3.16648
-0.0395685000000000;-46.8227;-3.16548
-0.0395560000000000;-46.8227;-3.16448
-0.0395435000000000;-46.8227;-3.16348
-0.0395310000000000;-46.8228;-3.16248
-0.0395185000000000;-46.8228;-3.16148
-0.0395060000000000;-46.8228;-3.16048
-0.0394935000000000;-46.8229;-3.15948
-0.0394810000000000;-46.8229;-3.15848
-0.0394685000000000;-46.8229;-3.15748
-0.0394560000000000;-46.823;-3.15648
-0.0394435000000000;-46.823;-3.15548
-0.0394310000000000;-46.823;-3.15448
-0.0394185000000000;-46.8238;-3.15348
-0.0394060000000000;-46.8393;-3.15248
-0.0393935000000000;-46.8548;-3.15148
-0.0393810000000000;-46.8702;-3.15048
-0.0393685000000000;-46.8857;-3.14948
-0.0393560000000000;-46.9012;-3.14848
-0.0393435000000000;-46.9167;-3.14748
-0.0393310000000000;-46.9322;-3.14648
-0.0393185000000000;-46.9476;-3.14548
-0.0393060000000000;-46.9631;-3.14448
-0.0392935000000000;-46.9786;-3.14348
-0.0392810000000000;-46.9941;-3.14248
-0.0392685000000000;-47.0096;-3.14148
-0.0392560000000000;-47.025;-3.14048
-0.0392435000000000;-47.0405;-3.13948
-0.0392310000000000;-47.056;-3.13848
-0.0392185000000000;-47.0715;-3.13748
-0.0392060000000000;-47.087;-3.13648
-0.0391935000000000;-47.1024;-3.13548
-0.0391810000000000;-47.1179;-3.13448
-0.0391685000000000;-47.1334;-3.13348
-0.0391560000000000;-47.1489;-3.13248
-0.0391435000000000;-47.1644;-3.13148
-0.0391310000000000;-47.1798;-3.13048
-0.0391185000000000;-47.1953;-3.12948
-0.0391060000000000;-47.2108;-3.12848
-0.0390935000000000;-47.2263;-3.12748
-0.0390810000000000;-47.2418;-3.12648
-0.0390685000000000;-47.2573;-3.12548
-0.0390560000000000;-47.2727;-3.12448
-0.0390435000000000;-47.2882;-3.12348
-0.0390310000000000;-47.3037;-3.12248
-0.0390185000000000;-47.3192;-3.12148
-0.0390060000000000;-47.3347;-3.12048
-0.0389935000000000;-47.3501;-3.11948
-0.0389810000000000;-47.3656;-3.11848
-0.0389685000000000;-47.3811;-3.11748
-0.0389560000000000;-47.3966;-3.11648
-0.0389435000000000;-47.4121;-3.11548
-0.0389310000000000;-47.4275;-3.11448
-0.0389185000000000;-47.443;-3.11348
-0.0389060000000000;-47.4585;-3.11248
-0.0388935000000000;-47.474;-3.11148
-0.0388810000000000;-47.4895;-3.11048
-0.0388685000000000;-47.5049;-3.10948
-0.0388560000000000;-47.5204;-3.10848
-0.0388435000000000;-47.5359;-3.10748
-0.0388310000000000;-47.5514;-3.10648
-0.0388185000000000;-47.5669;-3.10548
-0.0388060000000000;-47.5823;-3.10448
-0.0387935000000000;-47.5978;-3.10348
-0.0387810000000000;-47.6133;-3.10248
-0.0387685000000000;-47.6288;-3.10148
-0.0387560000000000;-47.6443;-3.10048
-0.0387435000000000;-47.6598;-3.09948
-0.0387310000000000;-47.6752;-3.09848
-0.0387185000000000;-47.6907;-3.09748
-0.0387060000000000;-47.7062;-3.09648
-0.0386935000000000;-47.7217;-3.09548
-0.0386810000000000;-47.7372;-3.09448
-0.0386685000000000;-47.7526;-3.09348
-0.0386560000000000;-47.7681;-3.09248
-0.0386435000000000;-47.7836;-3.09148
-0.0386310000000000;-47.7991;-3.09048
-0.0386185000000000;-47.8146;-3.08948
-0.0386060000000000;-47.83;-3.08848
