Test unit;IG1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0588781250000000;-42.0513;-4.71025
-0.0588656250000000;-42.0513;-4.70925
-0.0588531250000000;-42.0513;-4.70825
-0.0588406250000000;-42.0513;-4.70725
-0.0588281250000000;-42.0513;-4.70625
-0.0588156250000000;-42.0513;-4.70525
-0.0588031250000000;-42.0513;-4.70425
-0.0587906250000000;-42.0513;-4.70325
-0.0587781250000000;-42.0513;-4.70225
-0.0587656250000000;-42.0513;-4.70125
-0.0587531250000000;-42.0513;-4.70025
-0.0587406250000000;-42.0513;-4.69925
-0.0587281250000000;-42.0513;-4.69825
-0.0587156250000000;-42.0513;-4.69725
-0.0587031250000000;-42.0513;-4.69625
-0.0586906250000000;-42.0513;-4.69525
-0.0586781250000000;-42.0513;-4.69425
-0.0586656250000000;-42.0513;-4.69325
-0.0586531250000000;-42.0513;-4.69225
-0.0586406250000000;-42.0513;-4.69125
-0.0586281250000000;-42.0513;-4.69025
-0.0586156250000000;-42.0513;-4.68925
-0.0586031250000000;-42.0513;-4.68825
-0.0585906250000000;-42.0513;-4.68725
-0.0585781250000000;-42.0513;-4.68625
-0.0585656250000000;-42.0513;-4.68525
-0.0585531250000000;-42.0513;-4.68425
-0.0585406250000000;-42.0513;-4.68325
-0.0585281250000000;-42.0513;-4.68225
-0.0585156250000000;-42.0513;-4.68125
-0.0585031250000000;-42.0513;-4.68025
-0.0584906250000000;-42.0513;-4.67925
-0.0584781250000000;-42.0513;-4.67825
-0.0584656250000000;-42.0513;-4.67725
-0.0584531250000000;-42.0513;-4.67625
-0.0584406250000000;-42.0513;-4.67525
-0.0584281250000000;-42.0513;-4.67425
-0.0584156250000000;-42.0513;-4.67325
-0.0584031250000000;-42.0513;-4.67225
-0.0583906250000000;-42.0513;-4.67125
-0.0583781250000000;-42.0513;-4.67025
-0.0583656250000000;-42.0513;-4.66925
-0.0583531250000000;-42.0513;-4.66825
-0.0583406250000000;-42.0513;-4.66725
-0.0583281250000000;-42.0513;-4.66625
-0.0583156250000000;-42.0513;-4.66525
-0.0583031250000000;-42.0513;-4.66425
-0.0582906250000000;-42.0513;-4.66325
-0.0582781250000000;-42.0513;-4.66225
-0.0582656250000000;-42.0513;-4.66125
-0.0582531250000000;-42.0513;-4.66025
-0.0582406250000000;-42.0513;-4.65925
-0.0582281250000000;-42.0513;-4.65825
-0.0582156250000000;-42.0513;-4.65725
-0.0582031250000000;-42.0513;-4.65625
-0.0581906250000000;-42.0513;-4.65525
-0.0581781250000000;-42.0513;-4.65425
-0.0581656250000000;-42.0667;-4.65325
-0.0581531250000000;-42.0822;-4.65225
-0.0581406250000000;-42.0976;-4.65125
-0.0581281250000000;-42.1131;-4.65025
-0.0581156250000000;-42.1286;-4.64925
-0.0581031250000000;-42.1441;-4.64825
-0.0580906250000000;-42.1596;-4.64725
-0.0580781250000000;-42.175;-4.64625
-0.0580656250000000;-42.1905;-4.64525
-0.0580531250000000;-42.206;-4.64425
-0.0580406250000000;-42.2215;-4.64325
-0.0580281250000000;-42.237;-4.64225
-0.0580156250000000;-42.2524;-4.64125
-0.0580031250000000;-42.2679;-4.64025
-0.0579906250000000;-42.2834;-4.63925
-0.0579781250000000;-42.2989;-4.63825
-0.0579656250000000;-42.3144;-4.63725
-0.0579531250000000;-42.3298;-4.63625
-0.0579406250000000;-42.3453;-4.63525
-0.0579281250000000;-42.3608;-4.63425
-0.0579156250000000;-42.3763;-4.63325
-0.0579031250000000;-42.3918;-4.63225
-0.0578906250000000;-42.4073;-4.63125
-0.0578781250000000;-42.4227;-4.63025
-0.0578656250000000;-42.4382;-4.62925
-0.0578531250000000;-42.4537;-4.62825
-0.0578406250000000;-42.4692;-4.62725
-0.0578281250000000;-42.4847;-4.62625
-0.0578156250000000;-42.5001;-4.62525
-0.0578031250000000;-42.5156;-4.62425
-0.0577906250000000;-42.5311;-4.62325
-0.0577781250000000;-42.5466;-4.62225
-0.0577656250000000;-42.5621;-4.62125
-0.0577531250000000;-42.5641;-4.62025
-0.0577406250000000;-42.5641;-4.61925
-0.0577281250000000;-42.5641;-4.61825
-0.0577156250000000;-42.5641;-4.61725
-0.0577031250000000;-42.5641;-4.61625
-0.0576906250000000;-42.5641;-4.61525
-0.0576781250000000;-42.5641;-4.61425
-0.0576656250000000;-42.5641;-4.61325
-0.0576531250000000;-42.5641;-4.61225
-0.0576406250000000;-42.5641;-4.61125
-0.0576281250000000;-42.5641;-4.61025
-0.0576156250000000;-42.5641;-4.60925
-0.0576031250000000;-42.5641;-4.60825
-0.0575906250000000;-42.5641;-4.60725
-0.0575781250000000;-42.5641;-4.60625
-0.0575656250000000;-42.5641;-4.60525
-0.0575531250000000;-42.5641;-4.60425
-0.0575406250000000;-42.5641;-4.60325
-0.0575281250000000;-42.5641;-4.60225
-0.0575156250000000;-42.5641;-4.60125
-0.0575031250000000;-42.5641;-4.60025
-0.0574906250000000;-42.5641;-4.59925
