Test unit,CS01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.61,25.5,0.025
0.64,26.5,0.026
0.67,27.3,0.027
0.69,28.1,0.028
0.72,28.8,0.029
0.74,29.5,0.03
0.76,30.3,0.031
0.79,31.2,0.032
0.81,31.9,0.033
0.84,32.4,0.034
0.87,33.1,0.035
0.89,33.8,0.036
0.91,34.4,0.037
0.94,35.3,0.038
0.96,35.9,0.039
0.99,36.5,0.04
1.01,37,0.041
1.04,35.6,0.042
1.06,34.8,0.043
1.09,35.5,0.044
1.12,36.2,0.045
1.14,36.9,0.046
1.17,37.4,0.047
1.19,38.1,0.048
1.21,38.6,0.049
1.24,39.2,0.05
1.27,39.9,0.051
1.29,40.4,0.052
1.31,41,0.053
1.34,41.7,0.054
1.37,42.2,0.055
1.39,42.7,0.056
1.41,43.1,0.057
1.44,43.6,0.058
1.46,43.9,0.059
1.49,44.3,0.06
1.52,44.8,0.061
1.54,45.1,0.062
1.56,45.6,0.063
1.59,46,0.064
1.62,46.4,0.065
1.65,46.7,0.066
1.66,47,0.067
1.69,47.3,0.068
1.72,47.9,0.069
1.74,48.3,0.07
1.77,48.9,0.071
1.79,49.3,0.072
1.82,49.9,0.073
1.84,50.2,0.074
1.87,50.5,0.075
1.89,50.9,0.076
1.92,51.4,0.077
1.94,51.8,0.078
1.96,52.1,0.079
1.99,52.6,0.08
2.02,53.1,0.081
2.04,53.4,0.082
2.07,53.8,0.083
2.09,54.2,0.084
2.12,54.6,0.085
2.14,54.9,0.086
2.17,55.3,0.087
2.19,55.6,0.088
2.21,55.2,0.089
2.24,56.5,0.09
2.27,57,0.091
2.3,57.4,0.092
2.32,57.8,0.093
2.35,58.2,0.094
2.36,58.5,0.095
2.39,58.9,0.096
2.42,59.3,0.097
2.45,59.6,0.098
2.47,60,0.099
2.5,60.4,0.1
2.52,60.8,0.101
2.55,61.1,0.102
2.57,61.5,0.103
2.6,61.8,0.104
2.63,62.2,0.105
2.64,62.3,0.106
2.67,62.6,0.107
2.7,62.9,0.108
2.73,63.3,0.109
2.74,63.4,0.11
2.77,63.7,0.111
2.79,63.9,0.112
2.82,64.2,0.113
2.84,64.5,0.114
2.87,64.8,0.115
2.89,65,0.116
2.92,65.3,0.117
2.95,65.6,0.118
2.96,65.7,0.119
2.99,66,0.12
3.02,66.2,0.121
3.05,66.5,0.122
3.06,66.6,0.123
3.09,66.9,0.124
3.13,67.1,0.125
3.14,67.2,0.126
3.16,67.4,0.127
3.19,67.7,0.128
3.22,67.9,0.129
3.24,68,0.13
3.27,68,0.131
3.29,67.1,0.132
3.33,69.1,0.133
3.35,69.3,0.134
3.38,69.7,0.135
3.39,69.8,0.136
3.43,70.2,0.137
3.44,70.3,0.138
3.48,70.7,0.139
3.5,70.8,0.14
3.51,71,0.141
3.55,71.3,0.142
3.57,71.4,0.143
3.6,71.7,0.144
3.62,71.9,0.145
3.65,72.2,0.146
3.67,72.3,0.147
3.7,72.5,0.148
3.72,72.7,0.149
3.75,72.9,0.15
3.76,73.1,0.151
3.8,73.3,0.152
3.82,73.5,0.153
3.84,73.6,0.154
3.86,73.7,0.155
3.9,73.9,0.156
3.92,74,0.157
3.96,74.2,0.158
3.97,74.3,0.159
3.99,74.5,0.16
4.03,74.6,0.161
4.05,74.7,0.162
4.06,74.8,0.163
4.1,75,0.164
4.11,75.1,0.165
4.15,75.3,0.166
4.17,75.4,0.167
4.2,75.6,0.168
4.22,75.6,0.169
4.24,75.7,0.17
4.26,75.8,0.171
4.3,75.9,0.172
4.32,76,0.173
4.34,76.1,0.174
4.37,76.1,0.175
4.39,75.5,0.176
4.41,76.5,0.177
4.45,76.9,0.178
4.48,77,0.179
4.5,77.1,0.18
4.52,77.2,0.181
4.54,77.4,0.182
4.57,77.5,0.183
4.6,77.7,0.184
4.62,77.8,0.185
4.64,78,0.186
