Test unit;CS01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
Displacement,Force,Drift
-13.545212,-17.104817,-0.752512
-13.499456,-17.125975,-0.749970
-13.453921,-17.146836,-0.747440
-13.408368,-17.166836,-0.744909
-13.362920,-17.166292,-0.742384
-13.317623,-17.166028,-0.739868
-13.272073,-17.165199,-0.737337
-13.226408,-17.145994,-0.734800
-13.180950,-17.097966,-0.732275
-13.135136,-17.065433,-0.729730
-13.089525,-17.032444,-0.727196
-13.044065,-16.998858,-0.724670
-12.998300,-16.965857,-0.722128
-12.952571,-16.924298,-0.719587
-12.906688,-16.888818,-0.717038
-12.860450,-16.858273,-0.714469
-12.814448,-16.828865,-0.711914
-12.768781,-16.808562,-0.709377
-12.723112,-16.802313,-0.706840
-12.677832,-16.789661,-0.704324
-12.632468,-16.786725,-0.701804
-12.586868,-16.782930,-0.699270
-12.541455,-16.778978,-0.696747
-12.496023,-16.793885,-0.694224
-12.450743,-16.825472,-0.691708
-12.405615,-16.845740,-0.689201
-12.385296,-16.386074,-0.688072
-12.384656,-16.576506,-0.688036
-12.375554,-16.741993,-0.687531
-12.359104,-16.894679,-0.686617
-12.335899,-17.017849,-0.685328
-12.306530,-17.115825,-0.683696
-12.272567,-17.189392,-0.681809
-12.235107,-17.238194,-0.679728
-12.195520,-17.254017,-0.677529
-12.155309,-17.259712,-0.675295
-12.114861,-17.253220,-0.673048
-12.074379,-17.245856,-0.670799
-12.033864,-17.237766,-0.668548
-11.993046,-17.206586,-0.666280
-11.952246,-17.177140,-0.664014
-11.911901,-17.147371,-0.661772
-11.871674,-17.117296,-0.659537
-11.831634,-17.087784,-0.657313
-11.791661,-17.057680,-0.655092
-11.751671,-17.028294,-0.652871
-11.711714,-17.017369,-0.650651
-11.671589,-17.006159,-0.648422
-11.631582,-16.994648,-0.646199
-11.591692,-16.994766,-0.643983
-11.551634,-16.995184,-0.641757
-11.511458,-16.994734,-0.639525
-11.471163,-16.994291,-0.637287
-11.430817,-16.993267,-0.635045
-11.390522,-17.005342,-0.632807
-11.350243,-17.017127,-0.630569
-11.309897,-17.019162,-0.628328
-11.269804,-17.021037,-0.626100
-11.229525,-17.022777,-0.623863
-11.189264,-17.038064,-0.621626
-11.149138,-17.051744,-0.619397
-11.108962,-17.065575,-0.617165
-11.068769,-17.078973,-0.614932
-11.028578,-17.101993,-0.612699
-10.988472,-17.113498,-0.610471
-10.948434,-17.124710,-0.608246
-10.908360,-17.125138,-0.606020
-10.867999,-17.125580,-0.603778
-10.827908,-17.124986,-0.601550
-10.787799,-17.098138,-0.599322
-10.747673,-17.071575,-0.597093
-10.707682,-17.044268,-0.594871
-10.667995,-17.017230,-0.592666
-10.628458,-16.971642,-0.590470
-10.625404,-17.251853,-0.590300
-10.624154,-17.408072,-0.590231
-10.615574,-17.540620,-0.589754
-10.600238,-17.656039,-0.588902
-10.579224,-17.723770,-0.587735
-10.553396,-17.768281,-0.586300
-10.523733,-17.788052,-0.584652
-10.492040,-17.763559,-0.582891
-10.458826,-17.714032,-0.581046
-10.425089,-17.672409,-0.579172
-10.390881,-17.637082,-0.577271
-10.356386,-17.601180,-0.575355
-10.321992,-17.564240,-0.573444
-10.287663,-17.526851,-0.571537
-10.253189,-17.517367,-0.569622
-10.218833,-17.507144,-0.567713
-10.184680,-17.498222,-0.565816
-10.150448,-17.514440,-0.563914
-10.116268,-17.549222,-0.562015
-10.081917,-17.566479,-0.560106
-10.047579,-17.576428,-0.558199
-10.013359,-17.587104,-0.556298
-9.979004,-17.596765,-0.554389
-9.944922,-17.609776,-0.552496
-9.911171,-17.605366,-0.550621
-9.877621,-17.590996,-0.548757
-9.844052,-17.573113,-0.546892
-9.810683,-17.543071,-0.545038
-9.777499,-17.502184,-0.543194
-9.744199,-17.471538,-0.541344
-9.710987,-17.445125,-0.539499
-9.677551,-17.410374,-0.537642
-9.644285,-17.377218,-0.535794
-9.610596,-17.341588,-0.533922
-9.576619,-17.300987,-0.532034
-9.542272,-17.277970,-0.530126
-9.507845,-17.263153,-0.528214
-9.473130,-17.247176,-0.526285
-9.437942,-17.231661,-0.524330
-9.402924,-17.216865,-0.522385
-9.367836,-17.201043,-0.520435
-9.332956,-17.196196,-0.518498
-9.297922,-17.191503,-0.516551
-9.263156,-17.185475,-0.514620
-9.228428,-17.191169,-0.512690
-9.193865,-17.181169,-0.510770
-9.159283,-17.165156,-0.508849
-9.124735,-17.146646,-0.506930
-9.090541,-17.129431,-0.505030
-9.056311,-17.109134,-0.503128
-9.021897,-17.090896,-0.501217
-8.987584,-17.069274,-0.499310
-8.953304,-17.045005,-0.497406
-8.919044,-17.023223,-0.495502
-8.884814,-16.997179,-0.493601
-8.866001,-16.514947,-0.492556
-8.864744,-17.569545,-0.492486
-8.858594,-17.706511,-0.492144
-8.846695,-17.812546,-0.491483
-8.830002,-17.912549,-0.490556
-8.809430,-17.992234,-0.489413
-8.786015,-18.035395,-0.488112
-8.760420,-18.056960,-0.486690
-8.733558,-18.066269,-0.485198
-8.706175,-18.065625,-0.483676
-8.678473,-18.068816,-0.482137
-8.650573,-18.074075,-0.480587
-8.622961,-18.081080,-0.479053
-8.595299,-18.091908,-0.477517
-8.567532,-18.091580,-0.475974
-8.539900,-18.089335,-0.474439
-8.512049,-18.094740,-0.472892
-8.483931,-18.099280,-0.471329
-8.455707,-18.100447,-0.469761
-8.427210,-18.102658,-0.468178
-8.398579,-18.098411,-0.466588
-8.369535,-18.084044,-0.464974
