Test unit;URM 1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0111277500000000;-37.0165;-0.89022
-0.0111152500000000;-37.0319;-0.88922
-0.0111027500000000;-37.0474;-0.88822
-0.0110902500000000;-37.0628;-0.88722
-0.0110777500000000;-37.0783;-0.88622
-0.0110652500000000;-37.0937;-0.88522
-0.0110527500000000;-37.1092;-0.88422
-0.0110402500000000;-37.1246;-0.88322
-0.0110277500000000;-37.1401;-0.88222
-0.0110152500000000;-37.1555;-0.88122
-0.0110027500000000;-37.171;-0.88022
-0.0109902500000000;-37.1864;-0.87922
-0.0109777500000000;-37.2019;-0.87822
-0.0109652500000000;-37.2173;-0.87722
-0.0109527500000000;-37.2328;-0.87622
-0.0109402500000000;-37.2482;-0.87522
-0.0109277500000000;-37.2637;-0.87422
-0.0109152500000000;-37.2791;-0.87322
-0.0109027500000000;-37.2945;-0.87222
-0.0108902500000000;-37.31;-0.87122
-0.0108777500000000;-37.3254;-0.87022
-0.0108652500000000;-37.3409;-0.86922
-0.0108527500000000;-37.3563;-0.86822
-0.0108402500000000;-37.3718;-0.86722
-0.0108277500000000;-37.3872;-0.86622
-0.0108152500000000;-37.4027;-0.86522
-0.0108027500000000;-37.4181;-0.86422
-0.0107902500000000;-37.4336;-0.86322
-0.0107777500000000;-37.4359;-0.86222
-0.0107652500000000;-37.4359;-0.86122
-0.0107527500000000;-37.4359;-0.86022
-0.0107402500000000;-37.4359;-0.85922
-0.0107277500000000;-37.4359;-0.85822
-0.0107152500000000;-37.4359;-0.85722
-0.0107027500000000;-37.4359;-0.85622
-0.0106902500000000;-37.4359;-0.85522
-0.0106777500000000;-37.4359;-0.85422
-0.0106652500000000;-37.4359;-0.85322
-0.0106527500000000;-37.4359;-0.85222
-0.0106402500000000;-37.4359;-0.85122
-0.0106277500000000;-37.4359;-0.85022
-0.0106152500000000;-37.4359;-0.84922
-0.0106027500000000;-37.4359;-0.84822
-0.0105902500000000;-37.4359;-0.84722
-0.0105777500000000;-37.4359;-0.84622
-0.0105652500000000;-37.4359;-0.84522
-0.0105527500000000;-37.4359;-0.84422
-0.0105402500000000;-37.4359;-0.84322
-0.0105277500000000;-37.4359;-0.84222
-0.0105152500000000;-37.4359;-0.84122
-0.0105027500000000;-37.4359;-0.84022
-0.0104902500000000;-37.4359;-0.83922
-0.0104777500000000;-37.4359;-0.83822
-0.0104652500000000;-37.4359;-0.83722
-0.0104527500000000;-37.4359;-0.83622
-0.0104402500000000;-37.4359;-0.83522
-0.0104277500000000;-37.4359;-0.83422
-0.0104152500000000;-37.4359;-0.83322
