Test unit;C2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.00756137500000000;-37.5332;-0.60491
-0.00743637500000000;-37.5339;-0.59491
-0.00731137500000000;-37.5345;-0.58491
-0.00718637500000000;-37.387;-0.57491
-0.00706137500000000;-37.079;-0.56491
-0.00693637500000000;-36.771;-0.55491
-0.00681137500000000;-36.4372;-0.54491
-0.00668637500000000;-35.9749;-0.53491
-0.00656137500000000;-35.5126;-0.52491
-0.00643637500000000;-35.0503;-0.51491
-0.00631137500000000;-34.7199;-0.50491
-0.00618637500000000;-34.4119;-0.49491
-0.00606137500000000;-34.1039;-0.48491
-0.00593637500000000;-33.8796;-0.47491
-0.00581137500000000;-33.7259;-0.46491
-0.00568637500000000;-33.5723;-0.45491
-0.00556137500000000;-33.3832;-0.44491
-0.00543637500000000;-33.0752;-0.43491
-0.00531137500000000;-32.7672;-0.42491
-0.00518637500000000;-32.4592;-0.41491
-0.00506137500000000;-32.0097;-0.40491
-0.00493637500000000;-31.5474;-0.39491
-0.00481137500000000;-31.0851;-0.38491
-0.00468637500000000;-30.5296;-0.37491
-0.00456137500000000;-29.913;-0.36491
-0.00443637500000000;-29.2964;-0.35491
-0.00431137500000000;-28.8148;-0.34491
-0.00418637500000000;-28.6611;-0.33491
-0.00406137500000000;-28.5074;-0.32491
-0.00393637500000000;-28.3537;-0.31491
-0.00381137500000000;-28.3511;-0.30491
-0.00368637500000000;-28.3518;-0.29491
-0.00356137500000000;-28.3524;-0.28491
-0.00343637500000000;-28.1474;-0.27491
-0.00331137500000000;-27.8394;-0.26491
-0.00318637500000000;-27.5314;-0.25491
-0.00306137500000000;-27.1143;-0.24491
-0.00293637500000000;-26.4976;-0.23491
-0.00281137500000000;-25.881;-0.22491
-0.00268637500000000;-25.2581;-0.21491
-0.00256137500000000;-24.4872;-0.20491
-0.00243637500000000;-23.7162;-0.19491
-0.00231137500000000;-22.9453;-0.18491
-0.00218637500000000;-21.6123;-0.17491
-0.00206137500000000;-20.0698;-0.16491
-0.00193637500000000;-18.5273;-0.15491
-0.00181137500000000;-16.4073;-0.14491
-0.00168637500000000;-13.476;-0.13491
-0.00156137500000000;-10.5447;-0.12491
-0.00143637500000000;-7.37451;-0.11491
-0.00131137500000000;-2.1285;-0.10491
-0.00118637500000000;3.1175;-0.09491
-0.00106137500000000;8.36351;-0.08491
-0.000936375000000000;10.9256;-0.07491
-0.000811375000000000;12.7767;-0.06491
-0.000686375000000000;14.6278;-0.05491
-0.000561375000000000;15.9627;-0.04491
-0.000436375000000000;16.7336;-0.03491
-0.000311375000000000;17.5045;-0.02491
-0.000186375000000000;18.301;-0.01491
-6.13750000000000e-05;19.2262;-0.00491
6.36250000000000e-05;20.1515;0.00509
0.000188625000000000;21.0767;0.01509
0.000313625000000000;21.2125;0.02509
0.000438625000000000;21.2118;0.03509
0.000563625000000000;21.2112;0.04509
0.000688625000000000;21.2105;0.05509
0.000813625000000000;21.2099;0.06509
0.000938625000000000;21.2093;0.07509
0.00106362500000000;21.3139;0.08509
0.00118862500000000;21.7762;0.09509
0.00131362500000000;22.2385;0.10509
0.00143862500000000;22.7008;0.11509
0.00156362500000000;23.1631;0.12509
0.00168862500000000;23.6254;0.13509
0.00181362500000000;24.0877;0.14509
0.00193862500000000;24.55;0.15509
0.00206362500000000;25.0123;0.16509
0.00218862500000000;25.4746;0.17509
0.00231362500000000;25.9369;0.18509
0.00243862500000000;26.3992;0.19509
0.00256362500000000;26.8615;0.20509
0.00268862500000000;27.3238;0.21509
0.00281362500000000;27.7861;0.22509
0.00293862500000000;28.2484;0.23509
0.00306362500000000;28.7107;0.24509
0.00318862500000000;29.173;0.25509
0.00331362500000000;29.6353;0.26509
0.00343862500000000;30.0976;0.27509
0.00356362500000000;30.5599;0.28509
0.00368862500000000;31.0222;0.29509
0.00381362500000000;31.4845;0.30509
0.00393862500000000;31.9408;0.31509
0.00406362500000000;32.2488;0.32509
0.00418862500000000;32.5568;0.33509
0.00431362500000000;32.8648;0.34509
0.00443862500000000;33.1727;0.35509
0.00456362500000000;33.4807;0.36509
0.00468862500000000;33.7887;0.37509
0.00481362500000000;34.0329;0.38509
0.00493862500000000;34.1865;0.39509
0.00506362500000000;34.3402;0.40509
0.00518862500000000;34.4939;0.41509
0.00531362500000000;34.6475;0.42509
0.00543862500000000;34.8012;0.43509
0.00556362500000000;34.9549;0.44509
0.00568862500000000;35.2302;0.45509
0.00581362500000000;35.5382;0.46509
0.00593862500000000;35.8462;0.47509
0.00606362500000000;36.0808;0.48509
0.00618862500000000;36.2345;0.49509
0.00631362500000000;36.3881;0.50509
0.00643862500000000;36.567;0.51509
0.00656362500000000;36.875;0.52509
0.00668862500000000;37.183;0.53509
0.00681362500000000;37.491;0.54509
