Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.69,-172.5,-0.049
-0.68,-183.4,-0.048
-0.66,-177.8,-0.047
-0.65,-184,-0.046
-0.64,-183.9,-0.045
-0.62,-182.1,-0.044
-0.6,-181.5,-0.043
-0.6,-181.8,-0.042
-0.58,-180.9,-0.041
-0.57,-177.6,-0.04
-0.56,-177,-0.039
-0.54,-175.9,-0.038
-0.52,-127.6,-0.037
-0.51,-135.3,-0.036
-0.49,-160.7,-0.035
-0.48,-162.9,-0.034
-0.47,-163.6,-0.033
-0.45,-162.8,-0.032
-0.44,-162.9,-0.031
-0.42,-161.3,-0.03
-0.41,-160.9,-0.029
-0.4,-159.8,-0.028
-0.38,-157.4,-0.027
-0.36,-88.1,-0.026
-0.35,-116.5,-0.025
-0.34,-116.1,-0.024
-0.33,-120.4,-0.023
-0.31,-119.5,-0.022
-0.3,-119.1,-0.021
-0.28,-119.8,-0.02
-0.27,-119.3,-0.019
-0.25,-118,-0.018
-0.24,-117.3,-0.017
-0.22,-114.3,-0.016
-0.21,-112.6,-0.015
-0.19,-112.7,-0.014
-0.19,-112.9,-0.013
-0.16,-109.4,-0.012
-0.15,-107.4,-0.011
-0.14,-106.3,-0.01
-0.13,-105.4,-0.009
-0.11,-103.8,-0.008
-0.09,-103.7,-0.007
-0.08,-103.5,-0.006
-0.07,-101.2,-0.005
-0.06,-99.8,-0.004
-0.04,-98.1,-0.003
-0.02,-95,-0.002
-0.01,-92.6,-0.001
-0,0,-0
0.02,-0,0.001
0.04,46.3,0.003
0.07,52.1,0.005
0.09,54.1,0.006
0.1,53.5,0.007
0.11,51.7,0.008
0.13,57.3,0.009
0.14,58.7,0.01
0.15,59.5,0.011
0.17,60,0.012
0.18,62,0.013
0.2,63.4,0.014
0.21,64.5,0.015
0.22,66.9,0.016
0.24,68.4,0.017
0.25,69.6,0.018
0.27,70.4,0.019
0.28,73,0.02
0.3,74,0.021
0.31,74.7,0.022
0.33,75.8,0.023
0.34,76.9,0.024
0.35,79.6,0.025
0.36,79.2,0.026
0.38,80,0.027
0.39,82.1,0.028
0.41,79.9,0.029
0.42,53.3,0.03
0.44,29.7,0.031
0.46,109.4,0.032
0.47,105,0.033
0.48,68.5,0.034
0.5,85,0.035
0.51,81.3,0.036
0.53,129.1,0.037
0.54,129.5,0.038
0.55,129.4,0.039
0.57,132.9,0.04
0.58,133.8,0.041
0.6,134.4,0.042
0.6,136.2,0.043
0.62,137.3,0.044
0.63,137.1,0.045
0.65,136.2,0.046
0.66,137.3,0.047
0.68,134.8,0.048
0.69,126.2,0.049
0.71,102.6,0.05
0.72,99.4,0.051
0.73,110.8,0.052
0.75,151.9,0.053
0.76,153.7,0.054
0.78,155,0.055
0.79,156.3,0.056
0.81,158.2,0.057
0.82,158.3,0.058
0.84,160.7,0.059
0.85,160.3,0.06
0.86,160.8,0.061
0.88,162.7,0.062
0.89,162.4,0.063
0.9,157.7,0.064
0.92,157.4,0.065
0.93,157.1,0.066
0.95,132.4,0.067
0.97,168.9,0.068
0.98,170.4,0.069
1,171.7,0.07
1.01,173.1,0.071
1.03,174.5,0.072
1.04,175.8,0.074
1.07,177.2,0.075
1.09,177.9,0.077
1.11,179,0.078
1.12,181.5,0.079
1.14,182.3,0.08
1.14,182.6,0.081
1.16,183.4,0.082
1.18,184.5,0.083
1.19,185.7,0.084
1.2,186.2,0.085
1.22,186.1,0.086
1.23,186.6,0.087
1.25,187.6,0.088
1.26,188.2,0.089
1.29,188.6,0.091
1.3,189.2,0.092
1.32,189.4,0.093
1.33,189.4,0.094
1.34,189.9,0.095
1.37,187.7,0.096
1.37,187.5,0.097
1.4,177.1,0.098
1.4,177.9,0.099
1.41,188.7,0.1
1.44,190.6,0.101
1.46,191.5,0.103
1.47,191.9,0.104
1.49,192.3,0.105
1.51,192.9,0.106
1.53,194.1,0.108
1.55,195.8,0.109
1.56,196.8,0.11
1.57,196.9,0.111
1.58,196.7,0.112
1.61,198,0.113
1.62,199.1,0.114
1.64,200.1,0.116
1.66,200.6,0.117
1.67,200.9,0.118
1.69,201,0.119
1.7,201.7,0.12
1.72,202.4,0.121
1.75,203.1,0.123
1.76,203.7,0.124
1.77,204,0.125
1.78,204.8,0.126
1.8,205.1,0.127
1.81,205.3,0.128
1.83,204,0.129
1.85,205.2,0.13
1.87,205.1,0.131
1.87,178.8,0.132
1.88,194,0.133
1.91,202.9,0.134
1.93,204.1,0.136
1.96,204.9,0.138
1.99,205.5,0.14
2,206.3,0.141
2.01,207.2,0.142
2.03,208.2,0.143
2.05,208.6,0.144
2.06,208.8,0.145
2.07,209.1,0.146
2.09,209.9,0.147
2.11,211,0.149
2.13,211.8,0.15
2.15,212.3,0.151
2.16,212.4,0.152
2.17,212.3,0.153
2.19,214,0.154
2.21,214.6,0.156
2.24,214.9,0.158
2.26,215.5,0.159
2.28,216.4,0.16
2.28,216.1,0.161
2.29,215.4,0.162
2.31,216.6,0.163
2.32,216.8,0.164
2.34,213.5,0.165
2.36,205.7,0.166
2.37,203,0.167
2.38,212.4,0.168
2.41,212.7,0.17
2.43,213.3,0.171
2.45,214.1,0.172
2.46,214.9,0.173
2.48,215.8,0.175
2.51,217.1,0.176
2.53,218.4,0.178
2.56,219,0.18
2.57,219.3,0.181
2.59,219.8,0.182
2.61,220.2,0.184
2.62,220.5,0.185
2.64,220.7,0.186
2.65,221,0.187
2.66,221.5,0.188
2.69,222.5,0.189
2.71,223.2,0.191
2.74,223.3,0.193
2.77,224,0.195
2.79,224.8,0.196
2.8,224.5,0.197
2.81,222.9,0.198
2.83,224.3,0.199
2.84,224.7,0.2
2.85,223.6,0.201
2.87,214.4,0.202
2.89,221.7,0.203
2.93,223.2,0.206
2.97,224.4,0.209
3,225.3,0.211
3.04,226.5,0.214
3.07,227.3,0.216
3.1,228.2,0.218
3.13,229,0.22
3.16,230,0.223
3.2,231.1,0.225
3.24,231.9,0.228
3.28,232.9,0.231
3.31,233.6,0.233
3.33,234.2,0.235
3.36,234.5,0.236
3.38,235,0.238
3.41,235.6,0.24
3.43,235.8,0.242
3.45,235.9,0.243
3.47,236.7,0.244
3.5,237.7,0.247
3.53,238.3,0.249
3.56,238.3,0.25
3.58,238.3,0.252
3.59,238.3,0.253
3.61,238.7,0.254
3.63,239.2,0.256
3.66,239.5,0.258
3.68,239.6,0.259
3.69,239.8,0.26
3.71,239.8,0.261
3.72,239.5,0.262
3.73,239.5,0.263
3.75,239.7,0.264
3.76,239.6,0.265
3.77,239.4,0.266
3.79,239.4,0.267
3.8,239.1,0.268
3.81,239.1,0.269
3.83,234.5,0.27
3.84,231.4,0.271
3.86,222.3,0.272
3.9,235.1,0.274
3.94,236,0.278
3.99,236.9,0.281
4.03,237.7,0.284
4.06,238.3,0.286
4.11,239.2,0.29
4.16,240.1,0.293
4.19,240.8,0.295
4.22,241.2,0.297
4.25,241.5,0.299
4.27,241.9,0.301
4.31,243,0.303
4.35,243.9,0.306
4.38,244.1,0.309
4.41,244.3,0.311
4.44,244.7,0.313
4.47,245.1,0.315
4.5,245.5,0.317
4.52,245.6,0.319
4.54,245.7,0.32
4.57,246.1,0.322
4.6,246.5,0.324
4.63,246.5,0.326
4.65,246.6,0.328
4.68,247,0.329
4.69,247.3,0.331
4.72,247.4,0.332
4.73,247.4,0.333
4.74,246.9,0.334
4.76,246.8,0.335
4.77,247.2,0.336
4.78,247.5,0.337
4.79,246,0.338
4.81,245.4,0.339
4.82,240.9,0.34
4.84,239.9,0.341
4.86,235.9,0.342
4.89,243,0.345
4.95,244,0.348
5.01,244.9,0.353
5.05,245.5,0.356
5.08,245.7,0.358
5.11,245.8,0.36
5.15,246.6,0.362
5.19,247.9,0.365
5.24,248.6,0.369
5.28,248.6,0.372
5.3,248.7,0.374
5.34,249.3,0.376
5.38,250.4,0.379
5.41,250.7,0.381
5.45,250.6,0.384
5.47,250.5,0.385
5.5,251.1,0.387
5.53,251.7,0.389
5.56,252.1,0.392
5.59,252.1,0.394
5.61,252.2,0.395
5.63,252.4,0.396
5.65,252.7,0.398
5.67,252.8,0.399
5.68,252.5,0.4
5.7,252.1,0.401
5.71,251.9,0.402
5.72,252.4,0.403
5.74,252.8,0.404
5.76,253,0.406
5.78,252,0.407
5.79,250.9,0.408
5.8,251.3,0.409
5.82,249.7,0.41
5.83,247.8,0.411
5.85,244.8,0.412
5.86,243.5,0.413
5.89,248.5,0.415
5.93,248.8,0.418
5.97,249.4,0.42
6.02,250.5,0.424
6.07,251.4,0.427
6.13,252,0.431
6.17,252.2,0.435
6.21,251.7,0.437
6.24,252.1,0.439
6.28,253,0.442
6.33,253.9,0.446
6.37,254.1,0.449
6.41,253.7,0.451
6.44,253.3,0.453
6.46,253.8,0.455
6.51,254.5,0.458
6.55,254.8,0.461
6.57,254.6,0.463
6.59,254.1,0.464
6.61,254.1,0.465
6.63,254.6,0.467
6.66,254.8,0.469
6.68,254.6,0.47
6.7,254.4,0.472
6.71,254.2,0.473
6.73,254.1,0.474
6.74,254.4,0.475
6.75,254.6,0.476
6.77,254.9,0.477
6.79,254.7,0.478
6.8,252.5,0.479
6.81,253.6,0.48
6.83,243.8,0.481
6.84,249,0.482
6.85,240.5,0.483
6.87,244,0.484
6.92,250.2,0.488
6.99,251.1,0.492
7.04,251.6,0.496
7.09,251.8,0.5
7.14,252.1,0.503
7.19,252.7,0.506
7.24,253,0.51
7.29,253,0.513
7.33,253.1,0.516
7.37,253.2,0.519
7.41,253.5,0.522
7.46,253.9,0.525
7.5,254.1,0.528
7.53,254.2,0.53
7.55,254.5,0.532
7.59,254.9,0.534
7.61,254.9,0.536
7.64,254.5,0.538
7.66,254.4,0.539
7.69,254.7,0.541
7.71,254.9,0.543
7.74,254.8,0.545
7.75,254.2,0.546
7.77,254.2,0.547
7.79,254.8,0.548
7.8,254.5,0.549
7.81,253.9,0.55
7.82,253.3,0.551
7.83,253.7,0.552
7.85,249,0.553
7.86,245.9,0.554
7.88,242.9,0.555
7.93,247.4,0.558
7.97,247.7,0.561
8.04,249.2,0.566
8.12,250.4,0.572
8.18,250,0.576
8.2,248.6,0.578
8.23,248.9,0.579
8.29,250.8,0.584
8.37,252,0.589
8.44,251.8,0.594
8.46,250.7,0.596
8.47,250.1,0.597
8.5,251.1,0.599
8.56,252.5,0.603
8.6,252,0.605
8.62,251.4,0.607
8.64,251.7,0.608
8.67,251.9,0.61
8.7,252.3,0.613
8.73,252.5,0.615
8.75,251.7,0.616
8.76,251.3,0.617
8.78,251.4,0.618
8.8,252.3,0.62
8.82,252,0.621
8.83,251.1,0.622
8.85,250.9,0.623
8.86,250.2,0.624
8.87,247.7,0.625
8.88,236,0.626
8.9,239.7,0.627
8.91,239.2,0.628
8.94,239.3,0.63
9.01,239.2,0.634
9.06,239.2,0.638
9.12,239.6,0.642
9.18,240.3,0.646
9.25,240.7,0.651
9.31,240.8,0.656
9.36,240.8,0.659
9.4,240.7,0.662
9.44,240.6,0.665
9.48,240.8,0.668
9.52,241,0.671
9.57,241,0.674
9.61,241.1,0.677
9.65,241.2,0.679
9.68,241.3,0.682
9.71,241.3,0.684
9.74,241.1,0.686
9.76,240.8,0.688
9.79,240.7,0.689
9.81,240.5,0.691
9.83,240.4,0.692
9.85,240.1,0.694
9.87,239.9,0.695
9.89,240.3,0.696
9.89,239.6,0.697
9.91,231.6,0.698
9.93,231.6,0.699
9.94,231.1,0.7
9.95,229.7,0.701
9.96,229.4,0.702
9.98,227.6,0.703
10,223.8,0.704
10.04,223.9,0.707
10.1,217.7,0.711
10.17,217.2,0.716
10.24,217,0.721
10.3,217,0.725
10.38,217.3,0.731
10.46,217.6,0.737
10.52,217.5,0.741
10.58,217.5,0.745
10.64,217.3,0.749
10.69,217.1,0.753
10.74,216.9,0.757
10.79,216.7,0.76
10.85,217,0.764
10.9,217,0.767
10.94,216.8,0.771
10.98,216.5,0.773
11.01,216.5,0.776
11.05,216.7,0.778
11.09,216.9,0.781
11.12,216.5,0.783
11.15,216,0.785
11.19,215.9,0.788
11.21,215.7,0.79
11.23,215.2,0.791
11.24,215.2,0.792
11.26,215.1,0.793
11.27,214.5,0.794
11.28,212.3,0.795
11.3,194.2,0.796
11.6,13,0.817
11.99,14.1,0.844
12.41,15.1,0.874
12.85,15.9,0.905
13.31,16.5,0.937
13.78,17.1,0.97
