Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0204813750000000;-34.0128;-1.63851
-0.0204688750000000;-34.0282;-1.63751
-0.0204563750000000;-34.0436;-1.63651
-0.0204438750000000;-34.0591;-1.63551
-0.0204313750000000;-34.0745;-1.63451
-0.0204188750000000;-34.0899;-1.63351
-0.0204063750000000;-34.1054;-1.63251
-0.0203938750000000;-34.1208;-1.63151
-0.0203813750000000;-34.1362;-1.63051
-0.0203688750000000;-34.1517;-1.62951
-0.0203563750000000;-34.1671;-1.62851
-0.0203438750000000;-34.1825;-1.62751
-0.0203313750000000;-34.1979;-1.62651
-0.0203188750000000;-34.2134;-1.62551
-0.0203063750000000;-34.2288;-1.62451
-0.0202938750000000;-34.2442;-1.62351
-0.0202813750000000;-34.2597;-1.62251
-0.0202688750000000;-34.2751;-1.62151
-0.0202563750000000;-34.2905;-1.62051
-0.0202438750000000;-34.306;-1.61951
-0.0202313750000000;-34.3214;-1.61851
-0.0202188750000000;-34.3368;-1.61751
-0.0202063750000000;-34.3523;-1.61651
-0.0201938750000000;-34.3677;-1.61551
-0.0201813750000000;-34.3831;-1.61451
-0.0201688750000000;-34.3986;-1.61351
-0.0201563750000000;-34.414;-1.61251
-0.0201438750000000;-34.4294;-1.61151
-0.0201313750000000;-34.4448;-1.61051
-0.0201188750000000;-34.4603;-1.60951
-0.0201063750000000;-34.4757;-1.60851
-0.0200938750000000;-34.4911;-1.60751
-0.0200813750000000;-34.5066;-1.60651
-0.0200688750000000;-34.522;-1.60551
-0.0200563750000000;-34.5374;-1.60451
-0.0200438750000000;-34.5529;-1.60351
-0.0200313750000000;-34.5683;-1.60251
-0.0200188750000000;-34.5837;-1.60151
-0.0200063750000000;-34.5992;-1.60051
-0.0199938750000000;-34.6146;-1.59951
-0.0199813750000000;-34.63;-1.59851
-0.0199688750000000;-34.6455;-1.59751
-0.0199563750000000;-34.6609;-1.59651
-0.0199438750000000;-34.6763;-1.59551
-0.0199313750000000;-34.6917;-1.59451
-0.0199188750000000;-34.7072;-1.59351
-0.0199063750000000;-34.7226;-1.59251
-0.0198938750000000;-34.738;-1.59151
-0.0198813750000000;-34.7535;-1.59051
-0.0198688750000000;-34.7689;-1.58951
-0.0198563750000000;-34.7843;-1.58851
-0.0198438750000000;-34.7998;-1.58751
-0.0198313750000000;-34.8152;-1.58651
-0.0198188750000000;-34.8306;-1.58551
-0.0198063750000000;-34.8461;-1.58451
-0.0197938750000000;-34.8615;-1.58351
-0.0197813750000000;-34.8769;-1.58251
-0.0197688750000000;-34.8924;-1.58151
-0.0197563750000000;-34.9078;-1.58051
-0.0197438750000000;-34.9232;-1.57951
-0.0197313750000000;-34.9386;-1.57851
-0.0197188750000000;-34.9541;-1.57751
-0.0197063750000000;-34.9695;-1.57651
-0.0196938750000000;-34.9849;-1.57551
-0.0196813750000000;-35.0004;-1.57451
-0.0196688750000000;-35.0158;-1.57351
-0.0196563750000000;-35.0465;-1.57251
-0.0196438750000000;-35.0774;-1.57151
-0.0196313750000000;-35.1082;-1.57051
-0.0196188750000000;-35.1391;-1.56951
-0.0196063750000000;-35.1699;-1.56851
-0.0195938750000000;-35.2008;-1.56751
-0.0195813750000000;-35.2317;-1.56651
-0.0195688750000000;-35.2625;-1.56551
-0.0195563750000000;-35.2934;-1.56451
-0.0195438750000000;-35.3243;-1.56351
-0.0195313750000000;-35.3551;-1.56251
-0.0195188750000000;-35.386;-1.56151
-0.0195063750000000;-35.4168;-1.56051
-0.0194938750000000;-35.4477;-1.55951
-0.0194813750000000;-35.4786;-1.55851
-0.0194688750000000;-35.5094;-1.55751
-0.0194563750000000;-35.5403;-1.55651
-0.0194438750000000;-35.5712;-1.55551
-0.0194313750000000;-35.602;-1.55451
-0.0194188750000000;-35.6329;-1.55351
-0.0194063750000000;-35.6637;-1.55251
-0.0193938750000000;-35.6946;-1.55151
-0.0193813750000000;-35.7255;-1.55051
-0.0193688750000000;-35.7563;-1.54951
-0.0193563750000000;-35.7872;-1.54851
-0.0193438750000000;-35.8181;-1.54751
-0.0193313750000000;-35.8489;-1.54651
-0.0193188750000000;-35.8798;-1.54551
