Test unit;IC2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0539617500000000;-44.7284000000000;-4.31694000000000
-0.0539492500000000;-44.7284000000000;-4.31594000000000
-0.0539367500000000;-44.7284000000000;-4.31494000000000
-0.0539242500000000;-44.7284000000000;-4.31394000000000
-0.0539117500000000;-44.7284000000000;-4.31294000000000
-0.0538992500000000;-44.7284000000000;-4.31194000000000
-0.0538867500000000;-44.7284000000000;-4.31094000000000
-0.0538742500000000;-44.7284000000000;-4.30994000000000
-0.0538617500000000;-44.7284000000000;-4.30894000000000
-0.0538492500000000;-44.7284000000000;-4.30794000000000
-0.0538367500000000;-44.7284000000000;-4.30694000000000
-0.0538242500000000;-44.7284000000000;-4.30594000000000
-0.0538117500000000;-44.7284000000000;-4.30494000000000
-0.0537992500000000;-44.7284000000000;-4.30394000000000
